,gatsbyjs/gatsby,vercel/next.js,gohugoio/hugo
2016-10-05,14.0,4,6
2016-10-06,-0.5999999999999988,12,3
2016-10-07,1.3200000000000003,2,9
2016-10-08,1.504000000000001,5,3
2016-10-09,-3.5024,7,5
2016-10-10,-0.5473280000000005,4,11
2016-10-11,2.6007551999999996,0,2
2016-10-12,-1.44976384,1,3
2016-10-13,-1.5126087679999998,2,4
2016-10-14,6.1207784448,2,4
2016-10-15,-3.2919741439999997,8,5
2016-10-16,-1.164140544,8,5
2016-10-17,2.347833856,17,6
2016-10-18,3.397198848,2,1
2016-10-19,-1.6614555647999998,3,5
2016-10-20,-1.4190907391999998,2,0
2016-10-21,-0.7061920768000002,1,1
2016-10-22,-0.46794598400000026,1,1
2016-10-23,-0.3498366976000001,2,0
2016-10-24,-0.19987968000000003,7,9
2016-10-25,12.839716864,51,2
2016-10-26,-4.332543590399999,12,1
2016-10-27,9.960853504,1,1
2016-10-28,-5.764798156799999,9,3
2016-10-29,-2.0448000000000004,5,2
2016-10-30,-0.19897600000000026,2,0
2016-10-31,1.7723263999999994,4,1
2016-11-01,12.05879552,2,2
2016-11-02,4.4850467840000015,2,1
2016-11-03,-4.715578470399999,3,2
2016-11-04,3.6345812992,5,4
2016-11-05,-4.5927970816000006,7,3
2016-11-06,-1.9321881600000008,6,4
2016-11-07,1.7475758079999997,1,1
2016-11-08,-2.1191523328,0,0
2016-11-09,1.9317590016000001,1,0
2016-11-10,-0.9353705471999996,0,0
2016-11-11,-0.18448506879999993,0,0
2016-11-12,1.0664577024000002,0,0
2016-11-13,1.7327233024000002,1,1
2016-11-14,2.30943232,4,0
2016-11-15,-1.2739087359999997,0,1
2016-11-16,-0.30162135040000004,3,2
2016-11-17,5.9524951040000005,3,0
2016-11-18,1.6418968576000004,2,2
2016-11-19,-3.1989925887999995,0,1
2016-11-20,-1.3096260607999999,0,2
2016-11-21,3.1913391103999995,2,1
2016-11-22,-2.1580150784,5,52
2016-11-23,-0.8752212992000001,3,27
2016-11-24,-0.5273637888,1,1
2016-11-25,0.6228590591999998,0,0
2016-11-26,-0.6851736575999999,0,0
2016-11-27,-0.275843584,0,4
2016-11-28,6.86251776,3,1
2016-11-29,-2.902222847999999,0,3
2016-11-30,1.0788553728,0,3
2016-12-01,7.7290368,9,1
2016-12-02,-4.149570559999999,16,1
2016-12-03,-1.4328197120000001,4,3
2016-12-04,-0.8327405568000001,0,3
2016-12-05,-0.5628979200000004,3,0
2016-12-06,6.578415616,6,2
2016-12-07,-2.1329970175999993,0,0
2016-12-08,-0.43564646399999973,1,0
2016-12-09,8.8700022784,6,1
2016-12-10,-0.5903834111999995,0,2
2016-12-11,-3.115264,2,1
2016-12-12,0.6477055999999999,1,1
2016-12-13,-1.6535091200000003,1,0
2016-12-14,0.14665625599999965,0,1
2016-12-15,-1.0005533696,5,11
2016-12-16,0.4932877311999999,7,3
2016-12-17,-0.7617415167999999,12,0
2016-12-18,-0.396130816,2,0
2016-12-19,7.8181142528,16,5
2016-12-20,-3.2948746239999993,30,1
2016-12-21,-1.0339188736,10,2
2016-12-22,-0.550118912,20,5
2016-12-23,-0.36396871680000037,7,7
2016-12-24,-0.25477171200000015,9,0
2016-12-25,-0.19650375680000004,2,4
2016-12-26,-0.14696447999999995,9,4
2016-12-27,9.878754304,8,3
2016-12-28,-1.1023852543999988,9,10
2016-12-29,-1.3999999999999995,6,3
2016-12-30,-0.3999999999999999,6,0
2016-12-31,-1.1280000000000006,11,4
2017-01-01,-0.6083200000000003,9,5
2017-01-02,7.574911999999999,6,11
2017-01-03,5.4758528,5,5
2017-01-04,-4.819583999999999,0,4
2017-01-05,1.193217536,12,6
2017-01-06,-0.18072074240000013,6,6
2017-01-07,-1.8019698688000003,4,2
2017-01-08,-0.8980717568000002,5,1
2017-01-09,5.39356672,4,0
2017-01-10,-2.8596367359999997,5,1
2017-01-11,5.9124197376000005,2,3
2017-01-12,6.5997785088,10,0
2017-01-13,1.8281917440000006,3,0
2017-01-14,-4.6964178944,1,1
2017-01-15,-1.9345755136000005,5,2
2017-01-16,-1.1838873600000006,15,0
2017-01-17,0.15760332799999954,4,0
2017-01-18,1.9553211392,2,4
2017-01-19,4.229462016,3,0
2017-01-20,0.8062618624000004,12,1
2017-01-21,-2.7876715519999995,4,0
2017-01-22,-0.10833909760000004,5,1
2017-01-23,-1.0184192000000003,2,2
2017-01-24,14.44662784,2,1
2017-01-25,-1.3918545919999987,2,0
2017-01-26,-4.101941452799999,7,1
2017-01-27,0.20723701760000024,3,1
2017-01-28,1.0956250111999994,3,0
2017-01-29,-2.1668431872000005,3,1
2017-01-30,-0.9973637120000002,1,0
2017-01-31,-0.6783725568000001,3,0
2017-02-01,0.49610752,2,0
2017-02-02,1.1964666880000001,11,0
2017-02-03,1.9103784960000003,5,2
2017-02-04,6.410576896,1,6
2017-02-05,-3.800663449599999,4,2
2017-02-06,14.6964535296,2,2
2017-02-07,7.8803328000000015,1,1
2017-02-08,-2.406952959999998,6,0
2017-02-09,7.415597568000001,14,2
2017-02-10,-6.8275268608,2,4
2017-02-11,-3.665259929600001,2,1
2017-02-12,-2.177931366400001,8,1
2017-02-13,-1.5252742144000007,3,1
2017-02-14,0.913195008,8,0
2017-02-15,-1.6708031487999997,16,1
2017-02-16,-0.7846871039999997,14,1
2017-02-17,1.5798162432000002,8,14
2017-02-18,-1.0647317503999998,5,8
2017-02-19,-0.3127021568,2,8
2017-02-20,-0.1739264,2,4
2017-02-21,-0.11994112000000008,4,17
2017-02-22,8.909784576,1,4
2017-02-23,-3.671522713599999,2,3
2017-02-24,-1.1167411200000001,1,3
2017-02-25,-0.606311424,3,4
2017-02-26,-0.3999963136000004,7,2
2017-02-27,5.7304319999999995,8,6
2017-02-28,-2.6066687999999996,8,5
2017-03-01,0.11466496000000004,3,9
2017-03-02,1.0795985920000002,4,3
2017-03-03,-0.28478341120000006,1,1
2017-03-04,1.116288,1,3
2017-03-05,-1.2273792,3,3
2017-03-06,-0.5273753600000001,6,0
2017-03-07,0.656598528,4,1
2017-03-08,-0.6542379008,2,3
2017-03-09,2.745235968,0,2
2017-03-10,0.6285934592000002,2,4
2017-03-11,0.7209068544000001,0,4
2017-03-12,-0.3050615807999999,3,1
2017-03-13,-0.9413595136,5,4
2017-03-14,3.5605734399999998,5,5
2017-03-15,2.1088506880000004,10,3
2017-03-16,0.7046597632000005,1,0
2017-03-17,-0.09408665599999999,0,1
2017-03-18,0.2891897856000001,2,3
2017-03-19,-1.5924862976,1,5
2017-03-20,3.2547871743999996,0,2
2017-03-21,14.9208108032,1,2
2017-03-22,-7.626098687999999,1,2
2017-03-23,0.43124244480000007,1,0
2017-03-24,0.3662727168000002,3,3
2017-03-25,-1.4924550144000008,2,4
2017-03-26,-1.6089445376000002,4,1
2017-03-27,6.073747046399999,4,51
2017-03-28,0.5484216320000006,5,0
2017-03-29,1.0508146688000002,5,2
2017-03-30,-1.8995219455999997,5,0
2017-03-31,-1.5507420160000003,2,5
2017-04-01,-0.8542961664000003,3,2
2017-04-02,-0.5645005824000002,1,12
2017-04-03,4.6053471232,5,1
2017-04-04,-1.3013770239999998,3,11
2017-04-05,-1.2466553855999998,6,2
2017-04-06,0.4298139648000001,12,7
2017-04-07,0.2616516607999999,7,8
2017-04-08,-0.7241581568000001,0,6
2017-04-09,-0.32876800000000006,0,1
2017-04-10,6.779584,2,5
2017-04-11,4.034298880000001,7,0
2017-04-12,-0.7720616959999993,2,6
2017-04-13,-1.5421319167999998,3,4
2017-04-14,3.467273728,1,2
2017-04-15,-1.8408178687999999,0,0
2017-04-16,-1.5720045568,0,3
2017-04-17,6.13920768,3,0
2017-04-18,-1.4055255039999999,7,2
2017-04-19,6.8948880384,2,3
2017-04-20,-2.5861927935999995,0,0
2017-04-21,0.5324338175999999,0,0
2017-04-22,1.5841887232,12,6
2017-04-23,-1.7621928960000002,2,1
2017-04-24,8.3879135232,1,9
2017-04-25,-2.9102039039999994,1,4
2017-04-26,0.3485840384000003,2,5
2017-04-27,13.4909635584,9,6
2017-04-28,-1.6264113151999986,1,1
2017-04-29,6.9377711104,0,1
2017-04-30,-1.075723878399999,5,4
2017-05-01,2.7245636607999995,1,20
2017-05-02,10.313182003200001,2,7
2017-05-03,0.9962721280000011,5,3
2017-05-04,0.4562043904000008,6,1
2017-05-05,-2.6031796224,0,0
2017-05-06,4.240853299199999,5,3
2017-05-07,-6.0398184448,4,1
2017-05-08,1.2727921663999995,4,1
2017-05-09,0.6963884032000003,11,4
2017-05-10,-1.2864958463999998,5,2
2017-05-11,7.5992870912,8,1
2017-05-12,-0.19177830399999962,1,0
2017-05-13,-3.9425511423999997,2,7
2017-05-14,-1.7224548352000002,3,1
2017-05-15,4.923577548799999,19,1
2017-05-16,13.912448512000001,11,0
2017-05-17,2.9520514048000006,3,3
2017-05-18,-5.2040256511999985,4,10
2017-05-19,3.2733937664,2,4
2017-05-20,0.16532787199999976,2,4
2017-05-21,-4.136553984000001,3,0
2017-05-22,6.03873024,3,10
2017-05-23,5.473067008,1,7
2017-05-24,-5.960102604799999,0,1
2017-05-25,0.5564749824000002,5,2
2017-05-26,5.4126989312,0,8
2017-05-27,-2.4391550975999996,8,1
2017-05-28,-1.6005912575999997,0,1
2017-05-29,0.2826127359999999,1,0
2017-05-30,6.2243927039999996,2,6
2017-05-31,1.8503520256000003,6,5
2017-06-01,0.04369715200000046,5,2
2017-06-02,14.816489984,5,4
2017-06-03,3.323951513600001,1,6
2017-06-04,-7.9022096384,0,0
2017-06-05,2.8006892543999995,8,1
2017-06-06,1.6355387391999994,10,3
2017-06-07,3.4927458303999996,5,2
2017-06-08,-1.3435633663999997,5,7
2017-06-09,-3.9372402687999997,6,1
2017-06-10,2.0342458368,0,0
2017-06-11,-1.9185265663999997,1,1
2017-06-12,-0.6875964416000002,3,10
2017-06-13,11.719328768,3,28
2017-06-14,-0.9569404927999994,1,5
2017-06-15,10.9430751232,2,0
2017-06-16,8.241587097600002,8,9
2017-06-17,-7.238390067199999,0,1
2017-06-18,-2.3793326080000003,0,1
2017-06-19,1.7789995007999995,2,4
2017-06-20,6.1355328512,3,4
2017-06-21,8.0634447872,3,9
2017-06-22,0.8517718016000018,3,2
2017-06-23,4.180914176,8,2
2017-06-24,-3.458891263999999,0,2
2017-06-25,-4.7645590528,1,1
2017-06-26,1.6448794623999996,5,6
2017-06-27,6.8102667264,2,6
2017-06-28,3.3447234560000005,12,7
2017-06-29,3.0661002240000013,7,0
2017-06-30,5.9040954368000005,4,0
2017-07-01,8.6528135168,9,2
2017-07-02,5.6168246272,7,1
2017-07-03,-5.686274867199998,5,4
2017-07-04,7.356234752,0,3
2017-07-05,-6.239777587200001,2,4
2017-07-06,22.575491583999998,5,7
2017-07-07,-6.3271227391999965,3,8
2017-07-08,6.2359630848,10,5
2017-07-09,2.595943526400001,16,0
2017-07-10,-1.9152140288000012,1,8
2017-07-11,0.22675712000000026,1,0
2017-07-12,2.8949715967999996,2,0
2017-07-13,5.3400370176,3,0
2017-07-14,-5.8635032576,2,2
2017-07-15,-4.3012504576,4,1
2017-07-16,0.7249798143999993,3,0
2017-07-17,-2.7471470592000005,5,2
2017-07-18,3.6024454143999995,4,6
2017-07-19,22.1115254784,0,1
2017-07-20,-3.2171616255999975,6,0
2017-07-21,-6.9436490752,1,8
2017-07-22,-3.0207789056000003,1,1
2017-07-23,-1.7824679936000012,2,1
2017-07-24,-0.2418831360000009,9,0
2017-07-25,12.6560567296,2,0
2017-07-26,5.5612518400000015,4,2
2017-07-27,9.866151936000001,2,2
2017-07-28,-5.618799615999999,6,5
2017-07-29,-5.1227372544000005,1,1
2017-07-30,-2.5094912000000007,2,0
2017-07-31,-1.662479360000001,1,7
2017-08-01,16.776514048,1,2
2017-08-02,10.844392755200001,0,1
2017-08-03,-5.525195059199998,1,2
2017-08-04,-1.9167072255999997,0,0
2017-08-05,5.557008486399999,0,0
2017-08-06,-6.180728627200001,1,3
2017-08-07,1.3535743999999994,3,8
2017-08-08,6.67686912,1,1
2017-08-09,1.2475325440000002,8,3
2017-08-10,8.742449049600001,3,8
2017-08-11,4.131542220800001,0,5
2017-08-12,-7.772127231999999,1,0
2017-08-13,-3.2213225472000007,3,0
2017-08-14,18.008840192,1,2
2017-08-15,0.6764011520000004,1,0
2017-08-16,-2.412252467199999,6,2
2017-08-17,-0.24681779199999987,1,3
2017-08-18,2.405786214399999,2,3
2017-08-19,1.9039172608000001,2,1
2017-08-20,-2.0803618816,0,0
2017-08-21,-2.4428031999999997,1,0
2017-08-22,4.74940416,0,2
2017-08-23,11.772946944000001,1,0
2017-08-24,6.905180672000002,3,0
2017-08-25,1.0714383360000017,0,1
2017-08-26,-7.512716287999999,0,0
2017-08-27,-3.309015961600001,2,0
2017-08-28,22.942600806399998,2,1
2017-08-29,4.585164697600002,0,0
2017-08-30,-0.4567851007999977,6,0
2017-08-31,11.6427311104,3,0
2017-09-01,-1.8798117887999979,3,0
2017-09-02,0.20207052800000014,0,0
2017-09-03,-2.6772935679999996,0,1
2017-09-04,2.321804799999999,1,0
2017-09-05,-1.2934937600000005,2,4
2017-09-06,-5.159334912,0,0
2017-09-07,0.4570611711999999,0,1
2017-09-08,-0.8240302079999999,7,2
2017-09-09,11.704712704,1,1
2017-09-10,0.2782986240000014,1,3
2017-09-11,-0.1855424511999999,0,6
2017-09-12,1.8138547200000001,2,0
2017-09-13,-1.3373574143999996,0,6
2017-09-14,6.884443136,1,0
2017-09-15,4.434642944,0,0
2017-09-16,3.7220038656000005,0,0
2017-09-17,-6.625698201599999,1,0
2017-09-18,15.1392478208,0,0
2017-09-19,-2.8999986175999997,1,0
2017-09-20,15.284811264,0,0
2017-09-21,-5.107113676799999,0,2
2017-09-22,3.3439108095999996,0,3
2017-09-23,-4.3159802879999996,1,8
2017-09-24,-4.5301882880000015,0,2
2017-09-25,11.524977152,0,13
2017-09-26,12.747034624000001,1,11
2017-09-27,-10.949182054399998,9,2
2017-09-28,10.8792297472,4,4
2017-09-29,1.5253092352000017,0,6
2017-09-30,-3.3347857408,2,0
2017-10-01,-0.8539735039999998,0,0
2017-10-02,5.901153689599999,1,0
2017-10-03,-2.1808711679999995,2,3
2017-10-04,-1.3486564351999997,2,4
2017-10-05,7.632638464,4,5
2017-10-06,-4.054702079999998,2,0
2017-10-07,17.713215488,3,4
2017-10-08,-5.080326655999999,3,0
2017-10-09,2.4171701248,8,0
2017-10-10,3.0982064127999998,2,1
2017-10-11,-4.309815296,4,0
2017-10-12,21.4263456768,0,0
2017-10-13,2.9773643776000007,2,1
2017-10-14,-5.413704908799998,4,2
2017-10-15,1.6278073344,5,5
2017-10-16,6.441922867199999,6,6
2017-10-17,6.75070208,3,1
2017-10-18,8.421112217600001,0,3
2017-10-19,-1.2637668351999984,6,17
2017-10-20,9.3047204864,3,0
2017-10-21,-10.388224,3,9
2017-10-22,-3.111316992000001,3,0
2017-10-23,1.2043622399999991,7,3
2017-10-24,11.6593744896,0,0
2017-10-25,11.337250201600002,0,0
2017-10-26,6.585029632000001,1,0
2017-10-27,-0.6274612223999974,1,0
2017-10-28,-7.120441344,17,1
2017-10-29,-4.9803116544,0,1
2017-10-30,7.205786419199999,4,1
