,rust-lang/rust,JuliaLang/julia,python/cpython
2010-06-16,1.0,1,24
2010-06-17,-0.30000000000000004,0,25
2010-06-18,-0.10499999999999993,1,12
2010-06-19,-0.05949999999999997,0,3
2010-06-20,-0.0401625,0,7
2010-06-21,-0.029720249999999997,1,16
2010-06-22,-0.023280862499999996,2,25
2010-06-23,-0.018957273750000003,1,11
2010-06-24,14.984123283234375,2,16
2010-06-25,13.486416586767188,1,21
2010-06-26,6.025,0,25
2010-06-27,-4.682499999999999,1,52
2010-06-28,2.361562500000001,0,33
2010-06-29,12.04777125,0,28
2010-06-30,17.044710062500002,1,22
2010-07-01,14.59289711875,0,12
2010-07-02,40.84555160851562,1,29
2010-07-03,-14.55645988402344,1,57
2010-07-04,2.779577521356252,5,36
2010-07-05,3.4995762519421874,1,26
2010-07-06,-7.942602957059375,7,14
2010-07-07,-3.1318348301468735,6,20
2010-07-08,2.9804898796499986,2,19
2010-07-09,-0.7029798829781271,1,34
2010-07-10,-4.65459281064844,0,22
2010-07-11,1.3966801738015615,0,45
2010-07-12,6.462717765151561,0,17
2010-07-13,8.921226545021874,2,12
2010-07-14,-3.6966411900406246,0,30
2010-07-15,14.9959905207375,3,2
2010-07-16,15.873606157426561,2,7
2010-07-17,-7.979769089690626,5,17
2010-07-18,1.0940378263359403,14,19
2010-07-19,7.302360956687501,7,25
2010-07-20,10.702067612428124,7,7
2010-07-21,0.7334911404515623,0,19
2010-07-22,4.415555929442188,0,5
2010-07-23,5.287701750503125,0,49
2010-07-24,-7.1171711463000005,0,17
2010-07-25,-3.518492680385937,3,15
2010-07-26,10.831041175440625,6,16
2010-07-27,-4.512695246834376,3,21
2010-07-28,3.1187469049406253,1,20
2010-07-29,28.45979116290156,2,25
2010-07-30,-11.33599438851719,4,38
2010-07-31,-3.483463896748436,4,54
2010-08-01,-2.9403474212937493,4,133
2010-08-02,-0.8382469212499999,5,109
2010-08-03,0.32441223329687463,10,73
2010-08-04,14.203645168707812,2,44
2010-08-05,3.1853032761734363,1,7
2010-08-06,-0.1519987783968757,1,24
2010-08-07,6.0393282528,0,22
2010-08-08,-3.801698079265625,0,51
2010-08-09,15.436411088017188,7,45
2010-08-10,0.0054201857343745274,2,14
2010-08-11,6.842092760735938,5,14
2010-08-12,1.6884209290343746,8,11
2010-08-13,-1.5169653063656252,0,23
2010-08-14,-3.984589902923437,2,62
2010-08-15,-2.2506887825703124,0,30
2010-08-16,1.4281491859062498,3,35
2010-08-17,0.9901524187359367,5,48
2010-08-18,20.89674635945,6,24
2010-08-19,-3.923886133817189,1,26
2010-08-20,17.72016871208125,3,6
2010-08-21,-7.770322422925002,1,24
2010-08-22,-3.9850744904312485,0,22
2010-08-23,-2.384930158749999,4,18
2010-08-24,11.298082190953124,3,14
2010-08-25,10.788470863754686,0,13
2010-08-26,4.811356954692187,7,6
2010-08-27,7.130233743582813,8,0
2010-08-28,-4.356691195525,13,13
2010-08-29,-4.427675057887499,4,5
2010-08-30,-2.4217086257328115,6,17
2010-08-31,3.2836436412500003,4,8
2010-09-01,-1.8256550479531257,0,39
2010-09-02,-1.8981919502765632,0,11
2010-09-03,2.854400367087499,0,39
2010-09-04,-1.902459314762501,0,26
2010-09-05,-0.8465616855562501,4,31
2010-09-06,-0.42487480219843743,0,29
2010-09-07,3.72128276875,0,40
2010-09-08,13.582778142421875,0,25
2010-09-09,-1.0969172329296883,4,20
2010-09-10,-0.10241250823281156,3,40
2010-09-11,-2.4366568670624993,1,26
2010-09-12,-0.3286521529312496,1,28
2010-09-13,-0.1780771999999997,0,39
2010-09-14,3.9305894675,2,29
2010-09-15,1.8053498266874994,2,19
2010-09-16,13.737181413084375,2,8
2010-09-17,-5.911512636804688,1,16
2010-09-18,-2.273777415728124,8,19
2010-09-19,-1.344239625948437,0,23
2010-09-20,0.08728069698437502,0,20
2010-09-21,11.007106051251561,2,32
2010-09-22,3.753710107939062,0,4
2010-09-23,-0.15424031322656262,1,21
2010-09-24,4.89747637881875,1,13
2010-09-25,-4.025004861725,4,14
2010-09-26,-1.7792238624999992,9,6
2010-09-27,1.8272603762500004,14,16
2010-09-28,3.2302080982343746,19,31
2010-09-29,-1.5016476544203128,16,29
2010-09-30,3.44440931208125,12,3
2010-10-01,-0.34681986292500033,5,16
2010-10-02,-0.6558206370562503,8,20
2010-10-03,-1.1747736433624998,10,15
2010-10-04,0.37219111625,7,12
2010-10-05,1.2458763684531249,7,11
2010-10-06,3.939901590223437,0,51
2010-10-07,0.9756378733203124,0,16
2010-10-08,4.261675092939063,4,14
2010-10-09,6.358826976554687,5,12
2010-10-10,-1.8350774057312496,10,17
