,antvis/g2,recharts/recharts,alibaba/bizcharts
2017-11-10,1.0,1,1
2017-11-11,-0.19999999999999996,0,0
2017-11-12,-0.08000000000000007,0,0
2017-11-13,-0.048000000000000036,0,0
2017-11-14,1.9664,2,0
2017-11-15,1.574464,3,0
2017-11-16,6.4195712,0,0
2017-11-17,0.32707328,3,0
2017-11-18,-1.1375877120000004,0,0
2017-11-19,-0.6267413504000003,0,0
2017-11-20,2.5768704,1,0
2017-11-21,0.07933696000000001,17,8
2017-11-22,0.30329753599999987,7,8
2017-11-23,8.3629412352,13,10
2017-11-24,-2.188306124799999,4,19
2017-11-25,-0.9942688768000003,0,0
2017-11-26,-0.5773611008000004,0,0
2017-11-27,5.60085504,4,6
2017-11-28,-1.5103426559999997,0,4
2017-11-29,-0.7325816832000004,0,1
2017-11-30,-0.4671975424000002,0,0
2017-12-01,6.6564412416000005,6,4
2017-12-02,-1.6654401535999994,2,0
2017-12-03,-0.6825728000000005,0,0
2017-12-04,1.5624396799999998,0,10
2017-12-05,-0.7215262719999996,1,3
2017-12-06,15.5864318976,1,4
2017-12-07,-1.4390015999999992,0,2
2017-12-08,-1.8656870400000012,0,4
2017-12-09,-1.0797859840000004,0,0
2017-12-10,-0.7617430528,0,0
2017-12-11,0.4903705599999998,0,0
2017-12-12,6.393291776,0,8
2017-12-13,0.18337617920000016,2,11
2017-12-14,3.7279431680000004,3,2
2017-12-15,2.2421149696000002,2,2
2017-12-16,-1.5816747008000003,0,0
2017-12-17,-0.8263808000000006,0,1
2017-12-18,-0.5710003200000003,0,12
2017-12-19,10.564187648,1,4
2017-12-20,6.448675225600001,0,12
2017-12-21,3.0375903232,4,10
2017-12-22,9.3874158592,0,33
2017-12-23,-3.8014976000000003,0,0
2017-12-24,-1.8811734016000012,0,1
2017-12-25,4.767859199999999,0,11
2017-12-26,-1.1264691200000003,0,7
2017-12-27,3.580389888,0,10
2017-12-28,6.018641817600001,0,6
2017-12-29,-0.6512710655999996,1,7
2017-12-30,-1.7142846464,0,0
2017-12-31,-1.0097410048000002,0,0
2018-01-01,-0.6144691200000003,0,0
2018-01-02,0.5231150080000002,0,7
2018-01-03,-0.5883398143999998,0,4
2018-01-04,1.6593207296,2,3
2018-01-05,0.3406981120000008,0,4
2018-01-06,-0.5221302271999997,0,1
2018-01-07,-0.2264747008000001,0,13
2018-01-08,-0.13562880000000008,0,2
2018-01-09,0.89840128,11,1
2018-01-10,-0.28078131199999995,0,1
2018-01-11,8.853248409599999,0,0
2018-01-12,1.1062978560000005,0,0
2018-01-13,-1.3929264128000005,0,0
2018-01-14,-0.7100053504000006,0,0
2018-01-15,0.5331711999999997,0,0
2018-01-16,2.4524492799999997,0,0
2018-01-17,6.045145088,0,1
2018-01-18,5.0859037696,5,7
2018-01-19,0.6821304320000001,1,1
2018-01-20,-1.7777232896000001,0,0
2018-01-21,-0.9456448512000004,0,0
2018-01-22,0.36383487999999964,0,7
2018-01-23,4.312278528,0,0
2018-01-24,2.5262708736,0,6
2018-01-25,1.4341045248000002,0,2
2018-01-26,5.5676204032,0,11
2018-01-27,-2.1559845887999995,0,0
2018-01-28,-1.0239168512000005,1,1
2018-01-29,2.3419852799999994,0,16
2018-01-30,1.907455488,6,0
2018-01-31,0.7678468096,1,0
2018-02-01,1.9023206400000001,0,2
2018-02-02,0.7836724224,0,0
2018-02-03,-0.05153003519999988,0,0
2018-02-04,-0.7963798528,0,0
2018-02-05,-0.4399385600000003,0,0
2018-02-06,-0.326608896,0,2
2018-02-07,-0.2603830271999998,0,1
2018-02-08,-0.18335723519999983,0,1
2018-02-09,4.8776159232000005,0,3
2018-02-10,-1.0831101951999995,0,0
2018-02-11,-0.43932641280000023,0,1
2018-02-12,-0.2524693504000001,1,0
2018-02-13,-0.16800000000000007,0,1
2018-02-14,-0.12768000000000007,0,1
2018-02-15,-0.10214400000000005,0,0
2018-02-16,-0.08463360000000004,0,0
2018-02-17,-0.0719385599999997,0,0
2018-02-18,-0.062346751999999825,0,0
2018-02-19,0.0,0,0
2018-02-20,0.0,0,0
2018-02-21,0.0,1,0
2018-02-22,3.0,0,0
2018-02-23,-0.5999999999999999,0,1
2018-02-24,-0.2400000000000002,0,0
2018-02-25,-0.1440000000000001,0,0
2018-02-26,-0.10080000000000003,0,1
2018-02-27,-0.07660800000000004,1,0
2018-02-28,-0.06128640000000003,0,2
2018-03-01,1.94921984,0,1
2018-03-02,2.556836864,0,8
2018-03-03,-0.7974080511999999,0,0
2018-03-04,-0.3360000000000003,0,0
2018-03-05,1.7888,0,0
2018-03-06,0.4481280000000001,0,6
2018-03-07,-0.47746560000000016,0,0
2018-03-08,2.72886016,0,0
2018-03-09,2.205244416,0,4
2018-03-10,-0.9927738367999999,0,1
2018-03-11,-0.48780165120000024,0,0
2018-03-12,1.7009177599999998,1,12
2018-03-13,1.376889856,2,2
2018-03-14,0.26277918720000004,0,2
2018-03-15,4.4194640896,0,3
2018-03-16,-1.3371432959999998,3,1
2018-03-17,-0.6468431872000002,0,0
2018-03-18,-0.40293765120000014,0,0
2018-03-19,-0.2682470400000001,0,1
2018-03-20,-0.210737664,0,1
2018-03-21,-0.17278484479999986,0,0
2018-03-22,0.8760399872000001,0,0
2018-03-23,-0.28440791039999963,0,0
2018-03-24,-0.1423467519999999,0,0
2018-03-25,-0.048000000000000036,0,0
2018-03-26,-0.03360000000000001,0,5
2018-03-27,-0.025536000000000014,0,1
2018-03-28,-0.02042880000000001,0,3
2018-03-29,-0.01692672000000001,0,1
2018-03-30,-0.01438771199999994,1,3
2018-03-31,-0.012469350399999964,0,0
2018-04-01,0.0,0,0
2018-04-02,2.0,0,0
2018-04-03,1.6,0,0
2018-04-04,1.44,0,0
2018-04-05,-0.6560000000000001,0,0
2018-04-06,-0.32320000000000026,0,0
2018-04-07,-0.21427200000000013,0,0
2018-04-08,2.8408704,0,1
2018-04-09,1.27421696,0,1
2018-04-10,-0.7434864640000001,0,7
2018-04-11,0.6084324351999999,0,2
2018-04-12,2.5494858752000003,0,0
2018-04-13,3.1512532992,0,4
2018-04-14,-1.2003584000000003,0,0
2018-04-15,-0.5892377600000005,0,0
2018-04-16,3.604647424,0,1
2018-04-17,-1.0976202751999997,0,0
2018-04-18,2.4747041791999997,0,0
2018-04-19,5.061116928,0,0
2018-04-20,2.3022606336000004,0,0
2018-04-21,-0.6211028992000001,0,0
2018-04-22,1.9596073983999998,0,0
2018-04-23,0.7820851199999996,0,0
2018-04-24,0.9055467519999998,0,4
2018-04-25,-0.06297436160000025,0,0
2018-04-26,2.191225344,0,0
2018-04-27,0.8683219968000002,0,0
2018-04-28,3.9831479296000003,0,4
