,canonical/lxd,moby/moby,containerd/containerd
2015-11-05,11,47.0,2.0
2015-11-06,11,23.6,5.0
2015-11-07,0,2.639999999999999,-1.25
2015-11-08,0,6.503999999999996,-1.875
2015-11-09,2,29.9968,-0.703125
2015-11-10,11,31.547007999999998,2.5859375
2015-11-11,6,23.5283584,-1.783203125
2015-11-12,2,23.911925759999995,-0.5849609375
2015-11-13,0,21.994917376,5.64862060546875
2015-11-14,0,6.499463475199999,-3.249786376953125
2015-11-15,0,-2.478216499200002,-0.923675537109375
2015-11-16,6,2.9869754367999963,-0.458343505859375
2015-11-17,23,30.9322363904,-0.28271484375
2015-11-18,20,16.1688558592,-0.203338623046875
2015-11-19,7,17.6997203968,-0.1557769775390625
2015-11-20,2,21.6142701568,-0.0966796875
2015-11-21,0,-4.243037081599999,-0.07855224609375
2015-11-22,0,-5.5739610112000015,-0.065460205078125
2015-11-23,7,23.4300607488,0.0
2015-11-24,24,21.6182480896,0.0
2015-11-25,15,27.8995355648,0.0
2015-11-26,8,3.440098304000001,0.0
2015-11-27,8,-9.062966784,0.0
2015-11-28,0,-1.7423821824,0.0
2015-11-29,0,-4.4460272640000005,0.0
2015-11-30,0,26.333992447999997,2.0
2015-12-01,10,15.312836198400003,4.0
2015-12-02,2,47.653653504000005,0.25
2015-12-03,0,19.758653747200004,3.75
2015-12-04,14,24.160713727999998,6.234375
2015-12-05,1,-8.346766131200003,-6.1875
2015-12-06,0,-2.5027319808000055,-1.919921875
2015-12-07,17,20.428020735999997,9.923828125
2015-12-08,11,17.2595204096,5.77703857421875
2015-12-09,16,64.17325056,-0.9071044921875
2015-12-10,8,2.2765988864000057,2.9169158935546875
2015-12-11,16,3.624593715199998,1.1728973388671875
2015-12-12,0,-5.295314022400001,-6.528411865234375
2015-12-13,0,1.3818799103999986,-2.498748779296875
2015-12-14,13,28.546910003199997,5.53369140625
2015-12-15,5,33.8960576512,6.460479736328125
2015-12-16,24,33.1908963328,2.8317718505859375
2015-12-17,7,8.040251596800005,6.655853271484375
2015-12-18,13,7.449455001599999,1.4659576416015625
2015-12-19,12,-0.19230197760000145,-6.6990203857421875
2015-12-20,1,3.528608358399996,-4.1722412109375
2015-12-21,13,17.478886707199997,-2.09619140625
2015-12-22,0,37.358572544,0.588531494140625
2015-12-23,2,16.259718553600003,-2.0475311279296875
2015-12-24,2,-4.399348326399998,-1.0067901611328125
2015-12-25,0,-7.6721801216,0.364349365234375
2015-12-26,1,-5.1221638144,-0.9071044921875
2015-12-27,1,0.6608975871999991,-0.3258819580078125
2015-12-28,0,21.9134984192,-0.125335693359375
2015-12-29,0,33.0270537728,-0.0712890625
2015-12-30,0,20.634571673600004,-0.05352783203125
2015-12-31,8,-5.590596403199999,-0.042327880859375
2016-01-01,0,2.393541427199998,-0.01611328125
2016-01-02,0,-4.458075648000001,-0.013092041015625
2016-01-03,5,4.653115187199997,-0.0109100341796875
2016-01-04,5,26.1200285696,2.0
2016-01-05,0,38.664674816,3.0
2016-01-06,6,20.549757337600003,-1.25
2016-01-07,15,20.0097150976,-1.125
2016-01-08,19,34.1022486528,-0.453125
2016-01-09,4,5.146708787199998,-0.2734375
2016-01-10,5,1.7871697919999967,-0.189453125
2016-01-11,1,9.240101171199996,0.8583984375
2016-01-12,5,35.177242214399996,1.38885498046875
2016-01-13,13,31.150897561600004,-1.215301513671875
2016-01-14,13,47.2360183808,-0.369232177734375
2016-01-15,7,8.789434368000002,-0.1749725341796875
2016-01-16,0,-6.5057079296,1.89453125
2016-01-17,3,-9.131391283200003,-1.0751953125
2016-01-18,2,12.879407411199997,-0.30712890625
2016-01-19,13,29.116982784,-0.170318603515625
2016-01-20,0,34.1801344,0.8847808837890625
2016-01-21,2,31.906961817600003,4.423492431640625
2016-01-22,8,17.435086131200002,7.333984375
2016-01-23,0,6.225336832,-4.7197265625
2016-01-24,2,16.534696345599997,-1.12774658203125
2016-01-25,9,20.2273616896,4.505523681640625
2016-01-26,25,58.2548615168,-1.7353515625
