,gitlabhq/gitlabhq,gogs/gogs,gitbucket/gitbucket
2014-02-12,19.0,5,0
2014-02-13,15.200000000000001,1,0
2014-02-14,14.68,2,0
2014-02-15,6.567999999999999,1,0
2014-02-16,0.24959999999999738,0,0
2014-02-17,7.676415999999998,4,0
2014-02-18,34.9506688,2,2
2014-02-19,4.09472512,4,1
2014-02-20,7.686881791999998,5,0
2014-02-21,10.009191014399999,0,4
2014-02-22,-5.1177240576,0,1
2014-02-23,-1.1165731840000008,0,5
2014-02-24,18.9066595328,0,3
2014-02-25,19.691654553600003,6,0
2014-02-26,14.701649715200002,0,9
2014-02-27,10.371856384,0,1
2014-02-28,10.125844992,0,8
2014-03-01,-5.637511782400001,0,15
2014-03-02,-2.3810527232000016,8,8
2014-03-03,15.927284940799998,9,4
2014-03-04,1.1387725824000015,1,14
2014-03-05,5.5799354368,0,9
2014-03-06,11.613932851200001,12,14
2014-03-07,-2.3825207295999995,5,2
2014-03-08,0.8976599039999993,0,11
2014-03-09,-0.4493249536000006,1,2
2014-03-10,18.3733680128,5,3
2014-03-11,11.066195148800002,18,3
2014-03-12,9.607883776,4,5
2014-03-13,16.5760309248,27,6
2014-03-14,24.970187161600002,17,7
2014-03-15,-5.730905804800001,36,8
2014-03-16,-3.3173129216000037,31,0
2014-03-17,28.426363392,37,0
2014-03-18,-1.7302930431999997,10,4
2014-03-19,17.3581746176,43,1
2014-03-20,15.241872691200001,44,2
2014-03-21,7.5194392576,24,0
2014-03-22,-1.4909975551999999,18,0
2014-03-23,-2.131045683200001,49,0
2014-03-24,33.577213952,32,5
2014-03-25,33.4220284928,52,0
2014-03-26,15.875565260800002,35,0
2014-03-27,11.144257228799997,20,1
2014-03-28,-0.7662693376000007,14,1
2014-03-29,-6.752825753600002,19,2
2014-03-30,-4.720278220800003,22,2
2014-03-31,16.852601139199997,10,3
2014-04-01,20.687285862400003,8,1
2014-04-02,28.218916556800004,12,5
2014-04-03,10.456087142400001,4,0
2014-04-04,7.33842688,11,1
2014-04-05,-4.252867481600001,8,0
2014-04-06,7.852322201599997,16,0
2014-04-07,35.2260380672,9,3
2014-04-08,19.4830181376,5,4
2014-04-09,14.1625619456,8,3
2014-04-10,2.7730121728000015,21,5
2014-04-11,8.3237183488,22,4
2014-04-12,-6.1601226752,25,0
2014-04-13,6.124277452799998,12,0
2014-04-14,21.67410944,16,0
2014-04-15,7.436072550400002,16,1
2014-04-16,-1.5240209407999998,11,0
2014-04-17,5.007085363200001,2,6
2014-04-18,4.2583124992000005,6,3
2014-04-19,-4.244152831999999,4,0
2014-04-20,-2.240050483200001,4,0
2014-04-21,1.6603496448000001,8,2
2014-04-22,15.471860019200001,14,1
2014-04-23,20.806103244800003,26,2
2014-04-24,9.4056891392,4,2
2014-04-25,4.060817715199999,3,2
2014-04-26,-3.8333394944000005,9,4
2014-04-27,0.3330288639999983,11,5
2014-04-28,9.814581657599998,0,8
2014-04-29,7.2744380416,3,13
2014-04-30,3.9236634624000004,6,4
2014-05-01,3.319528140800001,23,1
2014-05-02,11.769210265600002,9,2
2014-05-03,-1.4929804287999993,4,1
2014-05-04,-3.5720515584000014,0,2
2014-05-05,17.8656934912,13,7
2014-05-06,10.4422145024,6,2
2014-05-07,9.0064990208,11,5
2014-05-08,31.9164598272,8,0
2014-05-09,-6.819868569599999,9,0
2014-05-10,-5.005985075200003,1,15
2014-05-11,-0.9222124544000012,21,2
2014-05-12,9.752887398399999,11,2
2014-05-13,23.14221824,8,1
2014-05-14,11.570470400000001,10,0
2014-05-15,6.8694081535999985,8,0
2014-05-16,2.720683008000001,9,2
2014-05-17,-5.042367283200001,0,0
2014-05-18,0.5123723263999977,3,11
2014-05-19,14.7775937536,5,0
2014-05-20,8.2059875328,0,1
2014-05-21,-1.9308838911999988,2,0
2014-05-22,24.9609791488,1,0
2014-05-23,21.846157312000003,0,0
2014-05-24,0.12839270399999947,6,0
2014-05-25,-6.858410496000003,0,1
2014-05-26,30.022751641599996,9,0
2014-05-27,16.3439105024,0,0
2014-05-28,18.8919016448,4,1
2014-05-29,26.896779366399997,1,0
2014-05-30,0.5103893504000006,5,1
2014-05-31,-3.9363337216000005,1,5
2014-06-01,-5.994872832000002,5,5
2014-06-02,13.399305215999998,1,6
2014-06-03,45.069519872,4,0
2014-06-04,14.487688294400002,1,1
2014-06-05,13.318518681599999,1,4
2014-06-06,9.085772902399999,3,3
2014-06-07,-0.6761004032000013,1,3
2014-06-08,-4.875814297600002,4,0
2014-06-09,-1.4783263744000017,0,4
2014-06-10,36.3663911936,1,2
2014-06-11,15.469110988800004,2,0
