,highcharts/highcharts,d3/d3,plotly/plotly.js
2012-06-19,4,4,3.0
2012-06-20,1,1,0.6999999999999997
2012-06-21,2,0,-0.23500000000000018
2012-06-22,3,2,-0.1305000000000001
2012-06-23,0,0,-0.09048749999999979
2012-06-24,0,7,-0.06901274999999976
2012-06-25,2,1,-0.055602787499999834
2012-06-26,3,0,-0.04644310124999986
2012-06-27,1,0,-0.03979863529687489
2012-06-28,2,3,-0.03476487062343741
2012-06-29,2,2,-0.008398852535937478
2012-06-30,0,1,0.0
2012-07-01,0,0,0.0
2012-07-02,3,5,2.0
2012-07-03,1,5,0.7999999999999998
2012-07-04,3,2,-0.19000000000000017
2012-07-05,3,1,0.8979999999999999
2012-07-06,0,0,-0.16982499999999995
2012-07-07,0,0,-0.09789599999999984
2012-07-08,0,0,3.929059225
2012-07-09,1,0,0.5439880949999998
2012-07-10,0,1,0.67365292771875
2012-07-11,0,0,-0.2985280305875001
2012-07-12,0,0,-0.1756425487859372
2012-07-13,1,1,-0.12319781301562471
2012-07-14,0,0,-0.09782615253593718
2012-07-15,0,0,0.9263464525000003
2012-07-16,1,0,-0.1625289608124999
2012-07-17,3,3,1.900742580590625
2012-07-18,0,0,1.7535328344484373
2012-07-19,0,2,1.6809386474640624
2012-07-20,0,0,-0.3631167500000002
2012-07-21,0,1,0.7985129875000001
2012-07-22,0,0,-0.24165219624999984
2012-07-23,0,2,-0.15445083801562468
2012-07-24,0,4,-0.11764377003593726
2012-07-25,0,11,-0.08831054353124973
2012-07-26,0,2,-0.07423847360312479
2012-07-27,0,0,-0.04909634360312487
2012-07-28,0,0,-0.027891401321874926
2012-07-29,0,0,-0.009568313015624975
2012-07-30,5,0,0.9916011474640625
2012-07-31,6,30,-0.10000000000000009
2012-08-01,1,5,0.955
2012-08-02,3,0,-0.12850000000000011
2012-08-03,2,2,-0.06566249999999996
2012-08-04,0,2,-0.04461674999999997
2012-08-05,0,10,-0.03382451249999988
2012-08-06,2,0,0.9727895537500001
2012-08-07,1,2,-0.12273032551562502
2012-08-08,3,0,-0.06449254878593748
2012-08-09,12,12,0.961931686984375
2012-08-10,6,2,-0.12906135253593748
2012-08-11,0,0,-0.061116749999999984
2012-08-12,0,7,-0.041662012499999984
2012-08-13,3,5,-0.03175619624999989
2012-08-14,0,0,-0.025685063015624923
2012-08-15,3,5,-0.02156086503593744
2012-08-16,1,3,2.98890630375
2012-08-17,2,0,4.6904316869843745
2012-08-18,0,0,-0.643398852535938
2012-08-19,0,0,0.6894999999999998
2012-08-20,4,2,1.6955125
2012-08-21,2,1,1.6033372500000003
2012-08-22,1,0,0.5614302125000001
2012-08-23,4,0,-0.3667536512499998
2012-08-24,6,0,-0.24361517029687463
2012-08-25,0,0,2.811741364814063
2012-08-26,0,0,-0.4323079839296874
2012-08-27,8,0,-0.20919648051562487
2012-08-28,6,0,1.8516151164328125
2012-08-29,6,0,3.6909844726468752
2012-08-30,11,0,1.4352837319124998
2012-08-31,4,1,-0.4848848900359377
2012-09-01,0,0,2.72139391125
2012-09-02,0,0,1.499411560953125
2012-09-03,2,0,0.5076874173921877
2012-09-04,5,8,1.6174310575000002
