,pytorch/pytorch,chainer/chainer,torch/torch7
2016-09-25,7,7.0,0
2016-09-26,8,18.9,3
2016-09-27,16,6.965,1
2016-09-28,5,1.1785000000000005,0
2016-09-29,13,5.599362500000002,0
2016-09-30,18,1.9755457500000002,2
2016-10-01,5,-2.3803662874999993,1
2016-10-02,5,-3.7534825287499993,1
2016-10-03,11,15.694278658890624,2
2016-10-04,3,4.893133572792186,0
2016-10-05,9,-2.7635228901078133,0
2016-10-06,2,-0.3321191806343746,0
2016-10-07,34,2.438263032215625,1
2016-10-08,2,5.191782399064062,0
2016-10-09,2,3.339354018840625,0
2016-10-10,3,1.3571174828015629,0
2016-10-11,5,4.8582523632187495,0
2016-10-12,3,3.0502414156218745,2
2016-10-13,10,-3.73280434585625,4
2016-10-14,16,8.40465107500625,0
2016-10-15,2,5.072759682725,0
2016-10-16,4,-5.3190165452875,0
2016-10-17,17,18.445039641779687,2
2016-10-18,5,18.07270227979375,0
2016-10-19,9,-4.132877732787499,0
2016-10-20,0,5.098986285529689,0
2016-10-21,0,0.7087048411218753,0
2016-10-22,3,-6.122650285154688,0
2016-10-23,1,-2.4049468257171873,0
2016-10-24,24,16.394768943921875,2
2016-10-25,7,15.527790792921873,0
2016-10-26,10,-6.302379580045313,4
2016-10-27,8,19.3362975535875,3
2016-10-28,4,-7.518570433817189,0
2016-10-29,5,-4.5647178054187485,0
2016-10-30,1,4.4833232828875005,0
2016-10-31,6,9.282031744484375,0
2016-11-01,13,-5.807375528029689,0
2016-11-02,12,-3.656423244532813,4
2016-11-03,10,6.7912799473328125,0
2016-11-04,0,10.909058744178123,0
2016-11-05,4,-1.493665654867188,0
2016-11-06,1,4.825562528535938,0
2016-11-07,13,41.09175765764219,0
2016-11-08,79,-14.262318364331254,0
2016-11-09,5,19.972311485475004,0
2016-11-10,9,14.909524435517188,0
2016-11-11,29,-7.7126111196406235,3
2016-11-12,0,-7.353672101829686,0
2016-11-13,4,15.795002078929688,1
2016-11-14,3,17.221761915445313,0
2016-11-15,25,-2.9269992753140635,3
2016-11-16,13,10.899995879009376,0
2016-11-17,6,5.362997504612499,0
2016-11-18,8,-3.1359607649578134,0
2016-11-19,4,-2.1439395941296873,0
2016-11-20,0,-3.411515732412499,0
2016-11-21,10,11.129845518439062,2
2016-11-22,9,4.86672548193906,0
2016-11-23,7,-3.980012849942188,0
2016-11-24,9,11.798922864859374,0
2016-11-25,1,7.734321038343749,0
2016-11-26,9,-6.756073472834375,0
2016-11-27,0,7.134274538542189,0
2016-11-28,8,9.307339294054687,2
2016-11-29,39,2.644891049549999,0
2016-11-30,3,-2.5391036709296877,0
2016-12-01,26,21.522831823409376,0
2016-12-02,5,4.653222073301562,0
2016-12-03,1,1.9540391255406249,0
2016-12-04,0,4.342776635992188,0
2016-12-05,20,34.48399897109531,0
2016-12-06,8,0.4400715154546866,0
2016-12-07,2,-4.155241136148435,0
2016-12-08,3,3.465684195609377,0
2016-12-09,4,5.4974551174125,0
2016-12-10,0,-3.9462328567875,0
2016-12-11,4,-2.0942228429140615,0
2016-12-12,5,25.19036969325156,0
2016-12-13,17,1.025238383299996,2
2016-12-14,24,-3.176332080793749,2
2016-12-15,39,9.829397630917189,1
2016-12-16,17,36.791749947949995,0
2016-12-17,7,-15.5239048122625,0
2016-12-18,2,3.051855410912504,0
2016-12-19,17,-3.0112148582265625,0
2016-12-20,30,2.0263986103499994,2
2016-12-21,19,-6.097373407437501,0
2016-12-22,26,10.738472134879688,1
2016-12-23,7,-0.4389022413968764,0
2016-12-24,4,-2.9656921511781267,0
2016-12-25,4,-3.2687033527578127,0
2016-12-26,4,3.3878810203625,1
2016-12-27,24,26.343482180610938,0
2016-12-28,17,-5.004509375289064,3
2016-12-29,36,-4.415694813362498,2
2016-12-30,23,-2.133891902218749,4
2016-12-31,34,-1.3391563833531253,1
2017-01-01,10,-1.756857975428125,8
2017-01-02,8,-1.150361957715625,1
2017-01-03,27,1.1250684149218748,2
2017-01-04,72,1.6837081663828108,0
2017-01-05,35,13.34473904617031,3
2017-01-06,6,18.93996808082031,1
2017-01-07,1,-5.082242403748438,0
2017-01-08,0,2.1781118700015645,0
2017-01-09,9,-2.699743388232812,0
2017-01-10,9,13.909539115000001,3
2017-01-11,8,2.96172580771875,2
2017-01-12,8,10.7780847169875,0
2017-01-13,22,1.7231342388171882,2
2017-01-14,4,-3.9457905333671874,0
2017-01-15,2,6.562859324100001,0
2017-01-16,16,23.210875119709375,0
2017-01-17,22,-3.6222888549109378,2
2017-01-18,29,3.600391588518751,0
2017-01-19,16,21.658784278635938,0
2017-01-20,17,-3.487788892343751,0
2017-01-21,4,0.7146662486359396,0
2017-01-22,9,-5.117188806374999,0
2017-01-23,11,26.476462787129687,0
2017-01-24,25,12.713560240735935,1
2017-01-25,20,14.09244750837344,0
2017-01-26,13,0.04009285846562527,0
2017-01-27,20,1.1830364419859372,0
2017-01-28,17,-7.355876873392187,0
2017-01-29,11,1.4548437950140638,1
2017-01-30,8,25.287577048623437,2
2017-01-31,54,28.326106322549997,0
2017-02-01,23,-8.064250195607812,2
2017-02-02,16,4.196893134007814,1
2017-02-03,7,17.69434554799531,0
2017-02-04,4,-8.719559221446877,1
2017-02-05,0,-5.001817296074998,0
2017-02-06,9,55.328865307425,1
2017-02-07,19,12.919827288885934,0
2017-02-08,12,-11.72729637260781,2
2017-02-09,20,-2.625499116451559,6
2017-02-10,15,1.8172338886875004,3
2017-02-11,5,-2.752550974179689,0
2017-02-12,2,-6.7887323380968745,0
2017-02-13,9,30.029504397289063,0
2017-02-14,32,-4.125251193651566,0
2017-02-15,14,-3.5833569964984378,0
2017-02-16,35,55.324540351476564,0
2017-02-17,25,-14.325797943003131,0
2017-02-18,5,-8.585089246017183,0
2017-02-19,0,-4.469021921154685,0
2017-02-20,9,33.23941070060312,0
2017-02-21,26,2.3500991037187475,0
2017-02-22,18,-3.6170122320562488,1
2017-02-23,63,28.893240460826565,54
2017-02-24,8,-13.75277493011719,2
2017-02-25,8,4.2026665029390635,0
2017-02-26,14,6.112531101339063,0
2017-02-27,15,22.522154175003124,0
2017-02-28,34,-2.8029768673093756,5
2017-03-01,19,3.2714855096375004,0
2017-03-02,27,8.075669387167189,2
2017-03-03,25,11.205988276309373,5
2017-03-04,9,-11.309374333145312,7
2017-03-05,10,-2.2703312476531234,0
2017-03-06,14,27.552334282737498,0
2017-03-07,21,-6.457183978743753,0
2017-03-08,16,22.799425834110938,0
2017-03-09,16,4.178525870235937,0
2017-03-10,16,27.174047944207814,0
2017-03-11,7,-11.796194664535939,0
2017-03-12,5,9.02819240086094,0
2017-03-13,21,50.44568191470313,0
2017-03-14,18,-15.879893943698441,0
2017-03-15,25,-7.700604399043746,0
2017-03-16,15,7.394225338884375,0
2017-03-17,17,18.699935702999998,0
2017-03-18,1,0.8401895941984368,0
2017-03-19,3,-6.292491326674998,0
2017-03-20,8,7.711960183304688,0
2017-03-21,7,31.961219836606247,0
2017-03-22,28,8.940293139923433,2
2017-03-23,26,3.1893714678093765,1
2017-03-24,34,18.45854283933594,2
2017-03-25,4,-13.907989066678125,0
2017-03-26,4,8.735175708514065,2
2017-03-27,19,28.82783924892969,0
2017-03-28,19,11.927379533601563,0
2017-03-29,27,-6.574793978382814,0
2017-03-30,12,10.85964475654844,0
2017-03-31,20,12.279731392915624,2
2017-04-01,4,-6.899171117925,0
2017-04-02,3,-4.9805787849984355,2
2017-04-03,18,16.68517279976875,1
2017-04-04,15,15.972912457432809,1
