,php/php-src,python/cpython,ruby/ruby
2016-01-05,20,1,7
2016-01-06,22,15,2
2016-01-07,24,13,12
2016-01-08,9,8,14
2016-01-09,5,8,16
2016-01-10,2,5,8
2016-01-11,31,32,4
2016-01-12,29,9,17
2016-01-13,9,2,9
2016-01-14,20,11,8
2016-01-15,24,14,11
2016-01-16,0,27,9
2016-01-17,9,5,13
2016-01-18,31,14,8
2016-01-19,13,15,17
2016-01-20,15,16,5
2016-01-21,16,16,7
2016-01-22,7,23,15
2016-01-23,2,4,13
2016-01-24,9,3,8
2016-01-25,14,3,8
2016-01-26,10,6,8
2016-01-27,5,6,12
2016-01-28,15,22,2
2016-01-29,80,4,14
2016-01-30,10,15,3
2016-01-31,9,5,7
2016-02-01,14,6,9
2016-02-02,44,8,12
2016-02-03,16,4,4
2016-02-04,23,8,13
2016-02-05,13,2,6
2016-02-06,2,5,12
2016-02-07,4,5,12
2016-02-08,10,19,10
2016-02-09,11,3,17
2016-02-10,8,14,8
2016-02-11,12,9,2
2016-02-12,3,0,5
2016-02-13,13,5,6
2016-02-14,16,3,5
2016-02-15,59,5,14
2016-02-16,13,2,7
2016-02-17,9,0,16
2016-02-18,46,9,5
2016-02-19,2,8,9
2016-02-20,2,4,5
2016-02-21,2,11,5
2016-02-22,22,10,11
2016-02-23,6,3,6
2016-02-24,32,14,7
2016-02-25,2,9,9
2016-02-26,5,13,8
2016-02-27,2,4,7
2016-02-28,9,7,9
2016-02-29,36,1,8
2016-03-01,26,13,5
2016-03-02,39,22,5
2016-03-03,21,0,7
2016-03-04,3,6,12
2016-03-05,0,1,3
2016-03-06,2,15,5
2016-03-07,5,8,14
2016-03-08,3,22,12
2016-03-09,21,4,20
2016-03-10,28,1,9
2016-03-11,18,10,7
2016-03-12,0,9,3
2016-03-13,8,8,5
2016-03-14,7,21,10
2016-03-15,20,15,16
2016-03-16,14,9,15
2016-03-17,62,13,30
2016-03-18,16,17,20
2016-03-19,0,13,12
2016-03-20,15,10,8
2016-03-21,28,10,15
2016-03-22,9,28,8
2016-03-23,7,36,8
2016-03-24,5,19,17
2016-03-25,13,26,8
2016-03-26,9,4,6
2016-03-27,5,14,7
2016-03-28,4,3,11
2016-03-29,40,11,13
2016-03-30,24,13,8
2016-03-31,13,11,17
2016-04-01,6,10,4
2016-04-02,0,4,5
2016-04-03,13,8,1
2016-04-04,24,1,10
2016-04-05,19,8,6
2016-04-06,31,9,9
2016-04-07,18,0,9
2016-04-08,26,10,5
2016-04-09,13,14,6
2016-04-10,6,12,8
2016-04-11,13,19,12
2016-04-12,22,12,5
2016-04-13,3,10,14
2016-04-14,16,12,16
2016-04-15,10,24,22
2016-04-16,23,21,6
2016-04-17,0,9,2
2016-04-18,23,12,13
2016-04-19,7,23,6
2016-04-20,19,8,6
2016-04-21,14,1,10
2016-04-22,1,2,17
2016-04-23,8,15,19
2016-04-24,7,24,15
2016-04-25,6,13,9
2016-04-26,7,13,13
2016-04-27,27,3,13
2016-04-28,27,6,7
2016-04-29,50,11,8
2016-04-30,7,2,40
2016-05-01,17,14,19
2016-05-02,17,8,13
2016-05-03,14,2,7
2016-05-04,15,12,11
2016-05-05,17,4,11
2016-05-06,21,4,10
2016-05-07,7,15,6
2016-05-08,6,15,15
2016-05-09,8,2,10
2016-05-10,16,6,4
2016-05-11,14,9,12
2016-05-12,24,6,10
2016-05-13,12,19,6
2016-05-14,14,3,5
2016-05-15,4,16,7
2016-05-16,22,38,9
2016-05-17,15,22,19
2016-05-18,6,16,27
2016-05-19,2,7,11
2016-05-20,0,18,14
2016-05-21,3,6,16
2016-05-22,0,12,13
2016-05-23,3,2,16
2016-05-24,11,6,16
2016-05-25,23,4,14
2016-05-26,3,11,11
2016-05-27,3,12,6
2016-05-28,9,20,13
2016-05-29,2,10,9
2016-05-30,18,8,18
2016-05-31,18,0,9
2016-06-01,15,12,19
2016-06-02,28,32,12
2016-06-03,7,36,5
2016-06-04,8,54,7
2016-06-05,12,21,13
2016-06-06,23,11,9
2016-06-07,30,10,19
2016-06-08,14,31,15
2016-06-09,19,15,12
2016-06-10,1,17,9
2016-06-11,3,34,10
2016-06-12,9,57,7
2016-06-13,18,21,7
2016-06-14,21,52,13
2016-06-15,21,15,6
2016-06-16,20,4,3
2016-06-17,17,8,4
2016-06-18,1,20,11
2016-06-19,25,4,12
2016-06-20,33,11,13
2016-06-21,58,2,10
2016-06-22,27,14,3
2016-06-23,14,4,3
2016-06-24,7,19,10
2016-06-25,7,17,3
2016-06-26,25,6,6
2016-06-27,22,20,6
2016-06-28,25,6,15
2016-06-29,9,1,8
2016-06-30,9,8,10
2016-07-01,6,7,11
2016-07-02,0,0,4
2016-07-03,17,8,2
2016-07-04,12,0,4
2016-07-05,57,2,8
2016-07-06,34,14,20
2016-07-07,9,9,8
2016-07-08,33,7,4
2016-07-09,3,1,6
2016-07-10,7,22,8
2016-07-11,43,11,8
2016-07-12,54,5,7
2016-07-13,30,0,23
2016-07-14,43,13,16
2016-07-15,4,15,11
2016-07-16,10,11,1
2016-07-17,36,12,4
2016-07-18,13,12,2
2016-07-19,68,9,2
2016-07-20,38,0,11
2016-07-21,26,0,5
2016-07-22,38,8,11
2016-07-23,44,12,4
2016-07-24,20,2,5
2016-07-25,38,15,3
2016-07-26,13,7,17
2016-07-27,45,4,1
2016-07-28,51,12,7
2016-07-29,23,10,3
2016-07-30,27,9,4
2016-07-31,5,8,3
2016-08-01,5,0,8
2016-08-02,36,4,7
2016-08-03,65,11,10
2016-08-04,24,12,2
2016-08-05,18,9,8
2016-08-06,15,9,3
2016-08-07,28,3,7
2016-08-08,15,12,6
2016-08-09,28,16,12
2016-08-10,15,17,7
2016-08-11,34,2,8
2016-08-12,15,13,8
2016-08-13,16,6,8
2016-08-14,24,18,5
2016-08-15,11,16,5
2016-08-16,47,33,9
2016-08-17,87,26,7
2016-08-18,46,6,4
2016-08-19,25,42,7
2016-08-20,15,18,6
2016-08-21,28,19,3
2016-08-22,7,22,7
2016-08-23,16,24,4
2016-08-24,4,24,11
2016-08-25,26,6,2
2016-08-26,12,8,10
2016-08-27,5,9,1
2016-08-28,12,0,2
2016-08-29,71,10,7
2016-08-30,39,16,12
2016-08-31,38,19,6
2016-09-01,27,7,8
2016-09-02,38,16,1
2016-09-03,19,13,4
2016-09-04,10,8,6
2016-09-05,63,52,4
2016-09-06,23,73,5
2016-09-07,3,82,19
2016-09-08,20,105,12
2016-09-09,33,112,11
2016-09-10,15,83,2
2016-09-11,31,72,7
2016-09-12,21,54,8
2016-09-13,79,48,13
2016-09-14,31,29,5
2016-09-15,16,44,3
2016-09-16,19,18,8
2016-09-17,5,32,4
2016-09-18,3,24,5
2016-09-19,19,28,4
2016-09-20,7,14,6
2016-09-21,14,23,6
2016-09-22,28,18,5
2016-09-23,45,19,16
2016-09-24,24,13,10
2016-09-25,12,6,7
2016-09-26,34,27,11
2016-09-27,7,21,15
2016-09-28,37,30,8
2016-09-29,15,16,10
2016-09-30,32,33,7
2016-10-01,10,13,11
2016-10-02,6,39,1
2016-10-03,10,10,10
2016-10-04,7,26,8
2016-10-05,27,20,9
2016-10-06,11,21,15
2016-10-07,17,18,3
2016-10-08,16,31,4
2016-10-09,4,29,5
