,ant-design/ant-design,mui/material-ui,twbs/bootstrap
2019-05-07,20.0,4,1
2019-05-08,4.999999999999998,12,9
2019-05-09,10.399999999999999,4,5
2019-05-10,4.914999999999998,5,2
2019-05-11,0.14725000000000055,2,0
2019-05-12,2.676027500000001,5,0
2019-05-13,9.686492500000002,2,0
2019-05-14,4.0109534875,3,8
2019-05-15,2.209891465937501,8,0
2019-05-16,14.441402815671875,4,8
2019-05-17,6.479653877310938,1,0
2019-05-18,-2.277859114040625,4,1
2019-05-19,-1.3074360162828118,8,0
2019-05-20,11.092359309115627,8,1
2019-05-21,11.098112419184377,4,0
2019-05-22,9.610185009010937,6,0
2019-05-23,-1.5116236197781259,15,1
2019-05-24,4.45501831535625,18,2
2019-05-25,3.330490042284376,15,0
2019-05-26,14.510498427176564,12,1
2019-05-27,16.4857059825,7,1
2019-05-28,1.6804262925624993,6,2
2019-05-29,4.6175263328656255,7,3
2019-05-30,4.808245639595313,10,2
2019-05-31,0.9493177165531268,11,0
2019-06-01,14.444099838120314,7,0
2019-06-02,3.314466692206251,10,0
2019-06-03,6.865367687820314,14,3
2019-06-04,9.735413093378126,9,5
2019-06-05,17.467840025489064,11,1
2019-06-06,-0.4044573650390628,3,4
2019-06-07,8.805693552389062,8,1
2019-06-08,0.4580311282015632,10,0
2019-06-09,-1.85046085585781,12,0
2019-06-10,8.717598565081252,8,0
2019-06-11,10.105989712643751,11,0
2019-06-12,7.658958858489063,9,0
2019-06-13,0.6564340330062501,15,1
2019-06-14,9.343176313984376,8,0
2019-06-15,3.907153410470313,2,0
2019-06-16,8.166761558057814,10,0
2019-06-17,4.899267329892188,6,1
2019-06-18,0.0429346398437509,6,3
2019-06-19,5.5495094684531265,11,1
2019-06-20,6.332641913162501,1,0
2019-06-21,17.208498801843753,8,0
2019-06-22,3.057727446720312,6,2
2019-06-23,0.7872606940109375,5,0
2019-06-24,7.360326605878126,10,2
2019-06-25,2.0071903035312513,7,2
2019-06-26,16.41842618246719,3,3
2019-06-27,15.18220829631875,5,0
2019-06-28,17.616596474373438,10,0
2019-06-29,-1.0057377325843762,7,0
2019-06-30,6.436880722473439,4,0
2019-07-01,4.472884129487502,0,0
2019-07-02,5.692883615251565,4,2
2019-07-03,6.677595067614065,5,0
2019-07-04,3.6242734105750016,4,0
2019-07-05,-0.11855088867812347,7,0
2019-07-06,3.491529629775002,4,0
2019-07-07,4.527045303948439,3,0
2019-07-08,5.554710901501563,6,1
2019-07-09,7.399698953567188,14,2
2019-07-10,3.1643001868734375,18,2
2019-07-11,15.444749410071875,2,0
2019-07-12,-0.6438350059171878,8,4
2019-07-13,4.389749952503125,3,1
2019-07-14,-1.6461987851499995,7,5
2019-07-15,21.945635622976564,14,4
2019-07-16,15.930665614925,3,1
2019-07-17,28.484662021357813,4,23
2019-07-18,-0.14554859915156548,7,1
2019-07-19,16.73744744855469,15,6
2019-07-20,3.8712479533578126,9,2
2019-07-21,-1.186852120665622,2,1
2019-07-22,16.69532513353438,13,33
2019-07-23,13.436130421890628,11,25
2019-07-24,13.104585101876564,14,8
2019-07-25,3.0387680540671878,6,16
2019-07-26,-3.018095871228123,5,3
2019-07-27,-1.8054148679921846,7,1
2019-07-28,-1.3415364348437466,11,3
2019-07-29,5.060515862431253,4,9
2019-07-30,26.67624004888125,7,2
2019-07-31,15.327033556801561,11,2
2019-08-01,4.285902311873436,3,5
2019-08-02,13.213266315779688,4,4
2019-08-03,-1.235542467751562,3,3
2019-08-04,8.929171425000003,12,7
2019-08-05,12.447383222500001,9,1
2019-08-06,20.870354389406252,4,1
2019-08-07,8.677924791596876,2,2
2019-08-08,9.216671411696876,3,5
2019-08-09,18.50383038269219,8,1
2019-08-10,-2.2804046085374985,4,0
2019-08-11,-1.6888936128562477,2,0
2019-08-12,16.10052685800625,0,2
2019-08-13,2.760640304370315,6,1
2019-08-14,15.49465998583594,4,2
2019-08-15,7.604361143684375,2,0
2019-08-16,34.02699975532969,4,5
2019-08-17,13.52288612568906,7,4
2019-08-18,-2.7990468030718745,0,9
2019-08-19,6.068086374412501,1,1
2019-08-20,1.0425963606828161,6,0
2019-08-21,1.5960348562593794,12,0
2019-08-22,9.984308879253128,5,6
2019-08-23,12.370828212431253,9,7
2019-08-24,-2.0652199632234365,6,0
2019-08-25,1.1026820038734388,1,1
2019-08-26,8.58387685953594,6,2
2019-08-27,12.133226142787501,1,9
2019-08-28,10.485904390114062,7,1
2019-08-29,10.30447254529375,2,5
2019-08-30,5.13304212741875,4,10
2019-08-31,1.499166840584376,4,1
2019-09-01,-1.925199314804686,4,0
2019-09-02,32.78156082091719,8,5
2019-09-03,12.663884652235936,13,1
2019-09-04,3.0251468786718747,8,0
2019-09-05,20.01004684404375,9,2
2019-09-06,12.823004227829689,7,9
2019-09-07,0.9361616279078131,3,1
2019-09-08,13.107905252650001,3,0
2019-09-09,3.467909954856252,1,0
2019-09-10,-0.8904973162812468,5,0
2019-09-11,2.823098281262503,4,0
2019-09-12,6.11064833952969,0,0
2019-09-13,2.9822284341390644,7,2
2019-09-14,9.221462139157815,4,0
2019-09-15,-2.1488012856890624,4,2
2019-09-16,8.817549080320314,3,7
2019-09-17,13.164896213315625,6,0
2019-09-18,13.503435574967188,4,0
2019-09-19,5.043516847349999,3,0
2019-09-20,3.5270836144453126,4,0
2019-09-21,0.8758319558843759,4,0
2019-09-22,-1.6492170808515603,12,0
2019-09-23,11.87007747210469,6,0
2019-09-24,4.888910226093751,1,5
2019-09-25,18.04600353940625,7,0
2019-09-26,6.819352308710936,3,1
2019-09-27,1.3149111403,2,3
2019-09-28,23.06796296286875,3,0
2019-09-29,5.2587285332375,2,0
2019-09-30,-0.9295086963578116,2,0
2019-10-01,-0.026601692953123646,8,1
