,llvm/llvm-project,golang/go,gcc-mirror/gcc
2008-03-03,33.0,2,12
2008-03-04,32.800000000000004,1,17
2008-03-05,32.64,2,14
2008-03-06,-14.631999999999994,1,19
2008-03-07,16.083199999999998,8,11
2008-03-08,-3.4220159999999993,1,18
2008-03-09,45.456422399999994,0,8
2008-03-10,43.994104320000005,1,17
2008-03-11,17.177759744000006,3,12
2008-03-12,-0.8195467263999916,7,13
2008-03-13,2.7780406271999993,0,20
2008-03-14,-0.6350243840000012,0,15
2008-03-15,-4.354403328,0,21
2008-03-16,9.0970448896,0,13
2008-03-17,11.287458713600003,1,2
2008-03-18,7.493205094400004,1,18
2008-03-19,14.289452134400001,1,9
2008-03-20,-7.519222476799996,1,25
2008-03-21,11.081695027199999,0,18
2008-03-22,3.758665318400002,0,5
2008-03-23,-2.5173857280000007,0,9
2008-03-24,21.1693302784,0,11
2008-03-25,10.3139259392,0,18
2008-03-26,-5.767386623999997,4,72
2008-03-27,23.3646514176,1,22
2008-03-28,-11.1126674432,7,19
2008-03-29,-6.116498739200001,2,8
2008-03-30,-0.34039142400000166,0,10
2008-03-31,21.499718656,1,19
2008-04-01,28.7901871104,2,19
2008-04-02,30.687726182400002,0,22
2008-04-03,19.071501721600008,4,19
2008-04-04,-6.5779552256,0,21
2008-04-05,-18.728544768,0,9
2008-04-06,27.013379993599997,0,14
2008-04-07,25.3325114368,0,20
2008-04-08,-5.782785228799998,0,103
2008-04-09,4.954628198400002,0,16
2008-04-10,9.6740235264,0,14
2008-04-11,5.7805917184,0,10
2008-04-12,-4.8960229376000015,0,5
2008-04-13,2.4205625343999984,0,9
2008-04-14,34.1433628672,0,24
2008-04-15,5.082392371200001,1,19
2008-04-16,39.74019328,0,14
2008-04-17,-4.057688575999997,0,17
2008-04-18,20.992460185600002,3,21
2008-04-19,-8.604056985599996,0,8
2008-04-20,8.215189708799997,0,10
2008-04-21,15.3380312064,0,16
2008-04-22,1.1759121408000013,0,20
2008-04-23,38.690919424,0,16
2008-04-24,-12.716892262399995,0,24
2008-04-25,13.303082700800005,0,15
2008-04-26,-22.132325273599996,0,11
2008-04-27,-0.35780106240000187,0,3
2008-04-28,17.014569881599996,2,13
2008-04-29,16.0299942912,1,16
2008-04-30,9.702759628800003,0,22
2008-05-01,14.849228185600005,1,11
2008-05-02,2.568993382400002,5,7
2008-05-03,-15.869682790399999,0,13
2008-05-04,10.550612070399998,0,12
2008-05-05,17.771290316800002,0,11
2008-05-06,72.6097366016,1,28
2008-05-07,-15.936594943999992,0,17
2008-05-08,-0.5695953919999965,2,21
2008-05-09,14.635132518400003,4,13
2008-05-10,-8.216995225600002,0,17
2008-05-11,-16.688802713599998,0,9
2008-05-12,36.821417472,0,20
2008-05-13,7.583887974400003,0,11
2008-05-14,25.463565209600002,0,25
2008-05-15,-4.900728422399997,2,43
2008-05-16,12.37628672,1,27
2008-05-17,-14.5394473984,0,13
2008-05-18,-7.906799923200005,0,14
2008-05-19,21.229632204799998,0,15
2008-05-20,33.9466203136,0,77
2008-05-21,-3.5974969343999987,0,26
2008-05-22,9.127010508800002,0,17
2008-05-23,35.640578048,0,32
2008-05-24,-12.954913996800002,0,12
2008-05-25,-11.075964927999998,0,13
2008-05-26,-4.219331072000003,0,60
2008-05-27,28.0334352384,0,68
2008-05-28,-1.8115035135999982,1,38
2008-05-29,26.1712562176,0,20
2008-05-30,50.27714437120001,0,9
2008-05-31,-13.860337356799988,0,7
2008-06-01,-6.2664249344,0,6
2008-06-02,-0.07314585600000001,0,18
2008-06-03,8.895923711999998,0,12
2008-06-04,22.990075392,7,11
2008-06-05,19.255591936000002,5,6
2008-06-06,2.329178419200005,18,19
2008-06-07,-9.464462131199998,15,13
2008-06-08,9.0099566592,3,12
2008-06-09,21.3943819264,15,13
2008-06-10,0.5845079040000023,2,8
2008-06-11,10.816527360000002,7,19
2008-06-12,-3.7235460095999997,14,17
2008-06-13,-2.8210566143999998,5,17
2008-06-14,-10.6252653568,2,9
2008-06-15,1.1845192703999992,1,12
2008-06-16,55.8469251072,6,8
2008-06-17,13.171520614400006,6,16
2008-06-18,-0.5986116607999961,13,27
2008-06-19,10.312968499200004,5,15
2008-06-20,24.555569254399998,1,12
2008-06-21,7.4971051008000025,3,7
2008-06-22,-18.0835968,1,5
2008-06-23,22.2693270528,2,9
2008-06-24,13.802406912000002,8,16
2008-06-25,6.916211200000003,9,14
2008-06-26,21.6294350848,17,23
2008-06-27,3.7677198336000046,12,23
2008-06-28,-1.5871688703999993,8,19
2008-06-29,-13.2279855104,1,16
2008-06-30,31.7253679104,6,13
2008-07-01,13.606440652800003,3,12
2008-07-02,30.776401305600004,2,37
2008-07-03,15.999052185600007,9,18
2008-07-04,-26.724463206399996,5,16
2008-07-05,-3.1316927488000026,2,7
2008-07-06,-14.1457127424,2,9
2008-07-07,34.5340945408,5,29
2008-07-08,22.185453465600006,11,15
2008-07-09,69.621664256,13,17
2008-07-10,-1.8552020991999854,4,14
2008-07-11,11.523888742400004,4,11
2008-07-12,-20.754084864,10,5
2008-07-13,-8.642595225600004,4,5
2008-07-14,19.944248012799996,6,20
2008-07-15,25.4853046272,14,17
2008-07-16,5.5198462976000044,9,18
2008-07-17,3.7889152000000053,10,11
2008-07-18,4.417923174400002,7,20
2008-07-19,-3.3272454143999965,7,13
2008-07-20,-12.627701043199998,2,8
2008-07-21,51.623708672,3,18
2008-07-22,13.098232217600003,5,7
2008-07-23,-3.320410521599996,4,11
2008-07-24,-0.5580631039999986,6,11
2008-07-25,52.9105926144,8,13
2008-07-26,-5.8163787775999936,4,6
2008-07-27,-11.147003904000002,5,7
2008-07-28,-4.735090688,8,11
2008-07-29,3.6440236031999973,5,27
2008-07-30,6.040254361599999,5,41
2008-07-31,-6.33957376,6,80
2008-08-01,-6.3661520896,5,69
2008-08-02,-5.870607462399999,2,5
2008-08-03,-2.2709914623999996,3,6
2008-08-04,12.0946953216,12,62
2008-08-05,37.6084588544,9,65
2008-08-06,13.429283328000004,2,54
2008-08-07,24.671344128000005,3,16
2008-08-08,18.404808601600003,7,31
2008-08-09,0.8129375232000022,3,16
2008-08-10,-2.0194567168000006,5,7
2008-08-11,4.131940761599999,8,8
2008-08-12,8.519724748800002,15,30
2008-08-13,18.2157103104,4,19
2008-08-14,0.6233974784000011,0,13
2008-08-15,-9.2363378688,0,7
2008-08-16,8.345368678399998,0,11
2008-08-17,34.2362883072,0,8
2008-08-18,0.021038592000003575,0,25
2008-08-19,24.8748109824,0,11
2008-08-20,29.2147652608,3,73
2008-08-21,23.854889881600002,2,21
2008-08-22,1.0978710528000022,2,59
2008-08-23,29.7058772992,0,13
2008-08-24,-14.758571417599995,0,14
2008-08-25,10.731439001599998,0,10
2008-08-26,19.7540841472,0,14
2008-08-27,12.627283865599999,0,14
2008-08-28,20.586555494400002,2,36
2008-08-29,-6.683735142399996,7,40
2008-08-30,-5.962908979199998,2,15
2008-08-31,-8.295854387200002,0,24
2008-09-01,2.944991027199997,1,21
2008-09-02,20.919096012799997,5,27
2008-09-03,31.101061222400006,11,32
2008-09-04,15.638316953600004,8,31
2008-09-05,15.778080768000002,3,21
2008-09-06,-24.8064093184,1,16
2008-09-07,-2.1671585792000023,0,9
2008-09-08,35.3149274112,5,17
2008-09-09,35.1349979136,8,38
2008-09-10,0.3298490367999989,9,22
2008-09-11,17.4133090304,11,28
2008-09-12,-12.1989056512,19,9
2008-09-13,-9.890310553600003,6,19
2008-09-14,-13.7471271936,1,9
2008-09-15,2.7495993343999956,4,10
2008-09-16,14.0083125248,8,11
2008-09-17,8.980061184,12,21
2008-09-18,6.099650457600003,9,28
2008-09-19,13.812076134400002,12,9
2008-09-20,-5.930424729599999,5,7
2008-09-21,10.1890688,1,12
2008-09-22,40.6359839744,11,19
2008-09-23,-1.1697048575999958,9,29
2008-09-24,40.6487517184,11,12
2008-09-25,-5.300441599999999,7,10
2008-09-26,30.111330304000003,19,27
2008-09-27,-15.390111846399996,7,3
2008-09-28,-9.988887040000002,2,8
2008-09-29,14.0143456256,7,10
2008-09-30,32.0117052416,18,14
2008-10-01,-0.02300999679999549,5,14
2008-10-02,2.1014977536000004,7,9
2008-10-03,27.754568601600003,7,9
2008-10-04,6.815376384000004,4,5
2008-10-05,29.680945971200003,3,8
2008-10-06,33.31508807680001,4,13
2008-10-07,-0.5904521215999949,7,18
2008-10-08,-16.621491199999994,11,15
