,twbs/bootstrap,ant-design/ant-design,mui/material-ui
2019-05-07,1,20.0,4
2019-05-08,9,4.999999999999998,12
2019-05-09,5,10.399999999999999,4
2019-05-10,2,4.914999999999998,5
2019-05-11,0,0.14725000000000055,2
2019-05-12,0,2.676027500000001,5
2019-05-13,0,9.686492500000002,2
2019-05-14,8,4.0109534875,3
2019-05-15,0,2.209891465937501,8
2019-05-16,8,14.441402815671875,4
2019-05-17,0,6.479653877310938,1
2019-05-18,1,-2.277859114040625,4
2019-05-19,0,-1.3074360162828118,8
2019-05-20,1,11.092359309115627,8
2019-05-21,0,11.098112419184377,4
2019-05-22,0,9.610185009010937,6
2019-05-23,1,-1.5116236197781259,15
2019-05-24,2,4.45501831535625,18
2019-05-25,0,3.330490042284376,15
2019-05-26,1,14.510498427176564,12
2019-05-27,1,16.4857059825,7
2019-05-28,2,1.6804262925624993,6
2019-05-29,3,4.6175263328656255,7
2019-05-30,2,4.808245639595313,10
2019-05-31,0,0.9493177165531268,11
2019-06-01,0,14.444099838120314,7
2019-06-02,0,3.314466692206251,10
2019-06-03,3,6.865367687820314,14
2019-06-04,5,9.735413093378126,9
2019-06-05,1,17.467840025489064,11
2019-06-06,4,-0.4044573650390628,3
2019-06-07,1,8.805693552389062,8
2019-06-08,0,0.4580311282015632,10
2019-06-09,0,-1.85046085585781,12
2019-06-10,0,8.717598565081252,8
2019-06-11,0,10.105989712643751,11
2019-06-12,0,7.658958858489063,9
2019-06-13,1,0.6564340330062501,15
2019-06-14,0,9.343176313984376,8
2019-06-15,0,3.907153410470313,2
2019-06-16,0,8.166761558057814,10
2019-06-17,1,4.899267329892188,6
2019-06-18,3,0.0429346398437509,6
2019-06-19,1,5.5495094684531265,11
2019-06-20,0,6.332641913162501,1
2019-06-21,0,17.208498801843753,8
2019-06-22,2,3.057727446720312,6
2019-06-23,0,0.7872606940109375,5
2019-06-24,2,7.360326605878126,10
2019-06-25,2,2.0071903035312513,7
2019-06-26,3,16.41842618246719,3
2019-06-27,0,15.18220829631875,5
2019-06-28,0,17.616596474373438,10
2019-06-29,0,-1.0057377325843762,7
2019-06-30,0,6.436880722473439,4
2019-07-01,0,4.472884129487502,0
2019-07-02,2,5.692883615251565,4
2019-07-03,0,6.677595067614065,5
2019-07-04,0,3.6242734105750016,4
2019-07-05,0,-0.11855088867812347,7
2019-07-06,0,3.491529629775002,4
2019-07-07,0,4.527045303948439,3
2019-07-08,1,5.554710901501563,6
2019-07-09,2,7.399698953567188,14
2019-07-10,2,3.1643001868734375,18
2019-07-11,0,15.444749410071875,2
2019-07-12,4,-0.6438350059171878,8
2019-07-13,1,4.389749952503125,3
2019-07-14,5,-1.6461987851499995,7
2019-07-15,4,21.945635622976564,14
2019-07-16,1,15.930665614925,3
2019-07-17,23,28.484662021357813,4
2019-07-18,1,-0.14554859915156548,7
2019-07-19,6,16.73744744855469,15
2019-07-20,2,3.8712479533578126,9
2019-07-21,1,-1.186852120665622,2
2019-07-22,33,16.69532513353438,13
2019-07-23,25,13.436130421890628,11
2019-07-24,8,13.104585101876564,14
2019-07-25,16,3.0387680540671878,6
2019-07-26,3,-3.018095871228123,5
2019-07-27,1,-1.8054148679921846,7
2019-07-28,3,-1.3415364348437466,11
2019-07-29,9,5.060515862431253,4
2019-07-30,2,26.67624004888125,7
2019-07-31,2,15.327033556801561,11
2019-08-01,5,4.285902311873436,3
2019-08-02,4,13.213266315779688,4
2019-08-03,3,-1.235542467751562,3
2019-08-04,7,8.929171425000003,12
2019-08-05,1,12.447383222500001,9
2019-08-06,1,20.870354389406252,4
2019-08-07,2,8.677924791596876,2
2019-08-08,5,9.216671411696876,3
2019-08-09,1,18.50383038269219,8
2019-08-10,0,-2.2804046085374985,4
2019-08-11,0,-1.6888936128562477,2
2019-08-12,2,16.10052685800625,0
2019-08-13,1,2.760640304370315,6
2019-08-14,2,15.49465998583594,4
2019-08-15,0,7.604361143684375,2
2019-08-16,5,34.02699975532969,4
2019-08-17,4,13.52288612568906,7
2019-08-18,9,-2.7990468030718745,0
2019-08-19,1,6.068086374412501,1
2019-08-20,0,1.0425963606828161,6
2019-08-21,0,1.5960348562593794,12
2019-08-22,6,9.984308879253128,5
2019-08-23,7,12.370828212431253,9
2019-08-24,0,-2.0652199632234365,6
2019-08-25,1,1.1026820038734388,1
2019-08-26,2,8.58387685953594,6
2019-08-27,9,12.133226142787501,1
2019-08-28,1,10.485904390114062,7
2019-08-29,5,10.30447254529375,2
2019-08-30,10,5.13304212741875,4
2019-08-31,1,1.499166840584376,4
2019-09-01,0,-1.925199314804686,4
2019-09-02,5,32.78156082091719,8
2019-09-03,1,12.663884652235936,13
2019-09-04,0,3.0251468786718747,8
2019-09-05,2,20.01004684404375,9
2019-09-06,9,12.823004227829689,7
2019-09-07,1,0.9361616279078131,3
2019-09-08,0,13.107905252650001,3
2019-09-09,0,3.467909954856252,1
2019-09-10,0,-0.8904973162812468,5
2019-09-11,0,2.823098281262503,4
2019-09-12,0,6.11064833952969,0
2019-09-13,2,2.9822284341390644,7
2019-09-14,0,9.221462139157815,4
2019-09-15,2,-2.1488012856890624,4
2019-09-16,7,8.817549080320314,3
2019-09-17,0,13.164896213315625,6
2019-09-18,0,13.503435574967188,4
2019-09-19,0,5.043516847349999,3
2019-09-20,0,3.5270836144453126,4
2019-09-21,0,0.8758319558843759,4
2019-09-22,0,-1.6492170808515603,12
2019-09-23,0,11.87007747210469,6
2019-09-24,5,4.888910226093751,1
2019-09-25,0,18.04600353940625,7
2019-09-26,1,6.819352308710936,3
2019-09-27,3,1.3149111403,2
2019-09-28,0,23.06796296286875,3
2019-09-29,0,5.2587285332375,2
2019-09-30,0,-0.9295086963578116,2
2019-10-01,1,-0.026601692953123646,8
2019-10-02,7,-1.6571868240765595,7
2019-10-03,6,-1.1496244905640594,9
2019-10-04,0,-0.8804610283749976,8
2019-10-05,0,6.408379203828127,1
2019-10-06,0,1.8687959732156256,1
2019-10-07,1,4.040402451960938,3
2019-10-08,3,4.048586308645312,7
2019-10-09,1,5.008928168896875,8
2019-10-10,1,3.840897544928125,5
2019-10-11,0,7.843703162500001,6
2019-10-12,4,6.4029618387500005,2
2019-10-13,0,-1.718128092359375,1
2019-10-14,1,9.974711549451563,12
2019-10-15,0,14.197975071064063,4
2019-10-16,2,12.372441182242188,3
2019-10-17,2,4.064235265476562,4
2019-10-18,3,7.63833845345625,8
2019-10-19,0,2.5327571001796887,5
2019-10-20,1,5.985776185551565,6
2019-10-21,0,3.9037975709625012,4
2019-10-22,6,3.0978769793281264,6
2019-10-23,0,8.233500082604689,3
2019-10-24,0,0.8709339154406259,8
2019-10-25,3,3.4848829958515637,4
2019-10-26,1,2.5647473208421885,2
2019-10-27,1,5.702739514562501,6
2019-10-28,3,3.503431993195313,3
2019-10-29,0,2.6076479453687504,12
2019-10-30,0,1.7636085697062507,6
2019-10-31,7,-0.0683730440859367,4
2019-11-01,1,1.214060254343751,7
2019-11-02,0,0.29671925481406347,2
2019-11-03,0,2.4313120490078135,6
2019-11-04,7,15.320297117496875,7
2019-11-05,0,0.9885638946703117,6
2019-11-06,0,9.714893384007812,2
2019-11-07,6,1.1311776795593742,9
2019-11-08,1,3.6704354743765633,6
2019-11-09,0,3.653529287682813,3
2019-11-10,0,3.643622943162501,4
2019-11-11,0,3.6391392809171883,6
2019-11-12,2,2.6244844578921884,9
2019-11-13,0,5.724000474128125,5
2019-11-14,0,1.564064597970313,6
2019-11-15,1,8.844732889307814,7
2019-11-16,0,2.3079495835640627,10
2019-11-17,0,0.6442811284921881,2
2019-11-18,1,7.962242890992188,7
2019-11-19,0,8.414680049742188,3
2019-11-20,0,9.096773074007812,5
2019-11-21,1,5.8222331849968745,3
2019-11-22,1,3.9507220807015626,8
2019-11-23,0,3.1832457522359383,2
2019-11-24,3,5.350637717578127,1
2019-11-25,5,17.277220322575,11
2019-11-26,2,0.03095937778750013,4
2019-11-27,1,3.0468874382703133,2
2019-11-28,4,3.2413171364687505,2
2019-11-29,0,34.38278912797969,6
2019-11-30,0,-1.6079090171312513,0
2019-12-01,1,16.35986845845625,7
2019-12-02,0,9.395865029960937,4
2019-12-03,0,17.595385183701566,3
2019-12-04,1,13.821747819020313,3
2019-12-05,0,4.841223196064064,2
2019-12-06,2,11.58797431974219,4
2019-12-07,0,1.2687568925078145,5
2019-12-08,1,-2.8548267715906217,3
2019-12-09,1,9.243821181345314,7
2019-12-10,0,4.548661636364065,6
2019-12-11,1,6.83167194870469,4
2019-12-12,0,3.7450372587140635,6
2019-12-13,2,3.098702830962501,5
2019-12-14,5,0.3769954006921885,4
2019-12-15,2,0.786613759382814,5
2019-12-16,0,3.042315241070314,3
2019-12-17,0,5.951621570578126,12
2019-12-18,1,20.602910339745314,4
2019-12-19,0,9.020162475107812,2
2019-12-20,1,4.280824442832811,0
2019-12-21,0,4.77714940220625,2
2019-12-22,0,-1.0603585812109362,1
2019-12-23,0,28.61053829639688,1
2019-12-24,1,15.995170394115625,3
2019-12-25,14,49.861466181246875,1
2019-12-26,0,27.216966953404683,4
2019-12-27,2,14.394623776771873,8
2019-12-28,0,0.5306651922093746,2
2019-12-29,0,-0.6573342301109326,0
2019-12-30,2,7.400096581732819,15
2019-12-31,0,19.273767906995317,4
2020-01-01,0,-1.9112678713906215,0
2020-01-02,4,16.793523152687502,2
2020-01-03,0,23.7931211025125,6
2020-01-04,2,-1.0727883988515616,4
2020-01-05,0,-1.1035826193999991,2
2020-01-06,1,14.83857758393594,1
2020-01-07,6,5.761627095434378,2
2020-01-08,1,7.135101083995314,6
2020-01-09,1,10.192419177626563,5
2020-01-10,1,1.0301696370796884,0
2020-01-11,0,-0.23653587515624785,7
2020-01-12,0,1.378441521931252,1
2020-01-13,3,12.706437015075002,5
2020-01-14,1,7.7049098324125005,5
