,apolloauto/apollo,commaai/openpilot,carla-simulator/carla
2017-09-04,1,0.0,3
2017-09-05,38,0.0,7
2017-09-06,43,0.0,2
2017-09-07,40,0.0,3
2017-09-08,32,0.0,0
2017-09-09,8,0.0,0
2017-09-10,2,0.0,0
2017-09-11,13,0.0,0
2017-09-12,42,0.0,0
2017-09-13,35,0.0,1
2017-09-14,15,0.0,4
2017-09-15,14,0.0,1
2017-09-16,5,0.0,0
2017-09-17,5,0.0,0
2017-09-18,19,0.0,2
2017-09-19,20,0.0,5
2017-09-20,29,0.0,0
2017-09-21,20,0.0,1
2017-09-22,15,0.0,4
2017-09-23,4,0.0,0
2017-09-24,0,0.0,0
2017-09-25,13,0.0,0
2017-09-26,8,0.0,4
2017-09-27,16,0.0,0
2017-09-28,28,0.0,6
2017-09-29,16,0.0,0
2017-09-30,7,0.0,0
2017-10-01,1,2.0,0
2017-10-02,8,-0.7999999999999998,0
2017-10-03,12,0.76,1
2017-10-04,12,0.4720000000000001,1
2017-10-05,11,-0.6032,0
2017-10-06,5,-0.24390400000000004,0
2017-10-07,1,-0.15152640000000006,0
2017-10-08,1,-0.10829312000000005,0
2017-10-09,13,-0.08322662400000001,0
2017-10-10,8,-0.06693007359999999,0
2017-10-11,29,-0.03352627199999999,2
2017-10-12,7,-0.02795386879999999,0
2017-10-13,20,-0.012798156799999997,0
2017-10-14,11,0.0,0
2017-10-15,2,0.0,0
2017-10-16,12,0.0,0
2017-10-17,20,0.0,0
2017-10-18,15,0.0,1
2017-10-19,17,0.0,3
2017-10-20,16,0.0,2
2017-10-21,3,0.0,0
2017-10-22,1,0.0,0
2017-10-23,12,0.0,0
2017-10-24,28,0.0,4
2017-10-25,31,0.0,4
2017-10-26,18,0.0,8
2017-10-27,34,0.0,5
2017-10-28,8,0.0,0
2017-10-29,2,0.0,0
2017-10-30,13,0.0,4
2017-10-31,17,1.0,0
2017-11-01,27,-0.3999999999999999,0
2017-11-02,25,-0.12,1
2017-11-03,24,-0.064,0
2017-11-04,13,1.9584,0
2017-11-05,5,-0.8299519999999998,0
2017-11-06,12,-0.2629632,0
2017-11-07,22,-0.14637055999999998,3
2017-11-08,19,-0.09835571200000008,0
2017-11-09,23,-0.07270215680000003,5
2017-11-10,20,-0.04592640000000001,7
2017-11-11,11,-0.03674111999999999,0
2017-11-12,1,-0.030311423999999986,0
2017-11-13,20,-0.025596313599999993,5
2017-11-14,28,0.0,1
2017-11-15,26,0.0,1
2017-11-16,27,0.0,6
2017-11-17,17,0.0,10
2017-11-18,5,0.0,10
2017-11-19,1,0.0,0
2017-11-20,20,0.0,10
2017-11-21,20,0.0,7
2017-11-22,21,1.0,4
2017-11-23,5,-0.3999999999999999,8
2017-11-24,0,-0.12,10
2017-11-25,0,-0.064,0
2017-11-26,0,-0.04160000000000005,0
2017-11-27,14,-0.029952000000000017,14
2017-11-28,7,-0.022963200000000007,5
2017-11-29,12,-0.018370559999999994,5
2017-11-30,13,-0.015155711999999993,1
2017-12-01,17,-0.012798156799999997,9
2017-12-02,14,0.0,0
2017-12-03,14,0.0,0
2017-12-04,12,0.0,4
2017-12-05,26,0.0,11
2017-12-06,27,1.0,1
2017-12-07,35,-0.3999999999999999,0
2017-12-08,22,-0.12,0
2017-12-09,8,-0.064,1
2017-12-10,5,-0.04160000000000005,0
2017-12-11,11,-0.029952000000000017,1
2017-12-12,11,-0.022963200000000007,0
2017-12-13,13,-0.018370559999999994,3
2017-12-14,38,-0.015155711999999993,5
2017-12-15,24,-0.012798156799999997,4
2017-12-16,10,0.0,0
2017-12-17,5,0.0,0
2017-12-18,15,0.0,0
2017-12-19,26,0.0,2
2017-12-20,37,0.0,6
2017-12-21,35,0.0,7
2017-12-22,28,0.0,18
2017-12-23,42,0.0,0
2017-12-24,35,8.0,0
2017-12-25,16,-3.1999999999999993,0
2017-12-26,20,-0.96,0
2017-12-27,31,-0.512,0
2017-12-28,41,-0.3328000000000004,0
2017-12-29,45,-0.23961600000000013,0
2017-12-30,40,-0.18370560000000005,0
2017-12-31,21,-0.14696447999999995,0
2018-01-01,17,-0.12124569599999994,0
2018-01-02,18,-0.10238525439999997,0
2018-01-03,25,0.0,0
2018-01-04,17,0.0,0
2018-01-05,14,0.0,0
2018-01-06,0,0.0,0
2018-01-07,3,0.0,0
2018-01-08,6,0.0,6
2018-01-09,6,0.0,7
2018-01-10,4,0.0,2
2018-01-11,5,0.0,6
2018-01-12,3,0.0,9
2018-01-13,5,0.0,0
2018-01-14,1,0.0,0
2018-01-15,3,0.0,2
2018-01-16,12,1.0,2
2018-01-17,18,0.6000000000000001,23
2018-01-18,18,4.48,7
2018-01-19,12,13.816,1
2018-01-20,3,-7.105599999999999,0
2018-01-21,1,-2.311552,0
2018-01-22,8,-1.2849152000000004,23
2018-01-23,15,-0.8566937600000009,15
2018-01-24,16,-0.6275742720000003,14
2018-01-25,10,-0.48721786880000006,4
2018-01-26,19,-0.38250567679999986,3
2018-01-27,4,-0.3064821759999999,0
2018-01-28,5,-0.20477050879999995,0
2018-01-29,6,0.0,5
2018-01-30,18,5.0,3
2018-01-31,18,-0.9999999999999996,4
2018-02-01,15,-0.9999999999999999,5
2018-02-02,14,-0.44,11
2018-02-03,3,0.7279999999999998,8
2018-02-04,4,-0.5913600000000001,0
2018-02-05,15,0.735232,0
2018-02-06,11,5.421184,1
2018-02-07,10,-2.6557491199999994,3
2018-02-08,18,-0.8930984959999999,2
2018-02-09,19,0.5386386431999999,1
2018-02-10,10,0.3020774399999998,0
2018-02-11,0,-0.737830912,0
2018-02-12,9,-0.35294791680000004,4
2018-02-13,25,-0.230979072,7
2018-02-14,14,-0.17528442880000003,2
2018-02-15,20,-0.1297041408,0
2018-02-16,8,-0.04133376,2
2018-02-17,0,-0.03352627199999999,0
2018-02-18,0,-0.02795386879999999,0
2018-02-19,0,-0.012798156799999997,7
2018-02-20,3,0.0,8
2018-02-21,13,0.0,2
2018-02-22,25,0.0,3
2018-02-23,21,0.0,2
2018-02-24,17,0.0,12
2018-02-25,1,0.0,0
2018-02-26,24,1.0,13
2018-02-27,19,-0.3999999999999999,12
2018-02-28,42,1.88,5
2018-03-01,27,-0.8639999999999999,6
2018-03-02,37,-0.2816,5
2018-03-03,27,-0.157952,0
2018-03-04,3,-0.1061632000000001,0
2018-03-05,13,-0.07827456000000002,0
2018-03-06,41,-0.06108211200000001,4
2018-03-07,32,-0.04953927679999998,6
2018-03-08,38,0.969688576,0
2018-03-09,29,0.5744036864000002,6
2018-03-10,16,-0.5199999999999999,0
2018-03-11,2,-0.184,0
2018-03-12,10,-0.10560000000000005,9
2018-03-13,14,-0.07155200000000006,8
2018-03-14,21,-0.05291520000000002,4
2018-03-15,42,0.95866624,19
2018-03-16,22,-0.4335262719999999,2
2018-03-17,8,6.8520461312,0
2018-03-18,5,2.123201843200001,0
2018-03-19,14,-2.8815999999999997,1
2018-03-20,28,-0.07795200000000002,8
2018-03-21,18,-1.0341632000000003,22
2018-03-22,24,1.4439654399999997,7
2018-03-23,17,-1.189658112,3
2018-03-24,4,-0.5378080768,6
2018-03-25,1,-0.35589478399999996,1
2018-03-26,9,-0.27152885760000006,9
2018-03-27,19,-0.14226534400000002,6
2018-03-28,14,-0.06108211200000001,1
2018-03-29,11,-0.04953927679999998,6
2018-03-30,14,-0.030311423999999986,0
2018-03-31,2,2.9744036864,0
2018-04-01,2,-1.1999999999999997,0
2018-04-02,12,-0.36,1
2018-04-03,15,-0.192,11
2018-04-04,20,-0.12480000000000013,9
2018-04-05,29,-0.08985600000000005,9
2018-04-06,14,-0.06888960000000002,5
2018-04-07,3,-0.05511167999999998,1
2018-04-08,4,-0.04546713599999998,7
2018-04-09,12,-0.03839447039999999,15
2018-04-10,24,0.0,9
2018-04-11,24,0.0,4
2018-04-12,21,0.0,7
2018-04-13,20,1.0,4
2018-04-14,13,4.6,0
2018-04-15,1,-2.1199999999999997,0
2018-04-16,27,-0.6639999999999999,1
2018-04-17,31,-0.36160000000000003,10
2018-04-18,20,-0.23795200000000025,1
2018-04-19,7,-0.1727232000000001,6
2018-04-20,8,-0.13318656,8
2018-04-21,1,-0.10700851199999996,0
2018-04-22,0,-0.08857671679999997,0
2018-04-23,3,-0.06399078399999998,6
2018-04-24,10,0.0,0
2018-04-25,21,0.0,0
2018-04-26,11,0.0,0
2018-04-27,7,0.0,0
2018-04-28,0,5.0,0
2018-04-29,1,-1.9999999999999996,0
2018-04-30,1,-0.6,0
2018-05-01,2,0.6799999999999999,0
2018-05-02,8,-0.6080000000000001,1
2018-05-03,6,-0.2697600000000001,0
2018-05-04,6,-0.17881600000000003,0
2018-05-05,1,-0.1334528,0
2018-05-06,2,-0.10573055999999999,0
2018-05-07,7,-0.08695398399999998,1
2018-05-08,7,-0.018370559999999994,6
2018-05-09,11,-0.015155711999999993,0
2018-05-10,13,-0.012798156799999997,0
2018-05-11,16,0.0,0
2018-05-12,1,0.0,0
2018-05-13,0,0.0,0
2018-05-14,2,0.0,2
2018-05-15,8,0.0,0
2018-05-16,5,0.0,0
2018-05-17,4,0.0,3
2018-05-18,5,0.0,0
2018-05-19,0,0.0,0
2018-05-20,3,0.0,0
2018-05-21,3,0.0,0
2018-05-22,5,0.0,1
2018-05-23,4,8.0,3
2018-05-24,10,-3.1999999999999993,2
2018-05-25,3,-0.96,0
2018-05-26,3,-0.512,0
2018-05-27,0,-0.3328000000000004,0
2018-05-28,0,-0.23961600000000013,1
2018-05-29,6,-0.18370560000000005,2
2018-05-30,11,0.85303552,1
2018-05-31,11,0.4787543040000002,0
2018-06-01,19,-0.6223852543999999,0
2018-06-02,7,-0.184,0
2018-06-03,3,-0.10560000000000005,0
2018-06-04,12,0.9284479999999999,0
2018-06-05,18,-0.45291519999999996,1
2018-06-06,20,0.83866624,3
2018-06-07,26,-0.4975262719999999,0
2018-06-08,2,-0.18955386880000002,4
2018-06-09,0,-0.10675015680000002,0
2018-06-10,1,-0.06456320000000006,0
2018-06-11,15,-0.048322560000000014,12
2018-06-12,28,-0.038118912,4
2018-06-13,8,-0.03116871679999999,1
2018-06-14,24,-0.015155711999999993,1
2018-06-15,7,-0.012798156799999997,3
2018-06-16,4,0.0,0
2018-06-17,1,5.0,0
2018-06-18,3,-0.9999999999999996,1
2018-06-19,29,2.0,2
2018-06-20,26,-1.6399999999999997,0
2018-06-21,18,0.36799999999999977,0
2018-06-22,7,-0.7833600000000001,0
2018-06-23,15,-0.38956800000000014,0
2018-06-24,8,-0.268672,0
2018-06-25,7,5.79536128,9
2018-06-26,18,-2.5642101759999996,5
2018-06-27,16,-0.8012284928,2
2018-06-28,17,0.5592349696000001,2
2018-06-29,14,-0.6647557120000002,0
2018-06-30,1,-0.31251015680000005,0
2018-07-01,3,-0.20177920000000005,0
2018-07-02,8,-0.15182336000000002,2
2018-07-03,32,-0.12088627199999998,3
2018-07-04,12,-0.09975214079999999,3
2018-07-05,4,-0.018370559999999994,0
2018-07-06,11,0.984844288,3
2018-07-07,6,-0.4127981567999999,0
2018-07-08,4,-0.12,0
2018-07-09,18,-0.064,0
2018-07-10,11,-0.04160000000000005,2
2018-07-11,31,-0.029952000000000017,0
2018-07-12,21,-0.022963200000000007,0
2018-07-13,24,11.98162944,2
2018-07-14,3,-3.8151557119999993,0
2018-07-15,4,-1.8527981567999998,4
2018-07-16,2,0.11199999999999999,1
2018-07-17,17,-0.9632000000000005,0
2018-07-18,11,-0.5210240000000002,0
2018-07-19,14,-0.3695104000000001,3
2018-07-20,12,1.71499008,0
2018-07-21,4,-1.0301911039999998,0
2018-07-22,0,-0.43169679359999996,0
2018-07-23,6,-0.1591687168,2
2018-07-24,35,-0.09835571200000008,3
2018-07-25,7,-0.07270215680000003,6
2018-07-26,8,-0.04592640000000001,13
2018-07-27,5,-0.03674111999999999,14
2018-07-28,8,-0.030311423999999986,11
2018-07-29,1,-0.025596313599999993,5
2018-07-30,8,0.0,15
2018-07-31,10,0.0,1
2018-08-01,11,0.0,11
2018-08-02,10,5.0,8
2018-08-03,5,-0.9999999999999996,1
2018-08-04,5,-0.9999999999999999,0
2018-08-05,1,-0.44,0
2018-08-06,13,-0.27200000000000024,0
2018-08-07,10,-0.19136000000000014,0
2018-08-08,17,-0.14476800000000004,0
2018-08-09,12,-0.11481599999999997,0
2018-08-10,6,-0.09414911999999996,0
2018-08-11,3,-0.07914649599999997,0
2018-08-12,1,-0.012798156799999997,1
2018-08-13,11,0.0,0
2018-08-14,10,1.0,0
2018-08-15,10,-0.3999999999999999,0
2018-08-16,9,-0.12,0
2018-08-17,12,0.9359999999999999,0
2018-08-18,10,-0.44159999999999994,0
2018-08-19,6,-0.149952,0
2018-08-20,3,4.9130368,10
2018-08-21,10,-2.0599705599999996,4
2018-08-22,22,0.35489228800000006,0
2018-08-23,12,-0.7557613567999999,9
2018-08-24,14,0.6536294399999998,6
2018-08-25,7,0.37108428800000004,0
2018-08-26,0,-0.6892141568,0
2018-08-27,2,1.6941952,2
2018-08-28,39,-0.00434175999999975,0
2018-08-29,16,-0.7939133439999999,4
2018-08-30,9,-0.31607091200000004,2
2018-08-31,14,-0.2013319168000001,0
2018-09-01,8,0.8649697279999999,0
2018-09-02,4,-0.5038322688,0
2018-09-03,4,5.8074975232,2
2018-09-04,9,-0.5126819839999994,0
2018-09-05,26,-0.6023520255999997,1
2018-09-06,47,-0.06675015679999996,10
2018-09-07,22,1.0794367999999999,1
2018-09-08,9,-0.26528255999999995,0
2018-09-09,1,0.04156108799999991,0
2018-09-10,16,-0.8884999168,2
2018-09-11,25,-0.44779059200000004,0
2018-09-12,32,-0.31393812480000005,0
2018-09-13,62,-0.17660098560000007,0
2018-09-14,63,-0.1176101888,0
2018-09-15,10,-0.08444334079999999,0
2018-09-16,8,-0.05912258559999998,0
2018-09-17,46,0.9720461312,6
2018-09-18,61,0.5872018432000001,3
2018-09-19,63,-0.5199999999999999,0
2018-09-20,40,1.816,0
2018-09-21,15,-0.9055999999999998,0
2018-09-22,12,1.688448,0
2018-09-23,6,-0.9809151999999999,0
2018-09-24,10,-0.3645337600000001,0
2018-09-25,90,4.778569728,0
2018-09-26,98,-2.1570802687999997,0
2018-09-27,116,1.2905567232,0
2018-09-28,42,-1.1962378239999998,0
2018-09-29,20,-0.5103374336000002,0
2018-09-30,8,-0.3080714240000001,2
2018-10-01,15,0.7763876863999999,1
2018-10-02,23,-0.5517567999999999,40
2018-10-03,33,-0.24170495999999997,1
2018-10-04,32,-0.16473190399999998,0
2018-10-05,32,-0.07191142400000003,3
2018-10-06,33,-0.05554831360000001,1
2018-10-07,6,-0.022963200000000007,10
2018-10-08,13,0.98162944,8
2018-10-09,40,-0.4151557119999999,8
2018-10-10,60,-0.13279815679999998,14
2018-10-11,44,-0.064,15
2018-10-12,51,-0.04160000000000005,3
2018-10-13,17,0.970048,6
2018-10-14,9,0.5770368000000001,1
2018-10-15,20,-0.5383705599999999,24
2018-10-16,41,-0.19915571199999998,6
2018-10-17,48,-0.11839815680000004,32
2018-10-18,5,-0.07155200000000006,4
2018-10-19,0,-0.05291520000000002,23
2018-10-20,0,0.95866624,8
2018-10-21,0,4.566473728,13
2018-10-22,0,-1.1479538687999997,10
2018-10-23,0,-0.0767981567999998,16
2018-10-24,0,1.1184,6
2018-10-25,0,-1.221952,7
2018-10-26,0,0.4816767999999998,15
2018-10-27,0,-0.73273856,1
2018-10-28,0,-0.36312371200000004,5
2018-10-29,0,-0.2538144768,6
2018-10-30,0,1.814956544,2
2018-10-31,0,0.10535301120000018,16
2018-11-01,0,-0.7060727807999999,3
2018-11-02,0,-0.29196687359999995,1
2018-11-03,0,-0.1623557120000001,2
2018-11-04,0,-0.11430215680000008,0
2018-11-05,0,-0.07587840000000003,3
2018-11-06,0,1.94029568,0
2018-11-07,0,-0.8486819839999998,3
2018-11-08,0,0.7192479744,6
2018-11-09,0,1.4592018432000002,5
2018-11-10,0,-1.0031999999999999,0
2018-11-11,0,-0.363904,0
2018-11-12,0,-0.21552640000000006,4
2018-11-13,0,0.8501068799999999,1
2018-11-14,0,-0.5131786239999999,5
2018-11-15,0,-0.20989327359999999,27
2018-11-16,0,-0.11589683199999998,1
2018-11-17,0,7.9152904192,0
2018-11-18,0,-3.2555483135999994,0
2018-11-19,0,1.0170368,2
2018-11-20,0,-0.33037056,1
2018-11-21,0,1.0120442879999998,0
2018-11-22,0,-1.3004141568,0
2018-11-23,0,-0.5709056000000001,0
2018-11-24,0,-0.37646848000000005,0
2018-11-25,0,-0.2803240960000001,0
2018-11-26,0,-0.22199357440000003,0
2018-11-27,0,-0.09460838399999999,1
2018-11-28,0,-0.07749314559999998,4
2018-11-29,0,-0.043109580799999984,1
2018-11-30,0,0.9744036864,3
2018-12-01,0,-0.3999999999999999,0
2018-12-02,0,-0.12,0
2018-12-03,0,-0.064,3
2018-12-04,0,0.9583999999999999,2
2018-12-05,0,-0.42995199999999995,4
2018-12-06,0,-0.1429632,0
2018-12-07,0,0.91762944,0
2018-12-08,0,1.543244288,0
2018-12-09,0,-0.9627501567999999,0
2018-12-10,0,4.6730368,4
2018-12-11,0,-2.1879705599999997,1
2018-12-12,0,-0.7283077120000001,0
2018-12-13,1619,0.5843346432,20
2018-12-14,16,-0.6722969600000002,0
2018-12-15,32,-0.32165683200000006,5
2018-12-16,3,-0.22192558080000002,5
2018-12-17,10,0.8409508863999999,0
2018-12-18,28,-0.5057305599999999,2
2018-12-19,16,-0.20695398399999998,11
2018-12-20,29,-0.08237056,4
2018-12-21,16,3.943244288,13
2018-12-22,5,-1.6427501567999996,1
2018-12-23,2,-0.5029631999999999,0
2018-12-24,0,-0.27437056,0
2018-12-25,3,0.8184442879999998,0
2018-12-26,2,-0.5326061568,1
2018-12-27,3,0.7881472,0
2018-12-28,2,-0.5374822399999999,0
2018-12-29,3,0.777777152,0
2018-12-30,3,-0.5451446271999999,0
2018-12-31,0,0.8154368,1
2019-01-01,0,-0.5123225599999999,0
2019-01-02,9,-0.19971891200000003,0
2019-01-03,17,0.8748792832,0
2019-01-04,20,-0.47971891199999994,0
2019-01-05,8,-0.1811207168,0
2019-01-06,4,-0.102118912,0
2019-01-07,23,-0.07276871680000004,0
2019-01-08,6,-0.04510771200000001,2
2019-01-09,18,0.9642386432,5
2019-01-10,9,-0.4183705599999999,6
2019-01-11,3,-0.13515571199999998,7
2019-01-12,5,0.9232018432,0
2019-01-13,0,-0.44159999999999994,0
2019-01-14,17,0.850048,3
2019-01-15,23,-0.48696319999999993,7
2019-01-16,25,-0.17997056000000003,8
2019-01-17,20,-0.10910771200000001,8
2019-01-18,10,-0.07736135680000006,2
