,rust-lang/rust,swiftlang/swift,golang/go
2010-09-17,0,0.0,3
2010-09-18,0,2.0,2
2010-09-19,0,-0.6000000000000001,3
2010-09-20,1,-0.20999999999999985,16
2010-09-21,12,-0.11899999999999994,5
2010-09-22,8,-0.080325,17
2010-09-23,4,-0.05944049999999999,12
2010-09-24,8,-0.04656172499999999,29
2010-09-25,0,-0.037914547500000007,2
2010-09-26,0,-0.03175343353125009,0
2010-09-27,3,-0.027166826465625047,12
2010-09-28,5,0.0,10
2010-09-29,1,0.0,14
2010-09-30,5,0.0,16
2010-10-01,2,0.0,5
2010-10-02,1,0.0,0
2010-10-03,0,0.0,1
2010-10-04,1,0.0,3
2010-10-05,2,0.0,2
2010-10-06,5,0.0,13
2010-10-07,3,0.0,13
2010-10-08,6,0.0,2
2010-10-09,9,17.0,1
2010-10-10,2,5.8999999999999995,0
2010-10-11,2,-2.084999999999999,11
2010-10-12,11,-0.06649999999999867,16
2010-10-13,7,-2.5522624999999994,9
2010-10-14,8,-1.4405317499999994,10
2010-10-15,2,2.9783150875000004,10
2010-10-16,1,-1.9880113912500001,2
2010-10-17,0,2.9425624662343743,4
2010-10-18,9,-0.9702763181296885,14
2010-10-19,5,-1.1345695171078125,7
2010-10-20,4,-0.5502613899953125,17
2010-10-21,15,-0.35402368969843756,17
2010-10-22,12,-0.234872595,12
2010-10-23,8,-0.18635056706250017,0
2010-10-24,0,0.8465563895687499,1
2010-10-25,0,-0.38246414081250024,11
2010-10-26,5,-0.17521036969687506,14
2010-10-27,2,-0.07308341323281249,8
2010-10-28,8,-0.0401625,14
2010-10-29,0,-0.029720249999999997,7
2010-10-30,0,-0.023280862499999996,4
2010-10-31,0,-0.018957273750000003,4
2010-11-01,0,-0.015876716765625045,18
2010-11-02,2,-0.013583413232812524,6
2010-11-03,9,0.0,6
2010-11-04,3,0.0,10
2010-11-05,8,0.0,14
2010-11-06,9,0.0,4
2010-11-07,0,0.0,0
2010-11-08,2,0.0,6
2010-11-09,2,0.0,5
2010-11-10,1,0.0,9
2010-11-11,2,5.0,4
2010-11-12,3,-1.5000000000000002,8
2010-11-13,1,-0.5249999999999997,3
2010-11-14,7,-0.2974999999999999,0
2010-11-15,1,-0.20081249999999998,0
2010-11-16,1,-0.14860125,0
2010-11-17,0,-0.11640431249999998,2
2010-11-18,1,-0.09478636875000002,8
2010-11-19,4,-0.07938358382812523,5
2010-11-20,5,-0.06791706616406262,1
2010-11-21,6,0.0,1
2010-11-22,6,0.0,4
2010-11-23,7,0.0,2
2010-11-24,4,0.0,1
2010-11-25,10,4.0,0
2010-11-26,10,-1.2000000000000002,1
2010-11-27,2,0.5800000000000003,1
2010-11-28,0,-0.5379999999999999,1
2010-11-29,5,0.7343500000000001,5
2010-11-30,6,-0.478381,10
2010-12-01,6,-0.2382859499999999,4
2010-12-02,8,-0.165049345,9
2010-12-03,14,-0.12695022956250018,5
2010-12-04,5,-0.1030111766812501,0
2010-12-05,0,-0.03915757926562504,3
2010-12-06,1,-0.032540686982812525,13
2010-12-07,9,-0.015876716765625045,28
2010-12-08,5,-0.013583413232812524,29
2010-12-09,12,0.0,17
2010-12-10,10,0.0,5
2010-12-11,11,0.0,1
2010-12-12,4,0.0,4
2010-12-13,9,0.0,18
2010-12-14,7,0.0,17
2010-12-15,13,0.0,14
2010-12-16,10,0.0,17
2010-12-17,5,0.0,12
2010-12-18,6,0.0,0
2010-12-19,0,0.0,0
2010-12-20,7,0.0,2
2010-12-21,7,0.0,2
2010-12-22,6,0.0,0
2010-12-23,2,0.0,5
2010-12-24,2,0.0,1
2010-12-25,4,0.0,0
2010-12-26,0,0.0,0
2010-12-27,0,0.0,3
2010-12-28,0,0.0,0
2010-12-29,1,0.0,0
2010-12-30,7,0.0,1
2010-12-31,17,0.0,0
2011-01-01,1,0.0,0
2011-01-02,0,0.0,0
2011-01-03,9,0.0,2
2011-01-04,14,0.0,13
2011-01-05,4,0.0,14
2011-01-06,6,0.0,6
2011-01-07,5,0.0,8
2011-01-08,2,0.0,5
2011-01-09,0,0.0,3
2011-01-10,12,0.0,5
2011-01-11,5,0.0,15
2011-01-12,10,0.0,16
2011-01-13,1,0.0,11
2011-01-14,7,0.0,11
2011-01-15,2,0.0,1
2011-01-16,0,0.0,3
2011-01-17,7,0.0,1
2011-01-18,7,0.0,14
2011-01-19,5,0.0,31
2011-01-20,7,0.0,32
2011-01-21,8,0.0,9
2011-01-22,2,0.0,3
2011-01-23,0,0.0,0
2011-01-24,5,0.0,10
2011-01-25,4,0.0,12
2011-01-26,6,0.0,12
2011-01-27,11,0.0,13
2011-01-28,7,0.0,7
2011-01-29,0,0.0,4
2011-01-30,3,0.0,4
2011-01-31,4,0.0,16
2011-02-01,5,0.0,24
2011-02-02,9,0.0,18
2011-02-03,3,0.0,23
2011-02-04,2,1.0,13
2011-02-05,0,-0.30000000000000004,6
2011-02-06,0,-0.10499999999999993,0
2011-02-07,5,-0.05949999999999997,6
2011-02-08,1,-0.0401625,7
2011-02-09,10,-0.029720249999999997,25
2011-02-10,10,-0.023280862499999996,11
2011-02-11,9,-0.018957273750000003,16
2011-02-12,0,-0.015876716765625045,3
2011-02-13,0,-0.013583413232812524,2
2011-02-14,5,0.0,9
2011-02-15,11,0.0,7
2011-02-16,7,0.0,19
2011-02-17,1,0.0,14
2011-02-18,3,0.0,13
2011-02-19,4,0.0,2
2011-02-20,0,0.0,1
2011-02-21,1,0.0,5
2011-02-22,4,10.0,10
2011-02-23,12,-3.0000000000000004,24
2011-02-24,8,-1.0499999999999994,10
2011-02-25,12,-0.5949999999999998,17
2011-02-26,6,2.598375,1
2011-02-27,0,-0.19720250000000017,0
2011-02-28,2,-0.8478086249999998,7
2011-03-01,9,3.5269272625,9
2011-03-02,27,4.461245332343749,11
2011-03-03,16,-2.485157382328125,14
2011-03-04,12,0.032437162500000616,10
2011-03-05,3,-0.8978026837499998,10
2011-03-06,6,0.46855657595312494,12
2011-03-07,18,1.3124280935359374,31
2011-03-08,17,-0.9742601832328125,19
2011-03-09,23,-0.47647075956250007,12
2011-03-10,18,-0.3320373160250003,14
2011-03-11,17,-0.21050300314687515,14
2011-03-12,4,-0.09859807926562503,6
2011-03-13,2,3.9208975880171875,2
2011-03-14,27,5.746208735734375,4
2011-03-15,12,-0.5653368467640627,13
2011-03-16,15,-1.6001668264656246,20
2011-03-17,9,6.21285,16
2011-03-18,24,1.3809814999999999,7
2011-03-19,15,0.6835098000000004,1
2011-03-20,13,4.9652643675000006,1
2011-03-21,32,5.823092991687499,8
2011-03-22,29,15.814423032209376,11
2011-03-23,24,-3.8906718636609376,18
2011-03-24,17,-4.458789442715624,7
2011-03-25,30,-2.4363129498593743,19
2011-03-26,6,1.3128391315578125,6
2011-03-27,11,0.900752518021875,3
2011-03-28,8,-2.1220009708078127,11
2011-03-29,17,-1.2037432685203129,31
2011-03-30,12,-0.8146016494078135,8
2011-03-31,23,-0.5448233817187507,10
2011-04-01,26,-0.21333699043125007,3
2011-04-02,6,1.87328559125,6
2011-04-03,10,-0.7045019715468752,3
2011-04-04,1,0.7016196100046874,13
