,php/php-src,python/cpython,ruby/ruby
2020-03-05,5,4,8
2020-03-06,17,14,10
2020-03-07,1,8,9
2020-03-08,0,8,6
2020-03-09,13,21,9
2020-03-10,7,9,16
2020-03-11,8,18,8
2020-03-12,18,9,8
2020-03-13,8,10,6
2020-03-14,0,11,3
2020-03-15,3,6,13
2020-03-16,20,8,7
2020-03-17,38,14,7
2020-03-18,20,11,1
2020-03-19,7,8,6
2020-03-20,20,8,0
2020-03-21,1,2,8
2020-03-22,0,4,15
2020-03-23,29,10,6
2020-03-24,4,11,13
2020-03-25,15,11,5
2020-03-26,11,10,19
2020-03-27,3,7,7
2020-03-28,0,2,16
2020-03-29,6,2,3
2020-03-30,27,8,15
2020-03-31,28,15,5
2020-04-01,17,11,11
2020-04-02,22,12,15
2020-04-03,19,8,11
2020-04-04,8,7,7
2020-04-05,3,2,11
2020-04-06,7,4,11
2020-04-07,16,11,8
2020-04-08,16,8,21
2020-04-09,23,3,9
2020-04-10,10,6,25
2020-04-11,6,5,9
2020-04-12,4,7,9
2020-04-13,3,11,9
2020-04-14,54,20,9
2020-04-15,20,15,12
2020-04-16,14,5,14
2020-04-17,7,15,12
2020-04-18,6,8,18
2020-04-19,4,6,6
2020-04-20,23,6,10
2020-04-21,11,5,18
2020-04-22,18,13,10
2020-04-23,14,15,11
2020-04-24,19,8,13
2020-04-25,2,6,7
2020-04-26,5,3,12
2020-04-27,30,15,4
2020-04-28,23,13,11
2020-04-29,23,28,11
2020-04-30,9,11,6
2020-05-01,9,22,24
2020-05-02,7,8,13
2020-05-03,1,6,15
2020-05-04,24,15,8
2020-05-05,7,21,8
2020-05-06,21,12,13
2020-05-07,25,10,54
2020-05-08,6,7,73
2020-05-09,2,2,13
2020-05-10,0,8,16
2020-05-11,26,7,16
2020-05-12,35,13,31
2020-05-13,26,14,15
2020-05-14,19,12,15
2020-05-15,19,18,8
2020-05-16,12,17,3
2020-05-17,10,11,9
2020-05-18,15,30,13
2020-05-19,15,17,4
2020-05-20,50,6,8
2020-05-21,2,11,8
2020-05-22,19,10,19
2020-05-23,0,6,22
2020-05-24,1,9,10
2020-05-25,13,15,11
2020-05-26,30,15,16
2020-05-27,20,17,15
2020-05-28,22,17,8
2020-05-29,9,6,16
2020-05-30,3,4,5
2020-05-31,7,5,7
2020-06-01,5,12,6
2020-06-02,11,10,8
2020-06-03,13,6,19
2020-06-04,19,12,94
2020-06-05,20,13,18
2020-06-06,3,5,7
2020-06-07,13,5,6
2020-06-08,19,18,8
2020-06-09,25,3,42
2020-06-10,21,16,13
2020-06-11,2,14,23
2020-06-12,20,10,10
2020-06-13,4,6,6
2020-06-14,0,3,10
2020-06-15,6,15,19
2020-06-16,18,7,13
2020-06-17,18,13,17
2020-06-18,39,5,84
2020-06-19,15,8,17
2020-06-20,1,8,13
2020-06-21,3,6,14
2020-06-22,8,11,16
2020-06-23,32,21,11
2020-06-24,37,9,15
2020-06-25,16,18,9
2020-06-26,12,2,10
2020-06-27,0,7,22
2020-06-28,4,7,4
2020-06-29,19,9,112
2020-06-30,28,12,6
2020-07-01,6,6,14
2020-07-02,24,3,3
2020-07-03,7,9,9
2020-07-04,2,2,9
2020-07-05,0,5,21
2020-07-06,17,13,5
2020-07-07,46,4,0
2020-07-08,17,6,7
2020-07-09,26,8,6
2020-07-10,32,7,15
2020-07-11,12,2,3
2020-07-12,4,3,15
2020-07-13,19,2,8
2020-07-14,14,3,2
2020-07-15,14,7,42
2020-07-16,17,6,3
2020-07-17,25,4,2
2020-07-18,0,5,5
2020-07-19,1,3,46
2020-07-20,33,10,15
2020-07-21,43,2,23
2020-07-22,27,3,6
2020-07-23,25,4,16
2020-07-24,10,0,4
2020-07-25,1,5,0
2020-07-26,3,3,2
2020-07-27,33,8,7
2020-07-28,22,5,10
2020-07-29,44,2,10
2020-07-30,13,1,12
2020-07-31,15,1,53
2020-08-01,7,1,12
2020-08-02,9,2,3
2020-08-03,42,7,9
2020-08-04,24,7,3
2020-08-05,34,4,5
2020-08-06,12,3,4
2020-08-07,23,9,5
2020-08-08,1,6,0
2020-08-09,2,3,0
2020-08-10,31,7,9
2020-08-11,24,8,9
2020-08-12,5,5,5
2020-08-13,25,11,9
2020-08-14,21,4,4
2020-08-15,0,3,6
2020-08-16,2,3,10
2020-08-17,8,6,13
2020-08-18,20,0,34
2020-08-19,7,1,19
2020-08-20,5,3,6
2020-08-21,9,3,19
2020-08-22,5,0,4
2020-08-23,2,0,5
2020-08-24,28,1,6
2020-08-25,28,1,7
2020-08-26,33,4,3
2020-08-27,24,7,31
2020-08-28,18,1,11
2020-08-29,7,3,15
2020-08-30,3,5,3
2020-08-31,55,1,18
2020-09-01,21,8,18
2020-09-02,29,13,14
2020-09-03,39,8,9
2020-09-04,16,7,10
2020-09-05,3,4,7
2020-09-06,2,3,5
2020-09-07,18,8,8
2020-09-08,35,9,7
2020-09-09,30,9,7
2020-09-10,15,5,7
2020-09-11,16,1,20
2020-09-12,5,4,3
2020-09-13,4,3,9
2020-09-14,25,6,45
2020-09-15,34,10,15
2020-09-16,16,8,8
2020-09-17,41,3,12
2020-09-18,26,5,17
2020-09-19,3,5,3
