,golang/go,nim-lang/Nim,rust-lang/rust
2014-09-16,23,5,22
2014-09-17,13,7,61
2014-09-18,14,18,30
2014-09-19,22,5,21
2014-09-20,0,0,18
2014-09-21,1,7,12
2014-09-22,7,2,43
2014-09-23,5,2,19
2014-09-24,21,1,34
2014-09-25,16,1,31
2014-09-26,21,3,21
2014-09-27,1,3,16
2014-09-28,1,3,9
2014-09-29,14,0,47
2014-09-30,22,0,37
2014-10-01,12,4,40
2014-10-02,9,10,67
2014-10-03,9,0,43
2014-10-04,4,6,22
2014-10-05,1,8,27
2014-10-06,18,0,25
2014-10-07,13,1,29
2014-10-08,13,1,23
2014-10-09,11,1,48
2014-10-10,2,5,12
2014-10-11,3,10,25
2014-10-12,1,6,23
2014-10-13,5,1,41
2014-10-14,6,4,22
2014-10-15,19,2,28
2014-10-16,10,1,27
2014-10-17,9,3,21
2014-10-18,2,2,17
2014-10-19,5,19,16
2014-10-20,16,2,15
2014-10-21,7,12,23
2014-10-22,10,2,20
2014-10-23,3,1,21
2014-10-24,9,5,19
2014-10-25,1,4,26
2014-10-26,1,4,21
2014-10-27,17,0,53
2014-10-28,21,0,41
2014-10-29,22,4,24
2014-10-30,16,3,45
2014-10-31,9,5,37
2014-11-01,2,7,18
2014-11-02,1,13,30
2014-11-03,8,18,76
2014-11-04,4,6,24
2014-11-05,8,3,34
2014-11-06,14,4,69
2014-11-07,4,4,40
2014-11-08,1,6,18
2014-11-09,7,0,31
2014-11-10,13,4,18
2014-11-11,26,3,18
2014-11-12,16,5,32
2014-11-13,7,5,20
2014-11-14,21,12,20
2014-11-15,2,2,14
2014-11-16,4,8,42
2014-11-17,10,3,62
2014-11-18,11,2,42
2014-11-19,6,4,73
2014-11-20,9,5,38
2014-11-21,13,1,55
2014-11-22,4,2,18
2014-11-23,1,2,46
2014-11-24,4,0,25
2014-11-25,4,1,36
2014-11-26,0,0,33
2014-11-27,0,5,45
2014-11-28,0,4,11
2014-11-29,0,2,7
2014-11-30,0,2,16
2014-12-01,2,1,12
2014-12-02,2,0,18
2014-12-03,2,2,33
2014-12-04,2,3,41
2014-12-05,11,2,60
2014-12-06,4,2,17
2014-12-07,0,1,51
2014-12-08,13,9,27
2014-12-09,7,2,42
2014-12-10,7,7,20
2014-12-11,9,5,17
2014-12-12,12,8,24
2014-12-13,4,3,122
2014-12-14,3,5,79
2014-12-15,4,5,47
2014-12-16,9,1,37
2014-12-17,2,12,63
2014-12-18,21,7,41
2014-12-19,7,8,103
2014-12-20,8,4,45
2014-12-21,2,8,57
2014-12-22,27,7,62
2014-12-23,22,4,26
2014-12-24,5,5,22
2014-12-25,1,1,35
2014-12-26,5,22,30
2014-12-27,2,2,27
2014-12-28,7,5,35
2014-12-29,6,10,63
2014-12-30,7,15,126
2014-12-31,3,9,42
2015-01-01,6,4,49
2015-01-02,7,24,70
2015-01-03,2,15,61
2015-01-04,7,3,60
2015-01-05,11,19,127
2015-01-06,22,18,136
2015-01-07,25,10,78
2015-01-08,17,4,109
2015-01-09,8,0,43
2015-01-10,3,25,33
2015-01-11,2,19,48
2015-01-12,12,11,86
2015-01-13,8,20,32
2015-01-14,21,10,34
2015-01-15,14,12,91
2015-01-16,6,5,50
2015-01-17,2,21,44
2015-01-18,3,39,46
2015-01-19,15,15,43
2015-01-20,9,3,72
2015-01-21,30,5,96
2015-01-22,5,12,51
2015-01-23,10,6,28
2015-01-24,4,5,43
2015-01-25,1,4,22
2015-01-26,10,1,31
2015-01-27,10,24,66
2015-01-28,29,13,44
2015-01-29,16,9,40
2015-01-30,27,6,65
2015-01-31,1,7,28
2015-02-01,0,16,36
2015-02-02,11,5,51
2015-02-03,29,9,43
2015-02-04,23,35,21
2015-02-05,13,3,49
2015-02-06,26,7,71
2015-02-07,5,19,35
2015-02-08,7,12,18
2015-02-09,11,8,21
2015-02-10,13,11,66
2015-02-11,22,7,75
2015-02-12,17,18,39
2015-02-13,34,16,46
2015-02-14,10,15,25
2015-02-15,4,10,71
2015-02-16,8,37,71
2015-02-17,29,4,86
2015-02-18,14,14,123
2015-02-19,21,5,36
2015-02-20,22,19,17
2015-02-21,8,13,53
2015-02-22,3,4,72
2015-02-23,30,3,64
2015-02-24,15,17,105
2015-02-25,38,7,32
2015-02-26,27,4,31
2015-02-27,12,10,34
2015-02-28,11,10,41
2015-03-01,20,8,43
2015-03-02,28,1,32
2015-03-03,30,13,76
2015-03-04,24,13,31
2015-03-05,31,21,55
2015-03-06,15,11,59
2015-03-07,3,14,15
2015-03-08,4,13,38
2015-03-09,8,9,35
2015-03-10,12,10,33
2015-03-11,12,12,24
2015-03-12,18,30,33
2015-03-13,10,10,29
2015-03-14,8,10,18
2015-03-15,7,5,42
2015-03-16,26,19,30
2015-03-17,25,20,53
2015-03-18,10,4,37
2015-03-19,15,1,57
2015-03-20,28,1,41
2015-03-21,3,7,10
2015-03-22,0,16,23
2015-03-23,13,8,96
2015-03-24,27,8,65
2015-03-25,10,9,24
2015-03-26,11,9,44
2015-03-27,15,13,79
2015-03-28,11,3,26
2015-03-29,1,2,34
2015-03-30,16,7,37
2015-03-31,12,1,75
2015-04-01,16,13,95
2015-04-02,21,2,34
2015-04-03,20,14,37
2015-04-04,5,6,42
2015-04-05,0,7,18
2015-04-06,12,11,21
2015-04-07,24,5,43
2015-04-08,38,16,68
2015-04-09,20,28,38
2015-04-10,24,17,57
2015-04-11,11,16,45
2015-04-12,15,7,21
2015-04-13,32,7,36
2015-04-14,13,9,86
2015-04-15,22,6,49
2015-04-16,36,0,31
2015-04-17,30,8,75
2015-04-18,9,5,35
2015-04-19,2,4,22
2015-04-20,16,10,35
2015-04-21,31,16,99
2015-04-22,22,19,30
2015-04-23,11,4,45
2015-04-24,22,24,63
2015-04-25,1,7,50
2015-04-26,11,14,25
2015-04-27,24,6,51
2015-04-28,24,8,31
2015-04-29,32,5,97
2015-04-30,22,6,70
2015-05-01,21,1,44
2015-05-02,5,17,36
2015-05-03,6,5,23
2015-05-04,12,12,43
2015-05-05,20,4,52
2015-05-06,41,3,58
2015-05-07,21,17,56
2015-05-08,6,9,43
2015-05-09,3,0,37
2015-05-10,2,1,54
2015-05-11,28,2,54
2015-05-12,19,3,63
2015-05-13,16,15,66
2015-05-14,21,6,52
2015-05-15,29,5,53
2015-05-16,4,15,39
2015-05-17,3,12,40
2015-05-18,17,4,33
2015-05-19,16,8,84
2015-05-20,8,4,36
2015-05-21,11,1,35
2015-05-22,16,0,21
2015-05-23,3,4,34
2015-05-24,0,9,26
2015-05-25,2,19,34
2015-05-26,8,36,35
2015-05-27,13,2,30
2015-05-28,16,15,41
2015-05-29,8,1,41
2015-05-30,5,4,20
2015-05-31,2,4,22
2015-06-01,8,5,28
2015-06-02,15,10,34
2015-06-03,35,3,26
2015-06-04,22,38,30
2015-06-05,29,11,25
2015-06-06,5,11,30
2015-06-07,4,34,20
2015-06-08,7,3,44
2015-06-09,14,13,58
2015-06-10,7,25,40
2015-06-11,14,11,36
2015-06-12,14,4,35
2015-06-13,4,5,25
2015-06-14,15,10,18
2015-06-15,17,26,35
2015-06-16,18,10,19
2015-06-17,25,8,52
2015-06-18,25,29,51
2015-06-19,20,11,36
2015-06-20,2,7,37
2015-06-21,2,7,28
2015-06-22,13,3,28
2015-06-23,9,10,44
2015-06-24,13,13,40
2015-06-25,14,22,36
2015-06-26,34,15,25
2015-06-27,7,3,21
2015-06-28,2,2,9
2015-06-29,36,11,32
2015-06-30,18,12,57
2015-07-01,7,24,37
2015-07-02,9,22,28
2015-07-03,2,16,26
2015-07-04,0,6,28
2015-07-05,7,5,35
2015-07-06,2,7,35
2015-07-07,11,1,29
2015-07-08,1,7,46
2015-07-09,8,16,32
2015-07-10,9,4,27
2015-07-11,9,7,27
2015-07-12,9,5,32
2015-07-13,19,5,38
2015-07-14,13,4,39
2015-07-15,56,3,11
2015-07-16,15,2,47
2015-07-17,13,5,37
2015-07-18,9,4,33
2015-07-19,1,0,24
2015-07-20,12,1,52
2015-07-21,24,7,46
2015-07-22,27,4,63
2015-07-23,27,11,45
2015-07-24,9,5,60
2015-07-25,0,1,34
2015-07-26,4,11,35
2015-07-27,46,0,32
2015-07-28,34,2,52
2015-07-29,21,3,53
2015-07-30,31,3,32
2015-07-31,16,12,31
2015-08-01,0,8,16
2015-08-02,3,29,21
2015-08-03,10,13,20
2015-08-04,27,9,40
2015-08-05,23,4,37
2015-08-06,20,4,41
2015-08-07,5,8,23
2015-08-08,0,2,16
2015-08-09,0,13,21
2015-08-10,5,1,27
2015-08-11,12,0,66
2015-08-12,9,5,109
2015-08-13,6,3,78
2015-08-14,2,9,28
2015-08-15,4,3,36
2015-08-16,1,6,40
2015-08-17,6,1,81
2015-08-18,10,3,42
2015-08-19,10,0,39
2015-08-20,3,4,26
2015-08-21,19,16,29
2015-08-22,5,1,49
2015-08-23,2,6,25
2015-08-24,16,3,42
2015-08-25,17,12,67
2015-08-26,15,4,44
2015-08-27,11,0,44
2015-08-28,19,6,28
2015-08-29,13,0,23
2015-08-30,6,6,29
2015-08-31,16,3,37
2015-09-01,13,2,51
2015-09-02,8,1,41
2015-09-03,16,10,60
2015-09-04,21,19,66
2015-09-05,12,13,31
2015-09-06,5,11,49
2015-09-07,12,11,27
2015-09-08,18,13,30
2015-09-09,25,5,29
2015-09-10,25,15,43
2015-09-11,13,8,32
2015-09-12,7,13,19
2015-09-13,2,4,15
2015-09-14,12,16,40
2015-09-15,17,6,32
2015-09-16,16,5,25
2015-09-17,14,10,56
2015-09-18,17,13,25
2015-09-19,6,1,52
2015-09-20,5,0,44
2015-09-21,10,9,29
2015-09-22,7,9,30
2015-09-23,18,23,19
2015-09-24,8,5,47
2015-09-25,8,10,32
2015-09-26,0,2,44
2015-09-27,2,5,31
2015-09-28,7,4,15
2015-09-29,9,26,27
2015-09-30,10,20,62
2015-10-01,9,16,53
2015-10-02,14,7,54
2015-10-03,6,15,23
2015-10-04,3,3,11
2015-10-05,7,4,25
2015-10-06,16,16,37
2015-10-07,4,35,47
2015-10-08,11,9,60
2015-10-09,18,2,32
2015-10-10,4,7,19
2015-10-11,2,0,19
2015-10-12,4,15,29
2015-10-13,5,17,53
2015-10-14,10,6,41
2015-10-15,6,8,46
2015-10-16,9,11,31
2015-10-17,4,0,22
2015-10-18,9,1,25
2015-10-19,23,5,40
2015-10-20,24,0,31
2015-10-21,22,1,25
2015-10-22,16,15,31
2015-10-23,17,4,44
2015-10-24,0,5,26
2015-10-25,1,4,31
2015-10-26,14,1,32
2015-10-27,7,14,38
2015-10-28,20,6,49
2015-10-29,14,4,33
2015-10-30,18,4,15
2015-10-31,1,2,11
2015-11-01,4,5,19
2015-11-02,4,4,19
2015-11-03,16,5,58
2015-11-04,11,0,32
2015-11-05,23,0,47
2015-11-06,6,1,24
2015-11-07,5,6,17
2015-11-08,10,2,26
2015-11-09,6,0,30
2015-11-10,19,11,41
2015-11-11,19,6,51
2015-11-12,62,2,51
2015-11-13,24,0,32
2015-11-14,12,0,27
2015-11-15,7,0,23
2015-11-16,16,0,41
2015-11-17,18,0,54
2015-11-18,22,7,20
2015-11-19,22,2,58
2015-11-20,21,1,44
2015-11-21,5,0,16
2015-11-22,1,0,25
2015-11-23,9,12,31
2015-11-24,25,1,33
2015-11-25,18,5,40
2015-11-26,8,12,41
2015-11-27,2,2,15
2015-11-28,5,2,14
2015-11-29,3,0,13
2015-11-30,7,12,39
2015-12-01,15,5,26
2015-12-02,17,2,37
2015-12-03,21,6,23
2015-12-04,18,4,29
2015-12-05,19,1,24
2015-12-06,2,0,23
2015-12-07,15,2,16
2015-12-08,5,3,27
2015-12-09,17,3,33
2015-12-10,11,1,30
2015-12-11,14,0,26
2015-12-12,2,0,22
2015-12-13,0,1,32
2015-12-14,17,3,26
2015-12-15,20,1,23
2015-12-16,23,7,45
2015-12-17,50,7,39
2015-12-18,17,2,55
2015-12-19,3,1,30
2015-12-20,0,4,13
2015-12-21,2,0,26
2015-12-22,7,0,21
2015-12-23,0,4,41
2015-12-24,4,3,6
2015-12-25,0,2,22
2015-12-26,0,2,8
2015-12-27,0,0,11
2015-12-28,1,3,18
2015-12-29,11,14,21
2015-12-30,2,2,40
2015-12-31,2,0,22
2016-01-01,1,1,17
2016-01-02,1,0,29
2016-01-03,1,5,18
2016-01-04,8,8,40
2016-01-05,18,7,27
2016-01-06,40,4,58
2016-01-07,22,1,42
2016-01-08,36,5,16
2016-01-09,5,0,16
2016-01-10,5,1,11
2016-01-11,8,2,29
2016-01-12,7,0,48
2016-01-13,29,5,41
2016-01-14,15,4,81
2016-01-15,3,6,37
2016-01-16,3,16,38
2016-01-17,0,21,29
2016-01-18,6,27,33
2016-01-19,10,10,31
2016-01-20,6,2,34
2016-01-21,10,10,42
2016-01-22,6,6,38
2016-01-23,3,2,35
2016-01-24,15,4,16
2016-01-25,7,1,25
2016-01-26,17,9,55
2016-01-27,29,5,30
2016-01-28,4,4,30
2016-01-29,15,0,52
2016-01-30,1,8,31
2016-01-31,1,3,32
2016-02-01,4,0,44
2016-02-02,11,2,55
2016-02-03,6,2,52
2016-02-04,13,0,45
2016-02-05,6,3,33
2016-02-06,2,19,27
2016-02-07,2,6,26
2016-02-08,7,6,39
2016-02-09,9,0,48
2016-02-10,4,4,29
2016-02-11,3,1,82
2016-02-12,5,3,56
2016-02-13,2,1,62
2016-02-14,0,0,43
2016-02-15,0,1,45
2016-02-16,10,4,22
2016-02-17,7,3,38
2016-02-18,11,7,38
2016-02-19,22,3,33
2016-02-20,12,0,26
2016-02-21,23,1,23
2016-02-22,16,1,21
2016-02-23,21,2,22
2016-02-24,32,9,45
2016-02-25,30,3,25
2016-02-26,37,8,42
2016-02-27,12,2,44
2016-02-28,14,7,29
2016-02-29,22,14,23
2016-03-01,23,7,28
2016-03-02,25,2,47
2016-03-03,25,2,28
2016-03-04,27,15,51
2016-03-05,11,12,28
2016-03-06,9,11,27
2016-03-07,27,7,55
2016-03-08,32,4,49
2016-03-09,27,0,53
2016-03-10,29,6,45
2016-03-11,28,0,37
2016-03-12,13,1,46
2016-03-13,10,0,52
2016-03-14,25,3,70
2016-03-15,24,3,49
2016-03-16,43,3,25
2016-03-17,24,2,118
2016-03-18,25,13,55
2016-03-19,3,0,42
2016-03-20,13,0,23
2016-03-21,33,2,67
2016-03-22,18,1,33
2016-03-23,18,11,57
2016-03-24,20,1,45
2016-03-25,28,1,71
2016-03-26,8,1,70
2016-03-27,6,2,41
2016-03-28,17,8,44
2016-03-29,21,10,59
2016-03-30,32,4,55
2016-03-31,32,10,50
2016-04-01,22,4,35
2016-04-02,7,3,34
2016-04-03,12,8,22
2016-04-04,16,22,33
2016-04-05,29,9,41
2016-04-06,37,5,70
2016-04-07,23,3,49
2016-04-08,15,2,29
2016-04-09,8,2,16
2016-04-10,14,1,17
2016-04-11,25,5,52
2016-04-12,37,0,24
2016-04-13,28,8,35
2016-04-14,32,0,75
2016-04-15,18,0,51
2016-04-16,10,0,24
2016-04-17,6,3,36
2016-04-18,17,2,22
2016-04-19,20,4,37
2016-04-20,20,0,23
2016-04-21,28,0,30
2016-04-22,26,0,27
2016-04-23,5,0,18
2016-04-24,9,2,26
2016-04-25,13,0,27
2016-04-26,23,5,27
2016-04-27,40,1,23
2016-04-28,25,1,44
2016-04-29,29,5,21
2016-04-30,7,1,19
2016-05-01,19,1,20
2016-05-02,8,2,87
2016-05-03,9,0,60
2016-05-04,24,3,11
2016-05-05,21,1,24
2016-05-06,27,0,43
2016-05-07,4,1,45
2016-05-08,3,0,21
2016-05-09,11,1,74
2016-05-10,15,14,49
2016-05-11,17,21,85
2016-05-12,11,4,38
2016-05-13,5,8,35
2016-05-14,8,2,35
2016-05-15,6,6,40
2016-05-16,13,4,42
2016-05-17,6,3,26
2016-05-18,29,6,54
2016-05-19,19,7,31
2016-05-20,13,4,31
2016-05-21,3,1,26
2016-05-22,1,4,12
2016-05-23,3,7,46
2016-05-24,19,4,51
2016-05-25,19,6,34
2016-05-26,17,6,29
2016-05-27,26,10,52
2016-05-28,1,17,35
2016-05-29,4,8,17
2016-05-30,3,18,50
2016-05-31,18,24,55
2016-06-01,18,19,59
2016-06-02,22,25,37
2016-06-03,15,10,33
2016-06-04,0,9,19
2016-06-05,2,11,56
2016-06-06,4,28,28
2016-06-07,3,16,42
2016-06-08,8,17,42
2016-06-09,9,7,66
2016-06-10,5,4,48
2016-06-11,1,5,23
2016-06-12,2,9,25
2016-06-13,6,15,31
2016-06-14,8,10,27
2016-06-15,6,8,24
2016-06-16,8,8,66
2016-06-17,2,9,24
2016-06-18,0,3,16
2016-06-19,1,5,16
2016-06-20,6,6,33
2016-06-21,6,8,43
2016-06-22,5,5,30
2016-06-23,6,8,43
2016-06-24,9,5,29
2016-06-25,1,2,29
2016-06-26,2,8,14
2016-06-27,10,4,27
2016-06-28,13,6,44
2016-06-29,7,0,44
2016-06-30,9,2,21
2016-07-01,2,8,42
2016-07-02,2,5,33
2016-07-03,1,1,28
2016-07-04,4,5,22
2016-07-05,1,17,34
2016-07-06,6,15,46
2016-07-07,3,1,29
2016-07-08,7,14,60
2016-07-09,0,9,16
2016-07-10,0,0,27
2016-07-11,5,13,23
2016-07-12,4,10,35
2016-07-13,7,5,36
2016-07-14,1,8,41
2016-07-15,4,8,35
2016-07-16,3,6,26
2016-07-17,1,0,25
2016-07-18,12,8,20
2016-07-19,1,12,31
2016-07-20,5,9,14
2016-07-21,8,10,25
2016-07-22,2,4,35
2016-07-23,1,1,7
2016-07-24,1,1,17
2016-07-25,1,0,18
2016-07-26,8,0,27
2016-07-27,4,7,34
2016-07-28,2,17,36
2016-07-29,1,8,53
2016-07-30,0,19,29
2016-07-31,0,4,24
2016-08-01,1,2,38
2016-08-02,10,8,41
2016-08-03,1,7,26
2016-08-04,5,5,38
2016-08-05,4,13,73
2016-08-06,2,3,42
2016-08-07,1,1,82
2016-08-08,2,11,72
2016-08-09,4,7,76
2016-08-10,4,3,44
2016-08-11,3,7,76
2016-08-12,0,1,27
2016-08-13,0,3,84
2016-08-14,0,0,52
2016-08-15,5,1,25
2016-08-16,65,2,31
2016-08-17,29,2,120
2016-08-18,21,0,59
2016-08-19,18,1,26
2016-08-20,3,1,38
2016-08-21,18,4,26
2016-08-22,27,4,40
2016-08-23,44,12,48
2016-08-24,14,6,39
2016-08-25,19,15,38
2016-08-26,23,18,19
2016-08-27,4,21,42
2016-08-28,6,2,41
2016-08-29,20,7,45
2016-08-30,30,1,61
2016-08-31,21,2,60
2016-09-01,11,14,53
2016-09-02,12,4,36
2016-09-03,2,18,40
2016-09-04,11,10,25
2016-09-05,7,6,56
2016-09-06,19,8,47
2016-09-07,13,6,41
2016-09-08,30,9,24
2016-09-09,18,13,18
2016-09-10,12,0,28
2016-09-11,17,1,34
2016-09-12,23,4,18
2016-09-13,18,10,60
2016-09-14,24,6,26
2016-09-15,24,17,42
2016-09-16,32,4,39
2016-09-17,9,20,14
2016-09-18,3,9,36
2016-09-19,13,7,29
2016-09-20,18,4,59
2016-09-21,16,8,14
2016-09-22,9,8,47
2016-09-23,7,2,35
2016-09-24,4,22,13
2016-09-25,10,17,26
2016-09-26,20,10,68
2016-09-27,21,2,67
2016-09-28,8,7,50
2016-09-29,17,7,40
2016-09-30,14,18,82
2016-10-01,7,2,40
2016-10-02,4,0,46
2016-10-03,16,5,46
2016-10-04,27,1,64
2016-10-05,30,3,29
2016-10-06,22,6,44
2016-10-07,11,0,43
2016-10-08,2,8,22
2016-10-09,7,6,21
2016-10-10,5,1,23
2016-10-11,18,1,43
2016-10-12,42,7,48
2016-10-13,23,5,20
2016-10-14,3,3,36
2016-10-15,8,1,29
2016-10-16,6,6,30
2016-10-17,43,2,32
2016-10-18,33,2,19
2016-10-19,35,3,62
2016-10-20,16,15,25
2016-10-21,15,14,63
2016-10-22,9,16,27
2016-10-23,2,7,16
2016-10-24,41,47,39
2016-10-25,52,9,26
2016-10-26,35,7,37
2016-10-27,38,5,27
2016-10-28,69,0,26
2016-10-29,12,0,12
2016-10-30,10,0,32
2016-10-31,28,12,36
2016-11-01,33,22,55
2016-11-02,19,5,41
2016-11-03,50,8,39
2016-11-04,19,0,40
2016-11-05,11,11,36
2016-11-06,1,12,25
2016-11-07,20,9,15
2016-11-08,17,9,39
2016-11-09,8,2,38
2016-11-10,25,2,53
2016-11-11,30,1,34
2016-11-12,12,1,67
2016-11-13,7,0,24
2016-11-14,6,9,31
2016-11-15,14,6,22
2016-11-16,19,0,28
2016-11-17,22,4,52
2016-11-18,11,3,43
2016-11-19,1,9,25
2016-11-20,2,2,38
2016-11-21,8,8,25
2016-11-22,21,4,30
2016-11-23,8,2,44
2016-11-24,3,9,26
