,laravel/framework,codeigniter4/CodeIgniter4,chriskacerguis/codeigniter-restserver
2015-11-27,9,0.0,0
2015-11-28,12,9.0,0
2015-11-29,4,4.2,0
2015-11-30,16,5.08,0
2015-12-01,59,11.687999999999999,0
2015-12-02,38,-1.9504000000000001,2
2015-12-03,28,1.7125759999999985,0
2015-12-04,17,0.795724799999999,0
2015-12-05,36,-1.9400652800000007,0
2015-12-06,17,-1.2307553280000003,0
2015-12-07,47,2.0674873344000004,0
2015-12-08,43,6.743694233600001,0
2015-12-09,26,3.6791099392000013,0
2015-12-10,15,-2.3163396096,0
2015-12-11,24,-1.0980697088000004,1
2015-12-12,8,-0.7264485376,0
2015-12-13,7,-0.5045824512000001,0
2015-12-14,18,1.6325734399999998,0
2015-12-15,28,-0.7011496959999999,0
2015-12-16,16,-0.4140700671999996,1
2015-12-17,28,0.7179189248000006,0
2015-12-18,12,7.6579838976,0
2015-12-19,30,5.268928000000001,0
2015-12-20,20,-2.1288576000000003,0
2015-12-21,10,4.98854656,7
2015-12-22,23,0.14088857600000004,4
2015-12-23,6,-0.3648555008000005,0
2015-12-24,22,-1.0071091200000004,0
2015-12-25,4,-0.6704030720000003,0
2015-12-26,11,-0.5144740863999997,0
2015-12-27,9,-0.40771358719999934,0
2015-12-28,23,-0.25523937279999986,0
2015-12-29,24,-0.14060851199999969,0
2015-12-30,29,-0.12051824639999967,0
2015-12-31,12,-0.03932641279999987,0
2016-01-01,7,-0.012469350399999964,0
2016-01-02,6,0.0,0
2016-01-03,6,0.0,0
2016-01-04,13,1.0,0
2016-01-05,16,2.8,0
2016-01-06,17,3.3200000000000003,1
2016-01-07,42,-1.088,0
2016-01-08,17,-0.4976000000000004,1
2016-01-09,1,-0.3183360000000002,0
2016-01-10,12,1.7685632,0
2016-01-11,1,1.41964288,0
2016-01-12,8,-0.7068830720000001,0
2016-01-13,28,0.6206606336,0
2016-01-14,12,1.5418411008000004,0
2016-01-15,28,4.3518505984,0
2016-01-16,4,-1.2999296,0
2016-01-17,9,-0.6043110400000005,0
2016-01-18,6,-0.39536486400000015,0
2016-01-19,7,0.7067850752000001,0
2016-01-20,5,-0.4104030208,0
2016-01-21,8,0.7696148479999999,0
2016-01-22,18,-0.3738783743999999,0
2016-01-23,9,4.789522739200001,0
2016-01-24,8,-1.1358827519999997,1
2016-01-25,7,-0.4540288000000004,0
2016-01-26,12,-0.2824627200000002,0
2016-01-27,11,0.7971834879999999,0
2016-01-28,1,-0.3570760704,0
2016-01-29,34,7.8034682879999995,0
2016-01-30,1,0.25489704960000026,9
2016-01-31,4,1.8544614399999997,0
2016-02-01,12,2.768117248,0
2016-02-02,18,12.5747712,0
2016-02-03,18,1.4475852800000002,0
2016-02-04,10,-2.641690112000001,0
2016-02-05,8,5.528251289599999,0
2016-02-06,0,3.5772144640000003,1
2016-02-07,5,-2.5465295872,0
2016-02-08,13,11.6345080832,0
2016-02-09,15,3.4427230208,0
2016-02-10,35,-3.1562909695999997,0
2016-02-11,37,-1.7267270656000004,0
2016-02-12,10,13.923793408,4
2016-02-13,5,-3.769442303999999,0
2016-02-14,15,-1.8179381248000008,0
2016-02-15,23,-1.1578650624000004,0
2016-02-16,31,-0.8095272959999995,0
2016-02-17,31,2.3541444608000006,0
2016-02-18,17,7.0062825472000005,2
2016-02-19,33,1.9060991999999999,0
2016-02-20,20,0.20018432000000042,0
2016-02-21,5,-1.391840256,2
2016-02-22,14,-0.6974080000000005,0
2016-02-23,7,9.5040256,0
2016-02-24,33,-2.38355456,0
2016-02-25,24,3.888635903999999,0
2016-02-26,25,-0.7410742271999997,0
2016-02-27,9,-1.1271590911999998,0
2016-02-28,13,-0.6540128256000002,0
2016-02-29,17,4.5547732992,0
2016-03-01,25,-1.3305472,0
2016-03-02,46,0.3284428800000002,0
2016-03-03,13,1.3302440960000002,0
2016-03-04,12,-0.7368652799999997,0
2016-03-05,8,2.5875855359999997,0
2016-03-06,6,-0.8442133504,0
2016-03-07,20,-0.4173696000000003,0
2016-03-08,5,7.71256064,0
2016-03-09,23,2.1790689280000004,0
2016-03-10,0,0.4351508479999997,0
2016-03-11,6,2.7934688255999998,0
2016-03-12,7,-1.4965188608000002,0
2016-03-13,5,-0.7978511360000003,0
2016-03-14,1,-0.5621824512000002,0
2016-03-15,7,6.59739904,0
2016-03-16,9,10.274189824,0
2016-03-17,10,3.7671257088000005,0
2016-03-18,18,2.1576402943999993,0
2016-03-19,27,19.5463104512,0
2016-03-20,1,-3.7678294015999994,2
2016-03-21,20,1.9153663999999981,0
2016-03-22,8,-0.9263846400000011,0
2016-03-23,19,-1.2097162240000006,0
2016-03-24,5,8.2904389632,0
2016-03-25,29,2.820514611200001,0
2016-03-26,5,8.1846505472,0
2016-03-27,6,-2.7595458559999986,0
2016-03-28,41,1.8418716671999995,0
2016-03-29,29,11.9838804992,0
2016-03-30,19,19.996847104,0
2016-03-31,13,6.2423375872,0
2016-04-01,48,12.165440409599999,0
