,llvm/llvm-project,gcc-mirror/gcc,golang/go
2012-06-03,16,6,7
2012-06-04,53,25,22
2012-06-05,60,20,8
2012-06-06,71,15,13
2012-06-07,49,11,15
2012-06-08,61,6,9
2012-06-09,28,7,0
2012-06-10,12,1,1
2012-06-11,38,20,3
2012-06-12,29,45,2
2012-06-13,42,31,16
2012-06-14,50,30,5
2012-06-15,87,25,3
2012-06-16,33,3,0
2012-06-17,40,14,0
2012-06-18,34,26,2
2012-06-19,72,21,7
2012-06-20,103,24,1
2012-06-21,69,9,1
2012-06-22,93,20,3
2012-06-23,28,4,1
2012-06-24,23,5,10
2012-06-25,47,27,20
2012-06-26,52,23,5
2012-06-27,63,18,7
2012-06-28,77,17,4
2012-06-29,75,18,2
2012-06-30,16,3,6
2012-07-01,9,4,2
2012-07-02,97,16,6
2012-07-03,50,25,8
2012-07-04,31,13,1
2012-07-05,40,17,2
2012-07-06,80,19,1
2012-07-07,25,5,0
2012-07-08,12,8,4
2012-07-09,42,25,1
2012-07-10,49,16,3
2012-07-11,59,8,4
2012-07-12,51,14,7
2012-07-13,57,17,6
2012-07-14,12,6,2
2012-07-15,20,4,1
2012-07-16,84,46,4
2012-07-17,72,20,1
2012-07-18,59,24,1
2012-07-19,56,25,3
2012-07-20,50,22,2
2012-07-21,18,12,2
2012-07-22,6,9,2
2012-07-23,33,26,4
2012-07-24,45,21,2
2012-07-25,55,24,4
2012-07-26,60,19,4
2012-07-27,51,14,8
2012-07-28,16,3,2
2012-07-29,9,2,6
2012-07-30,69,17,22
2012-07-31,76,23,5
2012-08-01,47,17,7
2012-08-02,66,26,3
2012-08-03,57,15,13
2012-08-04,19,8,3
2012-08-05,10,3,7
2012-08-06,38,28,5
2012-08-07,76,13,12
2012-08-08,80,15,10
2012-08-09,77,16,10
2012-08-10,68,21,2
2012-08-11,15,9,0
2012-08-12,9,8,1
2012-08-13,63,16,4
2012-08-14,67,19,2
2012-08-15,80,17,11
2012-08-16,60,26,3
2012-08-17,66,24,7
2012-08-18,30,7,2
2012-08-19,7,11,0
2012-08-20,47,23,10
2012-08-21,80,13,4
2012-08-22,79,17,6
2012-08-23,67,18,9
2012-08-24,114,14,13
2012-08-25,14,13,1
2012-08-26,4,23,2
2012-08-27,59,23,3
2012-08-28,94,9,4
2012-08-29,70,17,5
2012-08-30,78,7,5
2012-08-31,76,15,17
2012-09-01,35,5,10
2012-09-02,17,12,2
2012-09-03,28,16,2
2012-09-04,48,29,8
2012-09-05,93,23,3
2012-09-06,81,16,8
2012-09-07,73,17,12
2012-09-08,36,6,3
2012-09-09,10,11,2
2012-09-10,86,18,11
2012-09-11,81,24,11
2012-09-12,85,17,10
2012-09-13,92,20,12
2012-09-14,87,38,9
2012-09-15,32,12,0
2012-09-16,22,12,3
2012-09-17,65,27,14
2012-09-18,97,27,22
2012-09-19,76,37,10
2012-09-20,53,24,9
2012-09-21,87,15,10
2012-09-22,36,12,6
2012-09-23,7,7,7
2012-09-24,48,19,31
2012-09-25,59,24,8
2012-09-26,80,21,19
2012-09-27,64,17,9
2012-09-28,54,20,8
2012-09-29,34,16,2
2012-09-30,15,14,3
2012-10-01,50,48,9
2012-10-02,85,45,4
2012-10-03,99,18,9
2012-10-04,86,35,8
2012-10-05,69,25,8
2012-10-06,18,21,12
2012-10-07,17,11,34
2012-10-08,58,28,13
2012-10-09,93,26,15
2012-10-10,88,37,18
2012-10-11,77,36,11
2012-10-12,78,26,9
2012-10-13,31,8,1
2012-10-14,24,9,1
2012-10-15,69,28,3
2012-10-16,74,16,12
2012-10-17,69,14,10
2012-10-18,85,20,5
2012-10-19,83,15,6
2012-10-20,28,9,4
2012-10-21,23,13,11
2012-10-22,37,24,15
2012-10-23,76,40,1
2012-10-24,93,26,3
2012-10-25,83,25,4
2012-10-26,90,28,6
2012-10-27,38,10,1
2012-10-28,9,13,2
2012-10-29,73,61,11
2012-10-30,77,26,14
2012-10-31,86,39,15
2012-11-01,73,22,32
2012-11-02,72,26,11
2012-11-03,24,13,0
2012-11-04,7,13,3
2012-11-05,39,31,2
2012-11-06,79,68,14
2012-11-07,46,38,20
2012-11-08,34,15,15
2012-11-09,46,21,6
2012-11-10,30,11,3
2012-11-11,17,19,0
2012-11-12,69,32,13
2012-11-13,79,24,12
2012-11-14,94,21,11
2012-11-15,95,21,8
2012-11-16,80,29,7
2012-11-17,42,11,9
2012-11-18,15,13,2
2012-11-19,36,27,7
2012-11-20,43,32,5
2012-11-21,49,27,9
2012-11-22,20,17,0
2012-11-23,24,23,2
2012-11-24,16,9,7
2012-11-25,19,7,7
2012-11-26,54,22,27
2012-11-27,107,22,17
2012-11-28,68,33,4
2012-11-29,108,34,6
2012-11-30,76,20,10
2012-12-01,44,12,5
2012-12-02,9,11,0
2012-12-03,65,30,6
2012-12-04,135,28,10
2012-12-05,100,48,7
2012-12-06,103,25,17
2012-12-07,84,19,2
2012-12-08,24,10,2
2012-12-09,29,10,4
2012-12-10,61,21,10
2012-12-11,89,27,19
2012-12-12,99,24,13
2012-12-13,110,16,16
2012-12-14,75,9,6
2012-12-15,20,9,2
2012-12-16,16,9,2
2012-12-17,76,10,24
2012-12-18,88,20,8
2012-12-19,113,17,4
2012-12-20,133,26,7
2012-12-21,122,22,12
2012-12-22,24,4,27
2012-12-23,15,4,2
2012-12-24,37,1,5
2012-12-25,29,3,1
2012-12-26,47,3,2
2012-12-27,46,9,2
2012-12-28,23,4,8
2012-12-29,22,4,3
2012-12-30,26,1,3
2012-12-31,48,4,0
2013-01-01,15,4,2
2013-01-02,66,44,18
2013-01-03,37,38,5
2013-01-04,85,31,7
2013-01-05,73,5,1
2013-01-06,24,14,9
2013-01-07,134,30,16
2013-01-08,93,25,7
2013-01-09,96,20,15
2013-01-10,124,24,6
2013-01-11,107,12,18
2013-01-12,57,3,7
2013-01-13,32,8,3
2013-01-14,104,26,12
2013-01-15,81,24,2
2013-01-16,100,23,2
2013-01-17,86,15,12
2013-01-18,98,15,27
2013-01-19,51,6,5
2013-01-20,63,9,3
2013-01-21,101,15,6
2013-01-22,87,18,16
2013-01-23,96,13,14
2013-01-24,84,15,9
2013-01-25,137,14,2
2013-01-26,58,5,3
2013-01-27,43,4,1
2013-01-28,83,14,14
2013-01-29,117,29,15
2013-01-30,128,16,28
2013-01-31,123,22,23
2013-02-01,101,14,13
2013-02-02,31,5,12
2013-02-03,29,13,17
2013-02-04,38,22,19
2013-02-05,128,16,14
2013-02-06,83,39,6
2013-02-07,124,26,6
2013-02-08,87,22,20
2013-02-09,32,13,8
2013-02-10,32,2,4
2013-02-11,64,19,13
2013-02-12,98,20,10
2013-02-13,88,24,14
2013-02-14,114,15,29
2013-02-15,86,22,29
2013-02-16,55,5,3
2013-02-17,25,3,2
2013-02-18,63,8,7
2013-02-19,101,12,19
2013-02-20,113,17,25
2013-02-21,130,20,24
2013-02-22,102,10,23
2013-02-23,38,1,8
2013-02-24,25,6,10
2013-02-25,54,11,22
2013-02-26,77,20,22
2013-02-27,79,16,29
2013-02-28,75,24,31
2013-03-01,78,17,35
2013-03-02,22,3,14
2013-03-03,11,11,6
2013-03-04,38,19,19
2013-03-05,69,29,12
2013-03-06,50,23,22
2013-03-07,75,8,19
2013-03-08,69,22,11
2013-03-09,41,5,8
2013-03-10,14,3,8
2013-03-11,36,13,37
2013-03-12,65,6,39
2013-03-13,74,9,14
2013-03-14,103,12,21
2013-03-15,76,8,31
2013-03-16,20,10,2
2013-03-17,11,35,2
2013-03-18,113,18,11
2013-03-19,99,11,21
2013-03-20,140,20,17
2013-03-21,67,30,22
2013-03-22,93,21,27
2013-03-23,55,8,6
2013-03-24,14,8,4
2013-03-25,95,33,19
2013-03-26,133,23,21
2013-03-27,98,32,22
2013-03-28,111,23,14
2013-03-29,64,17,17
2013-03-30,44,9,13
2013-03-31,7,8,6
2013-04-01,54,14,11
2013-04-02,73,25,17
2013-04-03,106,31,27
2013-04-04,89,19,19
2013-04-05,115,20,4
2013-04-06,27,3,3
2013-04-07,33,8,15
2013-04-08,64,27,13
2013-04-09,61,20,11
2013-04-10,89,16,5
2013-04-11,97,78,7
2013-04-12,83,45,9
2013-04-13,37,4,3
2013-04-14,33,4,1
2013-04-15,77,17,6
2013-04-16,72,13,5
2013-04-17,77,16,4
2013-04-18,81,15,7
2013-04-19,85,16,5
2013-04-20,55,3,2
2013-04-21,26,2,4
2013-04-22,81,37,6
2013-04-23,90,37,8
2013-04-24,63,45,2
2013-04-25,55,43,5
2013-04-26,59,16,2
2013-04-27,35,3,1
2013-04-28,2,10,1
2013-04-29,59,35,4
2013-04-30,81,15,13
2013-05-01,53,17,6
2013-05-02,74,18,3
2013-05-03,93,15,5
2013-05-04,58,12,1
2013-05-05,36,8,0
2013-05-06,89,25,8
2013-05-07,82,21,3
2013-05-08,83,14,6
2013-05-09,70,17,0
2013-05-10,78,20,0
