,rust-lang/rust,python/cpython,JuliaLang/julia
2010-09-16,16,8,2
2010-09-17,0,16,1
2010-09-18,0,19,8
2010-09-19,0,23,0
2010-09-20,1,20,0
2010-09-21,12,32,2
2010-09-22,8,4,0
2010-09-23,4,21,1
2010-09-24,8,13,1
2010-09-25,0,14,4
2010-09-26,0,6,9
2010-09-27,3,16,14
2010-09-28,5,31,19
2010-09-29,1,29,16
2010-09-30,5,3,12
2010-10-01,2,16,5
2010-10-02,1,20,8
2010-10-03,0,15,10
2010-10-04,1,12,7
2010-10-05,2,11,7
2010-10-06,5,51,0
2010-10-07,3,16,0
2010-10-08,6,14,4
2010-10-09,9,12,5
2010-10-10,2,17,10
2010-10-11,2,4,9
2010-10-12,11,18,4
2010-10-13,7,45,3
2010-10-14,8,61,1
2010-10-15,2,43,1
2010-10-16,1,30,4
2010-10-17,0,89,10
2010-10-18,9,30,1
2010-10-19,5,17,1
2010-10-20,4,17,0
2010-10-21,15,18,0
2010-10-22,12,13,1
2010-10-23,8,14,19
2010-10-24,0,17,15
2010-10-25,0,11,4
2010-10-26,5,9,8
2010-10-27,2,22,3
2010-10-28,8,19,3
2010-10-29,0,55,1
2010-10-30,0,37,1
2010-10-31,0,68,1
2010-11-01,0,30,9
2010-11-02,2,26,3
2010-11-03,9,14,1
2010-11-04,3,27,1
2010-11-05,8,48,10
2010-11-06,9,49,7
2010-11-07,0,28,9
2010-11-08,2,23,6
2010-11-09,2,33,18
2010-11-10,1,17,7
2010-11-11,2,10,4
2010-11-12,3,21,1
2010-11-13,1,18,1
2010-11-14,7,6,2
2010-11-15,1,1,0
2010-11-16,1,11,3
2010-11-17,0,9,1
2010-11-18,1,24,1
2010-11-19,4,6,7
2010-11-20,5,84,13
2010-11-21,6,29,18
2010-11-22,6,43,7
2010-11-23,7,14,0
2010-11-24,4,15,7
2010-11-25,10,9,9
2010-11-26,10,59,5
2010-11-27,2,17,2
2010-11-28,0,7,8
2010-11-29,5,15,4
2010-11-30,6,34,5
2010-12-01,6,14,4
2010-12-02,8,23,4
2010-12-03,14,54,2
2010-12-04,5,64,3
2010-12-05,0,23,3
2010-12-06,1,10,1
2010-12-07,9,20,6
2010-12-08,5,14,0
2010-12-09,12,12,0
2010-12-10,10,12,0
2010-12-11,11,13,0
2010-12-12,4,28,0
2010-12-13,9,14,3
2010-12-14,7,33,1
2010-12-15,13,36,0
2010-12-16,10,33,1
2010-12-17,5,22,6
2010-12-18,6,34,3
2010-12-19,0,17,14
2010-12-20,7,6,7
2010-12-21,7,19,7
2010-12-22,6,9,2
2010-12-23,2,21,5
2010-12-24,2,20,13
2010-12-25,4,2,9
2010-12-26,0,15,0
2010-12-27,0,17,2
2010-12-28,0,42,7
2010-12-29,1,11,2
2010-12-30,7,16,0
2010-12-31,17,6,0
2011-01-01,1,15,1
2011-01-02,0,29,4
2011-01-03,9,51,2
2011-01-04,14,30,6
2011-01-05,4,31,21
2011-01-06,6,33,14
2011-01-07,5,23,11
2011-01-08,2,26,26
2011-01-09,0,25,5
2011-01-10,12,19,1
2011-01-11,5,22,9
2011-01-12,10,31,4
2011-01-13,1,10,7
2011-01-14,7,12,2
2011-01-15,2,32,6
2011-01-16,0,17,11
2011-01-17,7,21,2
2011-01-18,7,17,7
2011-01-19,5,13,14
2011-01-20,7,14,6
2011-01-21,8,8,6
2011-01-22,2,5,12
2011-01-23,0,9,11
2011-01-24,5,22,8
2011-01-25,4,14,6
2011-01-26,6,10,5
2011-01-27,11,10,0
2011-01-28,7,3,1
2011-01-29,0,17,5
2011-01-30,3,19,13
2011-01-31,4,14,0
