,python/cpython,php/php-src,ruby/ruby
2004-04-05,2.0,3,11
2004-04-06,4.8,8,6
2004-04-07,4.409999999999999,14,9
2004-04-08,4.217999999999999,23,7
2004-04-09,0.09117499999999945,8,3
2004-04-10,2.396954,2,2
2004-04-11,7.302279725,2,4
2004-04-12,2.764606295,5,6
2004-04-13,-0.0871614197812498,14,5
2004-04-14,0.2279779361000004,9,4
2004-04-15,1.3688834284921885,14,10
2004-04-16,5.374500438492189,5,2
2004-04-17,1.0062307355546878,3,1
2004-04-18,-0.7422806615828123,4,2
2004-04-19,1.522278390767188,10,3
2004-04-20,1.4570717189000006,12,0
2004-04-21,0.4913930555906254,15,12
2004-04-22,4.601639866948438,11,3
2004-04-23,0.23625331893281243,12,6
2004-04-24,1.4765465243343754,2,3
2004-04-25,0.4637502337531252,14,2
2004-04-26,0.5967616274281254,6,5
2004-04-27,1.6422677189687502,17,7
2004-04-28,2.556220160146875,9,0
2004-04-29,0.43360748816250005,11,0
2004-04-30,0.5775626111359377,13,2
2004-05-01,0.6251462693046878,2,1
2004-05-02,0.6804878126828129,7,2
2004-05-03,-0.30629648933749976,5,1
2004-05-04,6.810080154448438,9,2
2004-05-05,8.160742170182813,5,1
2004-05-06,8.678462397131248,12,8
2004-05-07,1.3203626706265614,6,8
2004-05-08,0.8066396256984374,8,3
2004-05-09,15.052159388198438,13,7
2004-05-10,4.762722996948438,13,5
2004-05-11,14.095332161214063,6,1
2004-05-12,5.240883167640624,15,6
2004-05-13,7.622336715107814,7,4
2004-05-14,-1.4493834167296873,4,7
2004-05-15,0.4331096930937519,1,6
2004-05-16,-0.26713441113906033,16,11
2004-05-17,-0.012197787071872579,15,5
2004-05-18,5.132014928315627,46,8
2004-05-19,4.836803578998438,37,6
2004-05-20,3.7135768803,51,8
2004-05-21,0.8219290783062498,44,4
2004-05-22,1.1350020066250004,7,4
2004-05-23,1.295033312682813,13,2
2004-05-24,0.3365552106625007,4,6
2004-05-25,0.4675898319484382,35,3
2004-05-26,3.526260529370313,15,8
2004-05-27,1.2633460004406254,13,8
2004-05-28,1.3918579022062503,19,2
2004-05-29,-0.5504215562109374,14,0
2004-05-30,0.6829495138968754,16,0
2004-05-31,9.677017960146875,14,0
2004-06-01,5.7913337356625,20,0
2004-06-02,20.700600524448436,5,0
2004-06-03,17.08415397790156,6,0
2004-06-04,4.512838821324999,7,2
2004-06-05,15.318098656396874,6,1
2004-06-06,9.543096223678125,10,0
2004-06-07,6.681542136984376,9,0
2004-06-08,4.9430628685578135,11,0
2004-06-09,1.2203727160312523,7,6
2004-06-10,2.7998211209046904,12,4
2004-06-11,4.974050438896878,2,1
2004-06-12,4.019216250156252,17,5
2004-06-13,9.215657369181251,8,0
2004-06-14,2.770920022650001,5,2
2004-06-15,4.262512916876563,11,1
2004-06-16,-0.6460121269843744,3,8
2004-06-17,8.910445358900002,3,1
2004-06-18,8.265338326028125,8,4
2004-06-19,3.996624481210938,4,3
2004-06-20,3.243594432904688,7,4
2004-06-21,0.4321731353625007,10,3
2004-06-22,1.8162543670265638,6,10
2004-06-23,-1.0597604620234362,9,6
2004-06-24,3.3054684842687516,5,6
2004-06-25,5.098600229807813,3,5
2004-06-26,6.813735104484375,10,7
2004-06-27,7.544458840296874,4,4
2004-06-28,4.326441889706249,7,2
2004-06-29,10.484146022539063,2,4
2004-06-30,1.9133488058812498,6,5
2004-07-01,9.425560082392188,4,4
2004-07-02,6.8988427204375,1,0
2004-07-03,5.848136529262501,4,4
2004-07-04,6.8996940394093755,4,4
2004-07-05,9.813933535071875,7,5
2004-07-06,3.484981294082813,7,5
2004-07-07,11.938779456096876,3,5
2004-07-08,22.29355524625625,4,3
2004-07-09,8.962013030434374,2,5
2004-07-10,38.47291412246406,6,2
2004-07-11,3.70660090680156,13,0
2004-07-12,12.631900932571876,12,6
2004-07-13,1.540228968489064,13,8
2004-07-14,16.630099081475006,9,3
2004-07-15,20.729173433815628,12,9
2004-07-16,1.8627556628562516,9,6
2004-07-17,5.27512549989844,5,12
2004-07-18,21.716804095376563,17,4
2004-07-19,8.340602652084376,25,0
2004-07-20,4.194491475875001,20,1
2004-07-21,9.852605641295314,13,1
2004-07-22,0.6966508807218772,11,1
2004-07-23,6.512169887640628,6,3
2004-07-24,0.46883916674218984,6,3
2004-07-25,-0.8099018536421849,17,2
2004-07-26,9.65202060053594,6,2
2004-07-27,5.924855384898439,15,3
2004-07-28,8.086864061657813,19,7
2004-07-29,9.903075463009376,18,2
2004-07-30,3.5918081112203124,10,5
2004-07-31,6.066262421465625,11,3
2004-08-01,2.9922705543796884,5,0
2004-08-02,25.297790870626564,18,5
2004-08-03,29.195604009292186,18,2
2004-08-04,16.642684505479686,12,0
2004-08-05,-0.06171688044375134,8,1
2004-08-06,4.560362190953127,4,2
2004-08-07,52.918229508975,6,1
2004-08-08,9.373289811909375,4,4
2004-08-09,17.245210403384377,3,6
2004-08-10,2.137121284648437,14,0
2004-08-11,-4.457928727985933,14,4
2004-08-12,15.082269898720318,10,3
2004-08-13,11.164339159131254,8,7
2004-08-14,5.190472780695315,2,1
