,apple/swift,rust-lang/rust,JetBrains/kotlin
2018-10-17,31,63,51
2018-10-18,16,73,26
2018-10-19,40,67,35
2018-10-20,25,54,0
2018-10-21,15,36,2
2018-10-22,16,52,34
2018-10-23,42,57,24
2018-10-24,49,58,38
2018-10-25,47,122,50
2018-10-26,79,77,27
2018-10-27,45,49,10
2018-10-28,9,61,0
2018-10-29,57,61,13
2018-10-30,68,70,10
2018-10-31,67,62,46
2018-11-01,54,96,30
2018-11-02,56,62,57
2018-11-03,20,71,0
2018-11-04,62,37,2
2018-11-05,45,99,0
2018-11-06,105,53,30
2018-11-07,89,81,35
2018-11-08,71,56,50
2018-11-09,101,49,16
2018-11-10,58,85,0
2018-11-11,5,60,0
2018-11-12,44,38,22
2018-11-13,73,63,40
2018-11-14,101,36,21
2018-11-15,83,67,14
2018-11-16,115,123,25
2018-11-17,45,34,5
2018-11-18,16,47,1
2018-11-19,9,52,14
2018-11-20,14,72,16
2018-11-21,10,108,91
2018-11-22,22,61,47
2018-11-23,8,42,47
2018-11-24,3,61,2
2018-11-25,1,63,0
2018-11-26,82,56,44
2018-11-27,75,127,52
2018-11-28,88,47,44
2018-11-29,74,84,43
2018-11-30,98,103,29
2018-12-01,25,18,1
2018-12-02,13,57,0
2018-12-03,49,79,7
2018-12-04,86,82,20
2018-12-05,60,59,33
2018-12-06,66,74,36
2018-12-07,79,57,29
2018-12-08,41,57,0
2018-12-09,14,57,1
2018-12-10,62,73,29
2018-12-11,49,78,63
2018-12-12,78,86,57
2018-12-13,84,53,37
2018-12-14,38,80,17
2018-12-15,55,57,3
2018-12-16,25,40,2
2018-12-17,48,56,13
2018-12-18,65,50,45
2018-12-19,47,117,12
2018-12-20,52,86,35
2018-12-21,77,79,34
2018-12-22,5,75,0
2018-12-23,8,54,0
2018-12-24,3,38,21
2018-12-25,6,60,26
2018-12-26,5,52,49
2018-12-27,0,76,13
2018-12-28,2,61,17
2018-12-29,0,73,6
2018-12-30,5,72,0
2018-12-31,1,50,0
2019-01-01,2,60,1
2019-01-02,71,83,6
2019-01-03,44,89,3
2019-01-04,81,68,0
2019-01-05,25,70,5
2019-01-06,10,63,0
2019-01-07,31,82,2
2019-01-08,88,91,5
2019-01-09,60,51,19
2019-01-10,66,45,41
2019-01-11,58,44,49
2019-01-12,24,80,0
2019-01-13,7,107,0
2019-01-14,53,69,35
2019-01-15,74,67,29
2019-01-16,65,46,29
2019-01-17,64,45,41
2019-01-18,80,82,31
2019-01-19,27,99,2
2019-01-20,25,55,1
2019-01-21,36,72,20
2019-01-22,82,102,10
2019-01-23,42,61,12
2019-01-24,46,76,34
2019-01-25,50,92,31
2019-01-26,60,111,3
2019-01-27,20,82,1
2019-01-28,46,65,48
2019-01-29,76,59,20
2019-01-30,59,72,25
2019-01-31,41,66,42
2019-02-01,62,107,19
2019-02-02,19,37,0
2019-02-03,25,69,5
2019-02-04,70,47,13
2019-02-05,76,79,26
2019-02-06,67,66,24
2019-02-07,62,131,30
2019-02-08,76,93,1
2019-02-09,9,68,0
2019-02-10,10,75,17
2019-02-11,66,83,6
2019-02-12,79,78,31
2019-02-13,55,106,25
2019-02-14,77,72,107
2019-02-15,48,41,35
2019-02-16,31,53,1
2019-02-17,24,60,22
2019-02-18,57,112,49
2019-02-19,98,42,81
2019-02-20,83,87,20
2019-02-21,67,70,26
2019-02-22,82,54,39
2019-02-23,38,83,1
2019-02-24,22,90,1
2019-02-25,87,58,116
2019-02-26,57,48,26
2019-02-27,48,81,22
2019-02-28,57,37,29
2019-03-01,69,50,33
2019-03-02,42,56,7
2019-03-03,18,59,2
2019-03-04,47,57,80
2019-03-05,77,71,52
2019-03-06,76,45,41
2019-03-07,61,56,33
2019-03-08,37,56,25
2019-03-09,11,39,2
2019-03-10,12,44,0
2019-03-11,42,50,16
2019-03-12,60,68,17
2019-03-13,62,56,30
2019-03-14,56,49,50
2019-03-15,64,109,56
2019-03-16,9,93,3
2019-03-17,19,51,0
2019-03-18,78,80,31
2019-03-19,47,64,49
2019-03-20,37,66,83
2019-03-21,54,58,58
2019-03-22,64,46,69
2019-03-23,26,60,10
2019-03-24,10,46,2
2019-03-25,52,72,45
2019-03-26,69,78,25
2019-03-27,101,60,41
2019-03-28,61,87,35
2019-03-29,79,91,34
2019-03-30,12,74,3
2019-03-31,26,49,3
2019-04-01,60,46,11
2019-04-02,80,87,29
2019-04-03,88,68,531
2019-04-04,44,67,68
2019-04-05,44,50,34
2019-04-06,44,36,6
2019-04-07,22,52,0
2019-04-08,41,47,29
2019-04-09,73,59,31
2019-04-10,48,51,67
2019-04-11,67,63,39
2019-04-12,53,74,30
2019-04-13,22,60,8
2019-04-14,28,92,0
2019-04-15,31,45,21
2019-04-16,56,64,30
2019-04-17,102,109,54
2019-04-18,44,73,28
2019-04-19,51,87,35
2019-04-20,36,51,0
2019-04-21,11,67,1
2019-04-22,35,75,62
2019-04-23,79,75,52
2019-04-24,85,74,31
2019-04-25,51,84,51
2019-04-26,55,51,37
2019-04-27,18,30,0
2019-04-28,5,43,1
2019-04-29,27,46,45
