,ionic-team/ionic-framework,flutter/flutter,NativeScript/NativeScript
2015-06-16,6,10.0,3
2015-06-17,7,9.0,19
2015-06-18,21,10.549999999999999,33
2015-06-19,19,2.0649999999999986,1
2015-06-20,3,-1.4316250000000001,0
2015-06-21,2,-0.8897924999999991,0
2015-06-22,8,9.345262375,0
2015-06-23,13,9.481391912500001,2
2015-06-24,9,8.02096875734375,2
2015-06-25,24,10.854555939484374,9
2015-06-26,10,8.486691933453125,14
2015-06-27,8,-2.4975144824937496,0
2015-06-28,0,-1.4146247851437488,0
2015-06-29,10,0.0010009000000020807,9
2015-06-30,11,1.1138608360937523,5
2015-07-01,7,1.1064326564687517,9
2015-07-02,7,0.20442930319843866,4
2015-07-03,12,-0.5980697533124992,4
2015-07-04,2,-0.3738782761390618,0
2015-07-05,2,-0.20760789039531197,0
2015-07-06,5,7.909686278750001,22
2015-07-07,7,0.12580351948437452,18
2015-07-08,2,3.4771151164328122,6
2015-07-09,3,1.2799719726468746,10
2015-07-10,0,1.3998339819125003,9
2015-07-11,0,-0.5619953525359374,0
2015-07-12,0,-0.3510628499999994,0
2015-07-13,5,-0.26470358249999937,6
2015-07-14,4,0.7861532496250007,11
2015-07-15,1,-0.27969144330312457,23
2015-07-16,9,7.859816477901563,17
2015-07-17,24,17.096580571325,4
2015-07-18,5,5.783403168896873,0
2015-07-19,7,-1.8709144550718764,0
2015-07-20,30,8.9485379875,12
2015-07-21,23,32.26004730375,6
2015-07-22,14,24.579734086984374,10
2015-07-23,13,25.82200135246406,6
2015-07-24,7,16.037845863374997,14
2015-07-25,0,0.38663747543125027,0
2015-07-26,1,-3.980027974771872,0
2015-07-27,12,16.369440542212505,11
2015-07-28,11,11.120238584843754,12
2015-07-29,3,13.027405753359378,8
2015-07-30,7,26.790288577575,10
2015-07-31,3,7.451694680473437,11
2015-08-01,2,-0.3330852424578117,0
2015-08-02,3,-0.9537766213843728,0
2015-08-03,2,14.876374218534378,25
2015-08-04,0,14.755810646453128,12
2015-08-05,0,9.186114132832813,1
2015-08-06,9,13.496053144445312,6
2015-08-07,14,35.18223970215469,13
2015-08-08,0,0.8631389421828111,0
