,sickchill/sickchill,Sonarr/Sonarr,midgetspy/sick-beard
2014-06-10,2.0,2.0,3
2014-06-11,3.6,0.0,5
2014-06-12,6.04,2.0,0
2014-06-13,-1.816,2.0,5
2014-06-14,0.1807999999999993,0.0,2
2014-06-15,13.278528,1.0,0
2014-06-16,7.7417984,1.0,0
2014-06-17,20.33767936,0.0,0
2014-06-18,26.374916096,0.0,4
2014-06-19,18.2550874112,5.0,0
2014-06-20,-4.290124185600002,1.0,0
2014-06-21,-3.501511372800003,0.0,0
2014-06-22,8.378257407999998,2.0,2
2014-06-23,1.1981295616,1.0,0
2014-06-24,8.086164582399999,2.0,4
2014-06-25,3.348927897600001,3.0,0
2014-06-26,9.940012134400002,0.0,1
2014-06-27,-0.888359219199998,1.0,0
2014-06-28,-0.9993746432000004,2.0,0
2014-06-29,4.164603801599999,2.0,2
2014-06-30,36.7776662528,7.0,0
2014-07-01,-6.921762099199999,0.0,0
2014-07-02,1.9024218111999982,4.0,5
2014-07-03,6.480556236799999,0.0,0
2014-07-04,-4.900711833599999,2.0,1
2014-07-05,1.208999423999999,2.0,1
2014-07-06,14.319043072,0.0,0
2014-07-07,2.8551707648000004,8.0,0
2014-07-08,9.7105283072,1.0,0
2014-07-09,7.724459008,10.0,1
2014-07-10,-4.101659955200001,8.0,4
2014-07-11,12.057822515199998,2.0,0
2014-07-12,2.0691526656000008,0.0,4
2014-07-13,-3.951039488000001,2.0,2
2014-07-14,-1.3614534656000004,3.0,1
2014-07-15,11.104834867200001,4.0,0
2014-07-16,-3.8398989311999987,0.0,0
2014-07-17,-1.9517218816000002,0.0,0
2014-07-18,8.7690083328,4.0,1
2014-07-19,15.190891929600001,2.0,0
2014-07-20,6.95984896,0.0,0
2014-07-21,14.310213427199999,7.0,0
2014-07-22,2.805564927999999,2.0,3
2014-07-23,-2.9556696064000008,0.0,0
2014-07-24,4.738762444799999,0.0,0
2014-07-25,-0.6738176000000009,9.0,0
2014-07-26,-0.8172876800000006,3.0,1
2014-07-27,16.70403584,6.0,0
2014-07-28,10.673560268800003,2.0,0
2014-07-29,3.2627151872000004,1.0,3
2014-07-30,3.3005010943999995,5.0,0
2014-07-31,7.884828262399999,3.0,0
2014-08-01,-2.7264621568000003,4.0,0
2014-08-02,-3.019894579200001,4.0,0
2014-08-03,3.050724044799999,2.0,0
2014-08-04,-1.4564799487999993,0.0,0
2014-08-05,-0.7565239295999988,9.0,0
2014-08-06,1.7193696256000006,3.0,0
2014-08-07,0.6326959104000007,3.0,0
2014-08-08,15.8444592128,3.0,0
2014-08-09,17.9563123712,6.0,0
2014-08-10,-4.1123371008,5.0,0
2014-08-11,8.770897919999998,11.0,0
2014-08-12,-3.3932195840000006,6.0,0
2014-08-13,8.452193177599998,1.0,0
2014-08-14,0.07823247359999996,4.0,0
2014-08-15,0.014356684799999186,1.0,0
2014-08-16,-2.4708072447999996,2.0,1
2014-08-17,10.365356339200002,1.0,5
2014-08-18,16.5140534272,1.0,1
2014-08-19,-2.6021787647999997,1.0,2
2014-08-20,1.7154629631999985,2.0,0
2014-08-21,-2.9029274624,1.0,0
2014-08-22,7.2320741376,2.0,0
2014-08-23,5.0102938624,11.0,0
2014-08-24,-1.2137126912000005,3.0,0
2014-08-25,11.827846655999998,19.0,0
2014-08-26,3.763289395200002,7.0,1
2014-08-27,0.3081922559999999,4.0,0
2014-08-28,-2.6766938112000007,5.0,0
2014-08-29,5.396410368,2.0,0
2014-08-30,3.4759352320000003,14.0,0
