,golang/go,rust-lang/rust,nim-lang/Nim
2010-07-16,7,23,0
2010-07-17,5,2,0
2010-07-18,0,6,0
2010-07-19,7,12,0
2010-07-20,5,17,0
2010-07-21,14,9,6
2010-07-22,5,11,3
2010-07-23,2,12,4
2010-07-24,0,0,0
2010-07-25,3,0,0
2010-07-26,12,13,0
2010-07-27,11,1,0
2010-07-28,4,6,0
2010-07-29,10,32,1
2010-07-30,14,0,0
2010-07-31,0,1,0
2010-08-01,1,0,1
2010-08-02,1,1,0
2010-08-03,19,2,0
2010-08-04,4,16,1
2010-08-05,15,9,0
2010-08-06,7,5,0
2010-08-07,2,10,0
2010-08-08,0,1,3
2010-08-09,7,18,0
2010-08-10,12,7,0
2010-08-11,5,12,1
2010-08-12,17,8,2
2010-08-13,7,4,0
2010-08-14,2,0,1
2010-08-15,1,0,0
2010-08-16,7,3,4
2010-08-17,9,3,3
2010-08-18,5,23,0
2010-08-19,9,4,0
2010-08-20,3,22,0
2010-08-21,1,1,0
2010-08-22,2,0,0
2010-08-23,4,0,2
2010-08-24,7,13,0
2010-08-25,21,16,0
2010-08-26,19,12,0
2010-08-27,10,14,0
2010-08-28,0,3,3
2010-08-29,3,0,0
2010-08-30,7,0,0
2010-08-31,9,5,0
2010-09-01,9,1,0
2010-09-02,13,0,0
2010-09-03,7,4,0
2010-09-04,5,0,0
2010-09-05,1,0,0
2010-09-06,1,0,0
2010-09-07,14,4,0
2010-09-08,8,15,0
2010-09-09,17,4,0
2010-09-10,19,3,0
2010-09-11,7,0,0
2010-09-12,16,1,2
2010-09-13,10,1,0
2010-09-14,10,5,0
2010-09-15,6,4,1
2010-09-16,14,16,1
2010-09-17,3,0,0
2010-09-18,2,0,0
2010-09-19,3,0,2
2010-09-20,16,1,2
2010-09-21,5,12,1
2010-09-22,17,8,0
2010-09-23,12,4,0
2010-09-24,29,8,0
2010-09-25,2,0,0
2010-09-26,0,0,0
2010-09-27,12,3,0
2010-09-28,10,5,0
2010-09-29,14,1,0
2010-09-30,16,5,0
2010-10-01,5,2,0
2010-10-02,0,1,0
2010-10-03,1,0,0
2010-10-04,3,1,0
2010-10-05,2,2,0
2010-10-06,13,5,0
2010-10-07,13,3,0
2010-10-08,2,6,0
2010-10-09,1,9,0
2010-10-10,0,2,0
2010-10-11,11,2,0
2010-10-12,16,11,0
2010-10-13,9,7,0
2010-10-14,10,8,0
2010-10-15,10,2,0
2010-10-16,2,1,0
2010-10-17,4,0,0
2010-10-18,14,9,0
2010-10-19,7,5,0
2010-10-20,17,4,2
2010-10-21,17,15,0
2010-10-22,12,12,0
2010-10-23,0,8,7
2010-10-24,1,0,0
2010-10-25,11,0,1
2010-10-26,14,5,1
2010-10-27,8,2,1
2010-10-28,14,8,0
2010-10-29,7,0,0
2010-10-30,4,0,3
2010-10-31,4,0,1
2010-11-01,18,0,5
2010-11-02,6,2,1
2010-11-03,6,9,0
2010-11-04,10,3,0
2010-11-05,14,8,0
2010-11-06,4,9,0
2010-11-07,0,0,2
2010-11-08,6,2,0
2010-11-09,5,2,0
2010-11-10,9,1,0
2010-11-11,4,2,0
2010-11-12,8,3,0
2010-11-13,3,1,0
2010-11-14,0,7,0
2010-11-15,0,1,0
2010-11-16,0,1,0
2010-11-17,2,0,0
2010-11-18,8,1,2
2010-11-19,5,4,0
2010-11-20,1,5,0
2010-11-21,1,6,0
2010-11-22,4,6,0
2010-11-23,2,7,0
2010-11-24,1,4,0
2010-11-25,0,10,0
2010-11-26,1,10,0
2010-11-27,1,2,0
2010-11-28,1,0,0
2010-11-29,5,5,0
2010-11-30,10,6,0
2010-12-01,4,6,0
2010-12-02,9,8,0
2010-12-03,5,14,0
2010-12-04,0,5,0
2010-12-05,3,0,0
2010-12-06,13,1,0
2010-12-07,28,9,3
2010-12-08,29,5,0
2010-12-09,17,12,0
2010-12-10,5,10,0
2010-12-11,1,11,0
2010-12-12,4,4,0
2010-12-13,18,9,1
2010-12-14,17,7,0
2010-12-15,14,13,0
2010-12-16,17,10,0
2010-12-17,12,5,0
2010-12-18,0,6,0
2010-12-19,0,0,0
2010-12-20,2,7,0
2010-12-21,2,7,0
2010-12-22,0,6,0
2010-12-23,5,2,0
2010-12-24,1,2,0
2010-12-25,0,4,0
2010-12-26,0,0,0
2010-12-27,3,0,0
2010-12-28,0,0,0
2010-12-29,0,1,0
2010-12-30,1,7,0
2010-12-31,0,17,0
2011-01-01,0,1,0
2011-01-02,0,0,0
2011-01-03,2,9,2
2011-01-04,13,14,2
2011-01-05,14,4,6
2011-01-06,6,6,8
2011-01-07,8,5,1
2011-01-08,5,2,0
2011-01-09,3,0,4
2011-01-10,5,12,3
2011-01-11,15,5,2
2011-01-12,16,10,0
2011-01-13,11,1,2
2011-01-14,11,7,1
2011-01-15,1,2,3
2011-01-16,3,0,2
2011-01-17,1,7,0
2011-01-18,14,7,2
2011-01-19,31,5,0
2011-01-20,32,7,0
2011-01-21,9,8,0
2011-01-22,3,2,0
2011-01-23,0,0,0
2011-01-24,10,5,0
2011-01-25,12,4,0
2011-01-26,12,6,0
2011-01-27,13,11,0
2011-01-28,7,7,2
2011-01-29,4,0,3
2011-01-30,4,3,0
2011-01-31,16,4,1
2011-02-01,24,5,2
2011-02-02,18,9,2
2011-02-03,23,3,0
2011-02-04,13,2,1
2011-02-05,6,0,0
2011-02-06,0,0,3
2011-02-07,6,5,0
2011-02-08,7,1,1
2011-02-09,25,10,0
2011-02-10,11,10,0
2011-02-11,16,9,0
2011-02-12,3,0,1
2011-02-13,2,0,5
2011-02-14,9,5,1
2011-02-15,7,11,0
2011-02-16,19,7,2
2011-02-17,14,1,0
2011-02-18,13,3,0
2011-02-19,2,4,0
2011-02-20,1,0,7
2011-02-21,5,1,2
2011-02-22,10,4,3
2011-02-23,24,12,0
2011-02-24,10,8,0
2011-02-25,17,12,2
2011-02-26,1,6,0
2011-02-27,0,0,0
2011-02-28,7,2,0
2011-03-01,9,9,0
2011-03-02,11,27,0
2011-03-03,14,16,1
2011-03-04,10,12,0
2011-03-05,10,3,0
2011-03-06,12,6,2
2011-03-07,31,18,0
2011-03-08,19,17,3
2011-03-09,12,23,0
2011-03-10,14,18,1
2011-03-11,14,17,0
2011-03-12,6,4,1
2011-03-13,2,2,0
2011-03-14,4,27,1
2011-03-15,13,12,0
2011-03-16,20,15,0
2011-03-17,16,9,0
2011-03-18,7,24,1
2011-03-19,1,15,0
2011-03-20,1,13,0
2011-03-21,8,32,0
2011-03-22,11,29,0
2011-03-23,18,24,2
2011-03-24,7,17,3
2011-03-25,19,30,2
2011-03-26,6,6,1
2011-03-27,3,11,0
2011-03-28,11,8,1
2011-03-29,31,17,0
2011-03-30,8,12,0
2011-03-31,10,23,4
2011-04-01,3,26,1
2011-04-02,6,6,0
2011-04-03,3,10,6
2011-04-04,13,1,6
2011-04-05,20,8,0
2011-04-06,11,6,0
2011-04-07,10,22,0
2011-04-08,24,23,0
2011-04-09,1,3,0
2011-04-10,2,1,1
2011-04-11,7,7,3
2011-04-12,9,18,0
