,django/django,rails/rails,sinatra/sinatra
2007-10-08,0.0,19,2
2007-10-09,0.0,5,0
2007-10-10,1.0,8,0
2007-10-11,0.0,4,0
2007-10-12,0.0,1,0
2007-10-13,7.0,10,0
2007-10-14,3.0,8,0
2007-10-15,0.0,27,1
2007-10-16,0.0,15,0
2007-10-17,0.0,3,0
2007-10-18,0.0,5,0
2007-10-19,8.0,7,0
2007-10-20,38.0,2,0
2007-10-21,18.0,1,0
2007-10-22,3.0,4,0
2007-10-23,3.0,11,3
2007-10-24,0.0,2,0
2007-10-25,0.0,8,0
2007-10-26,2.0,20,10
2007-10-27,7.0,4,2
2007-10-28,4.0,1,0
2007-10-29,2.0,7,0
2007-10-30,4.0,0,0
2007-10-31,3.0,3,0
2007-11-01,0.0,4,0
2007-11-02,0.0,0,0
2007-11-03,1.0,0,0
2007-11-04,11.0,1,0
2007-11-05,2.0,3,0
2007-11-06,0.0,25,0
2007-11-07,1.0,5,0
2007-11-08,0.0,4,0
2007-11-09,2.0,7,0
2007-11-10,0.0,1,0
2007-11-11,8.0,3,0
2007-11-12,1.0,2,0
2007-11-13,1.0,1,0
2007-11-14,4.0,10,0
2007-11-15,3.0,1,0
2007-11-16,0.0,6,0
2007-11-17,7.0,6,0
2007-11-18,4.0,2,0
2007-11-19,8.0,2,0
2007-11-20,4.0,4,0
2007-11-21,1.0,10,15
2007-11-22,0.0,5,3
2007-11-23,1.0,0,2
2007-11-24,0.0,3,6
2007-11-25,6.0,9,9
2007-11-26,2.0,10,6
2007-11-27,0.0,2,2
2007-11-28,9.0,6,12
2007-11-29,24.0,7,11
2007-11-30,15.0,3,5
2007-12-01,30.0,5,0
2007-12-02,29.0,7,3
2007-12-03,3.0,4,1
2007-12-04,23.0,3,0
2007-12-05,2.0,47,0
2007-12-06,0.0,6,0
2007-12-07,0.0,4,0
2007-12-08,0.0,4,0
2007-12-09,3.0,8,0
2007-12-10,0.0,29,0
2007-12-11,10.0,2,0
2007-12-12,0.0,1,0
2007-12-13,2.0,4,0
2007-12-14,0.0,9,0
2007-12-15,0.0,20,0
2007-12-16,0.0,9,0
2007-12-17,21.0,6,0
2007-12-18,0.0,3,0
2007-12-19,13.0,8,0
2007-12-20,1.0,3,0
2007-12-21,2.0,18,0
2007-12-22,8.0,10,0
2007-12-23,1.0,1,0
2007-12-24,0.0,0,0
2007-12-25,0.0,0,0
2007-12-26,0.0,0,0
2007-12-27,0.0,9,0
2007-12-28,0.0,10,0
2007-12-29,0.0,4,0
2007-12-30,0.0,3,0
2007-12-31,0.0,6,0
2008-01-01,0.0,0,0
2008-01-02,7.0,13,0
2008-01-03,1.0,13,0
2008-01-04,2.0,7,0
2008-01-05,1.0,18,0
2008-01-06,6.0,7,0
2008-01-07,0.0,10,0
2008-01-08,0.0,7,0
2008-01-09,7.0,6,0
2008-01-10,0.0,4,0
2008-01-11,0.0,14,0
2008-01-12,0.0,6,1
2008-01-13,7.0,12,0
2008-01-14,0.0,7,0
2008-01-15,0.0,0,2
2008-01-16,0.0,5,1
2008-01-17,1.0,2,2
2008-01-18,2.0,7,0
2008-01-19,0.0,14,0
2008-01-20,0.0,2,0
2008-01-21,0.0,6,0
2008-01-22,0.0,8,0
2008-01-23,0.0,12,0
2008-01-24,0.0,0,0
2008-01-25,0.0,7,0
2008-01-26,0.0,7,0
