,llvm/llvm-project,golang/go,gcc-mirror/gcc
2012-04-03,65,10,14
2012-04-04,76,5,10
2012-04-05,65,15,14
2012-04-06,75,2,13
2012-04-07,33,2,8
2012-04-08,25,0,5
2012-04-09,45,8,6
2012-04-10,82,16,18
2012-04-11,75,8,44
2012-04-12,52,6,14
2012-04-13,68,3,24
2012-04-14,25,2,11
2012-04-15,24,1,7
2012-04-16,86,4,21
2012-04-17,52,7,24
2012-04-18,63,5,17
2012-04-19,66,7,14
2012-04-20,62,8,28
2012-04-21,30,4,7
2012-04-22,23,1,14
2012-04-23,60,9,21
2012-04-24,67,9,33
2012-04-25,72,18,33
2012-04-26,62,13,25
2012-04-27,56,10,17
2012-04-28,17,0,6
2012-04-29,15,1,10
2012-04-30,41,7,38
2012-05-01,90,7,12
2012-05-02,60,10,17
2012-05-03,78,7,40
2012-05-04,74,15,26
2012-05-05,20,0,7
2012-05-06,19,0,14
2012-05-07,67,7,24
2012-05-08,75,2,16
2012-05-09,63,4,28
2012-05-10,59,4,22
2012-05-11,68,2,19
2012-05-12,40,0,7
2012-05-13,20,1,9
2012-05-14,39,7,20
2012-05-15,75,14,52
2012-05-16,79,6,22
2012-05-17,49,8,14
2012-05-18,44,5,13
2012-05-19,45,1,5
2012-05-20,33,3,8
2012-05-21,41,5,32
2012-05-22,53,28,19
2012-05-23,44,10,14
2012-05-24,71,22,22
2012-05-25,50,6,20
2012-05-26,17,1,8
2012-05-27,27,1,3
2012-05-28,42,7,7
2012-05-29,50,23,33
2012-05-30,60,28,18
2012-05-31,53,8,30
2012-06-01,67,5,19
2012-06-02,31,9,4
2012-06-03,16,7,6
2012-06-04,53,22,25
2012-06-05,60,8,20
2012-06-06,71,13,15
2012-06-07,49,15,11
2012-06-08,61,9,6
2012-06-09,28,0,7
2012-06-10,12,1,1
2012-06-11,38,3,20
2012-06-12,29,2,45
2012-06-13,42,16,31
2012-06-14,50,5,30
2012-06-15,87,3,25
2012-06-16,33,0,3
2012-06-17,40,0,14
2012-06-18,34,2,26
2012-06-19,72,7,21
2012-06-20,103,1,24
2012-06-21,69,1,9
2012-06-22,93,3,20
2012-06-23,28,1,4
2012-06-24,23,10,5
2012-06-25,47,20,27
2012-06-26,52,5,23
2012-06-27,63,7,18
2012-06-28,77,4,17
2012-06-29,75,2,18
2012-06-30,16,6,3
2012-07-01,9,2,4
2012-07-02,97,6,16
2012-07-03,50,8,25
2012-07-04,31,1,13
2012-07-05,40,2,17
2012-07-06,80,1,19
2012-07-07,25,0,5
2012-07-08,12,4,8
2012-07-09,42,1,25
2012-07-10,49,3,16
2012-07-11,59,4,8
2012-07-12,51,7,14
2012-07-13,57,6,17
2012-07-14,12,2,6
2012-07-15,20,1,4
2012-07-16,84,4,46
2012-07-17,72,1,20
2012-07-18,59,1,24
2012-07-19,56,3,25
2012-07-20,50,2,22
2012-07-21,18,2,12
2012-07-22,6,2,9
2012-07-23,33,4,26
2012-07-24,45,2,21
2012-07-25,55,4,24
