,hashicorp/nomad,kubernetes/kubernetes,docker-archive/classicswarm
2015-07-01,0,92,13.0
2015-07-02,0,29,5.699999999999999
2015-07-03,3,22,-1.285000000000001
2015-07-04,8,12,0.31449999999999956
2015-07-05,0,9,2.4318875000000006
2015-07-06,10,64,4.300844750000001
2015-07-07,3,85,14.0525765875
2015-07-08,0,107,-1.067514638750001
2015-07-09,0,83,1.8023518070468751
2015-07-10,0,82,4.8865119634234375
2015-07-11,0,43,-0.2633929515015614
2015-07-12,0,6,0.17342678573437587
2015-07-13,0,89,0.31589328966718844
2015-07-14,0,71,7.401569171064064
2015-07-15,0,70,-0.22696169166406222
2015-07-16,0,27,7.2269164851953125
2015-07-17,0,74,3.773392768417187
2015-07-18,0,60,-1.1767788944515623
2015-07-19,0,60,4.31318636301875
2015-07-20,0,66,0.041726288198438044
2015-07-21,0,8,1.3228747519484383
2015-07-22,0,26,0.330581097089063
2015-07-23,6,98,-0.5531312658031242
2015-07-24,11,133,-0.34366008791093683
2015-07-25,0,21,-0.26678419786562435
2015-07-26,0,4,-0.163520756429687
2015-07-27,5,56,-0.10137603632812471
2015-07-28,8,33,0.9130880193046877
2015-07-29,6,72,6.861370825182813
2015-07-30,0,61,3.228633981912499
2015-07-31,0,68,7.248101147464062
2015-08-01,0,13,0.7998374999999991
2015-08-02,0,3,-0.83475425
2015-08-03,0,45,-0.5266292624999995
2015-08-04,5,51,6.610005216250001
2015-08-05,22,66,4.989868763234376
2015-08-06,9,73,1.8277185713546875
2015-08-07,8,81,4.018361185185937
2015-08-08,0,12,3.91703319323125
2015-08-09,0,5,-1.1336196963187497
2015-08-10,0,87,3.3648802074281257
2015-08-11,6,63,5.149209301250001
2015-08-12,5,87,0.8630773438906254
2015-08-13,22,65,0.12012325290468784
2015-08-14,23,51,0.3559734019875005
2015-08-15,19,11,3.481051396064063
2015-08-16,20,1,0.24599062224218793
2015-08-17,4,72,-0.5267371226796871
2015-08-18,0,78,-0.3269387045624996
2015-08-19,0,70,0.7463785567625008
2015-08-20,12,65,2.7210850500031256
2015-08-21,1,72,-0.4512245143375
2015-08-22,0,14,-0.2390039630515624
2015-08-23,27,3,-0.16392830084843735
2015-08-24,4,63,-0.1212679731593746
2015-08-25,7,56,-0.06991111503593728
2015-08-26,10,56,1.9494202662500002
2015-08-27,20,40,3.757150598234375
2015-08-28,7,56,0.47289620841718716
2015-08-29,7,21,2.6378034423921872
2015-08-30,6,3,-0.5003250000000002
2015-08-31,13,38,2.7216165000000005
2015-09-01,9,70,10.503046475
2015-09-02,1,65,1.6120603074999993
2015-09-03,6,61,5.9944763264687495
2015-09-04,6,68,-0.31613819088437545
2015-09-05,0,8,0.1474174380906258
2015-09-06,29,7,-0.6603615790828117
2015-09-07,37,19,0.5302524661421887
2015-09-08,16,49,1.547798614703126
2015-09-09,15,59,2.462357572970313
2015-09-10,20,77,2.353473046807813
2015-09-11,22,72,1.3709070425328125
2015-09-12,22,34,-0.5573957270171874
2015-09-13,22,13,-0.3008501780515622
2015-09-14,44,44,0.786845676214063
2015-09-15,42,66,0.7390830069843755
2015-09-16,10,73,1.7224638951828126
2015-09-17,7,93,2.62139224213125
2015-09-18,5,64,6.484748610845313
2015-09-19,17,32,1.026887566360937
2015-09-20,33,6,-0.6879014675718752
2015-09-21,31,64,-0.4079767087499998
2015-09-22,83,69,1.7030262157343758
2015-09-23,89,68,4.566217154448438
2015-09-24,53,64,2.2248158451828126
2015-09-25,53,85,2.26851745713125
2015-09-26,33,33,-0.7331871412171875
2015-09-27,23,2,-0.433974593782812
2015-09-28,48,35,-0.2711929800718744
