,google/closure-compiler,microsoft/typescript,rescript-lang/rescript-compiler
2014-08-08,7,24,0.0
2014-08-09,0,6,0.0
2014-08-10,0,1,0.0
2014-08-11,14,9,0.0
2014-08-12,13,16,0.0
2014-08-13,13,16,0.0
2014-08-14,1,42,0.0
2014-08-15,7,49,0.0
2014-08-16,4,9,0.0
2014-08-17,0,2,0.0
2014-08-18,4,31,0.0
2014-08-19,5,13,0.0
2014-08-20,13,12,0.0
2014-08-21,18,18,0.0
2014-08-22,5,18,0.0
2014-08-23,1,4,0.0
2014-08-24,0,0,0.0
2014-08-25,6,5,0.0
2014-08-26,11,10,0.0
2014-08-27,12,12,0.0
2014-08-28,1,13,0.0
2014-08-29,5,17,0.0
2014-08-30,1,5,0.0
2014-08-31,0,0,0.0
2014-09-01,0,0,0.0
2014-09-02,11,3,0.0
2014-09-03,8,15,0.0
2014-09-04,7,22,2.0
2014-09-05,8,14,-0.20000000000000018
2014-09-06,0,6,0.9099999999999999
2014-09-07,0,3,-0.15700000000000014
2014-09-08,5,12,-0.08632499999999987
2014-09-09,6,21,-0.06073349999999991
2014-09-10,3,31,-0.04698652499999985
2014-09-11,9,21,-0.03830414249999988
2014-09-12,7,18,-0.03229863853124991
2014-09-13,0,3,-0.027891401321874926
2014-09-14,1,0,-0.009568313015624975
2014-09-15,2,28,-0.008398852535937478
2014-09-16,15,21,1.0
2014-09-17,12,21,-0.10000000000000009
2014-09-18,13,27,11.955
2014-09-19,12,22,2.7714999999999987
2014-09-20,2,8,-0.9606625000000006
2014-09-21,1,3,-0.5381167500000004
2014-09-22,10,46,0.6248879875000009
2014-09-23,7,27,-0.38714469624999914
2014-09-24,4,32,-0.2769794630156243
2014-09-25,7,33,-0.22267125753593695
2014-09-26,14,19,-0.17985704118749948
2014-09-27,0,0,-0.1551762324937496
2014-09-28,1,0,0.9532425773562502
2014-09-29,6,11,-0.11109369625000005
2014-09-30,18,20,-0.05456831301562501
2014-10-01,9,40,-0.0368988525359375
2014-10-02,1,4,-0.020662499999999924
2014-10-03,10,24,-0.016116749999999947
2014-10-04,3,11,-0.01316201249999996
2014-10-05,3,1,-0.011093696249999967
2014-10-06,9,25,-0.009568313015624975
2014-10-07,15,29,-0.008398852535937478
2014-10-08,7,26,0.0
2014-10-09,9,35,0.0
2014-10-10,13,19,0.0
2014-10-11,1,7,0.0
2014-10-12,0,0,0.0
2014-10-13,3,21,0.0
2014-10-14,9,22,0.0
2014-10-15,4,28,0.0
2014-10-16,5,14,0.0
2014-10-17,4,18,0.0
2014-10-18,4,6,0.0
2014-10-19,0,6,0.0
2014-10-20,4,18,0.0
2014-10-21,6,39,0.0
2014-10-22,4,18,0.0
2014-10-23,17,32,0.0
2014-10-24,4,18,1.0
2014-10-25,0,5,0.8999999999999999
2014-10-26,0,4,0.8549999999999999
2014-10-27,6,19,1.8264999999999998
2014-10-28,9,26,0.7058374999999999
2014-10-29,9,33,-0.25527925000000007
2014-10-30,10,23,2.8480587375
2014-10-31,2,13,0.58980254125
2014-11-01,0,18,1.6782799782343751
2014-11-02,0,13,-0.40200163680156253
2014-11-03,10,24,0.7661959294484377
2014-11-04,6,42,-0.2646419248171873
2014-11-05,8,22,-0.16829380558749965
2014-11-06,9,39,-0.11557545378593725
2014-11-07,9,33,-0.08678516029687475
2014-11-08,0,14,3.9269309868765627
2014-11-09,0,11,4.559302508932812
2014-11-10,8,25,2.2921085986781247
2014-11-11,11,54,3.3514316869843745
2014-11-12,6,31,5.231451147464062
2014-11-13,3,19,-1.0332795000000001
2014-11-14,3,14,4.4207807
2014-11-15,0,15,-0.9121850974999998
2014-11-16,1,2,-0.5466697708124991
2014-11-17,2,25,1.5934333860281256
2014-11-18,4,27,13.502641438273438
2014-11-19,5,64,-1.7006157371703132
2014-11-20,5,47,-0.8438153507375001
2014-11-21,6,39,2.453813403534375
2014-11-22,3,27,5.330649934921876
2014-11-23,0,9,13.971047212320313
2014-11-24,4,8,1.938044432499999
2014-11-25,5,44,-1.4824358735312502
2014-11-26,7,33,-0.9305793372906245
2014-11-27,0,12,-0.6777079730031232
2014-11-28,0,15,-0.4366544137499986
2014-11-29,0,16,-0.3571643040468739
2014-11-30,0,19,-0.3016599294515616
2014-12-01,2,57,-0.23829259544999937
2014-12-02,2,60,5.835743959898438
2014-12-03,10,34,1.3664045898562496
2014-12-04,6,39,6.529999999999999
2014-12-05,4,15,-0.9610000000000007
2014-12-06,2,13,-0.49597499999999983
2014-12-07,3,4,1.6624745000000003
2014-12-08,3,16,0.5441569250000007
2014-12-09,1,24,0.6042965475000005
2014-12-10,4,105,-0.3737313580937497
2014-12-11,4,70,1.7379893850031256
2014-12-12,4,91,-0.3651718961812498
2014-12-13,1,7,-0.21189524275156219
2014-12-14,0,16,-0.1084661549999999
2014-12-15,4,27,-0.08471733478124972
2014-12-16,0,56,-0.0696932143374998
2014-12-17,11,60,-0.04429119055156237
2014-12-18,14,9,0.9694137549640626
2014-12-19,17,8,-0.11913662603125004
2014-12-20,7,0,0.938202294928125
2014-12-21,0,0,-0.12850000000000011
2014-12-22,8,3,0.9343375
2014-12-23,7,0,-0.14461675000000007
2014-12-24,2,0,-0.07882451249999992
2014-12-25,0,0,0.94428955375
2014-12-26,0,1,-0.14339282551562493
2014-12-27,0,1,-0.08060929878593742
2014-12-28,0,1,-0.05123032551562495
2014-12-29,2,1,-0.04015504878593737
2014-12-30,0,7,-0.025685063015624923
2014-12-31,0,3,0.9784391349640625
2015-01-01,0,0,-0.11109369625000005
2015-01-02,0,2,-0.05456831301562501
2015-01-03,1,0,-0.0368988525359375
2015-01-04,2,3,4.9793375
2015-01-05,13,7,-0.5161167500000003
2015-01-06,4,8,-0.23816201250000013
2015-01-07,3,8,-0.15359369625000008
2015-01-08,4,5,-0.11288081301562458
2015-01-09,2,11,-0.0889826025359372
2015-01-10,0,3,0.9341899375000002
2015-01-11,0,3,-0.15546848124999993
2015-01-12,6,11,-0.09284156507812491
2015-01-13,7,9,-0.07049426267968742
2015-01-14,2,19,0.9793375000000001
2015-01-15,5,18,-0.11611675000000003
2015-01-16,5,12,-0.05816201249999999
2015-01-17,3,4,-0.03959369624999999
2015-01-18,0,0,-0.0302308130156249
2015-01-19,1,15,0.9754843974640626
2015-01-20,7,41,1.8868379874999999
2015-01-21,5,21,1.7439063037499998
2015-01-22,10,17,-0.3280683130156252
2015-01-23,7,10,-0.17606135253593752
2015-01-24,4,11,0.8855582500000001
2015-01-25,0,2,-0.1867205124999998
2015-01-26,4,5,-0.11465122124999982
2015-01-27,8,20,-0.08657973051562486
2015-01-28,0,21,-0.07038537106718729
2015-01-29,13,26,0.9479489188968752
2015-01-30,2,19,-0.12995971757187502
2015-01-31,0,10,-0.05609369625
2015-02-01,2,5,-0.038068313015624994
2015-02-02,1,19,-0.029061352535937404
2015-02-03,5,33,1.98388325
2015-02-04,13,27,-0.21316201250000014
2015-02-05,8,27,-0.10109369625000003
2015-02-06,7,27,0.933431686984375
2015-02-07,2,43,0.8502761474640625
2015-02-08,0,5,-0.17723350000000002
2015-02-09,8,28,-0.09982402499999998
2015-02-10,2,15,-0.07134989249999989
2015-02-11,6,16,-0.05591587603124982
2015-02-12,2,26,-0.04607646757187486
2015-02-13,4,32,-0.024255708749999928
2015-02-14,0,5,-0.02066200926562494
2015-02-15,0,11,-0.017967165551562456
2015-02-16,0,33,-0.008398852535937478
2015-02-17,4,26,0.0
2015-02-18,6,24,0.0
2015-02-19,1,17,0.0
2015-02-20,2,15,0.0
2015-02-21,4,29,0.0
2015-02-22,0,13,0.0
2015-02-23,5,35,0.0
2015-02-24,5,40,0.0
2015-02-25,7,27,0.0
2015-02-26,0,23,0.0
2015-02-27,10,51,0.0
2015-02-28,3,10,1.0
2015-03-01,0,4,0.8999999999999999
2015-03-02,0,22,-0.14500000000000013
2015-03-03,8,11,-0.07350000000000005
