,openxla/xla,NVIDIA/Megatron-LM,alpa-projects/alpa
2021-03-22,6.0,1,0
2021-03-23,14.2,1,0
2021-03-24,2.5699999999999994,3,1
2021-03-25,0.563000000000001,0,0
2021-03-26,1.4670250000000005,1,0
2021-03-27,-3.3219214999999997,0,0
2021-03-28,-1.7590091749999994,0,0
2021-03-29,0.7776880575,0,3
2021-03-30,5.465762669406249,1,2
2021-03-31,1.9378082998531236,2,0
2021-04-01,3.0904609729,1,0
2021-04-02,4.895337741559375,3,0
2021-04-03,-3.8153786499921876,3,0
2021-04-04,-1.7203330411640618,0,0
2021-04-05,1.9335431650000003,0,0
2021-04-06,1.3195198377187498,0,0
2021-04-07,11.174462612425,0,1
2021-04-08,16.132041981042185,2,0
2021-04-09,5.721176943242188,2,0
2021-04-10,-7.5966624635218745,0,0
2021-04-11,-2.5092831433624982,0,0
2021-04-12,4.510509841250001,3,0
2021-04-13,9.201446565953125,0,2
2021-04-14,6.065693438754687,0,0
2021-04-15,-0.3928448814015626,0,0
2021-04-16,6.080244993395312,2,0
2021-04-17,-2.904960825107813,0,2
2021-04-18,-3.6524043465093747,0,1
2021-04-19,26.981653154484377,1,0
2021-04-20,-5.14914433934219,3,0
2021-04-21,-0.6610639205828113,4,0
2021-04-22,1.4234011467859382,3,0
2021-04-23,3.6761536418625003,1,1
2021-04-24,-4.703215935068751,0,0
2021-04-25,-2.4186064583578117,0,2
2021-04-26,2.427508259051563,1,0
2021-04-27,4.628763032546874,0,0
2021-04-28,4.534463888670311,0,1
2021-04-29,1.1797088075078124,4,0
2021-04-30,-0.23198555675781218,0,2
2021-05-01,-0.509532713521875,0,1
2021-05-02,-0.9436325058624997,0,0
2021-05-03,9.634130367500001,0,0
2021-05-04,0.8244565666874992,0,1
2021-05-05,4.682481077209375,0,0
2021-05-06,4.934170416995312,0,1
2021-05-07,7.399507814059375,0,0
2021-05-08,-2.7254778764609373,0,0
2021-05-09,-3.5129516844796864,0,0
2021-05-10,6.003797633018751,0,3
2021-05-11,2.2028071835953114,2,0
2021-05-12,7.2928824181109375,4,0
2021-05-13,4.859922635960936,1,1
2021-05-14,-0.38218762925312433,13,0
2021-05-15,-3.052880141532812,4,2
2021-05-16,-2.4369870090906245,0,0
2021-05-17,2.536858645301563,1,1
2021-05-18,4.745638135875,6,0
2021-05-19,5.64597000729375,9,1
2021-05-20,0.7351583361812501,2,1
2021-05-21,3.5515980555328124,0,0
2021-05-22,-1.7946934899062503,0,0
2021-05-23,-2.378921482929687,0,1
2021-05-24,8.652826704267188,0,0
2021-05-25,4.045525704187499,1,1
2021-05-26,6.809142803459375,0,0
2021-05-27,1.7098327502296868,0,2
2021-05-28,-1.513521944173437,0,0
2021-05-29,-3.124971131023437,0,0
2021-05-30,-1.7706954511609372,0,0
2021-05-31,-0.18954671396562484,0,0
2021-06-01,5.80495590484375,2,1
2021-06-02,5.071495334796873,0,0
2021-06-03,4.319645305965625,2,0
2021-06-04,-1.014088884170313,0,0
2021-06-05,-2.669571792926562,0,0
2021-06-06,-1.3843728521984369,0,0
2021-06-07,4.08051468875,1,0
2021-06-08,2.806925966984375,1,0
2021-06-09,4.423213729407812,1,0
2021-06-10,2.6339015957453116,18,0
2021-06-11,4.674134638762499,5,0
2021-06-12,-3.952211206159375,0,1
2021-06-13,-1.7838933021984367,0,0
2021-06-14,3.86379256875,0,1
2021-06-15,8.663242509921876,0,0
2021-06-16,1.5175512587578117,0,0
2021-06-17,6.268455373976563,0,1
2021-06-18,13.172685116776563,0,0
2021-06-19,-4.605902963521875,0,0
2021-06-20,-3.1779693683624988,0,0
2021-06-21,2.3831776437500007,0,0
2021-06-22,5.768773729921875,1,1
2021-06-23,7.470934781914062,2,0
2021-06-24,10.174870641345311,2,0
2021-06-25,0.5226260879468754,0,0
2021-06-26,-2.8058314678593748,0,0
2021-06-27,-3.8689254247374993,0,0
2021-06-28,1.848815912285938,2,0
2021-06-29,10.281723189189062,1,0
2021-06-30,11.510961897945311,3,1
2021-07-01,5.405504649717187,0,0
2021-07-02,3.7423207954562505,3,1
2021-07-03,-6.7187136671,0,0
2021-07-04,-3.247046656159374,0,0
2021-07-05,-1.1010872971984371,4,0
2021-07-06,2.1661231616874996,1,0
2021-07-07,6.482421412865624,2,0
2021-07-08,1.871477396707812,1,1
2021-07-09,6.330992145839062,2,0
2021-07-10,-2.707098506448438,0,1
2021-07-11,-0.6600419080609368,0,0
2021-07-12,1.9744620262500003,8,0
2021-07-13,4.589819925734375,1,0
2021-07-14,5.596081580954687,2,0
2021-07-15,4.643458128678125,0,1
2021-07-16,7.264764017810938,2,0
2021-07-17,-5.8052624195531255,0,0
2021-07-18,-2.663629813359374,0,0
2021-07-19,6.359339857503125,1,1
2021-07-20,4.417665377721875,2,1
2021-07-21,2.8577431034593754,2,0
