,gitlabhq/gitlabhq,gogs/gogs,gitbucket/gitbucket
2014-03-12,16.0,4,5
2014-03-13,16.6,27,6
2014-03-14,21.880000000000003,17,7
2014-03-15,-11.983999999999996,36,8
2014-03-16,-5.0976,31,0
2014-03-17,27.651967999999997,37,0
2014-03-18,-8.3091072,10,4
2014-03-19,14.629501439999999,43,1
2014-03-20,9.630640128000003,44,2
2014-03-21,1.2709476352000006,24,0
2014-03-22,-6.492454502399999,18,0
2014-03-23,-4.925031014400002,49,0
2014-03-24,31.855359999999997,32,5
2014-03-25,25.209337753600003,52,0
2014-03-26,5.2480208896000065,35,0
2014-03-27,2.6145458176000034,20,1
2014-03-28,-7.860542771199999,14,1
2014-03-29,-10.9538255872,19,2
2014-03-30,-6.491630489600003,22,2
2014-03-31,15.900367974399998,10,3
2014-04-01,16.0512416768,8,1
2014-04-02,21.547913113600003,12,5
2014-04-03,1.2832171008000053,4,0
2014-04-04,0.5487636480000049,11,1
2014-04-05,-9.7193649152,8,0
2014-04-06,5.276855091199998,16,0
2014-04-07,31.4835206144,9,3
2014-04-08,10.0442586112,5,4
2014-04-09,5.597507891200003,8,3
2014-04-10,-4.830285926399998,21,5
2014-04-11,3.2650745856000007,22,4
2014-04-12,-11.2976820224,25,0
2014-04-13,4.070548377599998,12,0
2014-04-14,18.472739328,16,0
2014-04-15,0.9463415808000022,16,1
2014-04-16,-6.454894489599999,11,0
2014-04-17,2.271302758400001,2,6
2014-04-18,1.1753304064000005,6,3
2014-04-19,-7.109301248000001,4,0
2014-04-20,-3.2436342784,4,0
2014-04-21,1.0477229055999997,8,2
2014-04-22,14.4195482624,14,1
2014-04-23,16.917695385600002,26,2
2014-04-24,3.3570811904000024,4,2
2014-04-25,-0.7313207296000002,3,2
2014-04-26,-7.306278604799999,9,4
2014-04-27,-1.0820966400000005,11,5
2014-04-28,8.455274291199999,0,8
2014-04-29,4.2240817152000005,3,13
2014-04-30,0.7793235968000012,6,4
2014-05-01,0.7123859456000012,23,1
2014-05-02,9.4529902592,9,2
2014-05-03,-5.337451417599999,4,1
2014-05-04,-5.3089189888,0,2
2014-05-05,17.2930371584,13,7
2014-05-06,6.163451596800002,6,2
2014-05-07,4.857082777600002,11,5
2014-05-08,27.8758370304,8,0
2014-05-09,-15.478210867199998,9,0
2014-05-10,-7.802998886400001,1,15
2014-05-11,-2.1398893568000013,21,2
2014-05-12,8.607904972799998,11,2
2014-05-13,20.1299328,8,1
2014-05-14,5.239977472000003,10,0
