,rust-lang/rust,swiftlang/swift,golang/go
2014-08-17,24,0,0
2014-08-18,30,22,9
2014-08-19,34,28,23
2014-08-20,22,29,5
2014-08-21,36,61,19
2014-08-22,18,33,10
2014-08-23,25,5,4
2014-08-24,23,0,12
2014-08-25,16,15,35
2014-08-26,15,19,11
2014-08-27,23,29,9
2014-08-28,21,51,33
2014-08-29,30,46,25
2014-08-30,23,15,16
2014-08-31,35,6,1
2014-09-01,11,14,15
2014-09-02,21,20,17
2014-09-03,18,27,14
2014-09-04,24,38,23
2014-09-05,31,17,18
2014-09-06,19,10,8
2014-09-07,25,1,10
2014-09-08,24,23,28
2014-09-09,45,24,17
2014-09-10,25,39,4
2014-09-11,19,37,11
2014-09-12,26,32,17
2014-09-13,15,5,0
2014-09-14,35,0,3
2014-09-15,36,21,12
2014-09-16,22,37,23
2014-09-17,61,47,13
2014-09-18,30,52,14
2014-09-19,21,36,22
2014-09-20,18,4,0
2014-09-21,12,9,1
2014-09-22,43,27,7
2014-09-23,19,50,5
2014-09-24,34,26,21
2014-09-25,31,20,16
2014-09-26,21,15,21
2014-09-27,16,12,1
2014-09-28,9,29,1
2014-09-29,47,26,14
2014-09-30,37,37,22
2014-10-01,40,32,12
2014-10-02,67,32,9
2014-10-03,43,25,9
2014-10-04,22,12,4
2014-10-05,27,7,1
2014-10-06,25,26,18
2014-10-07,29,25,13
2014-10-08,23,25,13
2014-10-09,48,38,11
2014-10-10,12,34,2
2014-10-11,25,11,3
2014-10-12,23,3,1
2014-10-13,41,16,5
2014-10-14,22,23,6
2014-10-15,28,44,19
2014-10-16,27,17,10
2014-10-17,21,14,9
2014-10-18,17,7,2
2014-10-19,16,3,5
2014-10-20,15,24,16
2014-10-21,23,15,7
2014-10-22,20,8,10
2014-10-23,21,22,3
2014-10-24,19,29,9
2014-10-25,26,8,1
2014-10-26,21,12,1
2014-10-27,53,20,17
2014-10-28,41,20,21
2014-10-29,24,17,22
2014-10-30,45,9,16
2014-10-31,37,19,9
2014-11-01,18,14,2
2014-11-02,30,14,1
2014-11-03,76,18,8
2014-11-04,24,14,4
2014-11-05,34,15,8
2014-11-06,69,20,14
2014-11-07,40,25,4
2014-11-08,18,16,1
2014-11-09,31,15,7
2014-11-10,18,13,13
2014-11-11,18,40,26
2014-11-12,32,35,16
2014-11-13,20,18,7
