,flutter/flutter,ionic-team/ionic-framework,NativeScript/NativeScript
2015-04-16,0.0,0,7
2015-04-17,0.0,0,5
2015-04-18,0.0,0,0
2015-04-19,0.0,0,0
2015-04-20,1.0,3,36
2015-04-21,2.9,3,2
2015-04-22,-0.3450000000000003,8,18
2015-04-23,-0.16350000000000012,11,5
2015-04-24,-0.10616249999999999,10,17
2015-04-25,-0.07810424999999972,13,0
2015-04-26,-0.061512262499999804,7,0
2015-04-27,1.9494202662500002,6,3
2015-04-28,3.757150598234375,5,7
2015-04-29,-0.5271037915828128,1,7
2015-04-30,-0.2621965576078126,1,3
2015-05-01,-0.15532499999999994,2,0
2015-05-02,-0.11488349999999958,0,0
2015-05-03,-0.0907910249999997,1,0
2015-05-04,0.9251645575000003,19,5
2015-05-05,-0.16351141103124991,15,7
2015-05-06,-0.10007095713437489,6,0
2015-05-07,-0.06209541014374993,2,2
2015-05-08,-0.020662499999999924,7,6
2015-05-09,-0.016116749999999947,4,0
2015-05-10,-0.01316201249999996,0,0
2015-05-11,-0.011093696249999967,2,11
2015-05-12,0.990431686984375,16,4
2015-05-13,2.8916011474640624,13,8
2015-05-14,3.655,7,8
2015-05-15,0.43649999999999956,4,11
2015-05-16,-0.3861625000000002,11,0
2015-05-17,-0.23710424999999985,4,0
2015-05-18,2.8273377375000006,1,11
2015-05-19,8.56429076625,2,13
2015-05-20,-0.14661420176562556,3,6
2015-05-21,4.314859410917188,5,8
2015-05-22,-0.9380510059203128,2,6
2015-05-23,0.46902352684062576,0,0
2015-05-24,-0.45609814003593696,0,0
2015-05-25,-0.31616845124999915,0,14
2015-05-26,4.7492060322031255,5,5
2015-05-27,8.291122366501563,2,11
2015-05-28,10.718256782910936,11,4
2015-05-29,0.18309756988593628,14,9
2015-05-30,-1.1529004589296876,11,0
2015-05-31,-0.7081145630156243,8,1
2015-06-01,2.475790334964064,10,7
2015-06-02,9.29134740625,14,11
2015-06-03,8.527137518671875,11,9
2015-06-04,14.176942540179686,24,3
2015-06-05,1.3904156784890613,10,2
2015-06-06,-1.7798981064625,1,0
2015-06-07,-1.060076242571874,1,0
2015-06-08,8.229331286250002,13,4
2015-06-09,8.488219973453127,9,3
2015-06-10,10.088124149735938,26,3
2015-06-11,10.683681154484375,8,11
2015-06-12,2.4075811813906247,3,4
2015-06-13,1.0486693573625006,0,0
2015-06-14,-1.4566710226437487,1,0
2015-06-15,4.029023108750002,7,10
2015-06-16,8.746673820359376,6,3
2015-06-17,8.156925429520314,7,19
2015-06-18,9.950313354703125,21,33
2015-06-19,1.6415586816156247,19,1
2015-06-20,-1.7025164867953118,3,0
2015-06-21,-1.0263017642265613,2,0
2015-06-22,9.26459733614219,8,0
2015-06-23,9.433550347421876,13,2
2015-06-24,7.978974494664063,9,2
2015-06-25,10.854555939484374,24,9
2015-06-26,8.486691933453125,10,14
2015-06-27,-2.4975144824937496,8,0
2015-06-28,-1.4146247851437488,0,0
2015-06-29,0.0010009000000020807,10,9
2015-06-30,1.1138608360937523,11,5
2015-07-01,1.1064326564687517,7,9
2015-07-02,0.20442930319843866,7,4
