,NativeScript/NativeScript,facebook/react-native,flutter/flutter
2015-03-30,14,28,0.0
2015-03-31,10,50,0.0
2015-04-01,4,51,1.0
2015-04-02,3,30,-0.3999999999999999
2015-04-03,11,33,-0.12
2015-04-04,0,12,-0.064
2015-04-05,0,2,-0.04160000000000005
2015-04-06,6,9,0.970048
2015-04-07,2,19,1.5770368000000001
2015-04-08,12,35,-0.9383705599999999
2015-04-09,7,19,1.680844288
2015-04-10,0,20,0.017601843200000133
2015-04-11,1,11,-0.753152
2015-04-12,0,3,-0.33086720000000003
2015-04-13,1,7,-0.21149696000000012
2015-04-14,6,11,2.846599168
2015-04-15,2,12,-0.3189879807999998
2015-04-16,7,12,-0.8453006335999999
2015-04-17,5,16,-0.36068198399999996
2015-04-18,0,8,-0.22955202560000013
2015-04-19,0,6,-0.1442541568000001
2015-04-20,36,14,0.9011583999999999
2015-04-21,2,30,2.52192512
2015-04-22,18,24,-1.3838376959999996
2015-04-23,5,23,-0.47755018239999997
2015-04-24,17,17,-0.24639815680000005
2015-04-25,0,5,-0.15475200000000014
2015-04-26,0,5,-0.11281920000000005
2015-04-27,3,9,1.91273984
2015-04-28,7,17,3.1297326080000003
2015-04-29,7,12,-1.8982652927999997
2015-04-30,3,18,-0.6463944704
2015-05-01,0,5,-0.3392000000000001
2015-05-02,0,12,-0.22630400000000023
2015-05-03,0,5,-0.1657344000000001
2015-05-04,5,8,0.87140608
2015-05-05,7,19,-0.5037936639999999
2015-05-06,0,15,-0.20621916159999998
2015-05-07,2,25,-0.11519262719999998
2015-05-08,6,13,-0.04160000000000005
2015-05-09,0,0,-0.029952000000000017
2015-05-10,0,3,-0.022963200000000007
2015-05-11,11,4,-0.018370559999999994
2015-05-12,4,0,0.984844288
2015-05-13,8,50,2.5872018432
2015-05-14,8,36,2.68
2015-05-15,11,21,-1.0239999999999996
2015-05-16,0,5,-1.1136
2015-05-17,0,2,-0.5307520000000001
2015-05-18,11,13,2.6567808
2015-05-19,13,2,7.55133184
2015-05-20,6,9,-3.1520721919999994
2015-05-21,8,6,3.1732892672
2015-05-22,6,13,-2.9381878784
2015-05-23,0,7,-0.19460433920000053
2015-05-24,0,1,-1.1128557568000002
2015-05-25,14,4,-0.6197324800000004
2015-05-26,5,14,4.552474624
2015-05-27,11,9,6.6504175616
2015-05-28,4,25,7.5478560768000005
2015-05-29,9,20,-4.311539916799999
2015-05-30,0,8,-3.106361344
2015-05-31,1,10,-1.5473157120000005
2015-06-01,7,13,1.9756178431999993
2015-06-02,11,18,8.0588544
2015-06-03,9,24,5.063424000000001
2015-06-04,3,7,10.141234688
2015-06-05,2,9,-4.698593075199998
2015-06-06,0,5,-4.8497453056
2015-06-07,0,5,-2.314005913600001
2015-06-08,4,9,7.494136319999999
2015-06-09,3,17,5.295563264
2015-06-10,3,10,6.0591236096
2015-06-11,11,20,5.758679552000001
2015-06-12,4,42,-3.0983552000000003
2015-06-13,0,3,-2.2789613568
2015-06-14,0,0,-3.6885814272000004
2015-06-15,10,17,3.024808959999999
2015-06-16,3,9,6.614958592
2015-06-17,19,11,4.3397311488
2015-06-18,33,11,5.726660608000001
2015-06-19,1,14,-3.3593445375999993
2015-06-20,0,7,-4.5430262784
2015-06-21,0,1,-2.1877939200000007
2015-06-22,0,19,8.5854007296
2015-06-23,2,13,5.985059840000001
2015-06-24,2,17,3.605380096000001
2015-06-25,9,22,6.448161792000001
2015-06-26,14,6,3.0966676480000004
2015-06-27,0,4,-7.571320729599999
2015-06-28,0,1,-3.178296627200001
2015-06-29,9,4,-0.9806208000000007
2015-06-30,5,13,0.16975871999999947
2015-07-01,9,11,-0.026393600000000017
2015-07-02,4,7,-0.8877493247999997
2015-07-03,4,9,-1.3366819839999997
2015-07-04,0,0,-0.6942408704
2015-07-05,0,1,-0.3708469248000001
2015-07-06,22,10,7.83419904
2015-07-07,18,15,-2.327775231999999
2015-07-08,6,16,2.5371860992000004
2015-07-09,10,15,-0.3062782975999996
2015-07-10,9,17,0.2824479743999999
2015-07-11,0,0,-1.5900141568
2015-07-12,0,0,-0.7480576000000002
2015-07-13,6,12,-0.5009356800000002
2015-07-14,11,19,0.625426944
2015-07-15,23,17,-0.6968536063999999
2015-07-16,17,10,7.7239114752
2015-07-17,4,14,14.6177548288
2015-07-18,0,1,-0.25750773759999745
2015-07-19,0,0,-5.927548313599999
2015-07-20,12,8,7.5322368
2015-07-21,6,17,28.481213439999998
2015-07-22,10,9,13.129202688000001
2015-07-23,6,12,13.8672837632
2015-07-24,14,15,2.8923786240000027
2015-07-25,0,4,-10.6120725504
2015-07-26,0,0,-9.8300125184
2015-07-27,11,22,13.646952345599999
2015-07-28,12,11,3.7301990400000005
2015-07-29,8,11,5.923574784000001
2015-07-30,10,13,19.054957260800002
2015-07-31,11,6,-4.573305139199995
2015-08-01,0,6,-8.0414798848
2015-08-02,0,4,-5.109274521600001
2015-08-03,25,7,12.318938419199998
2015-08-04,12,9,8.280796672
2015-08-05,1,4,1.5815646208000018
2015-08-06,6,8,7.031363584000001
2015-08-07,13,16,27.7028301824
2015-08-08,0,4,-13.443159756799997
