,expressjs/express,django/django,pallets/flask
2010-06-06,0,0.0,1.0
2010-06-07,0,5.0,9.7
2010-06-08,1,1.0,-3.1050000000000004
2010-06-09,1,0.0,-1.1094999999999993
2010-06-10,3,1.0,3.3648375
2010-06-11,2,1.0,-1.63134525
2010-06-12,0,0.0,-0.7404833624999997
2010-06-13,1,0.0,-0.4897658987499999
2010-06-14,1,0.0,1.633900545734375
2010-06-15,4,0.0,-0.8912315808890631
2010-06-16,1,0.0,-0.4389575823281251
2010-06-17,0,2.0,2.805170905
2010-06-18,4,0.0,4.956168132937499
2010-06-19,3,2.0,-0.22877415293125036
2010-06-20,7,0.0,-1.4550617249999995
2010-06-21,0,3.0,-0.7254020474999997
2010-06-22,0,0.0,0.5191108164687499
2010-06-23,0,4.0,-0.6556559139656251
2010-06-24,0,1.0,-0.3609974962499999
2010-06-25,0,0.0,-0.26743551779687513
2010-06-26,0,0.0,4.7859124122078125
2010-06-27,0,0.0,2.3570258370718746
2010-06-28,0,0.0,7.224552311034375
2010-06-29,0,0.0,-1.4364572737499999
2010-06-30,0,1.0,2.000310783234376
2010-07-01,0,0.0,-1.268334663232812
2010-07-02,0,0.0,4.5642521875
2010-07-03,0,0.0,-2.67871706875
2010-07-04,0,0.0,27.725669058671876
2010-07-05,22,4.0,-3.564644621976564
2010-07-06,11,0.0,8.556042648678126
2010-07-07,41,0.0,-4.9869356101265625
2010-07-08,43,0.0,-3.8410286422781237
2010-07-09,7,0.0,-2.3298162621968745
2010-07-10,0,0.0,-1.6435852263265625
2010-07-11,0,0.0,-1.2673550931468751
2010-07-12,19,0.0,3.0404589962968736
2010-07-13,18,0.0,0.9988571581546863
2010-07-14,41,0.0,0.3383109383843743
2010-07-15,47,0.0,9.625078781209375
2010-07-16,33,0.0,-1.8763168264656254
2010-07-17,0,1.0,15.8866315
2010-07-18,0,0.0,3.4728908
2010-07-19,7,0.0,-5.655899682499999
2010-07-20,16,1.0,2.304811836687501
2010-07-21,11,1.0,-3.273333338228125
2010-07-22,22,0.0,-1.7891849094796872
2010-07-23,9,0.0,6.7465167166125
2010-07-24,3,1.0,-3.356023031592188
2010-07-25,0,1.0,14.508878284253125
2010-07-26,23,0.0,3.2043270816531235
2010-07-27,13,0.0,9.068079498921875
2010-07-28,8,0.0,-6.414145583828125
2010-07-29,0,0.0,1.0977360338359388
2010-07-30,9,7.0,-2.0216446899999996
2010-07-31,3,0.0,-2.049264784125
2010-08-01,0,0.0,-1.3805949483625
2010-08-02,3,0.0,-0.9707250070000006
2010-08-03,4,3.0,4.215329604884374
2010-08-04,10,2.0,-1.9673684538140637
2010-08-05,15,10.0,-0.814277742759375
2010-08-06,8,19.0,-0.3799641408125001
2010-08-07,0,22.0,4.728977130303125
2010-08-08,0,0.0,-1.6621846632328128
2010-08-09,15,0.0,0.35859568750000037
2010-08-10,0,0.0,1.30771363125
2010-08-11,5,1.0,-0.9851960838281253
2010-08-12,1,1.0,-0.48601831616406244
2010-08-13,0,0.0,0.7244331875000001
2010-08-14,0,12.0,-0.50483161875
2010-08-15,3,0.0,0.7328950536718748
2010-08-16,1,2.0,-0.4929360649140626
2010-08-17,5,1.0,-0.19895376426562497
2010-08-18,0,3.0,2.8654429032359374
2010-08-19,3,2.0,-0.9906101889656251
2010-08-20,10,4.0,2.63632247625
2010-08-21,10,2.0,-1.1176575792656251
2010-08-22,0,0.0,-0.4680281869828123
2010-08-23,0,6.0,-0.28353746676562497
2010-08-24,11,1.0,-0.2039135007328125
2010-08-25,0,0.0,-0.14603257125
2010-08-26,0,1.0,-0.11747273779687512
2010-08-27,12,4.0,-0.09762206094843759
2010-08-28,0,10.0,-0.04763015029687513
2010-08-29,0,0.0,-0.04075023969843757
2010-08-30,1,8.0,0.0
2010-08-31,2,1.0,0.0
2010-09-01,0,0.0,0.0
2010-09-02,1,0.0,0.0
2010-09-03,2,3.0,0.0
2010-09-04,0,0.0,0.0
2010-09-05,0,0.0,0.0
2010-09-06,15,0.0,0.0
2010-09-07,0,6.0,0.0
2010-09-08,1,0.0,0.0
2010-09-09,0,3.0,1.0
2010-09-10,2,18.0,0.7
2010-09-11,1,10.0,-0.40499999999999997
2010-09-12,0,33.0,0.8355000000000001
2010-09-13,18,20.0,-0.39966250000000003
2010-09-14,3,2.0,-0.17488274999999992
2010-09-15,0,0.0,-0.11250111249999996
2010-09-16,0,1.0,-0.08240063624999999
2010-09-17,0,0.0,-0.06455424051562506
2010-09-18,3,0.0,-0.05274099249843757
2010-09-19,0,1.0,-0.032540686982812525
2010-09-20,9,0.0,-0.015876716765625045
2010-09-21,5,1.0,-0.013583413232812524
2010-09-22,11,0.0,0.0
2010-09-23,2,0.0,0.0
2010-09-24,0,0.0,0.0
2010-09-25,0,0.0,0.0
2010-09-26,1,7.0,0.0
2010-09-27,0,23.0,0.0
2010-09-28,0,19.0,0.0
2010-09-29,0,3.0,0.0
2010-09-30,0,0.0,0.0
2010-10-01,5,8.0,0.0
2010-10-02,0,2.0,0.0
2010-10-03,0,0.0,0.0
2010-10-04,8,2.0,0.0
2010-10-05,6,3.0,0.0
2010-10-06,2,8.0,0.0
2010-10-07,25,5.0,4.0
2010-10-08,1,24.0,-1.2000000000000002
2010-10-09,0,28.0,-0.4199999999999997
2010-10-10,0,20.0,-0.23799999999999988
2010-10-11,2,17.0,-0.16065
2010-10-12,11,18.0,-0.11888099999999999
2010-10-13,0,9.0,-0.09312344999999998
2010-10-14,16,8.0,-0.07582909500000001
2010-10-15,13,11.0,-0.06350686706250018
2010-10-16,0,3.0,-0.054333652931250094
2010-10-17,6,3.0,0.0
2010-10-18,1,21.0,0.0
2010-10-19,14,14.0,3.0
2010-10-20,11,10.0,-0.9000000000000001
2010-10-21,1,9.0,-0.3149999999999998
2010-10-22,7,1.0,2.8215
2010-10-23,1,10.0,-1.0204875000000002
2010-10-24,0,5.0,-0.40416074999999974
2010-10-25,1,4.0,0.7516574125000002
2010-10-26,14,4.0,-0.47735932125
2010-10-27,0,7.0,-0.24179090029687506
2010-10-28,0,12.0,-0.17009282719843752
2010-10-29,0,5.0,4.90296567875
2010-10-30,3,6.0,-1.5773504002968752
2010-10-31,0,6.0,-0.5890311021984372
2010-11-01,0,6.0,1.6835427262500002
2010-11-02,0,17.0,-0.8166892167656251
2010-11-03,0,0.0,-0.3721846632328124
2010-11-04,0,13.0,-0.23540431249999993
2010-11-05,2,0.0,-0.17511136875
2010-11-06,0,10.0,-0.13882408382812522
2010-11-07,0,9.0,0.8855212088359374
2010-11-08,1,2.0,0.6620854525
2010-11-09,0,5.0,-0.43675343353125007
2010-11-10,0,0.0,-0.19166682646562494
2010-11-11,0,21.0,-0.09966249999999996
2010-11-12,5,9.0,-0.06988275
2010-11-13,4,7.0,-0.05300111249999999
2010-11-14,0,5.0,-0.04223813625
2010-11-15,0,0.0,-0.03483399051562505
2010-11-16,0,10.0,-0.02946012999843757
2010-11-17,7,16.0,-0.013583413232812524
2010-11-18,1,6.0,0.0
2010-11-19,0,9.0,2.0
2010-11-20,3,13.0,-0.6000000000000001
2010-11-21,0,15.0,-0.20999999999999985
2010-11-22,1,7.0,-0.11899999999999994
2010-11-23,28,4.0,-0.080325
2010-11-24,3,4.0,-0.05944049999999999
2010-11-25,19,1.0,-0.04656172499999999
2010-11-26,0,15.0,-0.037914547500000007
2010-11-27,0,8.0,-0.03175343353125009
2010-11-28,3,6.0,-0.027166826465625047
2010-11-29,1,3.0,1.0
2010-11-30,2,4.0,-0.30000000000000004
2010-12-01,0,5.0,0.895
2010-12-02,6,11.0,-0.35950000000000004
2010-12-03,0,3.0,-0.14516249999999992
2010-12-04,0,20.0,-0.08922024999999997
2010-12-05,17,11.0,-0.06344336249999999
2010-12-06,1,7.0,0.95132247625
2010-12-07,11,2.0,0.6608424207343749
2010-12-08,1,6.0,-0.4375406869828125
2010-12-09,0,3.0,-0.18037671676562494
2010-12-10,6,1.0,-0.1132459132328125
2010-12-11,0,3.0,-0.06988275
2010-12-12,0,23.0,-0.05300111249999999
2010-12-13,3,5.0,-0.04223813625
2010-12-14,1,4.0,-0.03483399051562505
2010-12-15,1,1.0,-0.02946012999843757
2010-12-16,1,2.0,-0.013583413232812524
2010-12-17,0,0.0,0.0
2010-12-18,1,31.0,0.0
2010-12-19,0,9.0,0.0
2010-12-20,9,0.0,0.0
2010-12-21,1,16.0,0.0
2010-12-22,4,11.0,0.0
2010-12-23,2,6.0,3.0
2010-12-24,0,1.0,-0.9000000000000001
2010-12-25,0,3.0,-0.3149999999999998
2010-12-26,0,4.0,-0.1784999999999999
2010-12-27,0,7.0,-0.1204875
2010-12-28,8,9.0,-0.08916074999999998
2010-12-29,4,14.0,-0.06984258749999998
2010-12-30,0,2.0,-0.05687182125000001
2010-12-31,8,6.0,0.9523698497031249
2011-01-01,1,1.0,-0.3407502396984376
2011-01-02,0,5.0,-0.10499999999999993
2011-01-03,2,7.0,-0.05949999999999997
2011-01-04,0,4.0,-0.0401625
2011-01-05,0,6.0,-0.029720249999999997
2011-01-06,1,0.0,-0.023280862499999996
2011-01-07,0,0.0,0.98104272625
2011-01-08,0,8.0,-0.31587671676562507
2011-01-09,0,1.0,-0.11858341323281245
2011-01-10,1,2.0,-0.05949999999999997
2011-01-11,0,2.0,-0.0401625
2011-01-12,1,2.0,-0.029720249999999997
2011-01-13,3,10.0,1.9767191375
2011-01-14,0,4.0,-0.6189572737500001
2011-01-15,0,10.0,-0.2258767167656249
2011-01-16,0,7.0,1.8674165867671875
2011-01-17,0,5.0,-0.6803250000000001
2011-01-18,0,3.0,-0.26944049999999986
2011-01-19,6,6.0,-0.16556172499999994
2011-01-20,1,4.0,2.8817604525
2011-01-21,0,25.0,-0.9911939335312502
2011-01-22,0,3.0,-0.3887285514656248
2011-01-23,0,0.0,-0.21641454749999992
2011-01-24,1,11.0,3.84775906646875
2011-01-25,5,6.0,-1.3163275764656253
2011-01-26,0,14.0,-0.4898425874999997
2011-01-27,0,10.0,-0.2948718212499999
2011-01-28,2,6.0,-0.20828015029687513
2011-01-29,1,3.0,-0.15963123969843757
2011-01-30,0,11.0,-0.09312344999999998
2011-01-31,1,3.0,-0.07582909500000001
2011-02-01,3,9.0,-0.06350686706250018
2011-02-02,1,5.0,-0.054333652931250094
2011-02-03,0,2.0,0.0
2011-02-04,9,8.0,0.0
2011-02-05,0,8.0,2.0
2011-02-06,0,7.0,0.3999999999999999
2011-02-07,4,7.0,-0.5099999999999999
2011-02-08,6,6.0,-0.22399999999999987
2011-02-09,2,7.0,-0.13982499999999998
2011-02-10,2,3.0,0.900397
2011-02-11,0,1.0,-0.37628197500000005
