,cfengine/core,saltstack/salt,ansible/ansible
2016-04-05,5,43.0,8
2016-04-06,4,11.800000000000004,13
2016-04-07,1,13.240000000000002,11
2016-04-08,4,3.7680000000000025,13
2016-04-09,0,-3.0447999999999986,0
2016-04-10,0,-12.254336,2
2016-04-11,10,18.927974399999997,11
2016-04-12,9,-4.1016268799999995,25
2016-04-13,2,25.926918144,16
2016-04-14,6,4.364480409600002,13
2016-04-15,7,11.871508172799999,10
2016-04-16,0,-15.904987647999999,8
2016-04-17,0,-9.065783705600001,5
2016-04-18,4,21.852055961599998,12
2016-04-19,8,7.6934784,23
2016-04-20,9,0.282624000000002,12
2016-04-21,3,7.761730560000002,11
2016-04-22,0,18.242693427200003,13
2016-04-23,0,-14.685687091199998,11
2016-04-24,0,-9.039564083200002,11
2016-04-25,1,44.151130009599996,36
2016-04-26,6,19.055955456000003,13
2016-04-27,4,-1.2186622975999981,26
2016-04-28,6,1.4930632704000004,9
2016-04-29,3,6.818802687999998,12
2016-04-30,0,-17.68527616,6
2016-05-01,0,-8.075744665600002,2
2016-05-02,3,7.9557475327999985,4
2016-05-03,0,15.107297792,17
2016-05-04,2,1.934381772800002,5
2016-05-05,0,20.0498417664,12
2016-05-06,0,6.136880844800004,10
2016-05-07,0,-15.484274380799999,2
2016-05-08,0,-7.3181253632,0
2016-05-09,4,15.743633919999997,9
2016-05-10,2,12.973807104,14
2016-05-11,7,-2.3193124863999977,11
2016-05-12,3,16.321426124800002,33
2016-05-13,0,8.238390067200003,22
2016-05-14,0,-15.997088665599998,8
2016-05-15,0,-3.6076234752000005,1
2016-05-16,1,26.850049843199997,19
2016-05-17,0,10.013329920000002,11
2016-05-18,2,-5.611001343999998,25
2016-05-19,0,29.771053772800002,13
2016-05-20,0,5.191268454400003,8
2016-05-21,0,-19.2422409216,3
2016-05-22,0,-8.197441843200002,1
2016-05-23,1,70.006559744,11
2016-05-24,2,6.395160985600008,14
2016-05-25,17,25.244139110400003,12
2016-05-26,2,17.32733573120001,10
2016-05-27,0,15.701830963200003,8
2016-05-28,0,-25.8363286528,2
2016-05-29,0,-2.750670233600001,0
2016-05-30,1,2.9402240000000006,0
2016-05-31,0,36.4634496,15
2016-06-01,1,33.07166208,32
2016-06-02,2,39.001480192,27
2016-06-03,1,14.888369049600009,13
2016-06-04,0,-36.799838208,13
2016-06-05,0,-7.732470579200005,1
2016-06-06,2,33.8156128256,21
