,gitbucket/gitbucket,gitlabhq/gitlabhq,gogs/gogs
2015-01-25,2,14,0
2015-01-26,0,21,1
2015-01-27,2,36,1
2015-01-28,0,26,0
2015-01-29,6,26,0
2015-01-30,2,25,2
2015-01-31,2,1,8
2015-02-01,3,1,12
2015-02-02,0,12,3
2015-02-03,0,56,11
2015-02-04,1,29,6
2015-02-05,0,25,17
2015-02-06,2,23,2
2015-02-07,5,17,13
2015-02-08,4,12,5
2015-02-09,1,18,13
2015-02-10,0,6,0
2015-02-11,1,17,8
2015-02-12,0,34,10
2015-02-13,0,36,13
2015-02-14,4,6,4
2015-02-15,1,10,0
2015-02-16,1,20,7
2015-02-17,0,24,2
2015-02-18,0,36,9
2015-02-19,0,24,4
2015-02-20,4,55,3
2015-02-21,0,9,3
2015-02-22,1,12,13
2015-02-23,1,21,9
2015-02-24,0,75,2
2015-02-25,1,41,0
2015-02-26,2,26,0
2015-02-27,13,15,2
2015-02-28,3,10,2
2015-03-01,16,5,9
2015-03-02,6,23,0
2015-03-03,10,45,0
2015-03-04,5,36,2
2015-03-05,0,17,0
2015-03-06,0,16,2
2015-03-07,0,19,1
2015-03-08,4,15,0
2015-03-09,3,27,2
2015-03-10,2,56,4
2015-03-11,0,19,1
2015-03-12,1,38,6
2015-03-13,1,29,7
2015-03-14,0,24,5
2015-03-15,5,14,3
2015-03-16,4,29,7
2015-03-17,0,23,1
2015-03-18,0,53,12
2015-03-19,0,50,6
2015-03-20,0,39,3
2015-03-21,0,24,3
2015-03-22,3,22,4
2015-03-23,15,38,5
2015-03-24,8,36,7
2015-03-25,6,24,10
2015-03-26,0,33,6
2015-03-27,5,30,1
2015-03-28,9,8,1
2015-03-29,0,14,0
2015-03-30,1,20,0
2015-03-31,1,24,3
2015-04-01,0,12,0
2015-04-02,3,21,1
2015-04-03,6,27,0
2015-04-04,1,4,0
2015-04-05,5,0,1
2015-04-06,2,11,0
2015-04-07,1,14,0
2015-04-08,3,18,2
2015-04-09,2,12,0
2015-04-10,0,17,0
2015-04-11,2,14,0
