,python/cpython,rust-lang/rust,JuliaLang/julia
2018-08-16,3.0,116,11
2018-08-17,4.1,44,8
2018-08-18,-0.815,40,7
2018-08-19,3.9965000000000006,83,12
2018-08-20,-0.02298750000000016,72,6
2018-08-21,0.5255267500000003,44,38
2018-08-22,3.6338936625000002,118,9
2018-08-23,2.7671911162500002,72,11
2018-08-24,7.461376368453125,87,3
2018-08-25,7.782239090223437,43,4
2018-08-26,-3.432894876679687,57,4
2018-08-27,4.018142980439063,89,2
2018-08-28,2.1717843903046874,61,3
2018-08-29,8.296736558753125,92,12
2018-08-30,-3.5176134040437503,98,3
2018-08-31,2.826178262507813,78,13
2018-09-01,-0.6737499938203131,64,5
2018-09-02,-0.8365068185156259,42,5
2018-09-03,3.8238915164250002,74,3
2018-09-04,1.9796666636749998,39,7
2018-09-05,-2.0122022032234375,64,4
2018-09-06,0.19889344691562472,93,7
2018-09-07,13.318743877675,74,4
2018-09-08,-3.3744946733093757,63,9
2018-09-09,-2.7894941021937494,47,4
2018-09-10,11.484803121770312,69,6
2018-09-11,26.078627641690623,85,6
2018-09-12,8.582468188025,71,11
2018-09-13,5.441138232070315,76,7
2018-09-14,16.35712982198594,44,7
2018-09-15,-9.60463287545,69,1
2018-09-16,-4.8447335945234355,50,3
2018-09-17,12.305676877284377,51,13
2018-09-18,5.732060945796874,61,17
2018-09-19,0.5823841332390618,45,5
2018-09-20,0.0017752994703128522,86,1
2018-09-21,3.291369562093749,50,5
2018-09-22,0.22841795611874893,57,3
2018-09-23,1.2264658956499996,43,1
2018-09-24,6.765170848020313,41,7
2018-09-25,10.37149514351875,51,8
2018-09-26,-3.6072308109265627,87,6
2018-09-27,1.3709165851000007,35,2
2018-09-28,-0.3357973752046881,37,9
2018-09-29,1.4710740889796874,66,6
2018-09-30,-0.5005181496890625,59,7
2018-10-01,1.219359408759375,51,7
2018-10-02,4.19594430618125,64,10
2018-10-03,-0.6371527838109383,42,12
2018-10-04,2.3702026787125003,62,30
2018-10-05,7.176861888975,82,14
2018-10-06,0.586845197290625,48,7
2018-10-07,-2.4597417580093746,30,2
2018-10-08,7.935684401039063,76,6
2018-10-09,2.740473139489062,76,5
2018-10-10,0.9537381959593745,76,2
2018-10-11,0.5109272133234377,58,5
2018-10-12,7.001043876473438,69,1
2018-10-13,2.3594085349296865,76,3
2018-10-14,1.7361621350937497,54,6
2018-10-15,2.124416192070313,123,6
2018-10-16,0.21153819036093768,69,11
2018-10-17,0.7997790315624997,63,8
2018-10-18,3.0908780535421876,73,11
2018-10-19,17.638740791773436,67,15
2018-10-20,7.0075415881625,54,7
2018-10-21,0.1580690328125005,36,3
2018-10-22,-2.981567285723436,52,9
2018-10-23,7.000052675009376,57,5
2018-10-24,2.321915633540625,58,5
2018-10-25,5.778913975006251,122,13
2018-10-26,10.950340860225,77,3
2018-10-27,-3.1474657877250003,49,4
2018-10-28,12.667374043126562,61,1
2018-10-29,4.7402242586328125,61,6
2018-10-30,2.3517403825906253,70,11
2018-10-31,1.234801448379688,62,8
2018-11-01,1.024237796564062,96,13
2018-11-02,-1.3140661565343752,62,12
2018-11-03,-1.1321518743265626,71,2
2018-11-04,7.690813751214062,37,3
2018-11-05,-0.20485065169531413,99,4
2018-11-06,4.97108985635625,53,8
2018-11-07,15.231155732817188,81,6
2018-11-08,-5.262120482703125,56,4
2018-11-09,5.571288744278126,49,4
2018-11-10,-1.4866158184421874,85,5
2018-11-11,3.073869623021875,60,0
2018-11-12,4.650399244629687,38,1
2018-11-13,5.971180406860938,63,3
2018-11-14,1.2208519204453125,36,6
2018-11-15,-0.9199840006578128,67,3
2018-11-16,3.239001147546875,123,7
2018-11-17,-1.0840822898546882,34,3
2018-11-18,-1.022629928140625,47,8
2018-11-19,-1.2923673715406245,52,13
2018-11-20,7.302011107729687,72,6
2018-11-21,2.224751780232812,108,9
2018-11-22,7.526664554579687,61,5
2018-11-23,8.073762736557812,42,4
2018-11-24,-5.072086966540625,61,2
2018-11-25,0.9681332970734386,63,4
2018-11-26,15.000402290520313,56,8
2018-11-27,6.91812056801875,127,6
2018-11-28,-0.2808327441234377,47,14
2018-11-29,1.4399375065609377,84,12
2018-11-30,5.96432421493125,103,21
2018-12-01,-3.0166350872640635,18,4
2018-12-02,-2.856066708792187,57,4
2018-12-03,4.497067467204688,79,8
2018-12-04,4.198188325287498,82,7
2018-12-05,13.595647323340625,59,12
2018-12-06,2.52408154363125,74,9
2018-12-07,3.8385487412609383,57,10
2018-12-08,-4.000222210801562,57,3
2018-12-09,1.4153419928921882,57,4
2018-12-10,6.382835727285937,73,6
2018-12-11,6.961738354407812,78,12
2018-12-12,-1.1211646792546883,86,13
2018-12-13,-3.4320825701437503,53,8
2018-12-14,7.271370681653125,80,5
2018-12-15,-4.6305726599843755,57,0
2018-12-16,0.8378619403906256,40,2
2018-12-17,11.74074275220625,56,9
2018-12-18,4.483078918679686,50,8
2018-12-19,2.6098755352343748,117,3
2018-12-20,6.102362058628126,86,8
2018-12-21,-1.6598022704296875,79,9
2018-12-22,0.10909833161093818,75,4
2018-12-23,2.5883594714218754,54,0
2018-12-24,4.316609892203125,38,1
2018-12-25,0.6055833380828126,60,2
2018-12-26,3.2667863695843753,52,3
2018-12-27,-0.0253573277031256,76,3
2018-12-28,3.815614764715625,61,0
2018-12-29,2.196486817376562,73,4
2018-12-30,1.3794301875062502,72,3
2018-12-31,9.667151793975,50,1
2019-01-01,-5.6482851197718755,60,0
2019-01-02,5.474607994059376,83,9
2019-01-03,-0.970483216023438,89,7
2019-01-04,-1.8416906009421874,68,12
2019-01-05,-0.8729818752906249,70,3
2019-01-06,2.5074182255265622,63,7
2019-01-07,0.8699218780249995,82,9
2019-01-08,6.030615465882812,91,7
2019-01-09,2.5790321004734373,51,9
2019-01-10,3.783963332125,45,8
2019-01-11,2.3560959075906247,44,7
2019-01-12,4.528831569785938,80,8
2019-01-13,-1.100368812498437,107,3
2019-01-14,-0.8766680015453119,69,4
2019-01-15,6.766676081771875,67,2
2019-01-16,-1.0325951538234381,46,5
2019-01-17,3.2014368022937503,45,2
2019-01-18,6.68738621074375,82,4
2019-01-19,-4.6412479707234375,99,3
2019-01-20,-0.10691750977187464,55,1
2019-01-21,3.0711244838406246,72,5
2019-01-22,2.3970917755203125,102,8
