,elastic/kibana,getsentry/sentry,grafana/grafana
2021-07-22,43.0,40,23
2021-07-23,-0.30000000000000426,31,11
2021-07-24,-2.3350000000000017,1,1
2021-07-25,0.5944999999999989,0,0
2021-07-26,39.7975125,15,18
2021-07-27,33.03432975,28,10
2021-07-28,41.6675664625,28,5
2021-07-29,32.750498011249995,33,22
2021-07-30,24.321791755328125,23,13
2021-07-31,-7.384709686107811,0,0
2021-08-01,-4.953161815143744,0,0
2021-08-02,36.41959885271876,18,9
2021-08-03,39.166415153787504,24,13
2021-08-04,17.267395968932814,23,26
2021-08-05,21.506259870134375,25,15
2021-08-06,-2.3821997441156224,33,10
2021-08-07,-3.8123459797390566,2,0
2021-08-08,-3.2433064467015567,0,0
2021-08-09,29.73665272246407,4,15
2021-08-10,50.965546876875,1,16
2021-08-11,37.412522784843745,2,11
2021-08-12,35.92923264119062,1,12
2021-08-13,37.6083182628625,0,18
2021-08-14,-1.0113379848703126,1,2
2021-08-15,-2.6232599756953086,3,2
2021-08-16,56.08384716746407,0,11
2021-08-17,68.23422316850001,15,20
2021-08-18,30.490360849975,17,23
2021-08-19,32.095490190518746,15,20
2021-08-20,24.615337361393753,9,11
2021-08-21,-8.408947142101557,0,0
2021-08-22,-2.568374933829678,0,0
2021-08-23,43.04849762886407,16,21
2021-08-24,38.448313638403135,17,19
2021-08-25,37.078562395089065,23,15
2021-08-26,44.66404514450937,32,15
2021-08-27,3.7729806257312486,20,23
2021-08-28,-7.848085722643747,0,1
2021-08-29,-4.968771452324994,0,2
2021-08-30,34.472392285365636,26,9
2021-08-31,37.370748503856255,42,16
2021-09-01,38.55007870529063,30,25
2021-09-02,16.58495973782656,24,17
2021-09-03,38.15841627120157,2,5
2021-09-04,-9.236548084710936,0,0
2021-09-05,-4.117413763039057,0,0
2021-09-06,15.293598742500006,0,12
2021-09-07,36.21515638290626,28,20
2021-09-08,45.67135128219688,17,19
2021-09-09,33.57968859918437,23,23
2021-09-10,16.583963514904685,16,21
2021-09-11,-7.870555327153124,0,0
2021-09-12,-3.798918400403119,0,1
2021-09-13,37.65633369573438,31,26
2021-09-14,34.282129741417194,25,18
2021-09-15,37.90165302942656,29,25
2021-09-16,21.695122692448436,20,17
2021-09-17,-2.3467919965765613,18,22
2021-09-18,-2.4370380599515586,0,0
2021-09-19,1.166131875315632,0,1
2021-09-20,21.808039628234383,31,23
2021-09-21,26.10491194257344,33,15
2021-09-22,32.81882579738594,34,14
2021-09-23,37.63346523855781,29,24
2021-09-24,-5.5246593851375,18,2
2021-09-25,-4.896821707957811,0,2
2021-09-26,-0.18657359801249518,0,0
2021-09-27,32.29773133356407,26,17
2021-09-28,33.43933359067969,35,18
2021-09-29,33.859616016867186,38,26
2021-09-30,23.91328149502656,25,21
2021-10-01,20.28055182664531,18,21
2021-10-02,-5.224563090664061,3,0
2021-10-03,-3.366863833857808,0,0
2021-10-04,54.75971045470313,28,14
2021-10-05,50.67132982059532,20,12
2021-10-06,50.42575600738281,44,22
2021-10-07,39.09571328745781,31,19
2021-10-08,0.2714717595265608,52,15
2021-10-09,-5.959384450587494,0,0
2021-10-10,-3.4335956682874906,0,0
2021-10-11,37.884731611912514,14,18
2021-10-12,56.56232390130782,33,27
2021-10-13,46.01863197624375,25,15
2021-10-14,44.346519447676556,25,23
2021-10-15,38.951179151510935,24,15
2021-10-16,-5.835476153020311,0,1
2021-10-17,-2.3951492739624936,0,0
2021-10-18,51.356506876396885,34,21
2021-10-19,70.06877637577188,27,22
2021-10-20,55.01203352424062,25,27
2021-10-21,53.30005696830937,22,22
2021-10-22,-10.102656957173439,30,18
2021-10-23,-8.188846695809367,1,0
2021-10-24,-6.269507051176552,0,0
2021-10-25,43.511857883456265,20,15
2021-10-26,66.5891858329297,22,26
2021-10-27,20.334072222951562,26,24
2021-10-28,28.788580041546872,24,18
2021-10-29,36.18690339620781,28,21
2021-10-30,-2.2488487337718723,0,0
2021-10-31,-6.555457925695308,0,0
2021-11-01,33.46326253996407,19,16
2021-11-02,62.66731909400001,16,36
2021-11-03,41.38315063835313,30,21
2021-11-04,32.35429100153906,41,17
2021-11-05,30.168892531204687,21,20
2021-11-06,-8.505758717620308,1,2
2021-11-07,-4.485335195778117,0,1
2021-11-08,31.36807009721251,18,16
2021-11-09,46.85895920540626,31,28
2021-11-10,33.06485549129063,32,25
2021-11-11,59.04763608515625,29,27
2021-11-12,-4.497394028342189,19,20
2021-11-13,-6.636839762721871,3,1
2021-11-14,-5.0448014225046816,0,2
2021-11-15,43.46221117889689,31,26
2021-11-16,52.46786114136563,16,23
2021-11-17,24.531148104612498,13,36
2021-11-18,29.7086466121375,18,31
2021-11-19,30.72058666037656,14,36
2021-11-20,-8.416898275354685,1,2
2021-11-21,-3.3970662208031186,0,0
2021-11-22,31.925552923714072,19,17
2021-11-23,42.25044382576563,31,25
2021-11-24,35.88722479362344,34,36
2021-11-25,15.413601488546874,14,16
2021-11-26,-1.8216174088671853,9,20
2021-11-27,-3.347870990776557,0,0
2021-11-28,-2.743575506953117,0,0
2021-11-29,37.32533659393282,21,31
2021-11-30,41.873967597615625,26,16
2021-12-01,40.63400182719062,30,25
2021-12-02,28.548671658785935,35,21
2021-12-03,31.074340857992187,21,14
2021-12-04,-6.045700596492187,0,0
2021-12-05,-5.57617043749687,0,0
2021-12-06,32.04821378191251,37,14
2021-12-07,52.30699609433907,14,10
2021-12-08,36.934361782562505,13,10
2021-12-09,29.75061653300937,36,10
2021-12-10,0.2012764436453125,21,4
2021-12-11,-6.67396050574062,1,0
2021-12-12,-4.350517240484367,0,0
2021-12-13,36.929884389892194,9,18
2021-12-14,30.5311030651875,45,27
2021-12-15,29.424059117034375,39,20
2021-12-16,25.97438901364531,45,18
2021-12-17,27.165584447685937,17,17
2021-12-18,-6.925319731593749,0,2
2021-12-19,-4.61530127535937,0,1
2021-12-20,27.727912937500008,12,23
2021-12-21,43.320149255625005,13,20
2021-12-22,27.572294380734377,11,11
2021-12-23,16.792742014592186,14,9
2021-12-24,-4.194559067610937,0,2
2021-12-25,-4.594627388018745,0,0
2021-12-26,-1.0926212892734308,0,0
2021-12-27,9.62049245121407,0,4
2021-12-28,9.93105248026563,1,6
2021-12-29,0.597014606120315,4,1
2021-12-30,2.558843513426565,1,4
2021-12-31,0.09446889456562646,0,0
2022-01-01,0.7339862225546894,0,0
2022-01-02,-0.9299958501078112,0,0
2022-01-03,3.3618533564687514,18,8
2022-01-04,24.092607687490627,24,24
2022-01-05,24.911082352865623,26,19
2022-01-06,18.69951565872031,24,14
2022-01-07,-0.48509839272187794,21,26
2022-01-08,-2.8973477812109367,0,0
2022-01-09,-1.9055511311031221,0,0
2022-01-10,34.56927069742813,32,21
2022-01-11,32.2625127416875,25,18
2022-01-12,38.72937998196562,27,15
2022-01-13,21.02331285841406,26,19
2022-01-14,19.777036144634373,18,14
2022-01-15,-4.863662360389062,1,0
2022-01-16,-4.275060110143745,0,0
2022-01-17,20.929666222500007,14,19
2022-01-18,39.1705101576875,19,15
2022-01-19,20.506221783378127,28,19
2022-01-20,38.085343341717184,27,19
2022-01-21,-5.491183265320313,24,22
2022-01-22,-4.943050567464059,1,1
2022-01-23,-0.2669809445015576,0,1
2022-01-24,25.371243534928134,17,17
2022-01-25,40.191460252625006,39,17
2022-01-26,19.58065745895,27,15
2022-01-27,34.23884785523125,43,21
2022-01-28,27.076576704540624,25,17
2022-01-29,-7.941720840664061,0,1
2022-01-30,-3.453655246357809,0,0
2022-01-31,53.68856625345313,22,30
2022-02-01,56.72332575920469,26,22
2022-02-02,24.837499482040624,27,25
2022-02-03,23.278032700710938,23,33
2022-02-04,25.026271529139066,21,26
2022-02-05,-6.865123172020308,2,1
2022-02-06,-5.517226997507804,0,0
2022-02-07,28.181494688234384,22,25
2022-02-08,27.759906849323443,25,39
2022-02-09,27.63631108193594,19,40
2022-02-10,41.321781415351566,20,36
2022-02-11,31.873177281690623,18,33
2022-02-12,-7.145433168717187,0,0
2022-02-13,-5.438539012253121,0,0
2022-02-14,31.345646839928133,31,1
2022-02-15,36.662074623500004,38,27
2022-02-16,39.79558434506875,28,25
2022-02-17,33.53158092948125,21,30
2022-02-18,-7.652660247773438,17,28
2022-02-19,-5.781605750401558,0,2
2022-02-20,-3.82448026750468,0,0
2022-02-21,11.309864888678133,9,17
2022-02-22,18.42195825570313,24,13
2022-02-23,32.333905244070316,50,20
2022-02-24,27.587217352454687,27,25
2022-02-25,-2.818044773896876,25,22
2022-02-26,-4.044996785076561,1,1
2022-02-27,-1.4691468800718712,0,0
2022-02-28,28.042279227500007,27,17
2022-03-01,29.459368337781253,40,18
2022-03-02,17.970970991903123,43,27
2022-03-03,34.225701440131246,41,33
2022-03-04,24.63455327863906,38,23
2022-03-05,-7.207023750784375,3,0
2022-03-06,-3.063418981393747,0,0
2022-03-07,35.98481037448438,46,8
2022-03-08,34.76060778449532,30,11
2022-03-09,51.230746571390625,29,11
2022-03-10,35.742704751403124,23,12
2022-03-11,-7.184757511487501,28,11
2022-03-12,-6.182517880437496,3,1
2022-03-13,-4.119049714899992,0,0
2022-03-14,34.031271770734385,36,17
2022-03-15,54.88367865610469,44,18
2022-03-16,46.206813013707816,32,21
2022-03-17,27.141820513104683,34,19
2022-03-18,32.20803171291094,32,17
2022-03-19,-7.777784405699997,0,1
2022-03-20,-4.825412770107806,0,0
2022-03-21,46.71193747625001,21,25
2022-03-22,27.54992274717188,23,19
2022-03-23,30.34244339721719,28,22
2022-03-24,54.95108348393281,29,18
2022-03-25,-2.5770951541062495,22,12
2022-03-26,-7.213679198021872,1,4
2022-03-27,-1.6692852662906184,0,0
2022-03-28,55.42656977316251,31,0
