,twbs/bootstrap,ant-design/ant-design,mui/material-ui
2023-11-27,0,10,3.9105364992
2023-11-28,0,6,3.33800448
2023-11-29,0,5,5.101280768
2023-11-30,0,11,2.5576139776
2023-12-01,0,5,4.7056956416
2023-12-02,0,0,-1.5911374848
2023-12-03,0,0,-1.5257345024000009
2023-12-04,0,8,2.0092256255999996
2023-12-05,0,3,2.6646075392000004
2023-12-06,0,3,4.392731648
2023-12-07,0,8,-1.0802319359999997
2023-12-08,0,2,-1.2709398528
2023-12-09,1,7,-0.7589954559999998
2023-12-10,1,9,-0.5147035647999999
2023-12-11,0,8,6.6682192896
2023-12-12,1,5,2.3410211840000006
2023-12-13,0,7,1.4230519808
2023-12-14,0,10,0.5908696064000001
2023-12-15,1,10,3.8435961856
2023-12-16,0,1,-1.6296213504000001
2023-12-17,3,2,-0.8419456000000006
2023-12-18,0,11,5.4159897599999995
2023-12-19,0,5,-0.6487792639999994
2023-12-20,0,3,0.9558459392
2023-12-21,1,7,4.0029620224
2023-12-22,1,10,5.4395829248
2023-12-23,0,0,-2.1796932607999997
2023-12-24,0,3,1.9223444479999994
2023-12-25,0,6,15.72293888
2023-12-26,0,1,2.853009408
2023-12-27,0,15,2.692046745599999
2023-12-28,0,5,3.054320025599999
2023-12-29,0,7,-1.8791723008000005
2023-12-30,2,8,0.13834086399999967
2023-12-31,0,1,1.3662927871999997
2024-01-01,0,1,-1.6367349760000003
2024-01-02,0,12,10.954125004800002
2024-01-03,0,4,1.8264379392000012
2024-01-04,0,7,6.5925271552
2024-01-05,0,10,2.9284653056000005
2024-01-06,0,2,1.2524563455999997
2024-01-07,0,2,-0.27845693440000074
2024-01-08,0,5,7.2486725631999995
2024-01-09,1,6,8.0739033088
2024-01-10,0,3,2.2552386560000004
2024-01-11,0,10,7.8221719552
2024-01-12,0,9,-2.9365836799999996
2024-01-13,0,8,0.7254610943999991
2024-01-14,0,2,0.9594244095999995
2024-01-15,0,9,5.1334738944
2024-01-16,0,5,8.4383091712
2024-01-17,0,4,7.372897894400001
2024-01-18,0,7,4.976480153600001
2024-01-19,0,5,-1.8311020543999996
2024-01-20,0,2,5.540030873599999
2024-01-21,0,0,-1.0919102464000003
2024-01-22,0,2,6.856928972799999
2024-01-23,0,8,8.8099432448
2024-01-24,0,6,-0.15147540479999932
2024-01-25,0,3,1.0478862335999999
2024-01-26,0,13,5.4865918976
2024-01-27,0,12,-3.0622949376
2024-01-28,0,7,1.3694149631999994
2024-01-29,1,6,13.2534396928
2024-01-30,3,10,0.9497920512000011
2024-01-31,0,5,5.0174132224
2024-02-01,0,9,5.7408796672
2024-02-02,1,8,1.4965499903999997
2024-02-03,0,2,6.1186945023999995
2024-02-04,0,3,2.5145530367999998
2024-02-05,0,9,7.934104064
2024-02-06,5,6,7.9888882688
2024-02-07,0,7,2.423668224
2024-02-08,0,2,6.248643071999999
2024-02-09,0,1,-1.1565530111999998
2024-02-10,0,0,2.120828006399999
2024-02-11,0,0,3.22025472
2024-02-12,0,2,6.1113580544
2024-02-13,2,1,2.5446368256000005
2024-02-14,1,0,4.9148015616
2024-02-15,0,1,5.6778202112
2024-02-16,0,2,-0.5677027327999999
2024-02-17,0,1,-2.5104870400000006
2024-02-18,1,6,3.5112178687999993
2024-02-19,0,6,9.925725696
2024-02-20,1,7,13.400079769600001
2024-02-21,0,5,14.8055686144
2024-02-22,1,2,2.4924553215999996
2024-02-23,0,3,2.9730956287999986
2024-02-24,0,9,-3.4151632896000006
2024-02-25,0,2,0.2547007487999986
2024-02-26,0,3,-1.4994688000000007
2024-02-27,0,3,6.082046464
2024-02-28,0,10,0.02149509120000115
2024-02-29,0,1,-1.2298400767999986
2024-03-01,0,9,2.531073024000001
2024-03-02,0,2,0.3761250304000008
2024-03-03,0,1,-1.2584394752
2024-03-04,1,1,7.3018023936
2024-03-05,7,5,9.8955680768
2024-03-06,7,6,0.5918759936000004
2024-03-07,2,5,2.5633681407999993
2024-03-08,2,4,15.674839756799999
2024-03-09,0,1,-3.9033616384
2024-03-10,0,0,-0.5629152256000012
2024-03-11,1,8,4.980357939199999
2024-03-12,5,1,6.259582464
2024-03-13,1,1,10.608493772800001
2024-03-14,0,7,-2.6082710528
2024-03-15,2,5,6.314802278399998
2024-03-16,0,9,-2.492261887999999
2024-03-17,0,2,0.8680849407999993
2024-03-18,1,6,7.119704985599999
2024-03-19,11,1,7.9945316352
2024-03-20,2,6,12.1779694592
2024-03-21,0,6,0.8302992384000003
2024-03-22,1,11,1.236876390399999
2024-03-23,0,3,-3.0800652288000006
2024-03-24,0,3,-1.8677472256000007
2024-03-25,1,8,8.7171342336
2024-03-26,2,6,6.9988318208
2024-03-27,0,8,6.408430694400001
2024-03-28,0,6,-2.8510705663999993
2024-03-29,0,6,4.8135305216
2024-03-30,0,2,-2.6981146624
2024-03-31,0,8,-1.4659947520000007
2024-04-01,4,7,7.001484799999999
2024-04-02,0,9,1.6218316800000006
2024-04-03,0,4,4.922981376
2024-04-04,0,6,3.4675010560000006
2024-04-05,1,12,-0.47836825600000044
2024-04-06,0,1,-0.6678713344000002
2024-04-07,0,13,-1.2360598528000004
2024-04-08,0,5,4.2265190399999994
2024-04-09,0,9,7.405773824000001
2024-04-10,0,4,2.3169625088000005
2024-04-11,0,5,3.7214546944
2024-04-12,0,6,5.5721060352
2024-04-13,0,3,-0.8705982464000002
2024-04-14,0,2,0.13270558719999914
2024-04-15,0,8,2.4457578495999996
2024-04-16,0,12,3.19556096
2024-04-17,0,10,6.91346944
2024-04-18,0,7,3.0405745664
2024-04-19,0,3,2.329583616
2024-04-20,0,1,1.5532271615999997
2024-04-21,0,2,-2.1621788672
2024-04-22,0,7,4.7850109951999995
2024-04-23,0,6,2.9358016512000003
2024-04-24,0,9,0.8611907584000003
2024-04-25,0,5,1.2143155200000002
2024-04-26,0,8,0.3535007744000003
2024-04-27,0,0,0.6803224576
2024-04-28,0,5,-1.1749504
2024-04-29,0,7,3.3130102783999997
2024-04-30,0,8,1.7279457280000003
2024-05-01,0,5,2.7029067776000004
2024-05-02,2,10,5.519780352
2024-05-03,0,2,2.8463177728
2024-05-04,0,3,-2.0549809152000007
2024-05-05,0,1,0.9175626751999995
2024-05-06,0,4,3.8687240191999996
