,plotly/plotly.js,highcharts/highcharts,d3/d3
2020-08-19,17,4.0,0
2020-08-20,6,5.2,0
2020-08-21,11,16.48,0
2020-08-22,0,-4.272,0
2020-08-23,0,-1.8624000000000016,4
2020-08-24,0,16.832256,27
2020-08-25,5,8.5602688,4
2020-08-26,1,18.31007232,6
2020-08-27,2,-1.0308295680000006,10
2020-08-28,1,0.290315366399998,1
2020-08-29,0,-3.8142429183999997,2
2020-08-30,0,-1.3849347072000007,0
2020-08-31,15,2.2008166399999993,2
2020-09-01,11,13.849895424,0
2020-09-02,23,-0.6190559231999986,1
2020-09-03,16,0.9976767488000009,0
2020-09-04,6,0.49430906880000025,0
2020-09-05,0,-1.9189274624000001,0
2020-09-06,0,-1.1359646720000005,0
2020-09-07,4,8.210500608,0
2020-09-08,6,0.5744930816000005,0
2020-09-09,0,0.17388912640000043,0
2020-09-10,2,15.5419462656,0
2020-09-11,3,-0.16460840959999956,0
2020-09-12,0,-2.679664537600001,0
2020-09-13,1,-1.501075251200001,0
2020-09-14,4,3.9721011199999996,0
2020-09-15,9,4.210360832000001,0
2020-09-16,7,6.7613256704,0
2020-09-17,14,3.0443470848,0
2020-09-18,3,13.2867633152,0
2020-09-19,0,-2.7108098047999993,0
2020-09-20,0,-2.575637401600001,0
2020-09-21,6,-0.5666304000000011,0
2020-09-22,6,2.65582592,0
2020-09-23,7,3.2206376960000003,2
2020-09-24,4,12.9482013696,0
2020-09-25,14,-1.135835545599999,0
2020-09-26,10,-2.5388089344,0
2020-09-27,0,-1.4788578304000002,0
2020-09-28,18,0.10073937919999953,0
2020-09-29,14,2.1319214079999997,0
2020-09-30,10,-1.2176937984,0
2020-10-01,9,-0.7250031615999999,0
2020-10-02,8,-0.5065425919999991,0
2020-10-03,2,0.6434606080000007,0
2020-10-04,0,-0.3344448511999999,0
2020-10-05,3,1.84178688,0
2020-10-06,3,-0.5131678719999999,0
2020-10-07,2,0.7507675136,0
2020-10-08,6,3.6410559488,0
2020-10-09,6,-0.9676288,0
2020-10-10,3,-0.4359987200000004,0
2020-10-11,2,-0.2808453120000001,0
2020-10-12,1,17.7937412096,0
2020-10-13,3,-1.7513482239999991,0
2020-10-14,12,7.036419379199999,0
2020-10-15,6,-2.9060945920000005,0
2020-10-16,3,13.509179801599998,0
2020-10-17,5,-4.0087254016,0
2020-10-18,0,-1.9211904000000013,0
2020-10-19,7,11.704637439999999,0
2020-10-20,7,-1.580691455999999,0
2020-10-21,6,13.7713957888,0
2020-10-22,14,5.5551398912000005,0
2020-10-23,7,14.821075046399999,0
2020-10-24,2,-5.982983679999999,0
2020-10-25,3,-3.0412866560000014,0
2020-10-26,3,9.08251904,0
2020-10-27,2,0.3584855040000008,0
2020-10-28,4,11.168823500799999,0
2020-10-29,6,-3.4605564927999994,0
2020-10-30,5,2.4534055935999994,0
2020-10-31,0,-2.565356031999999,0
2020-11-01,0,-1.4821784575999999,0
2020-11-02,7,16.10098688,0
2020-11-03,5,1.8944890880000012,0
2020-11-04,22,14.8602034176,0
2020-11-05,6,0.7336239104000004,0
2020-11-06,4,33.2272077824,0
2020-11-07,0,-5.464119910399999,0
2020-11-08,0,-0.21565235200000288,0
2020-11-09,6,25.832424959999997,0
2020-11-10,2,12.297714176000001,0
2020-11-11,0,18.3552090112,0
2020-11-12,7,20.0186351616,0
2020-11-13,9,17.6775415808,0
2020-11-14,0,-11.7446923264,0
2020-11-15,1,-6.419870412800003,0
2020-11-16,8,44.8519056384,0
2020-11-17,10,-4.941496831999997,0
2020-11-18,13,26.993348096,0
2020-11-19,10,6.257438617600002,0
2020-11-20,5,41.3104212992,0
2020-11-21,7,-15.631388159999997,0
2020-11-22,0,-7.686910361600004,0
2020-11-23,6,19.06060032,0
2020-11-24,5,31.471332352000005,0
2020-11-25,10,9.091410534400001,0
2020-11-26,13,26.2981255168,0
2020-11-27,12,40.5549312,0
2020-11-28,8,-9.731085619199998,0
2020-11-29,8,-10.582868070400005,0
2020-11-30,10,79.73961471999999,0
2020-12-01,2,3.1849605120000035,0
2020-12-02,8,65.4692296704,0
2020-12-03,2,-1.077035519999999,2
2020-12-04,9,0.7462556671999963,0
2020-12-05,0,-13.817812172800002,0
2020-12-06,0,-8.497323417600002,0
2020-12-07,12,0.1950112767999972,0
2020-12-08,12,16.267091968000003,2
2020-12-09,14,2.3669395456000046,0
2020-12-10,4,-2.499098111999995,0
2020-12-11,15,-0.5976034303999977,0
2020-12-12,0,-3.0986592255999987,0
2020-12-13,0,-1.7904131072000005,0
2020-12-14,8,8.841710079999999,0
2020-12-15,2,-1.9199749119999998,0
2020-12-16,0,0.2386011136000008,0
2020-12-17,7,0.4579873792000009,0
2020-12-18,13,2.7935794176,0
2020-12-19,1,-1.4523882495999998,0
2020-12-20,0,-0.7629014016000004,0
2020-12-21,9,-0.4999680000000003,0
2020-12-22,10,-0.3871334399999995,0
2020-12-23,2,0.6840637440000004,0
2020-12-24,1,-0.35681341439999986,0
2020-12-25,2,-0.20142100479999991,0
2020-12-26,2,-0.13048954879999972,0
2020-12-27,0,-0.08347740159999986,0
2020-12-28,0,-0.025536000000000014,0
2020-12-29,0,-0.02042880000000001,0
2020-12-30,0,-0.01692672000000001,0
2020-12-31,0,-0.01438771199999994,0
2021-01-01,0,-0.012469350399999964,0
2021-01-02,0,0.0,0
2021-01-03,0,0.0,0
2021-01-04,20,1.0,0
2021-01-05,14,36.8,0
2021-01-06,6,-3.4799999999999986,0
2021-01-07,12,1.1919999999999975,0
2021-01-08,7,7.870399999999998,0
2021-01-09,0,-4.060736,0
2021-01-10,0,-2.2196608000000015,0
2021-01-11,4,5.429063679999999,0
