,ioBroker/ioBroker,node-red/node-red,home-assistant/core
2014-10-12,0,0,0.0
2014-10-13,0,0,0.0
2014-10-14,0,1,0.0
2014-10-15,0,0,0.0
2014-10-16,0,0,0.0
2014-10-17,0,0,1.0
2014-10-18,1,1,-0.19999999999999996
2014-10-19,0,1,-0.08000000000000007
2014-10-20,0,3,2.952
2014-10-21,1,1,-0.6335999999999998
2014-10-22,0,6,11.734464
2014-10-23,0,1,1.4355712000000005
2014-10-24,0,2,-1.8777267200000007
2014-10-25,0,3,4.013004287999999
2014-10-26,0,1,-1.6689557503999999
2014-10-27,0,5,1.1083878399999993
2014-10-28,0,3,0.969547264
2014-10-29,0,6,-0.05024389120000006
2014-10-30,1,7,0.17596057600000048
2014-10-31,0,6,6.2474729472
2014-11-01,1,1,3.2192169984000003
2014-11-02,0,0,5.19453184
2014-11-03,2,0,3.667806208
2014-11-04,0,3,-2.3437936640000006
2014-11-05,0,8,7.7461783552
2014-11-06,0,6,-2.6501347328
2014-11-07,0,4,-1.3478401024000009
2014-11-08,0,2,2.0739654655999997
2014-11-09,1,1,3.6973161472000005
2014-11-10,0,1,0.26555494400000046
2014-11-11,0,2,0.6985290752000002
2014-11-12,0,1,5.8720434176
2014-11-13,0,8,-1.0300974079999996
2014-11-14,0,3,2.7756094464
2014-11-15,0,0,0.5128038399999997
2014-11-16,0,2,-1.2229263360000002
2014-11-17,0,3,1.2515903488
2014-11-18,0,0,-0.9239132159999999
2014-11-19,0,2,-0.5219739648000001
2014-11-20,0,4,7.6286333952000005
2014-11-21,0,6,1.1225623552000006
2014-11-22,0,0,0.6050543615999997
2014-11-23,0,0,10.8564895744
2014-11-24,0,1,2.9684078592
2014-11-25,0,1,2.4101365759999993
2014-11-26,0,2,7.611822899199999
2014-11-27,0,2,-3.3389721600000004
2014-11-28,0,4,-0.7547714560000007
2014-11-29,0,0,7.5768670208
2014-11-30,0,0,-2.7355569152
2014-12-01,0,1,1.5753444352
2014-12-02,0,0,-1.5904800767999996
2014-12-03,0,0,1.1160421376
2014-12-04,0,1,-0.0004766719999993452
2014-12-05,0,4,0.21372057600000016
2014-12-06,0,0,-0.6193361920000002
2014-12-07,0,0,2.6015548416000005
2014-12-08,0,7,-0.8956763135999997
2014-12-09,0,2,8.616843264
2014-12-10,0,0,-2.0612262911999997
2014-12-11,0,0,-0.8869309440000006
2014-12-12,0,0,5.4351388672
2014-12-13,0,0,-1.5905434623999999
2014-12-14,0,0,5.226926489599999
2014-12-15,0,3,8.284977664
2014-12-16,0,0,0.12865146880000022
2014-12-17,0,4,0.02929459199999962
2014-12-18,0,1,-1.5563969536000002
2014-12-19,0,0,0.10522367999999949
2014-12-20,4,0,-0.8610590719999999
2014-12-21,0,0,1.3955275775999998
2014-12-22,0,0,2.1840481280000006
2014-12-23,0,0,-1.1039309823999992
2014-12-24,0,0,0.43675392000000024
2014-12-25,0,0,-0.4978122751999998
2014-12-26,0,1,-0.2737374208000001
2014-12-27,0,1,1.820146688
2014-12-28,0,0,4.4587908096
2014-12-29,0,0,-0.2650915839999999
2014-12-30,0,0,4.2154693631999995
2014-12-31,0,0,0.5584652288
2015-01-01,0,0,-1.0814597120000005
2015-01-02,1,0,7.385393049599999
2015-01-03,0,0,-1.0255334399999998
2015-01-04,0,0,2.8312821759999993
2015-01-05,0,2,-0.5310199807999998
2015-01-06,0,1,10.960974336
2015-01-07,1,2,0.9718506496000003
2015-01-08,0,1,-2.222488576000001
2015-01-09,0,3,5.787474739199999
2015-01-10,0,0,0.7655203840000002
2015-01-11,0,0,8.1968898048
2015-01-12,0,1,1.9897634815999998
2015-01-13,0,2,1.4716990463999995
2015-01-14,0,3,-2.2123807743999997
2015-01-15,0,12,4.6772073471999995
2015-01-16,0,4,2.9549891584
2015-01-17,0,5,-0.09786214400000004
2015-01-18,0,6,2.4079962111999995
2015-01-19,0,0,-0.7492339711999996
2015-01-20,0,0,19.798445056
2015-01-21,0,2,-1.9093503999999992
2015-01-22,0,0,3.2329462783999983
2015-01-23,6,0,-2.795561472
2015-01-24,0,0,-1.6174593024000004
2015-01-25,0,0,2.895686144
2015-01-26,1,0,-1.6066290687999998
2015-01-27,4,2,0.04577136639999968
2015-01-28,0,0,1.1200357376000012
2015-01-29,0,11,-1.020979814399999
2015-01-30,4,3,3.5661216768000004
2015-01-31,0,0,0.9138686976000003
2015-02-01,0,0,5.11955712
2015-02-02,0,1,2.318948352
2015-02-03,0,7,0.38193827839999983
2015-02-04,0,14,4.774414847999999
2015-02-05,0,19,1.0723680255999999
2015-02-06,0,10,4.4028808192
2015-02-07,0,3,4.888678912
2015-02-08,0,6,6.4613996544
2015-02-09,0,1,0.8781545472000003
2015-02-10,0,6,-1.4230011904000004
