,pallets/flask,rails/rails,django/django
2010-06-06,1.0,8,0.0
2010-06-07,9.7,25,5.0
2010-06-08,-3.1050000000000004,44,1.0
2010-06-09,-1.1094999999999993,13,0.0
2010-06-10,3.3648375,12,1.0
2010-06-11,-1.63134525,26,1.0
2010-06-12,-0.7404833624999997,12,0.0
2010-06-13,-0.4897658987499999,21,0.0
2010-06-14,1.633900545734375,24,0.0
2010-06-15,-0.8912315808890631,17,0.0
2010-06-16,-0.4389575823281251,23,0.0
2010-06-17,2.805170905,11,2.0
2010-06-18,4.956168132937499,22,0.0
2010-06-19,-0.22877415293125036,29,2.0
2010-06-20,-1.4550617249999995,30,0.0
2010-06-21,-0.7254020474999997,11,3.0
2010-06-22,0.5191108164687499,33,0.0
2010-06-23,-0.6556559139656251,19,4.0
2010-06-24,-0.3609974962499999,35,1.0
2010-06-25,-0.26743551779687513,28,0.0
2010-06-26,4.7859124122078125,16,0.0
2010-06-27,2.3570258370718746,22,0.0
2010-06-28,7.224552311034375,32,0.0
2010-06-29,-1.4364572737499999,23,0.0
2010-06-30,2.000310783234376,16,1.0
2010-07-01,-1.268334663232812,11,0.0
2010-07-02,4.5642521875,5,0.0
2010-07-03,-2.67871706875,10,0.0
2010-07-04,27.725669058671876,8,0.0
2010-07-05,-3.564644621976564,3,4.0
2010-07-06,8.556042648678126,7,0.0
2010-07-07,-4.9869356101265625,8,0.0
2010-07-08,-3.8410286422781237,29,0.0
2010-07-09,-2.3298162621968745,6,0.0
2010-07-10,-1.6435852263265625,6,0.0
2010-07-11,-1.2673550931468751,5,0.0
2010-07-12,3.0404589962968736,11,0.0
2010-07-13,0.9988571581546863,22,0.0
2010-07-14,0.3383109383843743,14,0.0
2010-07-15,9.625078781209375,14,0.0
2010-07-16,-1.8763168264656254,17,0.0
2010-07-17,15.8866315,10,1.0
2010-07-18,3.4728908,15,0.0
2010-07-19,-5.655899682499999,23,0.0
2010-07-20,2.304811836687501,33,1.0
2010-07-21,-3.273333338228125,62,1.0
2010-07-22,-1.7891849094796872,22,0.0
2010-07-23,6.7465167166125,20,0.0
2010-07-24,-3.356023031592188,3,1.0
2010-07-25,14.508878284253125,28,1.0
2010-07-26,3.2043270816531235,67,0.0
2010-07-27,9.068079498921875,19,0.0
2010-07-28,-6.414145583828125,53,0.0
