,cfengine/core,saltstack/salt,ansible/ansible
2012-04-05,5,20.0,10
2012-04-06,6,7.000000000000002,6
2012-04-07,2,3.6000000000000014,2
2012-04-08,0,-0.879999999999999,0
2012-04-09,3,6.968,1
2012-04-10,16,8.968960000000001,9
2012-04-11,3,3.784256000000001,8
2012-04-12,5,-7.834483199999999,14
2012-04-13,2,2.8273049599999993,26
2012-04-14,0,-1.2970639359999998,10
2012-04-15,0,-4.980540416,1
2012-04-16,5,8.4966124544,8
2012-04-17,13,3.966900326400001,39
2012-04-18,4,23.5052466176,20
2012-04-19,4,4.296044646400004,42
2012-04-20,0,29.231133900800003,6
2012-04-21,1,-0.9841668095999978,15
2012-04-22,1,-9.6342790144,13
2012-04-23,1,3.8073410560000003,7
2012-04-24,3,6.860397568,34
2012-04-25,20,30.260661555200002,8
2012-04-26,2,-0.07233996799999431,22
2012-04-27,3,-11.229757952,22
2012-04-28,0,-7.9063570432,9
2012-04-29,0,5.854192742399999,0
2012-04-30,9,-2.298112716800002,0
2012-05-01,2,16.8480492544,13
2012-05-02,10,38.623471308800006,32
2012-05-03,3,-9.2239837184,13
2012-05-04,3,-2.3529616383999965,5
2012-05-05,1,3.0698551296000005,4
2012-05-06,0,-7.5846619136000015,17
2012-05-07,8,-0.9958334464000007,7
2012-05-08,3,1.5769701376,25
2012-05-09,6,5.3561042944,5
2012-05-10,4,29.8557308928,36
2012-05-11,6,-6.724710297599998,16
2012-05-12,3,4.8654424064,2
2012-05-13,0,27.6593712128,6
2012-05-14,13,0.5004122112000005,10
2012-05-15,1,-6.030865407999997,8
2012-05-16,0,-4.056946585599999,2
2012-05-17,1,5.571634892799999,2
2012-05-18,5,-3.1639204863999986,0
2012-05-19,21,8.4444761088,4
2012-05-20,0,-1.0463079423999986,6
2012-05-21,5,5.1038393344,0
2012-05-22,5,5.098786304000001,3
2012-05-23,13,23.793499238400003,2
2012-05-24,20,-4.942473420799999,1
2012-05-25,8,-9.9889798144,5
2012-05-26,9,12.565522431999998,3
2012-05-27,0,10.599097241599999,2
2012-05-28,0,0.26207037440000214,0
2012-05-29,5,0.6749552640000012,6
2012-05-30,10,20.9320654848,9
2012-05-31,7,-4.2122982399999955,3
2012-06-01,11,-5.034547507199999,10
2012-06-02,16,-4.3134465024,0
2012-06-03,1,14.039784038399999,0
2012-06-04,9,7.493351116800001,0
2012-06-05,1,7.6373786624000015,3
2012-06-06,5,14.834884300800002,1
2012-06-07,3,-7.7907726336,4
2012-06-08,2,1.5563461631999989,5
2012-06-09,0,2.1216997376,2
2012-06-10,0,-0.5337619456000002,2
2012-06-11,0,6.816332492799999,3
2012-06-12,6,-0.1710704639999996,1
2012-06-13,5,4.498052300800001,3
2012-06-14,4,-6.215040512,12
2012-06-15,7,5.715677081599999,8
2012-06-16,4,10.818552524800001,5
2012-06-17,0,-7.397549465599999,4
2012-06-18,2,19.6266543104,3
2012-06-19,0,40.1157977088,6
2012-06-20,5,-20.121508351999996,14
2012-06-21,3,-10.656648703999998,9
2012-06-22,7,26.530887065599998,3
2012-06-23,0,13.7377330176,1
2012-06-24,1,-13.303830220799998,0
2012-06-25,1,10.5945404416,6
2012-06-26,6,9.9645418496,4
2012-06-27,15,-3.038409215999998,2
2012-06-28,3,-8.147504742399999,0
2012-06-29,3,-3.159344332800001,3
2012-06-30,3,79.24040478719999,2
2012-07-01,0,-7.480264806399994,2
2012-07-02,2,-11.436351692799995,8
2012-07-03,1,-2.6606819327999993,8
2012-07-04,10,-4.298976460800004,10
2012-07-05,2,2.5445649407999973,2
2012-07-06,3,34.1962868736,4
2012-07-07,0,-21.428385075199998,13
2012-07-08,0,10.0151574528,2
2012-07-09,5,11.989778432000001,5
2012-07-10,21,-0.2158310400000012,11
2012-07-11,2,0.9417030656000005,9
2012-07-12,9,-3.6508427264000005,16
2012-07-13,10,34.2305507328,3
2012-07-14,0,-11.844740198399997,12
2012-07-15,0,30.69568512,21
2012-07-16,2,-7.077884313599995,3
2012-07-17,10,-8.493841408000002,10
2012-07-18,26,-4.1920729088,14
2012-07-19,9,5.096347443199998,5
2012-07-20,0,5.3584780288000005,36
2012-07-21,0,8.360363929600002,10
2012-07-22,0,-0.550487142399998,10
2012-07-23,5,14.005139456000002,11
2012-07-24,9,-6.3285612543999985,35
2012-07-25,0,-1.8072854528000004,23
2012-07-26,1,26.871925350399998,32
2012-07-27,10,23.704503603200003,9
2012-07-28,0,-10.997958758399996,24
2012-07-29,0,-8.678310399999999,7
2012-07-30,0,7.262303436799998,27
2012-07-31,2,26.6830101504,22
2012-08-01,15,17.495023820800004,40
2012-08-02,0,-1.125989478399994,36
2012-08-03,3,-0.24099266559999677,12
