,golang/go,rust-lang/rust,swiftlang/swift
2010-09-17,3,0.0,0.0
2010-09-18,2,0.0,2.0
2010-09-19,3,0.0,-0.20000000000000018
2010-09-20,16,1.0,-0.09000000000000007
2010-09-21,5,11.5,-0.057000000000000044
2010-09-22,17,1.875,-0.04132499999999985
2010-09-23,12,-1.5625,-0.032233499999999894
2010-09-24,29,4.2109375,-0.02632402499999992
2010-09-25,2,-5.49609375,-0.022187392499999934
2010-09-26,0,-1.9111328125,-0.01913662603124995
2010-09-27,12,1.86279296875,-0.016797705071874957
2010-09-28,10,2.707611083984375,0.0
2010-09-29,14,-2.4727020263671875,0.0
2010-09-30,16,3.22332763671875,0.0
2010-10-01,5,-1.3232421875,0.0
2010-10-02,0,-1.11322021484375,0.0
2010-10-03,1,-1.3870849609375,0.0
2010-10-04,3,0.37646484375,0.0
2010-10-05,2,1.082305908203125,0.0
2010-10-06,13,3.5644073486328125,0.0
2010-10-07,13,-0.0290679931640625,0.0
2010-10-08,2,3.5818328857421875,0.0
2010-10-09,1,5.1101837158203125,17.0
2010-10-10,0,-3.742919921875,9.299999999999999
2010-10-11,11,-0.8219451904296875,1.1349999999999985
2010-10-12,16,8.723236083984375,1.720499999999999
2010-10-13,9,0.4301910400390625,-1.0997624999999993
2010-10-14,10,2.4171142578125,-0.7217722499999984
2010-10-15,10,-4.0703887939453125,3.4514740375000015
2010-10-16,2,-2.2191925048828125,-0.843712723749999
2010-10-17,4,-2.08074951171875,3.447471732484376
2010-10-18,14,7.8639068603515625,0.1652009374671879
2010-10-19,7,-0.228179931640625,-0.517023405692187
2010-10-20,17,-0.16143798828125,-0.27736849665468727
2010-10-21,17,11.403579711914062,-0.188994607607812
2010-10-22,12,3.1020965576171875,-0.12950428499999958
2010-10-23,0,-0.69598388671875,-0.10703805206249968
2010-10-24,1,-6.949951171875,0.9088677923562503
2010-10-25,11,-2.7037811279296875,-0.14936694831249997
2010-10-26,14,3.340667724609375,-0.08816372315937493
2010-10-27,8,-1.6763458251953125,-0.0368988525359375
2010-10-28,14,5.5615386962890625,-0.020662499999999924
