,ray-project/ray,DLR-RM/stable-baselines3,hill-a/stable-baselines
2019-11-05,6.0,0,0
2019-11-06,0.19999999999999973,0,0
2019-11-07,0.7700000000000005,5,1
2019-11-08,5.833,2,0
2019-11-09,-2.669975,0,0
2019-11-10,1.8873535000000006,0,0
2019-11-11,2.404049325,0,0
2019-11-12,0.9841166324999999,5,0
2019-11-13,1.1137216769062501,2,0
2019-11-14,7.112378002071875,2,0
2019-11-15,2.3650680737531253,2,0
2019-11-16,1.628985068675,0,0
2019-11-17,-3.120227413879687,0,0
2019-11-18,3.474074917203126,5,0
2019-11-19,-0.5369287655109378,0,1
2019-11-20,3.1275026130218753,0,1
2019-11-21,11.445217721254688,16,0
2019-11-22,0.5413988544109358,9,1
2019-11-23,-0.10872363843906196,0,0
2019-11-24,1.7994586242750006,0,1
2019-11-25,3.802858590085938,4,0
2019-11-26,6.246239056171874,3,1
2019-11-27,1.108139556554688,1,1
2019-11-28,1.9021690822062505,11,1
2019-11-29,-1.9517969433828126,0,0
2019-11-30,0.3256717566468752,0,0
2019-12-01,0.5920627472906252,2,0
2019-12-02,3.747476721990625,7,1
2019-12-03,5.939541503976562,0,0
2019-12-04,-1.1957078777859378,0,1
2019-12-05,3.196951949578125,27,1
2019-12-06,6.734846335009375,2,0
2019-12-07,0.4117476783218752,0,0
2019-12-08,-3.5663237230124993,0,0
2019-12-09,2.138212455004688,0,0
2019-12-10,2.546084908457812,0,0
2019-12-11,8.161037073462499,0,1
2019-12-12,2.2719656131078114,0,1
2019-12-13,5.844862409707813,0,0
2019-12-14,-3.044247515803125,0,0
2019-12-15,5.034770083843751,0,0
2019-12-16,1.9267892763359376,0,1
2019-12-17,11.216950526687501,5,0
2019-12-18,0.5112592144906252,3,1
2019-12-19,6.979189008164063,5,1
2019-12-20,1.7970739745796873,4,0
2019-12-21,-1.3352715077859374,0,0
2019-12-22,-1.9398721808593744,2,0
2019-12-23,1.1968711094093751,0,0
2019-12-24,1.0228042497937495,1,0
2019-12-25,0.13086550286874932,0,0
2019-12-26,6.514171599148437,0,0
2019-12-27,4.996523366182812,0,0
2019-12-28,2.4845634870812496,0,0
2019-12-29,-2.123080670425,0,0
2019-12-30,4.4238371185375005,1,1
2019-12-31,1.4082098739718747,0,0
2020-01-01,1.7131401462562499,0,0
2020-01-02,3.7880262205218753,0,1
2020-01-03,8.219699808160936,0,0
2020-01-04,-2.485758061235938,0,1
2020-01-05,-1.3601820714546875,0,0
2020-01-06,8.565318695089063,0,0
2020-01-07,3.2720137249249994,2,0
2020-01-08,3.4166496172921876,2,0
2020-01-09,0.37664233375781286,0,0
2020-01-10,-0.7936119560234376,0,0
2020-01-11,0.06173920993281179,0,0
2020-01-12,-2.5761971440906253,0,1
2020-01-13,4.600644915520313,0,0
2020-01-14,0.21269544911249927,0,0
2020-01-15,2.7158579678140624,2,2
2020-01-16,4.3385292537625,0,0
2020-01-17,9.640759701559375,0,0
2020-01-18,0.5962719622890624,0,0
2020-01-19,-0.09953881499531114,0,0
2020-01-20,2.742424780301563,8,0
2020-01-21,5.4243093156562505,0,0
2020-01-22,-3.5822212859437492,6,1
2020-01-23,5.5035425477234385,2,0
2020-01-24,-1.965539817273438,0,0
2020-01-25,0.4523676969171877,0,0
2020-01-26,0.6189963073796871,0,0
2020-01-27,2.8467009985406246,5,0
