,elastic/elasticsearch,typesense/typesense,meilisearch/meilisearch
2022-07-22,28.0,2,0.0
2022-07-23,-4.599999999999999,0,0.0
2022-07-24,-2.440000000000002,1,0.0
2022-07-25,27.576,1,0.0
2022-07-26,23.2112,2,0.0
2022-07-27,16.931392,1,0.0
2022-07-28,7.410457599999997,1,5.0
2022-07-29,8.611223039999997,0,0.0
2022-07-30,-7.1763266560000005,0,0.0
2022-07-31,-3.9716447232000016,0,0.0
2022-08-01,23.552655769599998,1,0.0
2022-08-02,16.010493952,4,2.0
2022-08-03,21.9436611584,1,1.0
2022-08-04,14.141659136000001,4,2.0
2022-08-05,-7.4417132544,3,0.0
2022-08-06,-6.077797580800001,0,0.0
2022-08-07,-2.8893349888000017,2,0.0
2022-08-08,17.0502142976,2,1.0
2022-08-09,10.740328345600002,1,0.0
2022-08-10,3.157966131200001,2,18.0
2022-08-11,10.416662118400001,0,3.0
2022-08-12,6.689441177600002,0,3.0
2022-08-13,-3.8172456960000005,1,0.0
2022-08-14,-3.441022771200002,0,0.0
2022-08-15,12.722828287999999,0,0.0
2022-08-16,11.266358169600002,3,3.0
2022-08-17,26.210725888,2,52.0
2022-08-18,5.6566700032,2,16.0
2022-08-19,-7.447801856000001,1,1.0
2022-08-20,-4.077043302400002,0,0.0
2022-08-21,-2.701084979200001,0,0.0
2022-08-22,18.0731476992,0,20.0
2022-08-23,10.476595200000002,0,13.0
2022-08-24,7.9346693120000005,1,8.0
2022-08-25,5.046182809600001,2,0.0
2022-08-26,15.6251651072,0,0.0
2022-08-27,-5.9873602560000005,2,1.0
2022-08-28,-3.695552000000003,0,0.0
2022-08-29,12.5195008,2,3.0
2022-08-30,14.12091904,2,1.0
2022-08-31,5.488862720000001,2,5.0
2022-09-01,16.318327705599998,2,8.0
2022-09-02,-4.484725657599999,2,3.0
2022-09-03,-4.413671526400001,2,2.0
2022-09-04,-2.7670600704000003,0,3.0
2022-09-05,5.1558506496,1,2.0
2022-09-06,14.15483904,2,2.0
2022-09-07,31.850430976000002,1,15.0
2022-09-08,24.0607555584,2,3.0
2022-09-09,11.6718579712,2,1.0
2022-09-10,-9.163440844800002,1,0.0
2022-09-11,-5.529721651200004,3,0.0
