,facebook/react,sveltejs/svelte,vuejs/core
2018-12-19,0.0,0,1
2018-12-20,3.0,0,0
2018-12-21,-0.30000000000000027,1,0
2018-12-22,-0.1350000000000001,13,0
2018-12-23,-0.08550000000000006,37,0
2018-12-24,-0.06198749999999977,21,0
2018-12-25,0.9516497500000002,9,0
2018-12-26,-0.13948603749999997,8,0
2018-12-27,-0.07828108874999994,1,0
2018-12-28,-0.057204939046874945,7,0
2018-12-29,-0.04585905760781236,19,0
2018-12-30,-0.016116749999999947,1,0
2018-12-31,-0.01316201249999996,14,0
2019-01-01,-0.011093696249999967,21,0
2019-01-02,0.990431686984375,6,0
2019-01-03,-0.10839885253593756,10,0
2019-01-04,-0.04500000000000003,4,0
2019-01-05,-0.028500000000000022,14,0
2019-01-06,-0.020662499999999924,0,0
2019-01-07,0.9838832500000001,0,0
2019-01-08,1.8868379874999999,0,0
2019-01-09,0.7439063037499998,5,0
2019-01-10,1.7719316869843749,3,0
2019-01-11,-0.33106135253593766,5,0
2019-01-12,0.8240582500000001,1,0
2019-01-13,-0.2230580124999999,12,0
2019-01-14,1.8601405287500004,5,0
2019-01-15,4.694348781984375,4,0
2019-01-16,1.3243843001828122,4,0
2019-01-17,4.4533298394125,2,0
2019-01-18,9.185477508932813,1,0
2019-01-19,-0.4454374013218756,12,0
2019-01-20,-0.850301088015625,2,0
2019-01-21,9.438057692464064,0,0
2019-01-22,1.5833621177187505,0,1
2019-01-23,9.91553327485,1,1
2019-01-24,2.215663755039062,0,1
2019-01-25,0.6241367548500005,2,0
2019-01-26,-1.0654260890859368,10,0
2019-01-27,2.2951852866250015,7,0
2019-01-28,1.2242438974640635,0,0
2019-01-29,2.285461643593751,6,0
2019-01-30,8.20489432684375,24,0
2019-01-31,6.644865689220312,3,0
2019-02-01,1.4669767275421872,2,0
2019-02-02,-0.10293907367500021,0,0
2019-02-03,-0.7737155688218743,5,0
2019-02-04,4.468770880953127,6,0
2019-02-05,9.084506115110939,3,0
2019-02-06,12.45534523963125,4,0
2019-02-07,-0.24816373224843868,12,0
2019-02-08,4.583108221801563,2,0
2019-02-09,0.5168017944156253,4,0
2019-02-10,0.921982566876564,1,0
2019-02-11,2.076553041214064,0,0
2019-02-12,2.053744797421876,0,0
2019-02-13,10.050661334664063,0,0
2019-02-14,15.286837124921874,3,0
2019-02-15,1.3956722359656242,1,0
2019-02-16,1.2884432493343745,0,0
2019-02-17,-0.37134092124687434,24,0
2019-02-18,-0.9862482073531231,9,0
2019-02-19,9.289299379631252,9,0
2019-02-20,4.445359132095313,12,0
2019-02-21,19.509298362970313,1,0
2019-02-22,4.989973728339061,11,0
2019-02-23,1.6498781535765623,3,0
2019-02-24,-0.7170365454406249,2,0
2019-02-25,3.795002004376564,3,1
2019-02-26,1.6389403599640642,1,2
2019-02-27,8.796268429843751,3,3
2019-02-28,12.157708375296876,3,2
2019-03-01,5.55234544145625,1,5
2019-03-02,-2.1680304548796876,5,0
2019-03-03,1.803656918900001,1,0
2019-03-04,1.8834392580906265,0,0
2019-03-05,2.952923868635939,3,1
2019-03-06,3.8846616607734386,2,0
2019-03-07,8.791024964735938,10,0
2019-03-08,-1.756032227578125,3,0
2019-03-09,4.042883272871876,13,1
2019-03-10,0.9072625534625003,35,0
2019-03-11,8.173157172203126,6,0
2019-03-12,-0.45775384415468734,1,0
2019-03-13,4.084129084079688,0,0
2019-03-14,2.884217312278125,0,0
2019-03-15,10.924816544664063,12,0
2019-03-16,3.146005718390625,39,0
2019-03-17,2.538083679921875,24,0
2019-03-18,12.695630082539063,28,0
2019-03-19,4.7852667190375,6,0
2019-03-20,6.066011982910938,6,0
2019-03-21,4.0642068973859375,3,0
2019-03-22,6.207556067757814,0,0
2019-03-23,-1.9248036975812493,1,0
2019-03-24,3.8136119944906266,1,0
2019-03-25,2.691377650257814,27,0
2019-03-26,4.762495733887501,7,0
2019-03-27,2.5962822283875004,6,0
2019-03-28,3.805490750623438,10,0
2019-03-29,6.77241598161875,12,0
2019-03-30,4.479808318159375,7,0
2019-03-31,-1.4571578515374997,0,0
2019-04-01,11.163032074921876,1,0
2019-04-02,10.183638507757813,5,0
2019-04-03,17.8059008642625,1,0
2019-04-04,30.771868551471872,0,0
2019-04-05,14.860891379778122,0,0
2019-04-06,6.273546055695311,10,0
2019-04-07,23.14180415161875,20,0
2019-04-08,24.868678379784377,7,0
2019-04-09,15.9990961388125,22,0
2019-04-10,46.24588916338125,0,0
2019-04-11,3.2872498367562493,5,0
2019-04-12,38.91801699425,7,0
2019-04-13,11.585590257215626,14,0
2019-04-14,-4.763637167640621,29,0
2019-04-15,6.558372008182817,24,0
2019-04-16,13.674482123560944,11,0
2019-04-17,7.31221143257813,9,0
2019-04-18,16.90509804989688,12,0
2019-04-19,19.273462330693754,8,0
2019-04-20,9.984232483865625,29,0
2019-04-21,2.547164345570314,44,0
2019-04-22,15.767625939500002,46,0
2019-04-23,9.043468419256252,21,0
2019-04-24,17.274616870323438,8,0
2019-04-25,22.572256226915627,24,0
2019-04-26,8.713695548740626,14,0
2019-04-27,-4.452885696879687,4,0
2019-04-28,5.284238482653128,7,0
2019-04-29,2.3298133796015668,5,0
2019-04-30,13.754362521201566,4,0
2019-05-01,16.849057273864062,8,0
2019-05-02,2.178282369954688,11,0
2019-05-03,13.221721397823439,1,0
2019-05-04,-0.3172052506890619,40,0
2019-05-05,-0.13426156800312272,8,0
2019-05-06,7.420082814625002,15,0
2019-05-07,4.941427724634377,2,0
2019-05-08,12.022211229070313,3,0
2019-05-09,6.3359224716125,7,0
2019-05-10,11.6099318936875,1,0
2019-05-11,-2.756779487215625,2,0
