,hashicorp/nomad,docker-archive/classicswarm,kubernetes/kubernetes
2015-09-01,9,11.0,70
2015-09-02,1,0.8000000000000007,65
2015-09-03,6,5.52,61
2015-09-04,6,-1.1680000000000001,68
2015-09-05,0,-0.27360000000000073,8
2015-09-06,29,-0.9976960000000004,7
2015-09-07,37,0.33547519999999964,19
2015-09-08,16,1.2921676799999997,49
2015-09-09,15,2.1088174080000006,59
2015-09-10,20,1.8472221696000004,77
2015-09-11,22,0.8549224448000003,72
2015-09-12,22,-0.9953358847999999,34
2015-09-13,22,-0.5031578624000002,13
2015-09-14,44,0.6563383295999998,44
2015-09-15,42,0.546664448,66
2015-09-16,10,1.5156166656,73
2015-09-17,7,2.3122604032000003,93
2015-09-18,5,6.0439753728,64
2015-09-19,17,0.13868052480000026,32
2015-09-20,33,-1.2421035008000005,6
2015-09-21,31,-0.6852275200000004,64
2015-09-22,83,1.5200199679999997,69
2015-09-23,89,4.2320510976,68
2015-09-24,53,1.5539014656,64
2015-09-25,53,1.6765535232,85
2015-09-26,33,-1.3191754751999998,33
2015-09-27,23,-0.7191328768,2
2015-09-28,48,-0.43827630080000013,35
2015-09-29,26,6.68659456,52
2015-09-30,7,3.348696576,98
2015-10-01,11,1.2310561792,72
2015-10-02,21,3.507709952,94
2015-10-03,16,-1.7957711872,17
2015-10-04,5,-0.9281600512000006,6
2015-10-05,10,1.3885183999999997,88
2015-10-06,31,1.13476096,66
2015-10-07,15,4.065686016,79
2015-10-08,21,5.431851827200001,81
2015-10-09,14,19.846656512,91
2015-10-10,21,-3.427618611199999,47
2015-10-11,34,-1.8182763520000016,3
2015-10-12,23,2.1464089599999987,95
2015-10-13,11,5.941275136,74
2015-10-14,3,6.1216586752,61
2015-10-15,9,2.6185300992,77
2015-10-16,22,-0.04024217600000046,75
2015-10-17,9,0.658958643200001,25
2015-10-18,0,0.9635689472000006,12
2015-10-19,9,8.3141123072,60
2015-10-20,5,-1.0273091583999996,56
2015-10-21,4,4.038699622399999,72
2015-10-22,14,4.5905010688,52
2015-10-23,15,4.3007750144,53
