,rails/rails,carrierwaveuploader/carrierwave,thoughtbot/paperclip
2012-11-28,14,2,0
2012-11-29,45,5,0
2012-11-30,10,4,5
2012-12-01,44,0,0
2012-12-02,23,0,0
2012-12-03,15,1,0
2012-12-04,23,1,1
2012-12-05,20,0,2
2012-12-06,17,3,1
2012-12-07,33,0,7
2012-12-08,30,0,0
2012-12-09,20,0,0
2012-12-10,24,0,1
2012-12-11,24,0,0
2012-12-12,6,1,0
2012-12-13,18,0,0
2012-12-14,22,0,0
2012-12-15,15,0,0
2012-12-16,4,0,0
2012-12-17,14,0,0
2012-12-18,21,2,0
2012-12-19,16,0,0
2012-12-20,15,1,0
2012-12-21,44,0,4
2012-12-22,11,0,0
2012-12-23,5,0,0
2012-12-24,16,0,0
2012-12-25,7,0,0
2012-12-26,17,0,0
2012-12-27,10,0,0
2012-12-28,13,0,0
2012-12-29,12,0,0
2012-12-30,9,0,0
2012-12-31,31,0,0
2013-01-01,42,0,0
2013-01-02,37,0,0
2013-01-03,49,0,0
2013-01-04,48,2,0
2013-01-05,61,0,0
2013-01-06,44,4,1
2013-01-07,28,2,0
2013-01-08,47,6,0
2013-01-09,17,0,0
2013-01-10,18,2,0
2013-01-11,25,0,1
2013-01-12,5,1,0
2013-01-13,6,1,0
2013-01-14,13,0,0
2013-01-15,27,0,0
2013-01-16,22,3,1
2013-01-17,15,0,0
2013-01-18,19,0,3
2013-01-19,16,0,0
2013-01-20,21,0,0
2013-01-21,35,0,0
2013-01-22,33,0,0
2013-01-23,17,0,0
2013-01-24,21,0,1
2013-01-25,6,0,1
2013-01-26,13,0,0
2013-01-27,7,1,0
2013-01-28,15,1,0
2013-01-29,17,0,0
2013-01-30,25,0,0
2013-01-31,15,1,0
2013-02-01,10,0,1
2013-02-02,10,0,0
2013-02-03,2,0,0
2013-02-04,14,0,0
2013-02-05,7,0,0
2013-02-06,8,0,0
2013-02-07,17,1,0
2013-02-08,12,0,5
2013-02-09,12,0,0
2013-02-10,10,0,0
2013-02-11,13,3,0
2013-02-12,7,0,0
2013-02-13,5,0,0
2013-02-14,9,4,0
2013-02-15,9,0,2
2013-02-16,3,0,0
2013-02-17,5,0,0
2013-02-18,8,0,0
2013-02-19,29,0,1
2013-02-20,51,2,0
2013-02-21,30,0,0
2013-02-22,11,2,4
2013-02-23,9,0,0
2013-02-24,37,0,0
2013-02-25,46,0,0
2013-02-26,35,2,0
2013-02-27,12,3,0
2013-02-28,30,0,2
2013-03-01,15,2,3
2013-03-02,4,2,0
2013-03-03,7,1,0
2013-03-04,20,13,0
2013-03-05,32,1,0
2013-03-06,14,0,0
2013-03-07,16,0,0
2013-03-08,28,0,9
2013-03-09,39,0,0
2013-03-10,10,0,0
2013-03-11,26,0,0
2013-03-12,20,0,0
2013-03-13,22,1,0
2013-03-14,7,0,0
2013-03-15,54,0,5
2013-03-16,17,0,0
2013-03-17,16,0,0
2013-03-18,40,3,0
2013-03-19,24,5,0
2013-03-20,23,0,0
2013-03-21,14,0,0
2013-03-22,36,0,0
2013-03-23,29,1,0
2013-03-24,25,5,1
2013-03-25,36,0,0
2013-03-26,14,0,0
2013-03-27,24,0,0
2013-03-28,44,0,0
2013-03-29,18,2,0
2013-03-30,35,0,1
