,gitlabhq/gitlabhq,gitbucket/gitbucket,gogs/gogs
2014-05-12,13.0,2,11
2014-05-13,24.1,1,8
2014-05-14,10.235,0,10
2014-05-15,5.286500000000002,0,8
2014-05-16,1.2118875000000013,2,9
2014-05-17,-6.2759132499999986,0,0
2014-05-18,-0.180568212499999,11,3
2014-05-19,14.004848791250001,0,5
2014-05-20,6.070253017046874,1,0
2014-05-21,-4.014855853964065,0,2
2014-05-22,23.85359211291875,0,1
2014-05-23,18.482521383859375,0,0
2014-05-24,-3.8548385898984385,0,6
2014-05-25,-9.098828969093747,1,0
2014-05-26,29.13715321720469,0,9
2014-05-27,12.439597912787498,0,0
2014-05-28,15.119017919590625,1,4
2014-05-29,22.747936033928127,0,1
2014-05-30,-4.673810276634377,1,5
2014-05-31,-7.030006724220312,5,1
2014-06-01,-7.826257889640624,5,5
2014-06-02,12.463253885171875,6,1
2014-06-03,42.73851299996875,0,4
2014-06-04,8.484377100428123,1,1
2014-06-05,8.690613992243751,4,1
2014-06-06,4.906033521654688,3,3
2014-06-07,-4.254382742565625,3,1
2014-06-08,-7.185606384603123,0,4
2014-06-09,-2.7548252236624986,4,0
2014-06-10,35.313573437485935,2,1
2014-06-11,10.850595676246868,0,2
2014-06-12,1.7907604956906233,0,6
2014-06-13,11.938064256592188,0,1
2014-06-14,15.69696137886875,5,0
2014-06-15,-11.128431866795312,6,0
2014-06-16,2.6279820098750015,2,0
2014-06-17,7.575267131989062,0,1
2014-06-18,8.316101405928123,0,0
2014-06-19,1.376357101032811,2,1
2014-06-20,4.230555575198437,2,2
2014-06-21,-5.455366366082814,0,3
2014-06-22,-1.2957942862906258,2,5
2014-06-23,21.656135837935935,1,6
2014-06-24,34.77139505764687,1,6
2014-06-25,7.00110295868906,1,10
2014-06-26,19.94493523899375,1,1
2014-06-27,-12.716915185628125,0,3
2014-06-28,-9.761932547996873,3,12
2014-06-29,-5.8543197923234365,6,4
2014-06-30,17.909021213239065,5,2
2014-07-01,6.256751579912498,0,0
2014-07-02,12.385015720243748,0,1
2014-07-03,9.622919591632812,0,0
2014-07-04,9.564368213632811,0,9
2014-07-05,-6.665248546976562,4,5
2014-07-06,-6.89369504116406,9,3
2014-07-07,4.938688177500001,0,2
2014-07-08,3.3701791261562493,2,0
2014-07-09,11.071241555628124,0,0
2014-07-10,11.817275508181249,0,0
2014-07-11,7.171284295549999,0,0
2014-07-12,-9.553893848717188,2,4
2014-07-13,-1.499407774217186,10,0
2014-07-14,6.331945457585938,1,0
2014-07-15,10.698551922859375,0,1
2014-07-16,10.413223676264062,2,1
2014-07-17,8.037437458389062,0,0
2014-07-18,-5.303511764020314,0,2
2014-07-19,-3.6072175371718744,0,0
2014-07-20,-1.750547471207812,1,1
2014-07-21,9.124576312203125,0,1
2014-07-22,3.4832164376453116,2,18
2014-07-23,15.594926809421874,3,4
2014-07-24,-1.0172781172562502,0,26
2014-07-25,5.68131305679375,2,24
2014-07-26,-2.786506664520312,3,15
2014-07-27,1.5497332660375012,4,3
2014-07-28,10.624639442503126,6,4
2014-07-29,15.035086996096874,6,0
2014-07-30,11.060465941565624,1,1
2014-07-31,15.250953688826563,2,1
2014-08-01,-3.8276351470140604,1,5
2014-08-02,-6.5235809270499985,1,1
2014-08-03,1.7212775941437517,7,0
2014-08-04,6.540017715225,4,4
2014-08-05,-4.813798365881251,2,1
2014-08-06,9.819248608914062,0,2
2014-08-07,0.20075897679999777,1,7
2014-08-08,-5.294215252545314,0,2
2014-08-09,3.29809222005625,2,3
2014-08-10,-0.4042909188765629,1,3
2014-08-11,25.360426146175,4,1
2014-08-12,-2.92949286631719,2,0
2014-08-13,25.917402737675,7,1
2014-08-14,-7.681950777434375,5,10
2014-08-15,12.068799272381252,1,2
2014-08-16,-6.520974622629687,1,2
2014-08-17,-0.48973802184374904,2,0
2014-08-18,9.079739167806249,0,0
2014-08-19,4.821824424614061,0,0
2014-08-20,11.732818089621874,1,1
2014-08-21,12.776765164620311,1,0
2014-08-22,6.036040153971875,2,0
2014-08-23,12.018615681539064,1,5
2014-08-24,-6.5401639454703115,4,3
2014-08-25,8.065334243973439,1,7
2014-08-26,15.369377226617187,0,4
2014-08-27,14.285625187303125,0,2
2014-08-28,8.655348737659375,0,2
2014-08-29,17.049136000982813,0,8
2014-08-30,-9.3689073611375,0,10
2014-08-31,-4.0407161000515615,4,29
2014-09-01,28.207380018800002,1,4
2014-09-02,10.392934687351561,2,16
2014-09-03,2.8050570066328113,0,9
2014-09-04,8.959083549006252,2,5
2014-09-05,2.462351349603125,0,8
2014-09-06,-2.7660557990906263,0,0
2014-09-07,-5.062648003828125,0,5
2014-09-08,42.612433043025,0,5
2014-09-09,8.089128590789059,1,7
2014-09-10,6.530887101460937,1,3
2014-09-11,10.098945297914064,0,0
2014-09-12,14.891104166714062,1,4
2014-09-13,-13.744700206873437,1,4
2014-09-14,2.765580346132815,3,3
2014-09-15,5.475205478840625,4,3
2014-09-16,-1.1598992369484389,0,12
2014-09-17,4.492688556418749,0,10
2014-09-18,6.393195904603124,0,3
2014-09-19,16.898603292753123,4,1
2014-09-20,-3.501814238790626,2,3
2014-09-21,0.46215349646718895,0,5
2014-09-22,29.7001225566125,9,9
2014-09-23,9.661133879720312,8,15
2014-09-24,13.609092870615626,4,3
2014-09-25,20.53232669795,3,6
2014-09-26,8.5079342627375,0,9
2014-09-27,-10.040319794399998,3,4
2014-09-28,-3.866541804945312,4,18
2014-09-29,30.3379821550125,6,10
2014-09-30,29.764779283074997,2,3
2014-10-01,10.64257784249375,0,5
2014-10-02,22.86622322349063,0,0
2014-10-03,11.043491963417189,2,3
2014-10-04,-15.332487416554688,2,9
2014-10-05,-2.563176962146871,15,6
2014-10-06,21.205570142509377,4,4
2014-10-07,14.582049091009374,1,1
2014-10-08,7.196991590934374,0,5
2014-10-09,-2.401929655209374,1,4
2014-10-10,8.43899457614375,0,6
2014-10-11,-11.317951890293752,2,7
2014-10-12,4.551034078239064,3,5
2014-10-13,18.67269262169531,0,10
2014-10-14,17.05399889867031,0,6
2014-10-15,15.625919404314061,0,4
2014-10-16,-2.5641131581093752,2,0
2014-10-17,3.9185266769593774,0,0
2014-10-18,6.643395531410938,4,2
2014-10-19,-5.616639667671873,2,6
2014-10-20,20.052518572345313,0,2
2014-10-21,41.56430025478281,0,1
2014-10-22,-2.146029205256255,0,2
2014-10-23,6.551565267029691,0,0
2014-10-24,4.5599777663125,0,3
2014-10-25,-10.024634839760937,0,1
2014-10-26,-6.809168539757811,0,0
2014-10-27,19.697205424964064,0,1
2014-10-28,13.81366854866406,0,2
2014-10-29,11.01490843737031,1,0
2014-10-30,22.647741690115623,0,1
2014-10-31,-4.892269572250001,5,1
2014-11-01,-7.235714143418749,0,2
2014-11-02,-3.2156000879703104,7,5
2014-11-03,3.3942836372859384,1,0
2014-11-04,3.6469471238765614,1,10
2014-11-05,23.27011813003906,0,0
2014-11-06,-2.547489738195315,1,1
2014-11-07,-3.44351795615,1,6
2014-11-08,-3.852583272568749,3,0
2014-11-09,-0.7339421833562496,0,0
2014-11-10,5.77800289125625,1,2
2014-11-11,12.282762283678125,3,2
2014-11-12,9.465029025748438,0,1
2014-11-13,-0.518540685296875,0,3
2014-11-14,7.6452590916093754,0,3
2014-11-15,-5.32471960115625,1,0
2014-11-16,-2.1000768334453106,2,2
2014-11-17,2.8892686469875004,1,10
2014-11-18,13.169273993160937,1,2
2014-11-19,-0.24608395786093862,0,6
2014-11-20,6.639822025026563,0,2
2014-11-21,-2.3168108165828123,0,4
2014-11-22,-4.1530016130812495,10,1
2014-11-23,4.680097308709375,4,1
2014-11-24,10.403569685003124,1,7
2014-11-25,-3.059959818309376,0,0
2014-11-26,3.3311430693375,1,2
2014-11-27,2.808196722682812,3,2
2014-11-28,0.8547496611828116,0,6
2014-11-29,3.42245513664375,0,3
2014-11-30,6.07523510581875,0,7
2014-12-01,12.031939312640624,0,2
2014-12-02,19.48744996390156,0,6
2014-12-03,10.556796360693749,0,1
2014-12-04,19.54284076419219,1,2
2014-12-05,7.339561683760939,0,11
2014-12-06,-12.293608767707811,0,0
2014-12-07,0.09507676647656549,0,5
2014-12-08,12.382408998464062,0,1
2014-12-09,-5.72916643359375,0,1
2014-12-10,-2.103864137629688,0,7
2014-12-11,5.122747862620312,0,4
2014-12-12,4.139516554143748,1,1
2014-12-13,-3.9656316403109386,0,2
2014-12-14,3.5857198883625006,0,3
2014-12-15,19.996461918157813,0,2
2014-12-16,-0.3185215561765631,0,1
2014-12-17,7.3557430615140635,0,6
2014-12-18,-1.4537998824937501,0,8
2014-12-19,-3.4266770330874996,1,6
2014-12-20,13.366769615015626,0,1
