,rust-lang/rust,JetBrains/kotlin,apple/swift
2014-10-17,21,14,14
2014-10-18,17,11,7
2014-10-19,16,0,3
2014-10-20,15,23,24
2014-10-21,23,21,15
2014-10-22,20,75,8
2014-10-23,21,1,22
2014-10-24,19,11,29
2014-10-25,26,0,8
2014-10-26,21,0,12
2014-10-27,53,10,20
2014-10-28,41,8,20
2014-10-29,24,6,17
2014-10-30,45,44,9
2014-10-31,37,36,19
2014-11-01,18,2,14
2014-11-02,30,1,14
2014-11-03,76,0,18
2014-11-04,24,0,14
2014-11-05,34,33,15
2014-11-06,69,15,20
2014-11-07,40,64,25
2014-11-08,18,8,16
2014-11-09,31,0,15
2014-11-10,18,20,13
2014-11-11,18,32,40
2014-11-12,32,65,35
2014-11-13,20,38,18
2014-11-14,20,29,29
2014-11-15,14,0,16
2014-11-16,42,0,6
2014-11-17,62,46,29
2014-11-18,42,14,27
2014-11-19,73,13,33
2014-11-20,38,24,38
2014-11-21,55,48,47
2014-11-22,18,0,17
2014-11-23,46,0,4
2014-11-24,25,61,11
2014-11-25,36,40,2
2014-11-26,33,19,2
2014-11-27,45,27,0
2014-11-28,11,43,4
2014-11-29,7,0,0
2014-11-30,16,0,1
2014-12-01,12,68,12
2014-12-02,18,13,22
2014-12-03,33,69,39
2014-12-04,41,1,28
2014-12-05,60,11,46
2014-12-06,17,0,15
2014-12-07,51,0,2
2014-12-08,27,41,19
2014-12-09,42,3,18
2014-12-10,20,26,15
2014-12-11,17,25,20
2014-12-12,24,74,28
2014-12-13,122,0,16
2014-12-14,79,1,11
2014-12-15,47,55,19
2014-12-16,37,52,15
2014-12-17,63,3,31
2014-12-18,41,54,24
2014-12-19,103,12,26
2014-12-20,45,4,17
2014-12-21,57,36,3
2014-12-22,62,4,19
2014-12-23,26,50,42
2014-12-24,22,38,15
2014-12-25,35,11,0
2014-12-26,30,29,3
2014-12-27,27,1,3
2014-12-28,35,0,2
2014-12-29,63,48,0
2014-12-30,126,2,0
2014-12-31,42,19,0
2015-01-01,49,0,4
2015-01-02,70,15,1
2015-01-03,61,16,0
2015-01-04,60,0,2
2015-01-05,127,11,15
2015-01-06,136,5,25
2015-01-07,78,1,12
2015-01-08,109,7,35
2015-01-09,43,4,43
2015-01-10,33,13,18
2015-01-11,48,12,10
2015-01-12,86,35,10
2015-01-13,32,16,27
2015-01-14,34,28,22
2015-01-15,91,9,28
2015-01-16,50,4,28
2015-01-17,44,0,7
2015-01-18,46,0,2
2015-01-19,43,17,34
2015-01-20,72,17,35
2015-01-21,96,36,34
2015-01-22,51,26,40
2015-01-23,28,0,33
2015-01-24,43,0,16
2015-01-25,22,0,9
2015-01-26,31,4,12
2015-01-27,66,4,24
2015-01-28,44,16,41
2015-01-29,40,38,27
2015-01-30,65,23,27
2015-01-31,28,0,18
2015-02-01,36,0,7
2015-02-02,51,13,17
2015-02-03,43,8,18
2015-02-04,21,13,51
2015-02-05,49,13,37
2015-02-06,71,34,33
2015-02-07,35,0,16
2015-02-08,18,0,0
2015-02-09,21,37,15
2015-02-10,66,28,42
2015-02-11,75,40,58
2015-02-12,39,28,48
2015-02-13,46,22,31
2015-02-14,25,0,11
2015-02-15,71,0,7
2015-02-16,71,69,21
2015-02-17,86,5,23
2015-02-18,123,35,25
2015-02-19,36,32,18
2015-02-20,17,36,32
2015-02-21,53,1,30
2015-02-22,72,1,4
2015-02-23,64,0,10
2015-02-24,105,8,27
2015-02-25,32,10,16
2015-02-26,31,181,30
2015-02-27,34,10,57
2015-02-28,41,0,14
2015-03-01,43,0,17
2015-03-02,32,8,31
2015-03-03,76,29,31
2015-03-04,31,34,44
2015-03-05,55,34,20
2015-03-06,59,92,27
2015-03-07,15,0,19
2015-03-08,38,0,20
2015-03-09,35,0,33
2015-03-10,33,25,56
2015-03-11,24,97,36
2015-03-12,33,50,70
2015-03-13,29,34,39
2015-03-14,18,1,27
2015-03-15,42,1,30
2015-03-16,30,48,23
2015-03-17,53,38,39
2015-03-18,37,80,38
2015-03-19,57,8,49
2015-03-20,41,28,35
2015-03-21,10,10,15
2015-03-22,23,0,19
2015-03-23,96,29,36
2015-03-24,65,30,44
2015-03-25,24,24,49
2015-03-26,44,15,46
2015-03-27,79,19,39
2015-03-28,26,0,29
2015-03-29,34,0,19
2015-03-30,37,34,24
2015-03-31,75,41,35
2015-04-01,95,45,49
2015-04-02,34,30,61
2015-04-03,37,44,35
2015-04-04,42,7,30
2015-04-05,18,1,31
2015-04-06,21,21,19
2015-04-07,43,88,51
2015-04-08,68,18,36
2015-04-09,38,41,41
2015-04-10,57,16,28
2015-04-11,45,0,11
2015-04-12,21,0,6
2015-04-13,36,30,17
2015-04-14,86,15,25
2015-04-15,49,24,36
2015-04-16,31,89,42
2015-04-17,75,18,51
2015-04-18,35,4,10
2015-04-19,22,0,12
2015-04-20,35,12,38
2015-04-21,99,26,24
2015-04-22,30,47,74
2015-04-23,45,46,44
2015-04-24,63,29,37
2015-04-25,50,0,9
2015-04-26,25,0,53
2015-04-27,51,42,63
2015-04-28,31,21,44
2015-04-29,97,43,53
2015-04-30,70,7,50
2015-05-01,44,6,41
2015-05-02,36,32,31
2015-05-03,23,0,10
2015-05-04,43,0,34
2015-05-05,52,4,47
2015-05-06,58,7,40
2015-05-07,56,28,69
2015-05-08,43,51,41
2015-05-09,37,1,36
2015-05-10,54,0,15
2015-05-11,54,4,39
2015-05-12,63,15,45
2015-05-13,66,132,41
2015-05-14,52,50,45
2015-05-15,53,23,57
2015-05-16,39,25,14
2015-05-17,40,8,20
2015-05-18,33,32,43
2015-05-19,84,24,58
2015-05-20,36,47,52
2015-05-21,35,52,31
2015-05-22,21,16,33
2015-05-23,34,0,37
2015-05-24,26,7,22
2015-05-25,34,24,9
2015-05-26,35,97,29
2015-05-27,30,121,40
2015-05-28,41,27,32
2015-05-29,41,20,30
2015-05-30,20,4,13
2015-05-31,22,1,18
2015-06-01,28,38,15
2015-06-02,34,48,37
2015-06-03,26,40,25
2015-06-04,30,43,21
2015-06-05,25,19,11
2015-06-06,30,1,10
2015-06-07,20,0,4
2015-06-08,44,34,12
2015-06-09,58,14,5
2015-06-10,40,29,6
2015-06-11,36,58,0
2015-06-12,35,19,6
2015-06-13,25,4,2
