,sphinx-doc/sphinx,hexojs/hexo,gohugoio/hugo
2017-10-04,5,0.0,4
2017-10-05,17,0.0,5
2017-10-06,0,0.0,0
2017-10-07,12,1.0,4
2017-10-08,3,-0.19999999999999996,0
2017-10-09,14,2.92,0
2017-10-10,12,-0.6479999999999999,1
2017-10-11,2,-0.27360000000000023,0
2017-10-12,1,-0.1695360000000001,0
2017-10-13,10,-0.12122880000000004,1
2017-10-14,0,-0.09353472000000004,2
2017-10-15,1,-0.07567411199999997,5
2017-10-16,9,-0.0632495104,6
2017-10-17,4,-0.04316313599999982,1
2017-10-18,11,-0.03740805119999989,3
2017-10-19,9,0.0,17
2017-10-20,5,3.0,0
2017-10-21,19,-0.5999999999999999,9
2017-10-22,8,-0.2400000000000002,0
2017-10-23,9,-0.1440000000000001,3
2017-10-24,0,1.8992,0
2017-10-25,5,-0.4766079999999999,0
2017-10-26,2,-0.22128640000000016,0
2017-10-27,1,2.85321984,0
2017-10-28,0,-0.7103631359999997,1
2017-10-29,1,1.6715199487999999,1
2017-10-30,3,-0.5848576000000001,1
2017-10-31,14,0.7053465599999998,0
2017-11-01,5,2.598616576,0
2017-11-02,1,-0.8334251008,0
2017-11-03,0,-0.38985216000000034,0
2017-11-04,0,-0.26162073599999996,2
2017-11-05,1,-0.19759749119999998,2
2017-11-06,1,0.8741877760000001,2
2017-11-07,2,-0.3031518207999999,3
2017-11-08,0,0.854832128,0
2017-11-09,0,2.6963675136000003,1
2017-11-10,0,1.2489919488,0
2017-11-11,15,-0.7135360000000002,2
2017-11-12,4,-0.35802880000000026,0
2017-11-13,0,-0.23926272000000015,0
2017-11-14,0,-0.178624512,0
2017-11-15,0,9.8582455296,1
2017-11-16,2,-0.10602547199999934,4
2017-11-17,1,-1.2894859264000005,6
2017-11-18,0,0.29381652479999976,2
2017-11-19,0,-0.6569387008,3
2017-11-20,1,-0.40256000000000025,8
2017-11-21,0,0.6966399999999998,0
2017-11-22,0,2.5562752,0
2017-11-23,0,-0.8832665599999994,0
2017-11-24,0,-0.4618977279999998,1
2017-11-25,1,-0.21946542080000006,1
2017-11-26,8,-0.14072371199999997,0
2017-11-27,4,-0.10950615040000002,7
2017-11-28,0,-0.07821312000000004,1
2017-11-29,1,-0.06516787199999997,0
2017-11-30,0,-0.05563248639999978,1
