,ceph/ceph,seaweedfs/seaweedfs,minio/minio
2015-01-31,11.0,1,8
2015-02-01,9.0,0,16
2015-02-02,37.0,7,9
2015-02-03,69.0,4,12
2015-02-04,32.0,2,10
2015-02-05,75.0,1,12
2015-02-06,24.0,2,5
2015-02-07,10.0,1,4
2015-02-08,7.0,0,6
2015-02-09,20.0,0,6
2015-02-10,47.0,0,0
2015-02-11,55.0,0,0
2015-02-12,34.0,9,4
2015-02-13,17.0,3,7
2015-02-14,1.0,0,5
2015-02-15,4.0,0,11
2015-02-16,22.0,0,1
2015-02-17,18.0,0,9
2015-02-18,10.0,0,22
2015-02-19,18.0,0,4
2015-02-20,21.0,1,2
2015-02-21,4.0,0,22
2015-02-22,5.0,0,2
2015-02-23,43.0,0,11
2015-02-24,44.0,0,10
2015-02-25,65.0,0,0
2015-02-26,86.0,6,1
2015-02-27,30.0,2,12
2015-02-28,12.0,0,18
2015-03-01,6.0,0,34
2015-03-02,36.0,0,5
2015-03-03,41.0,0,12
2015-03-04,22.0,1,12
2015-03-05,43.0,2,0
2015-03-06,27.0,2,18
2015-03-07,14.0,0,13
2015-03-08,0.0,1,18
2015-03-09,29.0,4,4
2015-03-10,42.0,3,2
2015-03-11,34.0,1,4
2015-03-12,28.0,0,20
2015-03-13,40.0,1,0
2015-03-14,3.0,0,4
2015-03-15,8.0,0,12
2015-03-16,30.0,0,10
2015-03-17,45.0,2,28
2015-03-18,32.0,0,8
2015-03-19,41.0,2,10
2015-03-20,54.0,0,2
2015-03-21,22.0,0,0
2015-03-22,13.0,1,21
2015-03-23,82.0,0,19
2015-03-24,32.0,3,6
2015-03-25,42.0,0,51
2015-03-26,20.0,0,37
2015-03-27,35.0,3,4
2015-03-28,6.0,0,12
2015-03-29,0.0,4,8
2015-03-30,26.0,0,14
2015-03-31,37.0,0,0
2015-04-01,12.0,0,21
2015-04-02,47.0,0,14
2015-04-03,21.0,0,0
2015-04-04,2.0,0,23
2015-04-05,12.0,0,3
2015-04-06,36.0,1,6
2015-04-07,62.0,0,12
2015-04-08,20.0,1,2
2015-04-09,36.0,0,12
2015-04-10,45.0,2,0
2015-04-11,6.0,0,2
2015-04-12,2.0,0,9
2015-04-13,35.0,1,0
2015-04-14,48.0,5,0
2015-04-15,33.0,2,4
2015-04-16,24.0,21,2
2015-04-17,8.0,5,0
2015-04-18,2.0,0,0
2015-04-19,7.0,2,0
2015-04-20,41.0,8,0
2015-04-21,52.0,0,0
2015-04-22,37.0,0,2
2015-04-23,20.0,0,24
2015-04-24,13.0,0,4
2015-04-25,0.0,0,5
2015-04-26,2.0,0,21
2015-04-27,17.0,0,23
2015-04-28,18.0,0,20
2015-04-29,20.0,0,32
2015-04-30,42.0,0,23
2015-05-01,44.0,0,17
2015-05-02,3.0,1,14
2015-05-03,0.0,2,0
2015-05-04,33.0,0,6
2015-05-05,44.0,0,7
2015-05-06,36.0,0,4
2015-05-07,51.0,2,4
2015-05-08,42.0,0,17
2015-05-09,0.0,3,4
2015-05-10,4.0,0,10
2015-05-11,41.0,0,9
2015-05-12,26.0,0,0
2015-05-13,103.0,0,2
2015-05-14,28.0,0,4
2015-05-15,30.0,1,8
2015-05-16,2.0,1,5
2015-05-17,26.0,2,0
2015-05-18,10.0,0,4
2015-05-19,12.0,0,0
2015-05-20,12.0,2,2
2015-05-21,15.0,0,6
2015-05-22,21.0,2,2
2015-05-23,2.0,4,4
2015-05-24,0.0,0,0
2015-05-25,10.0,0,2
2015-05-26,30.0,6,5
2015-05-27,36.0,0,0
2015-05-28,23.0,0,12
2015-05-29,33.0,0,0
2015-05-30,27.0,1,3
2015-05-31,21.0,0,2
2015-06-01,50.0,0,8
2015-06-02,22.0,3,2
2015-06-03,36.0,0,0
2015-06-04,43.0,0,6
2015-06-05,41.0,0,0
2015-06-06,11.0,0,6
2015-06-07,5.0,0,4
2015-06-08,11.0,0,15
2015-06-09,26.0,0,8
2015-06-10,36.0,0,0
2015-06-11,28.0,0,2
2015-06-12,10.0,0,0
2015-06-13,6.0,0,2
2015-06-14,8.0,0,0
2015-06-15,19.0,0,0
2015-06-16,21.0,0,3
2015-06-17,29.0,0,3
2015-06-18,60.0,0,7
2015-06-19,96.0,0,0
2015-06-20,8.0,0,2
2015-06-21,2.0,0,0
2015-06-22,14.0,1,2
2015-06-23,25.0,0,6
2015-06-24,18.0,2,8
2015-06-25,22.0,0,10
2015-06-26,19.0,0,9
2015-06-27,2.0,0,8
2015-06-28,1.0,0,12
2015-06-29,26.0,0,16
2015-06-30,8.0,0,2
2015-07-01,26.0,0,0
2015-07-02,13.0,0,2
2015-07-03,10.0,0,20
2015-07-04,4.0,0,6
2015-07-05,6.0,0,8
2015-07-06,19.0,0,14
2015-07-07,11.0,0,16
2015-07-08,26.0,2,11
2015-07-09,34.0,2,7
2015-07-10,28.0,1,15
2015-07-11,2.0,5,6
2015-07-12,0.0,0,2
2015-07-13,34.0,2,16
2015-07-14,22.0,0,13
2015-07-15,39.0,0,12
2015-07-16,103.0,0,11
2015-07-17,74.0,0,6
2015-07-18,2.0,1,4
2015-07-19,0.0,0,0
2015-07-20,8.0,0,0
2015-07-21,30.0,0,0
2015-07-22,10.0,0,0
2015-07-23,34.0,0,2
2015-07-24,13.0,0,0
2015-07-25,2.0,0,11
2015-07-26,0.0,0,0
2015-07-27,16.0,0,0
2015-07-28,62.0,0,7
2015-07-29,10.0,0,10
2015-07-30,20.0,0,0
2015-07-31,28.0,0,2
2015-08-01,23.0,0,4
2015-08-02,0.0,0,6
2015-08-03,38.0,1,6
2015-08-04,32.0,0,2
2015-08-05,29.0,0,0
2015-08-06,25.0,0,0
2015-08-07,107.0,0,0
2015-08-08,19.0,0,2
2015-08-09,4.0,0,0
2015-08-10,34.0,0,0
2015-08-11,28.0,0,0
2015-08-12,9.0,0,0
2015-08-13,38.0,0,4
2015-08-14,14.0,0,0
2015-08-15,2.0,0,0
2015-08-16,2.0,0,0
2015-08-17,23.0,0,0
2015-08-18,65.0,2,0
2015-08-19,59.0,0,8
2015-08-20,40.0,0,6
2015-08-21,27.0,1,4
2015-08-22,3.0,0,0
2015-08-23,6.0,0,4
2015-08-24,72.0,0,2
2015-08-25,30.0,0,0
2015-08-26,32.0,0,0
2015-08-27,115.0,0,0
2015-08-28,33.0,0,2
2015-08-29,62.0,0,0
2015-08-30,4.0,0,0
2015-08-31,83.0,0,3
2015-09-01,143.0,0,4
2015-09-02,32.0,0,0
2015-09-03,50.0,0,0
2015-09-04,34.0,0,0
2015-09-05,5.0,2,0
2015-09-06,13.0,0,6
2015-09-07,13.0,0,0
2015-09-08,23.0,0,0
2015-09-09,37.0,0,11
2015-09-10,46.0,0,6
2015-09-11,50.0,0,0
2015-09-12,15.0,0,0
2015-09-13,7.0,0,0
2015-09-14,31.0,0,0
2015-09-15,43.0,0,0
2015-09-16,11.0,0,6
