,JuliaLang/julia,python/cpython,rust-lang/rust
2010-08-16,3.0,35,3.0
2010-08-17,4.699999999999999,48,1.1999999999999997
2010-08-18,5.364999999999999,24,20.84
2010-08-19,0.08949999999999925,26,-10.328000000000001
2010-08-20,2.4255125,6,16.571199999999997
2010-08-21,0.33233725000000014,24,-14.137344000000002
2010-08-22,-0.5075447874999994,22,-4.355609599999999
2010-08-23,3.6530458487500006,18,-2.1009459199999996
2010-08-24,2.3302502547031256,14,11.658241024
2010-08-25,-0.7017750626859373,13,7.242910822399999
2010-08-26,6.584899375476563,6,0.13350154239999767
2010-08-27,7.02544547051875,0,3.6139761663999987
2010-08-28,11.710348012167188,13,-8.447221452800001
2010-08-29,2.0047368293765615,5,-5.1840098304
2010-08-30,4.550102824964062,17,-2.1390876671999997
2010-08-31,2.4998284091875003,8,3.65131008
2010-09-01,-1.335980936690624,39,-2.9629660160000006
2010-09-02,-0.8513162813578112,11,-1.9341945856000007
2010-09-03,-0.6292759236093735,39,3.1086609407999997
2010-09-04,-0.5115550731265609,26,-2.9095660544000004
2010-09-05,3.620607250509376,31,-0.7778899968000001
2010-09-06,-0.6666685625296871,29,-0.3561302016000001
2010-09-07,-0.3153800732374997,40,3.7842176
2010-09-08,-0.20266636727812487,25,12.443980799999999
2010-09-09,3.88375458985625,20,-5.599871488000002
2010-09-10,2.535533,40,-1.4842038272
2010-09-11,0.46735194999999974,26,-3.2957614079999997
2010-09-12,0.6066252149999999,28,-0.21340026879999963
2010-09-13,-0.3514232520624998,39,-0.3121408000000001
2010-09-14,1.7664500898562505,29,3.7847782399999996
2010-09-15,1.6498392000000002,19,0.4531921919999995
2010-09-16,1.5893599275,8,12.6193190912
2010-09-17,0.5521668966875,16,-10.624116736000001
2010-09-18,7.625118942059375,19,-2.4166325248
2010-09-19,-1.021417066873438,23,-1.1998268415999997
2010-09-20,-0.5063496905515624,20,0.26396620800000037
2010-09-21,1.6621937299640628,32,10.8839415808
2010-09-22,-0.4490647935312493,4,0.30001121279999854
2010-09-23,0.7097822638968756,21,-2.586678784000001
2010-09-24,0.6906758726468754,13,3.7349460992
2010-09-25,3.6985594119125005,14,-6.290081075200001
2010-09-26,8.409321143339062,6,-1.7437311999999998
2010-09-27,12.7773226547125,16,2.02082816
2010-09-28,17.0220333575,31,2.540320768
