,meilisearch/meilisearch,typesense/typesense,elastic/elasticsearch
2022-06-22,9.0,0.0,20
2022-06-23,2.0,1.0,31
2022-06-24,1.0,1.9,15
2022-06-25,0.0,0.7549999999999998,2
2022-06-26,0.0,1.7814999999999999,0
2022-06-27,2.0,2.6773374999999997,23
2022-06-28,5.0,1.52405825,29
2022-06-29,1.0,-0.4580580125000001,25
2022-06-30,0.0,0.7296405287500002,18
2022-07-01,0.0,0.7038612819843753,2
2022-07-02,0.0,0.7003715501828128,0
2022-07-03,0.0,-0.29377294808749976,0
2022-07-04,1.0,0.8186969076828128,13
2022-07-05,22.0,-0.2329692866187498,23
2022-07-06,6.0,-0.13927444613906226,13
2022-07-07,4.0,4.914329836178125,18
2022-07-08,0.0,0.4455134782343747,15
2022-07-09,0.0,-0.3701776118015626,1
2022-07-10,0.0,-0.21862917805156257,0
2022-07-11,3.0,-0.1513050487859371,11
2022-07-12,32.0,0.8891854369843754,28
2022-07-13,0.0,-0.1903256650359373,16
2022-07-14,0.0,2.8863695062500003,20
2022-07-15,0.0,0.6125647386718749,4
2022-07-16,0.0,-0.3072250756953125,0
2022-07-17,0.0,-0.15501560253593752,0
2022-07-18,11.0,0.8963504875000002,23
2022-07-19,19.0,1.81989355375,13
2022-07-20,2.0,3.689828899484375,13
2022-07-21,6.0,0.4266580462140622,20
2022-07-22,0.0,1.602538864703125,28
2022-07-23,0.0,-0.4512066206234375,1
2022-07-24,0.0,0.7450556349640629,0
2022-07-25,0.0,0.7204527787500002,29
2022-07-26,0.0,1.7131544944843753,30
2022-07-27,0.0,0.6091942239328126,26
2022-07-28,5.0,0.6683488216156251,17
2022-07-29,0.0,-0.3041303656593749,17
2022-07-30,0.0,-0.17163924106718725,1
2022-07-31,0.0,-0.12244941382187471,1
2022-08-01,0.0,0.9162347157343753,27
2022-08-02,2.0,3.8305666794484377,24
2022-08-03,1.0,0.5032088126828123,31
2022-08-04,2.0,3.6540402856625,25
2022-08-05,0.0,2.4023703344484373,3
2022-08-06,0.0,-0.6156656025359375,0
2022-08-07,0.0,1.6527084875,1
2022-08-08,1.0,1.5519915037500003,20
2022-08-09,0.0,0.5164403894843754,17
2022-08-10,18.0,1.5942358991515628,10
2022-08-11,3.0,-0.47034954565937476,16
2022-08-12,3.0,-0.2720116933484371,13
2022-08-13,0.0,0.8014796258093754,2
