,flutter/flutter,NativeScript/NativeScript,facebook/react-native
2015-03-30,0.0,14,28
2015-03-31,0.0,10,50
2015-04-01,1.0,4,51
2015-04-02,-0.3999999999999999,3,30
2015-04-03,-0.12,11,33
2015-04-04,-0.064,0,12
2015-04-05,-0.04160000000000005,0,2
2015-04-06,0.970048,6,9
2015-04-07,1.5770368000000001,2,19
2015-04-08,-0.9383705599999999,12,35
2015-04-09,1.680844288,7,19
2015-04-10,0.017601843200000133,0,20
2015-04-11,-0.753152,1,11
2015-04-12,-0.33086720000000003,0,3
2015-04-13,-0.21149696000000012,1,7
2015-04-14,2.846599168,6,11
2015-04-15,-0.3189879807999998,2,12
2015-04-16,-0.8453006335999999,7,12
2015-04-17,-0.36068198399999996,5,16
2015-04-18,-0.22955202560000013,0,8
2015-04-19,-0.1442541568000001,0,6
2015-04-20,0.9011583999999999,36,14
2015-04-21,2.52192512,2,30
2015-04-22,-1.3838376959999996,18,24
2015-04-23,-0.47755018239999997,5,23
2015-04-24,-0.24639815680000005,17,17
2015-04-25,-0.15475200000000014,0,5
2015-04-26,-0.11281920000000005,0,5
2015-04-27,1.91273984,3,9
2015-04-28,3.1297326080000003,7,17
2015-04-29,-1.8982652927999997,7,12
2015-04-30,-0.6463944704,3,18
2015-05-01,-0.3392000000000001,0,5
2015-05-02,-0.22630400000000023,0,12
2015-05-03,-0.1657344000000001,0,5
2015-05-04,0.87140608,5,8
2015-05-05,-0.5037936639999999,7,19
2015-05-06,-0.20621916159999998,0,15
2015-05-07,-0.11519262719999998,2,25
2015-05-08,-0.04160000000000005,6,13
2015-05-09,-0.029952000000000017,0,0
2015-05-10,-0.022963200000000007,0,3
2015-05-11,-0.018370559999999994,11,4
2015-05-12,0.984844288,4,0
2015-05-13,2.5872018432,8,50
2015-05-14,2.68,8,36
2015-05-15,-1.0239999999999996,11,21
2015-05-16,-1.1136,0,5
2015-05-17,-0.5307520000000001,0,2
2015-05-18,2.6567808,11,13
2015-05-19,7.55133184,13,2
2015-05-20,-3.1520721919999994,6,9
2015-05-21,3.1732892672,8,6
2015-05-22,-2.9381878784,6,13
2015-05-23,-0.19460433920000053,0,7
2015-05-24,-1.1128557568000002,0,1
2015-05-25,-0.6197324800000004,14,4
2015-05-26,4.552474624,5,14
2015-05-27,6.6504175616,11,9
2015-05-28,7.5478560768000005,4,25
2015-05-29,-4.311539916799999,9,20
2015-05-30,-3.106361344,0,8
2015-05-31,-1.5473157120000005,1,10
2015-06-01,1.9756178431999993,7,13
2015-06-02,8.0588544,11,18
2015-06-03,5.063424000000001,9,24
2015-06-04,10.141234688,3,7
2015-06-05,-4.698593075199998,2,9
2015-06-06,-4.8497453056,0,5
2015-06-07,-2.314005913600001,0,5
2015-06-08,7.494136319999999,4,9
2015-06-09,5.295563264,3,17
2015-06-10,6.0591236096,3,10
2015-06-11,5.758679552000001,11,20
2015-06-12,-3.0983552000000003,4,42
2015-06-13,-2.2789613568,0,3
2015-06-14,-3.6885814272000004,0,0
2015-06-15,3.024808959999999,10,17
2015-06-16,6.614958592,3,9
2015-06-17,4.3397311488,19,11
2015-06-18,5.726660608000001,33,11
2015-06-19,-3.3593445375999993,1,14
2015-06-20,-4.5430262784,0,7
2015-06-21,-2.1877939200000007,0,1
2015-06-22,8.5854007296,0,19
2015-06-23,5.985059840000001,2,13
2015-06-24,3.605380096000001,2,17
2015-06-25,6.448161792000001,9,22
2015-06-26,3.0966676480000004,14,6
2015-06-27,-7.571320729599999,0,4
2015-06-28,-3.178296627200001,0,1
2015-06-29,-0.9806208000000007,9,4
2015-06-30,0.16975871999999947,5,13
2015-07-01,-0.026393600000000017,9,11
2015-07-02,-0.8877493247999997,4,7
2015-07-03,-1.3366819839999997,4,9
2015-07-04,-0.6942408704,0,0
2015-07-05,-0.3708469248000001,0,1
2015-07-06,7.83419904,22,10
2015-07-07,-2.327775231999999,18,15
2015-07-08,2.5371860992000004,6,16
2015-07-09,-0.3062782975999996,10,15
2015-07-10,0.2824479743999999,9,17
2015-07-11,-1.5900141568,0,0
2015-07-12,-0.7480576000000002,0,0
2015-07-13,-0.5009356800000002,6,12
2015-07-14,0.625426944,11,19
2015-07-15,-0.6968536063999999,23,17
2015-07-16,7.7239114752,17,10
2015-07-17,14.6177548288,4,14
2015-07-18,-0.25750773759999745,0,1
2015-07-19,-5.927548313599999,0,0
2015-07-20,7.5322368,12,8
2015-07-21,28.481213439999998,6,17
2015-07-22,13.129202688000001,10,9
2015-07-23,13.8672837632,6,12
2015-07-24,2.8923786240000027,14,15
2015-07-25,-10.6120725504,0,4
2015-07-26,-9.8300125184,0,0
2015-07-27,13.646952345599999,11,22
2015-07-28,3.7301990400000005,12,11
2015-07-29,5.923574784000001,8,11
2015-07-30,19.054957260800002,10,13
2015-07-31,-4.573305139199995,11,6
2015-08-01,-8.0414798848,0,6
2015-08-02,-5.109274521600001,0,4
2015-08-03,12.318938419199998,25,7
2015-08-04,8.280796672,12,9
2015-08-05,1.5815646208000018,1,4
2015-08-06,7.031363584000001,6,8
2015-08-07,27.7028301824,13,16
2015-08-08,-13.443159756799997,0,4
2015-08-09,-10.3020504064,0,0
2015-08-10,21.7602828288,5,8
2015-08-11,35.7079809024,8,17
2015-08-12,-14.818891161599996,7,9
2015-08-13,16.0270806016,11,18
2015-08-14,-1.9444173823999975,4,19
2015-08-15,-14.9299393536,0,5
2015-08-16,-7.140424499200001,0,1
2015-08-17,21.6007757824,0,10
2015-08-18,6.413912576000001,6,8
2015-08-19,15.376508006400002,2,15
2015-08-20,8.587888128000003,1,21
2015-08-21,-0.14935060479999862,1,20
2015-08-22,-5.028343807999999,0,3
2015-08-23,-9.924051865600001,1,0
2015-08-24,15.944893439999998,4,2
2015-08-25,37.110655488,7,29
2015-08-26,18.230760243200006,3,17
2015-08-27,-2.257055743999995,6,14
2015-08-28,4.946236620800001,18,6
2015-08-29,-8.055126220799998,0,1
2015-08-30,-7.0286452736000005,0,3
2015-08-31,14.7675020288,5,14
2015-09-01,0.011307008000001062,12,21
2015-09-02,8.1771579392,8,13
2015-09-03,14.391149260800002,12,15
2015-09-04,6.115970969599999,26,19
2015-09-05,-12.7927519232,3,5
2015-09-06,-7.806886912000001,0,7
2015-09-07,-4.2684474368000025,7,8
2015-09-08,5.158680371199999,0,15
2015-09-09,5.744545996799999,8,17
2015-09-10,4.300486656000001,11,13
2015-09-11,12.871424819200001,6,10
2015-09-12,-10.8436810752,1,9
2015-09-13,-4.865880371200001,1,1
2015-09-14,8.3859883008,7,14
2015-09-15,-2.1658713088,6,26
2015-09-16,24.7642033152,7,33
2015-09-17,10.186322124800002,7,12
2015-09-18,9.462208614400001,21,22
2015-09-19,-5.322090393599998,1,7
2015-09-20,-9.278720204799999,0,6
2015-09-21,8.6902648832,6,7
2015-09-22,19.016624128,0,25
2015-09-23,16.635886387200003,5,29
2015-09-24,7.1201614848000006,5,35
2015-09-25,20.9502389248,10,18
2015-09-26,-12.229689651199998,0,5
2015-09-27,-10.712424243200001,0,0
2015-09-28,-3.0993587200000015,5,3
2015-09-29,17.060671795199998,11,14
2015-09-30,21.193836748800003,17,12
2015-10-01,22.129197465600004,22,29
2015-10-02,-7.606492569599997,5,24
2015-10-03,-1.4229506048000005,0,7
2015-10-04,-12.738616627199999,0,2
2015-10-05,19.0872635392,11,24
2015-10-06,21.1960375296,6,20
2015-10-07,-7.752335871999996,7,18
2015-10-08,10.3255763968,6,22
2015-10-09,6.683225088,18,30
2015-10-10,-4.282043289599997,1,9
2015-10-11,-7.7753901056,0,0
2015-10-12,17.588786176,10,24
2015-10-13,11.7096435712,12,35
2015-10-14,2.487612211200002,17,40
2015-10-15,5.527371059200002,20,9
2015-10-16,2.667997593600001,12,27
2015-10-17,-9.2144366592,0,5
2015-10-18,-3.6129403904000013,0,5
2015-10-19,21.1604040704,10,21
2015-10-20,3.8137392128000016,10,26
2015-10-21,7.106108928000001,17,37
2015-10-22,2.4472957952000023,13,24
2015-10-23,14.8545604608,6,19
2015-10-24,-11.236449279999999,0,7
2015-10-25,-8.6068161536,0,1
2015-10-26,33.386201804799995,4,25
2015-10-27,3.627237068800003,2,34
2015-10-28,7.270120550400003,10,34
2015-10-29,15.130823577600003,20,22
2015-10-30,-6.258075647999998,20,23
2015-10-31,-9.1512035328,0,11
2015-11-01,-7.0536743936000015,0,0
2015-11-02,14.042241535999999,29,16
2015-11-03,28.046465024,14,28
2015-11-04,11.546086297600006,6,22
2015-11-05,0.6444422144000015,8,28
2015-11-06,3.3487932415999992,30,24
2015-11-07,-1.4497005567999999,0,9
2015-11-08,-8.524998246400003,0,3
2015-11-09,7.296982220799999,18,21
2015-11-10,19.4109770752,27,27
2015-11-11,6.858237132800003,9,18
2015-11-12,10.425115340800001,12,13
2015-11-13,9.239485030400004,5,21
2015-11-14,-14.194196172799998,0,10
2015-11-15,-9.351033344000001,0,0
2015-11-16,13.7457005568,9,16
2015-11-17,19.8313340928,10,29
2015-11-18,6.6373524480000015,10,33
2015-11-19,7.480498688000004,2,13
2015-11-20,16.4413820928,2,22
2015-11-21,-11.302924697599998,0,2
2015-11-22,-1.8653858816,0,2
2015-11-23,4.978659532799998,20,25
2015-11-24,9.723789312000001,7,37
2015-11-25,6.0921817088,15,16
2015-11-26,4.875273011200001,6,28
2015-11-27,-11.751310131199999,11,14
2015-11-28,-4.8851412992,0,1
2015-11-29,-0.8038861824000012,0,4
2015-11-30,10.618033868799998,7,19
2015-12-01,7.539348992000001,10,25
2015-12-02,10.086941696000002,10,25
2015-12-03,10.926853427200001,5,23
2015-12-04,25.005602816,10,8
2015-12-05,5.843049676800003,0,6
2015-12-06,-18.737069977599997,0,6
2015-12-07,21.9789712384,3,11
2015-12-08,14.928982732800002,10,22
2015-12-09,5.978643456,3,17
2015-12-10,9.205323571200001,10,22
2015-12-11,-10.557002751999999,4,18
2015-12-12,-5.235195494400001,8,14
2015-12-13,-9.3092923392,0,11
2015-12-14,22.008958566399997,11,22
2015-12-15,15.899371520000003,9,36
2015-12-16,8.209700352000006,9,27
2015-12-17,-6.462298009599998,3,17
2015-12-18,-5.646389452799999,7,18
2015-12-19,-8.064047718400001,0,5
2015-12-20,-0.24543979520000114,0,7
2015-12-21,2.5051597824,4,9
2015-12-22,-2.416436224,6,8
2015-12-23,-4.0061633536,2,28
2015-12-24,-0.0922485759999998,0,10
2015-12-25,-1.0126962688,0,3
2015-12-26,1.7019692032,0,7
2015-12-27,-1.8488695807999997,0,2
2015-12-28,3.234693632,1,5
2015-12-29,-0.1058982911999995,0,16
2015-12-30,1.3842673664,0,22
2015-12-31,2.1160452096,0,6
2016-01-01,-2.3719715839999997,0,4
2016-01-02,9.0291282944,0,4
2016-01-03,-4.590822092799999,0,5
2016-01-04,6.3859408896,2,24
2016-01-05,3.873938432000001,0,22
2016-01-06,10.1955314688,0,37
2016-01-07,22.083934310400004,1,31
2016-01-08,1.0265506816000034,3,18
2016-01-09,-6.767314227199998,0,7
2016-01-10,-0.03887871999999959,0,3
2016-01-11,23.420068352,11,7
2016-01-12,7.663181824000002,16,17
2016-01-13,-4.123317350399997,10,12
2016-01-14,4.230791065600002,4,14
2016-01-15,3.6949473280000014,8,16
2016-01-16,-2.2383912959999996,0,6
2016-01-17,-8.6045349888,0,4
2016-01-18,8.757176831999999,6,18
2016-01-19,8.931343462400001,13,10
2016-01-20,15.537269760000001,12,22
2016-01-21,8.3773551616,3,34
2016-01-22,6.200857395200002,5,17
2016-01-23,-9.505219072,0,6
2016-01-24,-0.20967936000000087,2,1
2016-01-25,4.376072908799999,8,14
2016-01-26,8.251137024,16,10
2016-01-27,8.981196697600001,5,15
2016-01-28,5.193072742400002,3,14
2016-01-29,1.3912527872000027,4,26
2016-01-30,-6.994809958399999,0,3
2016-01-31,2.459753267199999,0,6
2016-02-01,4.8801024,10,22
2016-02-02,8.6866466816,8,25
2016-02-03,15.406298214400001,12,24
2016-02-04,11.124954214400002,14,11
2016-02-05,-0.2545745919999973,11,11
2016-02-06,3.0266781696000002,0,18
2016-02-07,-12.2554744832,1,5
2016-02-08,5.397232844799999,5,20
2016-02-09,29.9252533248,13,20
2016-02-10,6.849265254400002,15,21
2016-02-11,10.400105062400002,17,8
2016-02-12,38.4022592512,9,25
2016-02-13,-11.603444428799996,1,3
2016-02-14,1.848366899200002,1,3
2016-02-15,-2.5510002687999993,15,10
2016-02-16,5.592306687999999,5,19
2016-02-17,17.5210350592,7,16
2016-02-18,-12.706344550399997,17,15
2016-02-19,12.0664732672,9,19
2016-02-20,-7.006771814399997,0,4
2016-02-21,1.2884767743999994,0,1
2016-02-22,8.9665266688,4,15
2016-02-23,9.5246902272,7,10
2016-02-24,6.773731328000002,24,23
2016-02-25,27.521049088,15,12
2016-02-26,14.9310288896,1,30
2016-02-27,-0.9753037823999975,3,3
2016-02-28,-14.080848691199996,0,2
2016-02-29,-1.7194749952000024,9,14
2016-03-01,13.1613000704,8,15
2016-03-02,9.3781971968,6,19
2016-03-03,29.9231094784,2,23
2016-03-04,2.5923039232000065,1,16
2016-03-05,-13.133146521599997,0,8
2016-03-06,3.6752710656000005,0,10
2016-03-07,5.151927193599999,9,13
2016-03-08,13.651376127999999,7,23
2016-03-09,3.883578572800001,15,17
2016-03-10,15.1566739456,4,24
2016-03-11,24.421568204800003,7,14
2016-03-12,4.146213171200003,1,4
2016-03-13,-13.133164646399997,0,5
2016-03-14,20.7698548736,1,12
2016-03-15,-1.8147176447999982,5,28
2016-03-16,-8.559100006400001,9,12
2016-03-17,10.8273516544,7,15
2016-03-18,27.1042429952,7,15
2016-03-19,-17.582147788799997,1,5
2016-03-20,-11.7137620992,0,10
2016-03-21,28.855938048,12,26
2016-03-22,-4.9533678592,8,13
2016-03-23,11.7171652608,8,15
2016-03-24,21.687270604800002,14,20
2016-03-25,1.6868463616000007,13,9
2016-03-26,-7.7934427135999975,0,6
2016-03-27,-0.9479448575999996,0,2
2016-03-28,7.6516718592,9,1
2016-03-29,17.454592,7,10
