,lodash/lodash,jashkenas/underscore,ramda/ramda
2013-08-21,1,0,1.0
2013-08-22,2,2,1.4
2013-08-23,1,0,-1.3200000000000003
2013-08-24,1,0,-0.296
2013-08-25,6,0,-0.14559999999999995
2013-08-26,6,0,-0.09004799999999995
2013-08-27,5,0,0.9375488
2013-08-28,4,0,1.35356416
2013-08-29,3,0,-0.356191232
2013-08-30,13,0,-0.9251827712
2013-08-31,2,0,-0.2826041344
2013-09-01,1,0,-0.14604799999999996
2013-09-02,4,0,0.9039488
2013-09-03,0,0,4.33071616
2013-09-04,6,4,0.8270535679999993
2013-09-05,2,0,-3.0981082112000005
2013-09-06,2,0,1.1790555136
2013-09-07,3,10,-1.6233500672
2013-09-08,4,0,0.49460480000000007
2013-09-09,4,2,-0.9000934400000001
2013-09-10,1,0,-0.329188352
2013-09-11,2,0,-0.2136015872000001
2013-09-12,1,0,-0.15098214400000007
2013-09-13,5,0,-0.08270714880000006
2013-09-14,6,0,-0.03743590400000003
2013-09-15,0,0,-0.029929574400000027
2013-09-16,5,0,-0.01034035200000001
2013-09-17,6,0,-0.00850206720000001
2013-09-18,6,0,0.0
2013-09-19,6,0,0.0
2013-09-20,5,1,0.0
2013-09-21,3,0,0.0
2013-09-22,1,0,0.0
2013-09-23,3,1,0.0
2013-09-24,1,2,0.0
2013-09-25,3,0,0.0
2013-09-26,4,0,0.0
2013-09-27,4,0,0.0
2013-09-28,2,0,0.0
2013-09-29,7,0,0.0
2013-09-30,3,0,0.0
2013-10-01,4,0,0.0
2013-10-02,2,0,0.0
2013-10-03,5,0,0.0
2013-10-04,1,0,0.0
2013-10-05,3,0,0.0
2013-10-06,1,0,1.0
2013-10-07,1,0,-0.6000000000000001
2013-10-08,4,0,0.88
2013-10-09,1,0,-0.6560000000000001
2013-10-10,1,0,-0.15359999999999996
2013-10-11,1,2,-0.078848
2013-10-12,2,0,-0.050355199999999975
2013-10-13,7,0,-0.03577344000000001
2013-10-14,4,0,0.972904448
2013-10-15,3,1,-0.6214275072000001
2013-10-16,1,0,0.8696596480000001
2013-10-17,2,0,-0.6645020672
2013-10-18,3,0,-0.15359999999999996
2013-10-19,7,0,-0.078848
2013-10-20,1,0,-0.050355199999999975
2013-10-21,8,0,-0.03577344000000001
2013-10-22,4,0,-0.027095552000000016
2013-10-23,2,0,-0.02142750720000002
2013-10-24,5,0,-0.01034035200000001
2013-10-25,4,0,-0.00850206720000001
2013-10-26,3,0,0.0
2013-10-27,1,0,0.0
2013-10-28,11,0,0.0
2013-10-29,9,2,0.0
2013-10-30,8,0,0.0
2013-10-31,8,0,0.0
2013-11-01,1,0,0.0
2013-11-02,14,0,0.0
2013-11-03,12,0,0.0
2013-11-04,7,0,0.0
2013-11-05,10,0,0.0
2013-11-06,14,10,0.0
2013-11-07,7,6,0.0
2013-11-08,8,0,0.0
2013-11-09,2,0,0.0
2013-11-10,5,0,0.0
2013-11-11,5,0,0.0
2013-11-12,5,0,0.0
2013-11-13,6,0,0.0
2013-11-14,5,0,0.0
2013-11-15,3,0,0.0
2013-11-16,8,0,0.0
2013-11-17,1,0,0.0
2013-11-18,3,8,0.0
2013-11-19,3,6,0.0
2013-11-20,5,3,0.0
2013-11-21,5,0,0.0
2013-11-22,4,0,0.0
2013-11-23,3,0,0.0
2013-11-24,4,0,0.0
2013-11-25,1,0,0.0
2013-11-26,3,0,0.0
2013-11-27,3,0,0.0
2013-11-28,1,0,0.0
2013-11-29,4,0,0.0
2013-11-30,11,0,0.0
2013-12-01,4,0,0.0
2013-12-02,5,0,0.0
2013-12-03,3,2,0.0
2013-12-04,3,0,0.0
2013-12-05,7,0,2.0
2013-12-06,3,0,-1.2000000000000002
2013-12-07,4,0,-0.24
2013-12-08,7,0,-0.11199999999999999
2013-12-09,3,0,-0.06719999999999994
2013-12-10,0,0,-0.04569600000000001
2013-12-11,4,0,-0.03351040000000002
2013-12-12,1,0,0.97414912
2013-12-13,3,0,-0.6206807040000001
2013-12-14,8,0,1.8629958656
2013-12-15,1,0,-1.2560000000000002
2013-12-16,16,0,0.7264
2013-12-17,7,0,-0.7348480000000001
2013-12-18,0,3,-0.20395519999999995
2013-12-19,6,0,-0.11462144000000002
2013-12-20,4,0,-0.077450752
2013-12-21,7,2,2.9427990528
2013-12-22,1,1,-1.8374359040000003
2013-12-23,4,0,-0.38992957440000003
2013-12-24,1,0,0.821659648
2013-12-25,1,0,-0.7093020672
2013-12-26,1,0,-0.188544
2013-12-27,1,0,1.8937344
2013-12-28,0,0,-0.2723763200000002
2013-12-29,2,0,-0.8938690560000001
2013-12-30,0,0,-0.2742614016
2013-12-31,2,0,-0.13612543999999993
2014-01-01,3,1,1.910363648
2014-01-02,1,1,-1.2648604672000001
2014-01-03,5,4,-0.28260608000000004
2014-01-04,0,0,-0.14560614400000002
2014-01-05,5,0,-0.09454448639999996
2014-01-06,0,0,-0.05419806720000002
2014-01-07,2,0,-0.03351040000000002
2014-01-08,0,0,-0.025850880000000017
2014-01-09,5,0,-0.02068070400000002
2014-01-10,2,0,0.9829958656
2014-01-11,1,0,0.3999999999999999
2014-01-12,5,0,-0.7200000000000001
2014-01-13,3,0,-0.176
2014-01-14,2,0,-0.08959999999999996
2014-01-15,1,1,-0.05644799999999997
2014-01-16,4,2,-0.03960320000000001
2014-01-17,6,0,-0.029680640000000015
2014-01-18,1,0,-0.023265792000000018
2014-01-19,5,0,-0.01884241920000002
2014-01-20,6,2,-0.00850206720000001
2014-01-21,0,7,0.0
2014-01-22,9,2,0.0
2014-01-23,8,1,0.0
2014-01-24,4,2,0.0
2014-01-25,6,0,0.0
2014-01-26,9,2,0.0
2014-01-27,0,7,0.0
2014-01-28,5,0,0.0
2014-01-29,16,1,0.0
2014-01-30,6,1,0.0
2014-01-31,3,7,0.0
2014-02-01,0,9,0.0
2014-02-02,1,13,0.0
2014-02-03,2,16,0.0
2014-02-04,3,0,0.0
2014-02-05,5,0,0.0
2014-02-06,5,0,0.0
2014-02-07,0,3,0.0
2014-02-08,1,3,0.0
2014-02-09,4,0,0.0
2014-02-10,1,17,0.0
2014-02-11,4,4,0.0
2014-02-12,9,3,2.0
2014-02-13,2,4,2.8
2014-02-14,5,6,-2.6400000000000006
2014-02-15,7,2,2.408
2014-02-16,4,3,-2.0912
2014-02-17,1,5,-0.5400959999999999
2014-02-18,0,0,0.7070976
2014-02-19,2,2,-0.7936716800000001
2014-02-20,0,3,-0.2609264640000001
2014-02-21,4,1,5.8353688576
2014-02-22,5,2,-3.7063845888000007
2014-02-23,10,0,1.226130944
2014-02-24,3,0,-0.5782614016000003
2014-02-25,3,0,-1.05452544
2014-02-26,1,0,-0.379428352
2014-02-27,1,0,1.7677667328
2014-02-28,0,0,-1.3568486400000002
2014-03-01,2,2,-0.35840051200000006
2014-03-02,1,2,-0.2056184832000001
2014-03-03,3,6,-0.10080614399999996
2014-03-04,6,2,1.9269595136
2014-03-05,2,8,2.7579875327999996
2014-03-06,3,1,-2.6658508800000003
2014-03-07,0,1,1.387319296
2014-03-08,5,0,-1.5082041344000001
2014-03-09,6,1,1.579904
2014-03-10,9,2,-0.43690240000000014
2014-03-11,6,1,-7.16800000000184e-05
2014-03-12,5,0,-0.9500784640000002
2014-03-13,7,2,1.6649240576
2014-03-14,6,0,-1.3951551488000002
2014-03-15,6,0,-0.350639104
2014-03-16,9,0,-0.19445821440000005
2014-03-17,9,0,-0.11756134399999997
2014-03-18,0,0,1.9140340735999999
2014-03-19,2,0,-1.2523528192000002
2014-03-20,2,6,-0.27435294720000003
2014-03-21,3,1,-0.132680704
2014-03-22,1,2,-0.08420413439999996
2014-03-23,6,0,1.954304
2014-03-24,1,7,-1.2335104000000001
2014-03-25,12,0,-0.26585088
2014-03-26,8,6,-0.132680704
2014-03-27,3,2,-0.08420413439999996
2014-03-28,4,3,-0.04569600000000001
2014-03-29,3,0,-0.03351040000000002
2014-03-30,5,0,-0.025850880000000017
2014-03-31,0,0,-0.02068070400000002
2014-04-01,4,0,-0.01700413440000002
2014-04-02,6,4,0.0
2014-04-03,2,0,0.0
