,spring-projects/spring-boot,dropwizard/dropwizard,apache/tomee
2012-12-21,0,0,1
2012-12-22,0,6,5
2012-12-23,0,1,2
2012-12-24,0,0,6
2012-12-25,0,0,0
2012-12-26,0,0,7
2012-12-27,0,0,0
2012-12-28,0,0,0
2012-12-29,0,0,3
2012-12-30,0,0,2
2012-12-31,0,0,6
2013-01-01,0,0,6
2013-01-02,0,0,4
2013-01-03,0,2,14
2013-01-04,0,0,9
2013-01-05,0,0,6
2013-01-06,0,0,12
2013-01-07,0,0,21
2013-01-08,0,0,7
2013-01-09,0,0,14
2013-01-10,0,1,21
2013-01-11,0,0,12
2013-01-12,0,0,2
2013-01-13,0,0,5
2013-01-14,0,1,10
2013-01-15,0,0,9
2013-01-16,0,0,4
2013-01-17,0,0,9
2013-01-18,0,2,5
2013-01-19,0,0,3
2013-01-20,0,0,8
2013-01-21,0,1,5
2013-01-22,0,1,4
2013-01-23,0,1,3
2013-01-24,0,0,6
2013-01-25,0,0,12
2013-01-26,0,0,0
2013-01-27,0,0,1
2013-01-28,0,0,4
2013-01-29,0,1,9
2013-01-30,0,0,3
2013-01-31,0,0,7
2013-02-01,0,1,1
2013-02-02,0,0,1
2013-02-03,0,17,1
2013-02-04,0,0,6
2013-02-05,0,1,0
2013-02-06,0,1,8
2013-02-07,0,0,10
2013-02-08,0,0,4
2013-02-09,0,1,2
2013-02-10,0,0,3
2013-02-11,0,0,1
2013-02-12,0,3,1
2013-02-13,0,0,10
2013-02-14,0,0,6
2013-02-15,0,1,1
2013-02-16,0,9,0
2013-02-17,0,2,7
2013-02-18,0,1,7
2013-02-19,0,3,7
2013-02-20,0,1,3
2013-02-21,0,2,5
2013-02-22,0,0,3
2013-02-23,0,0,0
2013-02-24,0,0,0
2013-02-25,0,0,0
2013-02-26,0,1,3
2013-02-27,0,0,1
2013-02-28,0,1,0
2013-03-01,0,0,0
2013-03-02,0,0,0
2013-03-03,0,22,1
2013-03-04,0,2,1
2013-03-05,0,1,4
2013-03-06,0,0,5
