,jetbrains/kotlin,apache/groovy,scala/scala
2011-09-22,4,11,5
2011-09-23,11,7,3
2011-09-24,6,0,1
2011-09-25,1,0,2
2011-09-26,4,3,8
2011-09-27,8,1,7
2011-09-28,6,3,16
2011-09-29,8,4,3
2011-09-30,4,2,7
2011-10-01,4,1,1
2011-10-02,1,0,0
2011-10-03,5,0,4
2011-10-04,2,0,7
2011-10-05,6,1,4
2011-10-06,1,2,3
2011-10-07,2,2,4
2011-10-08,3,0,0
2011-10-09,3,0,5
2011-10-10,3,1,4
2011-10-11,2,4,5
2011-10-12,7,11,1
2011-10-13,20,0,3
2011-10-14,4,8,2
2011-10-15,1,0,7
2011-10-16,1,0,4
2011-10-17,20,13,4
2011-10-18,7,12,5
2011-10-19,12,10,3
2011-10-20,8,5,13
2011-10-21,16,0,7
2011-10-22,1,1,4
2011-10-23,6,0,2
2011-10-24,16,15,9
2011-10-25,4,51,2
2011-10-26,5,5,0
2011-10-27,18,9,2
2011-10-28,18,8,5
2011-10-29,0,0,7
2011-10-30,2,0,0
2011-10-31,30,1,8
2011-11-01,24,2,4
2011-11-02,23,6,1
2011-11-03,40,1,3
2011-11-04,32,7,10
2011-11-05,3,0,1
2011-11-06,1,1,3
2011-11-07,28,11,9
2011-11-08,13,14,7
2011-11-09,39,6,2
2011-11-10,30,0,7
2011-11-11,8,0,8
2011-11-12,26,0,0
2011-11-13,3,0,13
2011-11-14,25,0,5
2011-11-15,17,8,5
2011-11-16,24,1,7
2011-11-17,17,1,0
2011-11-18,19,0,5
2011-11-19,2,2,5
2011-11-20,1,1,1
2011-11-21,7,10,4
2011-11-22,18,0,13
2011-11-23,36,10,11
2011-11-24,41,7,8
2011-11-25,38,6,1
2011-11-26,2,4,1
2011-11-27,0,0,5
2011-11-28,29,4,7
2011-11-29,21,5,8
2011-11-30,19,5,4
2011-12-01,24,1,16
2011-12-02,26,1,21
2011-12-03,5,4,4
2011-12-04,1,0,9
2011-12-05,13,19,24
2011-12-06,22,4,13
2011-12-07,35,7,26
2011-12-08,36,5,10
2011-12-09,17,4,17
2011-12-10,1,2,11
2011-12-11,4,4,2
2011-12-12,23,4,16
2011-12-13,28,2,15
2011-12-14,38,10,5
2011-12-15,20,7,0
2011-12-16,46,19,5
2011-12-17,3,0,0
2011-12-18,3,0,3
2011-12-19,18,9,1
2011-12-20,36,8,5
2011-12-21,27,10,6
2011-12-22,12,2,6
2011-12-23,12,7,6
2011-12-24,1,0,7
2011-12-25,8,1,6
2011-12-26,11,3,3
2011-12-27,29,8,4
2011-12-28,3,5,26
2011-12-29,26,6,1
2011-12-30,34,1,9
2011-12-31,0,2,3
2012-01-01,0,3,1
2012-01-02,5,3,8
2012-01-03,11,12,4
2012-01-04,18,17,4
2012-01-05,3,19,15
2012-01-06,21,17,7
2012-01-07,5,8,10
2012-01-08,6,4,4
2012-01-09,2,3,4
2012-01-10,19,0,9
2012-01-11,12,8,3
2012-01-12,22,0,14
2012-01-13,13,11,7
2012-01-14,4,5,10
2012-01-15,9,1,8
2012-01-16,15,14,8
2012-01-17,21,9,9
2012-01-18,38,27,4
2012-01-19,16,3,10
2012-01-20,14,0,15
2012-01-21,1,1,6
2012-01-22,8,0,2
2012-01-23,19,3,10
2012-01-24,24,19,15
2012-01-25,39,6,15
2012-01-26,20,13,9
2012-01-27,51,4,5
2012-01-28,15,1,11
2012-01-29,2,6,6
2012-01-30,39,4,31
2012-01-31,25,6,8
2012-02-01,16,13,23
2012-02-02,20,16,13
2012-02-03,30,6,19
2012-02-04,7,4,11
2012-02-05,9,9,33
2012-02-06,26,11,20
2012-02-07,24,23,6
2012-02-08,62,15,9
2012-02-09,26,4,3
2012-02-10,18,3,1
2012-02-11,4,0,1
2012-02-12,7,11,7
2012-02-13,32,5,5
2012-02-14,15,16,18
2012-02-15,12,10,28
2012-02-16,8,3,6
2012-02-17,22,7,17
2012-02-18,0,0,4
2012-02-19,7,4,14
2012-02-20,38,1,10
2012-02-21,50,1,7
2012-02-22,30,7,21
2012-02-23,27,6,25
2012-02-24,36,7,4
2012-02-25,0,2,5
2012-02-26,2,0,2
2012-02-27,21,6,7
2012-02-28,18,9,8
2012-02-29,66,6,7
2012-03-01,30,3,7
2012-03-02,43,2,8
2012-03-03,7,3,6
2012-03-04,0,2,3
2012-03-05,22,5,13
2012-03-06,45,4,20
2012-03-07,54,2,16
2012-03-08,22,3,4
2012-03-09,37,6,5
2012-03-10,23,3,0
2012-03-11,14,1,3
2012-03-12,40,0,2
2012-03-13,37,1,0
2012-03-14,40,5,13
2012-03-15,10,10,10
2012-03-16,25,1,26
2012-03-17,12,0,2
2012-03-18,3,0,3
2012-03-19,35,6,10
2012-03-20,13,5,25
2012-03-21,31,2,14
2012-03-22,7,4,8
2012-03-23,25,0,29
2012-03-24,8,0,2
2012-03-25,1,0,4
2012-03-26,28,1,4
2012-03-27,22,0,15
2012-03-28,61,2,7
2012-03-29,27,8,4
2012-03-30,28,7,13
2012-03-31,1,0,4
