,godotengine/godot,4ian/GDevelop,MonoGame/MonoGame
2021-12-13,14,0,0
2021-12-14,12,2,0
2021-12-15,34,6,0
2021-12-16,23,1,0
2021-12-17,11,4,0
2021-12-18,7,0,0
2021-12-19,1,0,0
2021-12-20,9,0,0
2021-12-21,24,2,0
2021-12-22,7,2,0
2021-12-23,13,4,0
2021-12-24,9,2,0
2021-12-25,2,1,0
2021-12-26,6,1,0
2021-12-27,4,4,0
2021-12-28,9,4,0
2021-12-29,6,1,0
2021-12-30,10,1,0
2021-12-31,8,0,0
2022-01-01,3,0,0
2022-01-02,13,2,0
2022-01-03,20,2,0
2022-01-04,46,2,0
2022-01-05,51,1,0
2022-01-06,58,3,0
2022-01-07,35,3,0
2022-01-08,22,1,0
2022-01-09,15,1,0
2022-01-10,32,10,0
2022-01-11,22,3,1
2022-01-12,48,4,0
2022-01-13,32,3,0
2022-01-14,34,4,0
2022-01-15,15,1,0
2022-01-16,16,1,0
2022-01-17,41,1,0
2022-01-18,45,1,0
2022-01-19,40,3,0
2022-01-20,37,1,0
2022-01-21,21,1,0
2022-01-22,29,6,0
2022-01-23,29,8,0
2022-01-24,31,1,0
2022-01-25,28,1,0
2022-01-26,18,2,3
2022-01-27,24,7,0
2022-01-28,42,2,0
2022-01-29,10,2,0
2022-01-30,12,0,0
2022-01-31,31,3,0
2022-02-01,26,3,0
2022-02-02,23,4,0
2022-02-03,39,2,0
2022-02-04,36,2,0
2022-02-05,35,0,0
2022-02-06,33,0,0
2022-02-07,38,1,0
2022-02-08,65,0,0
2022-02-09,37,2,0
2022-02-10,47,2,0
2022-02-11,38,4,0
2022-02-12,41,0,0
2022-02-13,10,3,0
2022-02-14,37,1,0
2022-02-15,30,0,0
2022-02-16,40,4,0
2022-02-17,27,4,0
2022-02-18,25,2,0
2022-02-19,23,1,0
2022-02-20,16,1,0
2022-02-21,21,3,0
2022-02-22,22,6,0
2022-02-23,21,1,0
2022-02-24,14,2,0
2022-02-25,10,3,0
2022-02-26,8,0,0
2022-02-27,8,0,0
2022-02-28,22,1,0
2022-03-01,20,4,0
2022-03-02,17,3,0
2022-03-03,20,2,0
2022-03-04,56,5,0
2022-03-05,23,0,0
2022-03-06,21,0,0
2022-03-07,28,2,0
2022-03-08,24,2,0
2022-03-09,31,2,0
2022-03-10,27,3,0
2022-03-11,23,4,0
2022-03-12,20,0,0
2022-03-13,31,1,0
2022-03-14,21,0,0
2022-03-15,25,1,0
2022-03-16,25,4,0
2022-03-17,33,2,0
2022-03-18,41,0,0
2022-03-19,7,0,0
2022-03-20,18,0,0
2022-03-21,25,4,0
2022-03-22,27,0,0
2022-03-23,14,1,0
2022-03-24,16,1,0
2022-03-25,28,1,0
2022-03-26,14,0,0
2022-03-27,25,1,0
2022-03-28,51,2,0
2022-03-29,31,1,0
2022-03-30,30,0,0
2022-03-31,36,0,0
2022-04-01,27,4,0
2022-04-02,2,0,0
2022-04-03,8,0,0
2022-04-04,38,1,0
2022-04-05,26,1,0
2022-04-06,20,5,0
2022-04-07,13,0,0
2022-04-08,16,1,0
2022-04-09,8,0,0
2022-04-10,8,0,0
2022-04-11,36,1,0
2022-04-12,35,1,0
2022-04-13,36,1,0
2022-04-14,9,3,0
2022-04-15,5,2,0
2022-04-16,8,0,0
2022-04-17,12,0,0
2022-04-18,1,0,0
2022-04-19,15,2,0
2022-04-20,11,2,2
2022-04-21,3,2,0
2022-04-22,17,1,1
2022-04-23,6,2,2
2022-04-24,14,2,4
2022-04-25,34,1,2
2022-04-26,31,1,7
2022-04-27,41,3,3
2022-04-28,31,3,1
2022-04-29,25,2,2
2022-04-30,18,0,4
2022-05-01,13,0,1
2022-05-02,21,3,0
2022-05-03,27,0,2
2022-05-04,24,2,1
2022-05-05,48,3,2
2022-05-06,19,3,1
2022-05-07,7,1,0
2022-05-08,8,1,0
2022-05-09,17,0,0
2022-05-10,33,3,0
2022-05-11,18,1,0
2022-05-12,39,4,6
2022-05-13,23,6,1
2022-05-14,5,0,1
2022-05-15,6,0,0
2022-05-16,53,8,0
2022-05-17,48,0,0
2022-05-18,33,4,0
2022-05-19,15,5,0
2022-05-20,30,4,0
2022-05-21,11,2,1
2022-05-22,13,1,0
2022-05-23,32,4,0
2022-05-24,33,4,0
2022-05-25,34,10,0
2022-05-26,15,0,0
2022-05-27,15,4,0
2022-05-28,8,0,0
2022-05-29,7,0,0
2022-05-30,9,1,0
2022-05-31,21,1,0
2022-06-01,21,8,0
2022-06-02,17,2,0
2022-06-03,26,7,0
2022-06-04,10,0,0
2022-06-05,13,0,0
2022-06-06,12,2,0
2022-06-07,29,2,0
2022-06-08,27,6,0
2022-06-09,21,2,0
