,serverless/serverless,aws/chalice,apache/openwhisk
2016-07-31,0.0,0,1
2016-08-01,14.0,15,7
2016-08-02,16.2,1,3
2016-08-03,13.08,1,7
2016-08-04,21.208,8,3
2016-08-05,6.7776,0,2
2016-08-06,-4.019904000000002,0,1
2016-08-07,-2.4719872000000027,2,0
2016-08-08,9.648030719999998,1,0
2016-08-09,0.011773951999999532,0,1
2016-08-10,10.0759640064,1,4
2016-08-11,5.772842086400001,6,2
2016-08-12,4.024024268800002,0,3
2016-08-13,7.503906099200001,0,3
2016-08-14,0.22428876800000008,0,0
2016-08-15,15.4925211648,0,2
2016-08-16,4.0580882432,4,14
2016-08-17,-0.08875499520000041,0,3
2016-08-18,0.1797401599999997,3,5
2016-08-19,6.8235981824,1,6
2016-08-20,-2.9531009023999997,0,0
2016-08-21,1.6269825023999998,0,5
2016-08-22,6.6304535552,0,2
2016-08-23,8.78673152,2,4
2016-08-24,15.851896422400001,0,1
2016-08-25,-2.020562944,0,5
2016-08-26,3.3098623999999983,8,4
2016-08-27,-3.6054204415999997,0,2
2016-08-28,-1.121079296000001,0,0
2016-08-29,4.3513737216,0,6
2016-08-30,-0.4084074495999994,0,20
2016-08-31,64.1881217024,0,7
2016-09-01,-8.329694924799997,8,8
2016-09-02,9.771439103999997,0,9
2016-09-03,-2.4394361856000017,0,3
2016-09-04,-5.143456972800003,0,0
2016-09-05,25.740218367999997,0,0
2016-09-06,12.7546341376,7,7
2016-09-07,2.5345601535999975,0,5
2016-09-08,12.176942387200002,1,4
2016-09-09,0.03839836160000143,0,5
2016-09-10,-1.4981848064000012,0,0
2016-09-11,-2.134208716800001,0,1
2016-09-12,24.994477568,0,1
2016-09-13,6.296594432000002,0,4
2016-09-14,-1.7127822335999996,1,10
2016-09-15,6.461496729599999,0,2
2016-09-16,5.108469657600001,0,6
2016-09-17,-1.7659918335999993,0,0
2016-09-18,-3.216669491200001,0,3
2016-09-19,5.944115814399999,0,2
2016-09-20,13.872191283200001,0,5
2016-09-21,-0.2560801791999987,8,6
2016-09-22,11.542400614399998,1,7
2016-09-23,13.064034816,0,4
2016-09-24,-6.147308134399999,0,0
2016-09-25,-1.0933990400000013,0,0
2016-09-26,17.5842085888,0,2
2016-09-27,10.347160064,0,5
2016-09-28,13.9089404928,3,3
2016-09-29,-5.2127367168,0,1
2016-09-30,7.926084607999998,0,2
2016-10-01,7.944803328000001,0,0
2016-10-02,-4.4034537472,0,0
2016-10-03,10.911909375999997,0,1
2016-10-04,17.0496315392,0,7
2016-10-05,8.829785600000001,0,1
2016-10-06,1.2361691136000008,0,0
2016-10-07,16.821206527999998,6,3
2016-10-08,-7.3427714048,0,0
2016-10-09,0.11700561919999863,0,0
2016-10-10,17.6037270528,11,1
2016-10-11,39.6233660416,2,2
2016-10-12,28.440849510400003,3,2
2016-10-13,31.8882235392,11,4
2016-10-14,-0.18274314239999967,0,0
2016-10-15,-6.427855667200003,0,0
2016-10-16,-7.811293388800003,0,0
2016-10-17,10.886687231999996,1,6
2016-10-18,21.8795147264,0,1
2016-10-19,43.786012569600004,4,2
2016-10-20,12.715343769600004,0,5
2016-10-21,11.404350361599999,3,0
2016-10-22,-7.1834031104000005,0,1
2016-10-23,-0.5452529664000032,0,0
2016-10-24,21.721046528,5,4
2016-10-25,12.195222527999999,1,0
2016-10-26,1.0943686656000011,0,3
2016-10-27,15.192977510400002,9,4
2016-10-28,17.728547430400003,4,6
2016-10-29,-10.171147161599999,0,1
2016-10-30,-2.2695577600000023,0,0
2016-10-31,18.963861504,0,2
2016-11-01,31.578225971200002,2,2
2016-11-02,16.2048002048,0,2
2016-11-03,3.7017172991999985,0,1
2016-11-04,8.113490329599998,0,1
2016-11-05,-2.5782776831999996,0,0
2016-11-06,-5.074019020800002,0,0
2016-11-07,14.055791103999997,5,1
2016-11-08,17.4772860928,3,1
2016-11-09,-1.5520079871999979,2,1
2016-11-10,1.1388329984000007,5,7
2016-11-11,4.2823794688,5,0
2016-11-12,-1.5156684799999995,0,0
2016-11-13,-3.1870143488,0,0
2016-11-14,8.0298720256,1,0
2016-11-15,6.554156953600001,10,1
2016-11-16,3.038133964800002,0,1
2016-11-17,8.5410673664,4,8
2016-11-18,10.8223736832,0,8
2016-11-19,-1.1549150207999999,0,0
2016-11-20,2.573764710399999,1,0
2016-11-21,23.7670847488,0,0
2016-11-22,8.661422080000001,3,6
2016-11-23,0.2023567359999987,2,2
2016-11-24,15.985295871999998,0,1
2016-11-25,-2.1839699968,0,1
2016-11-26,0.20120043519999875,0,0
2016-11-27,0.050494975999999525,0,0
2016-11-28,8.7555620864,2,4
2016-11-29,11.4586305536,1,4
2016-11-30,-1.7620476927999986,2,0
2016-12-01,35.3240912896,2,5
2016-12-02,13.030450995200002,0,2
2016-12-03,-7.2561757184000015,1,2
2016-12-04,-0.10211379200000259,0,0
2016-12-05,9.673576959999998,0,3
