,containerd/containerd,moby/moby,canonical/lxd
2015-12-05,0,7.0,1
2015-12-06,0,7.0,0
2015-12-07,11,28.0,17
2015-12-08,12,28.0,11
2015-12-09,7,76.0,16
2015-12-10,9,24.0,8
2015-12-11,8,19.0,16
2015-12-12,0,7.0,0
2015-12-13,0,10.0,0
2015-12-14,7,36.0,13
2015-12-15,11,46.0,5
2015-12-16,10,49.0,24
2015-12-17,14,26.0,7
2015-12-18,11,22.0,13
2015-12-19,2,12.0,12
2015-12-20,0,13.0,1
2015-12-21,0,26.0,13
2015-12-22,2,48.0,0
2015-12-23,0,32.0,2
2015-12-24,0,10.0,2
2015-12-25,1,2.0,0
2015-12-26,0,1.0,1
2015-12-27,0,5.0,1
2015-12-28,0,26.0,0
2015-12-29,0,41.0,0
2015-12-30,0,33.0,0
2015-12-31,0,7.0,8
2016-01-01,0,10.0,0
2016-01-02,0,2.0,0
2016-01-03,0,9.0,5
2016-01-04,2,31.0,5
2016-01-05,4,48.0,0
2016-01-06,1,35.0,6
2016-01-07,0,34.0,15
2016-01-08,0,48.0,19
2016-01-09,0,22.0,4
2016-01-10,0,15.0,5
2016-01-11,1,20.0,1
2016-01-12,2,46.0,5
2016-01-13,0,47.0,13
2016-01-14,0,65.0,13
2016-01-15,0,31.0,7
2016-01-16,2,11.0,0
2016-01-17,0,3.0,3
2016-01-18,0,21.0,2
2016-01-19,0,39.0,13
2016-01-20,1,48.0,0
2016-01-21,5,49.0,2
2016-01-22,10,36.0,8
2016-01-23,1,23.0,0
2016-01-24,1,30.0,2
2016-01-25,6,34.0,9
2016-01-26,2,73.0,25
2016-01-27,5,62.0,6
2016-01-28,0,20.0,1
2016-01-29,1,33.0,3
2016-01-30,0,23.0,2
2016-01-31,0,8.0,1
2016-02-01,0,40.0,1
2016-02-02,2,51.0,5
2016-02-03,7,56.0,5
2016-02-04,1,39.0,9
2016-02-05,0,33.0,3
2016-02-06,0,8.0,0
2016-02-07,0,5.0,0
2016-02-08,0,20.0,1
2016-02-09,0,34.0,13
2016-02-10,0,36.0,16
2016-02-11,10,54.0,19
2016-02-12,6,41.0,5
2016-02-13,0,7.0,1
2016-02-14,0,3.0,1
2016-02-15,0,9.0,4
2016-02-16,3,28.0,2
2016-02-17,2,40.0,20
2016-02-18,0,41.0,15
2016-02-19,3,30.0,9
2016-02-20,0,14.0,1
2016-02-21,1,7.0,6
2016-02-22,1,14.0,3
2016-02-23,4,30.0,11
2016-02-24,0,31.0,30
2016-02-25,10,38.0,11
2016-02-26,10,22.0,17
2016-02-27,0,16.0,8
2016-02-28,0,10.0,0
2016-02-29,8,51.0,10
2016-03-01,5,56.0,7
2016-03-02,0,43.0,16
2016-03-03,0,41.0,4
2016-03-04,0,30.0,1
2016-03-05,0,8.0,0
2016-03-06,0,7.0,0
2016-03-07,3,16.0,19
2016-03-08,1,27.0,15
2016-03-09,2,27.0,10
2016-03-10,0,27.0,19
2016-03-11,7,43.0,12
2016-03-12,2,16.0,1
2016-03-13,0,8.0,0
2016-03-14,3,31.0,0
