,python/cpython,JuliaLang/julia,rust-lang/rust
2018-07-16,5.0,10,83
2018-07-17,2.5,9,65
2018-07-18,1.2750000000000001,11,78
2018-07-19,0.3825000000000003,7,57
2018-07-20,2.6461875000000004,10,89
2018-07-21,8.102248750000001,9,42
2018-07-22,-0.8947728125000003,10,65
2018-07-23,8.45460443125,9,62
2018-07-24,3.3448542336718745,14,109
2018-07-25,5.511136520523438,17,82
2018-07-26,4.854808199271876,13,79
2018-07-27,-1.438089643229688,26,56
2018-07-28,5.156688231471875,12,32
2018-07-29,1.1195508706624997,15,56
2018-07-30,1.7399313061250004,9,109
2018-07-31,3.9767865608796873,14,108
2018-08-01,3.433843857814063,12,120
2018-08-02,1.34441208898125,18,64
2018-08-03,7.884745342515625,8,57
2018-08-04,-5.715263138140625,27,68
2018-08-05,-0.6267149213218746,6,97
2018-08-06,2.6897614378109376,17,58
2018-08-07,2.1150626300093744,20,104
2018-08-08,-1.0005005785218755,7,70
2018-08-09,1.8683799675125,0,127
2018-08-10,-0.3991678914562504,3,46
2018-08-11,5.193003444415624,5,52
2018-08-12,2.9057539312062497,3,41
2018-08-13,-2.1170346147812498,5,53
2018-08-14,0.2063954959562504,4,125
2018-08-15,1.3190833525078123,13,105
2018-08-16,1.1594219303046873,11,116
2018-08-17,3.1559617214718747,8,44
2018-08-18,-1.4620184277125001,7,40
2018-08-19,3.541243651175,12,83
2018-08-20,-0.36801144197343794,6,72
2018-08-21,0.32039241883750025,38,44
2018-08-22,3.5316849944859374,9,118
2018-08-23,2.6923941394875,11,72
2018-08-24,7.420626128754687,3,87
2018-08-25,7.782239090223437,4,43
2018-08-26,-3.432894876679687,4,57
2018-08-27,4.018142980439063,2,89
2018-08-28,2.1717843903046874,3,61
2018-08-29,8.296736558753125,12,92
2018-08-30,-3.5176134040437503,3,98
2018-08-31,2.826178262507813,13,78
2018-09-01,-0.6737499938203131,5,64
2018-09-02,-0.8365068185156259,5,42
2018-09-03,3.8238915164250002,3,74
2018-09-04,1.9796666636749998,7,39
2018-09-05,-2.0122022032234375,4,64
2018-09-06,0.19889344691562472,7,93
2018-09-07,13.318743877675,4,74
2018-09-08,-3.3744946733093757,9,63
2018-09-09,-2.7894941021937494,4,47
2018-09-10,11.484803121770312,6,69
2018-09-11,26.078627641690623,6,85
2018-09-12,8.582468188025,11,71
2018-09-13,5.441138232070315,7,76
2018-09-14,16.35712982198594,7,44
2018-09-15,-9.60463287545,1,69
2018-09-16,-4.8447335945234355,3,50
2018-09-17,12.305676877284377,13,51
2018-09-18,5.732060945796874,17,61
2018-09-19,0.5823841332390618,5,45
2018-09-20,0.0017752994703128522,1,86
2018-09-21,3.291369562093749,5,50
2018-09-22,0.22841795611874893,3,57
2018-09-23,1.2264658956499996,1,43
