,DevExpress/testcafe,cypress-io/cypress,seleniumhq/selenium
2019-05-20,1,2.0,2
2019-05-21,0,16.8,3
2019-05-22,0,10.209999999999999,2
2019-05-23,3,-0.022000000000001574,0
2019-05-24,2,2.734174999999999,0
2019-05-25,0,-0.21549599999999924,0
2019-05-26,0,-0.8852587749999985,0
2019-05-27,2,0.36033239500000147,2
2019-05-28,5,2.3909428877187513,3
2019-05-29,0,7.230963093662501,3
2019-05-30,2,-1.3120524417984374,3
2019-05-31,2,0.3563778460375002,4
2019-06-01,0,0.5277310966156252,2
2019-06-02,0,-0.4149759856593742,0
2019-06-03,1,1.7385874137140631,11
2019-06-04,1,4.602691998234375,3
2019-06-05,0,12.247367388417187,5
2019-06-06,0,-1.7130218242328135,4
2019-06-07,2,-0.8602715290375001,0
2019-06-08,0,4.473291990734375,0
2019-06-09,0,-0.8934874405515616,0
2019-06-10,4,0.4690859424640633,2
2019-06-11,1,1.5117887302187505,1
2019-06-12,0,3.442830178600001,0
2019-06-13,6,0.2345339181171877,7
2019-06-14,0,2.467342354532813,3
2019-06-15,0,-0.57191023125,0
2019-06-16,0,-0.3393870775781246,5
2019-06-17,2,5.749958516070313,6
2019-06-18,0,3.237491994484375,0
2019-06-19,0,8.196577473932813,3
2019-06-20,0,0.6433493091156244,12
2019-06-21,0,1.0805801880906252,2
2019-06-22,0,-0.7629542915828122,0
2019-06-23,0,-0.5015981326078114,1
2019-06-24,0,4.637414022500001,7
2019-06-25,0,8.206198724406251,0
2019-06-26,1,2.627932841471875,1
2019-06-27,0,2.8842783552156246,4
2019-06-28,2,2.9432738086453125,3
2019-06-29,0,8.003519418896875,1
2019-06-30,0,2.495691482428125,0
2019-07-01,1,2.7599564062500006,12
2019-07-02,10,2.8160501186718756,0
2019-07-03,0,3.8304385851796887,8
2019-07-04,3,-1.232586509885937,25
2019-07-05,10,-0.7208185597062491,0
2019-07-06,0,-0.5139769784562489,0
2019-07-07,0,-0.3845125622843738,0
2019-07-08,0,1.7085304901140632,12
2019-07-09,1,12.61794649029375,12
2019-07-10,4,1.4826628565437492,5
2019-07-11,3,0.9765630247781245,10
2019-07-12,1,5.211180737320312,10
2019-07-13,0,-1.0763459999999996,9
2019-07-14,0,-0.6248292749999993,0
2019-07-15,0,3.5460311950000007,0
2019-07-16,1,4.240950785218751,6
2019-07-17,5,7.022508611975001,8
2019-07-18,1,4.621950510485937,6
2019-07-19,0,-0.29604536113906277,2
2019-07-20,0,-0.8399870831656246,6
2019-07-21,0,-0.564924915215624,1
2019-07-22,2,3.608406152500001,2
2019-07-23,0,4.283599166687501,0
2019-07-24,1,0.0547246297781252,3
2019-07-25,2,3.362735043195313,0
2019-07-26,1,5.19415560536875,4
2019-07-27,0,-1.03624092823125,2
2019-07-28,0,-0.5462931525359372,0
2019-07-29,1,11.6200484025,0
2019-07-30,2,2.5046542541875,0
2019-07-31,2,-0.18187922147187496,0
2019-08-01,4,6.203090564304688,13
2019-08-02,0,0.779815717901563,6
2019-08-03,0,-0.9105562882374992,13
2019-08-04,0,0.4170332347843757,0
2019-08-05,0,7.496473345000001,5
2019-08-06,11,1.8285011963125002,0
2019-08-07,3,1.0369792337562502,0
2019-08-08,4,0.269193878090625,14
2019-08-09,1,1.4455188138546882,1
2019-08-10,0,-0.5840121062828119,0
2019-08-11,0,-0.34136275132187444,0
2019-08-12,0,-0.24769992051562445,0
2019-08-13,0,0.7980077795890631,9
2019-08-14,1,-0.2634786643343746,0
2019-08-15,4,-0.1267509048890623,0
2019-08-16,2,-0.07705341058749988,0
2019-08-17,0,-0.048197978567187355,0
2019-08-18,0,-0.032914455071874904,1
2019-08-19,5,-0.01316201249999996,2
2019-08-20,1,-0.011093696249999967,0
2019-08-21,1,0.990431686984375,0
2019-08-22,1,0.8916011474640624,2
2019-08-23,0,-0.14500000000000013,0
2019-08-24,0,-0.07350000000000005,9
2019-08-25,0,-0.04916249999999994,0
2019-08-26,0,1.96322075,4
2019-08-27,5,-0.2292787625000001,12
2019-08-28,3,-0.11425570874999999,6
2019-08-29,2,1.922337990734375,0
2019-08-30,0,-0.2592921655515625,2
2019-08-31,0,-0.13063235253593744,1
2019-09-01,0,-0.08332402499999997,0
2019-09-02,4,-0.06351239249999978,1
2019-09-03,2,0.9486298739687502,5
2019-09-04,2,-0.14312173007187495,13
2019-09-05,4,-0.06718739249999997,8
2019-09-06,2,-0.047636626031249976,4
2019-09-07,0,-0.03746020507187488,0
2019-09-08,0,-0.016116749999999947,2
2019-09-09,2,6.9868379875,6
2019-09-10,3,2.2889063037499993,7
2019-09-11,4,-0.6245683130156254,5
2019-09-12,7,0.6571011474640622,0
2019-09-13,1,-0.33013749999999964,0
2019-09-14,0,-0.21980474999999944,0
2019-09-15,0,-0.16898433749999958,11
2019-09-16,4,-0.13780441124999956,6
2019-09-17,1,4.883623970140626,2
2019-09-18,4,-0.6006589192984377,6
2019-09-19,0,0.7387097461421874,6
2019-09-20,0,1.7479316869843748,2
2019-09-21,0,-0.35671135253593733,8
2019-09-22,0,-0.19908374999999984,0
