,elastic/kibana,grafana/grafana,getsentry/sentry
2017-06-22,18,17,6.0
2017-06-23,12,15,12.8
2017-06-24,0,1,-2.28
2017-06-25,0,3,-0.6080000000000012
2017-06-26,9,1,25.8464
2017-06-27,16,9,14.848384000000001
2017-06-28,12,5,12.0783232
2017-06-29,13,5,9.77730048
2017-06-30,15,1,5.795534847999998
2017-07-01,2,0,-6.5806715904000015
2017-07-02,0,0,-3.788118937600002
2017-07-03,7,7,8.406732697599999
2017-07-04,0,10,-4.215457894399998
2017-07-05,7,12,8.480320307200001
2017-07-06,11,5,17.183448473600002
2017-07-07,8,4,-1.1511561215999988
2017-07-08,0,0,-1.8879152128000003
2017-07-09,1,1,-2.564418355200001
2017-07-10,14,3,-0.5726899200000009
2017-07-11,20,1,7.616762368
2017-07-12,14,10,11.172758425600001
2017-07-13,13,1,7.765058048
2017-07-14,19,2,-0.5503960063999997
2017-07-15,0,0,-3.1275843584
2017-07-16,1,0,-1.7077749760000005
2017-07-17,10,1,1.8215713791999995
2017-07-18,23,4,10.506436608
2017-07-19,13,3,8.6337775616
2017-07-20,16,2,-2.1024879615999996
2017-07-21,22,3,4.5482696704
2017-07-22,1,0,-2.8229910528
2017-07-23,0,0,-1.4767958016000007
2017-07-24,16,13,7.99444224
2017-07-25,9,1,3.422298624
2017-07-26,18,1,10.4472091648
2017-07-27,7,2,16.9888602112
2017-07-28,12,1,3.8727053311999997
2017-07-29,1,1,-4.861076684800001
2017-07-30,0,0,-2.6691606528000014
2017-07-31,13,25,5.2075187199999995
2017-08-01,27,16,0.23111987200000028
2017-08-02,16,14,-0.2629625856000004
2017-08-03,12,9,7.2023945216000005
2017-08-04,14,10,3.0272892928000017
2017-08-05,1,1,-0.7012854783999991
2017-08-06,0,0,-1.7235031040000004
2017-08-07,14,26,9.01875456
2017-08-08,16,26,5.280224256
2017-08-09,20,17,6.0314227712
2017-08-10,16,16,1.6878312447999995
2017-08-11,7,6,0.2631539711999995
2017-08-12,1,0,-2.1885638656
2017-08-13,0,0,-1.2945675264000003
2017-08-14,11,10,8.100539699199999
2017-08-15,5,15,1.5083699200000007
2017-08-16,14,5,6.90911232
2017-08-17,20,9,2.072835788800001
2017-08-18,18,11,4.5506571264
2017-08-19,2,3,-2.701733888
2017-08-20,0,2,0.574188748799999
2017-08-21,11,10,8.63212032
2017-08-22,9,1,17.096064512
2017-08-23,10,7,10.5009885184
2017-08-24,16,14,11.2457979904
2017-08-25,25,4,-0.3297217536000012
2017-08-26,0,5,-3.4592783360000015
2017-08-27,0,0,-2.869746892800001
2017-08-28,14,13,12.045605376
